date,open,high,low,close,volume
2020-01-02,1465.0,1505.0,1455.0,1480.0,244837
2020-01-03,1485.0,1535.0,1460.0,1535.0,505325
2020-01-06,1510.0,1510.0,1425.0,1435.0,579078
2020-01-07,1440.0,1570.0,1440.0,1470.0,1197918
2020-01-08,1455.0,1470.0,1370.0,1400.0,548693
2020-01-09,1435.0,1485.0,1425.0,1450.0,392864
2020-01-10,1445.0,1490.0,1440.0,1475.0,295151
2020-01-13,1480.0,1555.0,1470.0,1555.0,1600707
2020-01-14,1550.0,1590.0,1500.0,1560.0,1870912
2020-01-15,1545.0,1595.0,1525.0,1590.0,830992
2020-01-16,1680.0,1745.0,1570.0,1645.0,3899603
2020-01-17,1630.0,1655.0,1600.0,1635.0,552100
2020-01-20,1635.0,1645.0,1535.0,1545.0,664772
2020-01-21,1545.0,1585.0,1515.0,1540.0,475647
2020-01-22,1535.0,1560.0,1530.0,1540.0,226637
2020-01-23,1565.0,1615.0,1525.0,1530.0,536122
2020-01-28,1450.0,1505.0,1425.0,1475.0,550031
2020-01-29,1500.0,1515.0,1465.0,1475.0,241537
2020-01-30,1465.0,1480.0,1430.0,1445.0,343550
2020-01-31,1445.0,1465.0,1355.0,1355.0,457146
2020-02-03,1305.0,1435.0,1285.0,1345.0,814337
2020-02-04,1360.0,1440.0,1350.0,1435.0,355560
2020-02-05,1440.0,1455.0,1395.0,1450.0,225237
2020-02-06,1440.0,1480.0,1430.0,1465.0,173610
2020-02-07,1470.0,1495.0,1445.0,1485.0,220869
2020-02-10,1500.0,1550.0,1465.0,1515.0,323606
2020-02-11,1520.0,1565.0,1505.0,1550.0,373112
2020-02-12,1535.0,1555.0,1510.0,1530.0,208638
2020-02-13,1545.0,1555.0,1485.0,1505.0,381764
2020-02-14,1500.0,1515.0,1475.0,1480.0,209372
2020-02-17,1495.0,1510.0,1465.0,1480.0,183082
2020-02-18,1480.0,1505.0,1425.0,1455.0,200729
2020-02-19,1455.0,1475.0,1430.0,1430.0,160006
2020-02-20,1425.0,1450.0,1380.0,1385.0,265076
2020-02-21,1410.0,1475.0,1380.0,1385.0,652749
2020-02-24,1350.0,1355.0,1275.0,1290.0,562527
2020-02-25,1255.0,1335.0,1255.0,1330.0,282816
2020-02-26,1365.0,1435.0,1325.0,1335.0,759941
2020-02-27,1335.0,1360.0,1275.0,1290.0,384586
2020-02-28,1270.0,1285.0,1220.0,1225.0,322516
2020-03-02,1280.0,1280.0,1200.0,1260.0,107925
2020-03-03,1280.0,1320.0,1265.0,1265.0,203495
2020-03-04,1260.0,1325.0,1255.0,1300.0,189634
2020-03-05,1325.0,1340.0,1310.0,1330.0,128560
2020-03-06,1305.0,1330.0,1295.0,1310.0,97972
2020-03-09,1320.0,1320.0,1240.0,1270.0,258133
2020-03-10,1215.0,1250.0,1190.0,1235.0,332975
2020-03-11,1225.0,1245.0,1160.0,1160.0,305953
2020-03-12,1135.0,1160.0,1020.0,1050.0,508966
2020-03-13,947.0,999.0,841.0,965.0,535162
2020-03-16,950.0,1015.0,928.0,928.0,320159
2020-03-17,850.0,925.0,840.0,899.0,235737
2020-03-18,900.0,1080.0,875.0,875.0,1360980
2020-03-19,875.0,930.0,718.0,762.0,598089
2020-03-20,718.0,799.0,718.0,753.0,689724
2020-03-23,685.0,715.0,644.0,672.0,518891
2020-03-24,677.0,709.0,662.0,697.0,483810
2020-03-25,714.0,763.0,704.0,756.0,540689
2020-03-26,783.0,839.0,735.0,812.0,376491
2020-03-27,852.0,858.0,781.0,822.0,369213
2020-03-30,818.0,988.0,790.0,899.0,1410868
2020-03-31,899.0,1075.0,880.0,964.0,970198
2020-04-01,970.0,984.0,920.0,936.0,417623
2020-04-02,905.0,949.0,894.0,944.0,213368
2020-04-03,941.0,1025.0,925.0,965.0,331824
2020-04-06,965.0,1025.0,956.0,1010.0,275478
2020-04-07,1040.0,1080.0,1000.0,1070.0,421489
2020-04-08,1060.0,1130.0,1020.0,1120.0,377562
2020-04-09,1150.0,1150.0,1095.0,1100.0,226856
2020-04-10,1100.0,1110.0,1005.0,1095.0,266764
2020-04-13,1100.0,1140.0,1075.0,1100.0,181568
2020-04-14,1100.0,1130.0,1100.0,1115.0,143934
2020-04-16,1115.0,1125.0,1075.0,1125.0,208366
2020-04-17,1130.0,1190.0,1105.0,1180.0,491872
2020-04-20,1210.0,1250.0,1175.0,1245.0,421052
2020-04-21,1230.0,1255.0,1020.0,1185.0,577544
2020-04-22,1150.0,1175.0,1115.0,1160.0,189862
2020-04-23,1180.0,1240.0,1170.0,1210.0,267105
2020-04-24,1200.0,1310.0,1165.0,1180.0,1294683
2020-04-27,1180.0,1235.0,1180.0,1215.0,160023
2020-04-28,1230.0,1245.0,1195.0,1235.0,251071
2020-04-29,1280.0,1360.0,1220.0,1340.0,1524773
2020-05-04,1340.0,1410.0,1250.0,1395.0,1006922
2020-05-06,1420.0,1430.0,1370.0,1400.0,524698
2020-05-07,1405.0,1405.0,1360.0,1370.0,334844
2020-05-08,1380.0,1380.0,1325.0,1340.0,309087
2020-05-11,1350.0,1350.0,1305.0,1330.0,342431
2020-05-12,1330.0,1340.0,1265.0,1300.0,291519
2020-05-13,1310.0,1350.0,1265.0,1295.0,328828
2020-05-14,1305.0,1305.0,1225.0,1245.0,413318
2020-05-15,1245.0,1250.0,1200.0,1215.0,230317
