date,open,high,low,close,volume
2020-01-02,7979.0,7998.0,7871.0,7940.0,551287
2020-01-03,8037.0,8281.0,7978.0,8018.0,2877123
2020-01-06,7919.0,7949.0,7724.0,7783.0,906278
2020-01-07,7803.0,7939.0,7803.0,7891.0,560013
2020-01-08,7822.0,7832.0,7373.0,7510.0,1385526
2020-01-09,7685.0,8184.0,7685.0,8184.0,2656908
2020-01-10,8300.0,8662.0,8232.0,8496.0,4799323
2020-01-13,8535.0,8633.0,8359.0,8438.0,1664591
2020-01-14,8545.0,8633.0,8310.0,8350.0,1650015
2020-01-15,8330.0,8447.0,8232.0,8418.0,738055
2020-01-16,8467.0,8545.0,8418.0,8516.0,1090597
2020-01-17,8515.0,8622.0,8417.0,8447.0,1181477
2020-01-20,8466.0,8662.0,8437.0,8545.0,1340549
2020-01-21,8555.0,8672.0,8398.0,8477.0,1113617
2020-01-22,8466.0,8906.0,8456.0,8867.0,3412824
2020-01-23,8955.0,8955.0,8760.0,8770.0,1829992
2020-01-28,8212.0,8544.0,8203.0,8330.0,2325484
2020-01-29,8417.0,8837.0,8261.0,8701.0,2651430
2020-01-30,8779.0,8818.0,8378.0,8457.0,2173075
2020-01-31,8506.0,8652.0,8144.0,8223.0,1618854
2020-02-03,8037.0,8466.0,7988.0,8457.0,1533717
2020-02-04,8554.0,8720.0,8486.0,8711.0,1690396
2020-02-05,8886.0,8886.0,8534.0,8574.0,1743842
2020-02-06,8604.0,8692.0,8535.0,8692.0,1202002
2020-02-07,8740.0,8740.0,8584.0,8672.0,996949
2020-02-10,8633.0,8633.0,8447.0,8477.0,961322
2020-02-11,8418.0,8525.0,8271.0,8418.0,1900442
2020-02-12,8486.0,9473.0,8438.0,9278.0,14007744
2020-02-13,9219.0,9228.0,8877.0,8887.0,5087644
2020-02-14,8886.0,8955.0,8652.0,8799.0,2910142
2020-02-17,8740.0,8828.0,8672.0,8809.0,1655538
2020-02-18,8760.0,8799.0,8408.0,8477.0,2045781
2020-02-19,8544.0,8623.0,8310.0,8418.0,1515243
2020-02-20,8496.0,8544.0,8261.0,8330.0,1242429
2020-02-21,8183.0,8281.0,7978.0,7998.0,1948597
2020-02-24,7617.0,7812.0,7598.0,7686.0,1522183
2020-02-25,7617.0,7861.0,7568.0,7852.0,1356586
2020-02-26,7665.0,7743.0,7597.0,7656.0,1059725
2020-02-27,7647.0,7676.0,7275.0,7315.0,1542374
2020-02-28,7128.0,7265.0,6943.0,6992.0,1635364
2020-03-02,6992.0,7206.0,6845.0,7119.0,1030938
2020-03-03,7421.0,7450.0,7138.0,7148.0,1328594
2020-03-04,7119.0,7539.0,7109.0,7539.0,1116843
2020-03-05,7655.0,7665.0,7441.0,7529.0,1141700
2020-03-06,7412.0,7529.0,7363.0,7481.0,673058
2020-03-09,7294.0,7382.0,7031.0,7080.0,952815
2020-03-10,6952.0,7245.0,6933.0,7236.0,1104298
2020-03-11,7236.0,7275.0,6846.0,6895.0,1024668
2020-03-12,6836.0,6953.0,6201.0,6309.0,1833957
2020-03-13,5585.0,6132.0,5409.0,5859.0,2811637
2020-03-16,5957.0,6123.0,5625.0,5625.0,1560645
2020-03-17,5224.0,5820.0,5224.0,5615.0,1920381
2020-03-18,5692.0,5761.0,5234.0,5234.0,1289441
2020-03-19,5419.0,5459.0,4492.0,4502.0,2396519
2020-03-20,4589.0,5166.0,4580.0,5166.0,2053136
2020-03-23,4784.0,5106.0,4769.0,4892.0,1362154
2020-03-24,5107.0,5420.0,4941.0,5420.0,1760759
2020-03-25,5654.0,5800.0,5517.0,5713.0,2133891
2020-03-26,5742.0,5957.0,5586.0,5723.0,1971166
2020-03-27,6005.0,6005.0,5497.0,5732.0,1613372
2020-03-30,5488.0,5917.0,5488.0,5869.0,1204569
2020-03-31,5995.0,6122.0,5907.0,6025.0,1818556
2020-04-01,6025.0,6269.0,5810.0,5928.0,1817468
2020-04-02,5928.0,6025.0,5762.0,5977.0,1075352
2020-04-03,6054.0,6093.0,5849.0,5967.0,910927
2020-04-06,6034.0,6240.0,5986.0,6240.0,1182619
2020-04-07,6483.0,6591.0,6220.0,6396.0,1739671
2020-04-08,6465.0,6719.0,6396.0,6514.0,1874294
2020-04-09,6670.0,6670.0,6425.0,6504.0,1065202
2020-04-10,6533.0,6543.0,6230.0,6426.0,973767
2020-04-13,6426.0,6553.0,6172.0,6221.0,1182517
2020-04-14,6308.0,6415.0,6269.0,6406.0,716322
2020-04-16,6347.0,6533.0,6298.0,6494.0,1019022
2020-04-17,6601.0,6874.0,6572.0,6787.0,2310428
2020-04-20,6806.0,6884.0,6718.0,6738.0,988149
2020-04-21,6699.0,6728.0,6259.0,6592.0,1203576
2020-04-22,6474.0,6601.0,6357.0,6582.0,665991
2020-04-23,6630.0,6679.0,6542.0,6611.0,765345
2020-04-24,6572.0,6572.0,6357.0,6436.0,813522
2020-04-27,6474.0,6581.0,6454.0,6572.0,492061
2020-04-28,6630.0,6660.0,6445.0,6543.0,566702
2020-04-29,6553.0,6728.0,6523.0,6553.0,1042680
2020-05-04,6494.0,6679.0,6445.0,6621.0,1037358
2020-05-06,6689.0,6816.0,6679.0,6787.0,1175989
2020-05-07,6807.0,6807.0,6670.0,6729.0,1109201
2020-05-08,6767.0,6855.0,6718.0,6758.0,1459071
2020-05-11,6767.0,6865.0,6738.0,6748.0,1063431
2020-05-12,6747.0,6777.0,6591.0,6621.0,669542
2020-05-13,6514.0,7051.0,6484.0,6895.0,2387691
2020-05-14,6943.0,6943.0,6738.0,6768.0,1334783
2020-05-15,6797.0,6836.0,6660.0,6768.0,604260
2020-05-18,6787.0,6904.0,6699.0,6768.0,1029405
2020-05-19,6904.0,6933.0,6806.0,6885.0,1189157
2020-05-20,6875.0,7344.0,6855.0,7266.0,4651116
2020-05-21,7460.0,7724.0,7362.0,7568.0,5101019
2020-05-22,7646.0,7891.0,7461.0,7686.0,4135231
2020-05-25,7822.0,8271.0,7783.0,8252.0,5870481
2020-05-26,8369.0,8574.0,8164.0,8301.0,3856142
2020-05-27,8291.0,8291.0,8027.0,8086.0,1992071
2020-05-28,8115.0,8115.0,7598.0,7725.0,2970476
2020-05-29,7666.0,7890.0,7588.0,7803.0,1728372
2020-06-01,7881.0,8027.0,7822.0,7930.0,1794962
2020-06-02,8008.0,8369.0,7949.0,8184.0,3570121
2020-06-03,8359.0,8369.0,8047.0,8096.0,1847759
2020-06-04,8222.0,8437.0,8046.0,8252.0,4197153
2020-06-05,8389.0,8740.0,8310.0,8477.0,8109177
2020-06-08,8594.0,8672.0,8506.0,8555.0,2587901
2020-06-09,8613.0,8613.0,8368.0,8408.0,1712970
2020-06-10,8437.0,8447.0,8222.0,8291.0,1463983
2020-06-11,8330.0,8349.0,8174.0,8223.0,1466814
2020-06-12,7685.0,7997.0,7529.0,7949.0,1631512
2020-06-15,7891.0,7910.0,7256.0,7266.0,1814902
2020-06-16,7451.0,7871.0,7451.0,7803.0,1074705
2020-06-17,7715.0,7969.0,7647.0,7774.0,1136188
2020-06-18,7822.0,8173.0,7753.0,8086.0,1951844
2020-06-19,8212.0,8320.0,7968.0,8086.0,2302807
2020-06-22,8086.0,8252.0,7988.0,8067.0,1154559
2020-06-23,8134.0,8222.0,7890.0,7949.0,1325077
2020-06-24,7968.0,8095.0,7949.0,8037.0,1040159
2020-06-25,7910.0,8281.0,7851.0,8174.0,2431942
2020-06-26,8340.0,8340.0,7969.0,8106.0,1332108
2020-06-29,7978.0,8008.0,7802.0,7803.0,842687
