date,open,high,low,close,volume
2020-01-02,2020.0,2100.0,1995.0,2040.0,339717
2020-01-03,2010.0,2055.0,1975.0,2000.0,161309
2020-01-06,1970.0,2100.0,1900.0,1970.0,446474
2020-01-07,1970.0,2095.0,1950.0,2035.0,816342
2020-01-08,2010.0,2070.0,1820.0,1875.0,634611
2020-01-09,1950.0,2020.0,1900.0,1905.0,287863
2020-01-10,1910.0,1965.0,1900.0,1955.0,242304
2020-01-13,1995.0,1995.0,1940.0,1955.0,91058
2020-01-14,1950.0,1970.0,1935.0,1950.0,143507
2020-01-15,1945.0,2025.0,1940.0,1980.0,192640
2020-01-16,2010.0,2010.0,1915.0,1930.0,159450
2020-01-17,1975.0,1975.0,1920.0,1930.0,154978
2020-01-20,1955.0,1955.0,1835.0,1845.0,284193
2020-01-21,1865.0,1885.0,1750.0,1785.0,244018
2020-01-22,1785.0,1850.0,1775.0,1810.0,91272
2020-01-23,1835.0,1870.0,1815.0,1855.0,77566
2020-01-28,1775.0,1810.0,1745.0,1755.0,172524
2020-01-29,1805.0,1805.0,1750.0,1770.0,70709
2020-01-30,1780.0,1785.0,1690.0,1715.0,186036
2020-01-31,1690.0,1725.0,1655.0,1680.0,239761
2020-02-03,1650.0,1695.0,1605.0,1665.0,170736
2020-02-04,1665.0,1875.0,1650.0,1750.0,404576
2020-02-05,1760.0,1825.0,1675.0,1750.0,198723
2020-02-06,1775.0,1775.0,1725.0,1745.0,79911
2020-02-07,1745.0,1755.0,1710.0,1735.0,62466
2020-02-10,1745.0,1815.0,1640.0,1695.0,269061
2020-02-11,1710.0,1735.0,1685.0,1690.0,224003
2020-02-12,1715.0,2140.0,1685.0,1885.0,4429681
2020-02-13,1900.0,2240.0,1820.0,2060.0,8495033
2020-02-14,2060.0,2115.0,1925.0,1955.0,1231908
2020-02-17,1955.0,2020.0,1880.0,1960.0,561480
2020-02-18,2065.0,2270.0,2000.0,2105.0,4287580
2020-02-19,2235.0,2375.0,2110.0,2170.0,4272323
2020-02-20,2115.0,2245.0,2080.0,2150.0,945575
2020-02-21,2135.0,2160.0,2000.0,2000.0,614535
2020-02-24,1885.0,2035.0,1880.0,1975.0,448480
2020-02-25,1960.0,2020.0,1895.0,1925.0,550426
2020-02-26,1900.0,1915.0,1845.0,1865.0,461617
2020-02-27,1875.0,1900.0,1770.0,1800.0,296689
2020-02-28,1755.0,1770.0,1650.0,1750.0,379942
2020-03-02,1715.0,1770.0,1675.0,1750.0,189598
2020-03-03,1800.0,1810.0,1750.0,1790.0,190471
2020-03-04,1755.0,1845.0,1755.0,1825.0,284315
2020-03-05,1830.0,1955.0,1825.0,1900.0,327582
2020-03-06,1900.0,1900.0,1800.0,1855.0,147130
2020-03-09,1790.0,1825.0,1740.0,1765.0,319084
2020-03-10,1735.0,1775.0,1650.0,1770.0,289263
2020-03-11,1770.0,1775.0,1645.0,1675.0,300030
