date,open,high,low,close,volume
2020-01-02,2585.0,2610.0,2550.0,2575.0,369732
2020-01-03,2550.0,2595.0,2520.0,2560.0,553139
2020-01-06,2520.0,2545.0,2450.0,2480.0,407952
2020-01-07,2490.0,2515.0,2475.0,2495.0,189325
2020-01-08,2460.0,2490.0,2330.0,2355.0,479485
2020-01-09,2420.0,2495.0,2385.0,2495.0,251634
2020-01-10,2495.0,2560.0,2470.0,2530.0,240267
2020-01-13,2530.0,2665.0,2525.0,2625.0,714268
2020-01-14,2640.0,2665.0,2575.0,2605.0,353195
2020-01-15,2605.0,2630.0,2580.0,2590.0,179453
2020-01-16,2615.0,2620.0,2585.0,2610.0,209824
2020-01-17,2610.0,2680.0,2590.0,2660.0,398330
2020-01-20,2685.0,2685.0,2555.0,2590.0,394078
2020-01-21,2600.0,2610.0,2495.0,2540.0,298701
2020-01-22,2540.0,2585.0,2525.0,2565.0,148304
2020-01-23,2565.0,2585.0,2490.0,2515.0,197545
2020-01-28,2395.0,2455.0,2350.0,2400.0,363678
2020-01-29,2410.0,2445.0,2400.0,2415.0,130475
2020-01-30,2415.0,2430.0,2305.0,2345.0,276392
2020-01-31,2325.0,2365.0,2255.0,2255.0,248744
2020-02-03,2200.0,2275.0,2115.0,2265.0,290677
2020-02-04,2295.0,2325.0,2265.0,2290.0,163418
2020-02-05,2350.0,2355.0,2295.0,2325.0,228235
2020-02-06,2325.0,2515.0,2325.0,2510.0,443162
2020-02-07,2490.0,2580.0,2450.0,2535.0,254061
2020-02-10,2530.0,2680.0,2530.0,2640.0,414297
2020-02-11,2685.0,2740.0,2650.0,2680.0,648438
2020-02-12,2705.0,2705.0,2650.0,2675.0,293965
2020-02-13,2680.0,2700.0,2645.0,2670.0,208986
2020-02-14,2650.0,2700.0,2620.0,2665.0,217753
2020-02-17,2665.0,2690.0,2615.0,2675.0,267944
2020-02-18,2675.0,2980.0,2675.0,2795.0,2222933
2020-02-19,2775.0,2845.0,2685.0,2785.0,525473
2020-02-20,2805.0,2890.0,2785.0,2835.0,627617
2020-02-21,2770.0,2840.0,2680.0,2725.0,461836
2020-02-24,2610.0,2655.0,2555.0,2575.0,476555
2020-02-25,2600.0,2740.0,2565.0,2695.0,444879
2020-02-26,2665.0,2825.0,2620.0,2785.0,546145
2020-02-27,2825.0,2830.0,2630.0,2685.0,363781
2020-02-28,2600.0,2640.0,2505.0,2535.0,419359
2020-03-02,2540.0,2600.0,2455.0,2560.0,253553
2020-03-03,2635.0,2675.0,2555.0,2555.0,263919
2020-03-04,2515.0,2660.0,2450.0,2500.0,756762
2020-03-05,2535.0,2615.0,2515.0,2600.0,357867
2020-03-06,2550.0,2590.0,2480.0,2505.0,433267
2020-03-09,2450.0,2450.0,2270.0,2295.0,691635
2020-03-10,2230.0,2300.0,2190.0,2275.0,397321
2020-03-11,2285.0,2310.0,2090.0,2125.0,581118
2020-03-12,2095.0,2115.0,1885.0,1935.0,670411
2020-03-13,1690.0,1870.0,1675.0,1775.0,840933
2020-03-16,1785.0,1860.0,1650.0,1675.0,738694
2020-03-17,1565.0,1740.0,1565.0,1670.0,575653
2020-03-18,1680.0,1725.0,1570.0,1575.0,437577
2020-03-19,1580.0,1650.0,1265.0,1330.0,730106
2020-03-20,1330.0,1400.0,1300.0,1365.0,688045
2020-03-23,1290.0,1295.0,1185.0,1195.0,481741
2020-03-24,1215.0,1335.0,1215.0,1325.0,472455
2020-03-25,1370.0,1575.0,1340.0,1485.0,722661
2020-03-26,1500.0,1610.0,1465.0,1490.0,503367
2020-03-27,1570.0,1585.0,1440.0,1500.0,467738
2020-03-30,1450.0,1580.0,1450.0,1580.0,389361
2020-03-31,1625.0,1720.0,1625.0,1700.0,544244
2020-04-01,1700.0,1775.0,1625.0,1695.0,398563
2020-04-02,1710.0,1780.0,1640.0,1780.0,515589
2020-04-03,1825.0,1940.0,1760.0,1815.0,689400
2020-04-06,1820.0,1935.0,1805.0,1900.0,412543
2020-04-07,1960.0,1980.0,1865.0,1915.0,431459
2020-04-08,1915.0,1950.0,1865.0,1920.0,302831
2020-04-09,1945.0,2085.0,1925.0,2045.0,660793
2020-04-10,2095.0,2095.0,1965.0,2060.0,385685
2020-04-13,2060.0,2060.0,1950.0,1980.0,260279
2020-04-14,1990.0,2040.0,1990.0,2030.0,184937
2020-04-16,2065.0,2120.0,1995.0,2120.0,433279
2020-04-17,2145.0,2245.0,2130.0,2220.0,597803
2020-04-20,2230.0,2280.0,2190.0,2230.0,377476
2020-04-21,2235.0,2250.0,2030.0,2150.0,462598
2020-04-22,2140.0,2170.0,2040.0,2170.0,276850
2020-04-23,2230.0,2245.0,2170.0,2190.0,319032
2020-04-24,2190.0,2190.0,2100.0,2115.0,230203
2020-04-27,2120.0,2180.0,2120.0,2170.0,186281
2020-04-28,2195.0,2195.0,2120.0,2150.0,152850
2020-04-29,2150.0,2180.0,2130.0,2165.0,183073
2020-05-04,2125.0,2190.0,2110.0,2160.0,179476
2020-05-06,2260.0,2260.0,2160.0,2195.0,205939
2020-05-07,2230.0,2230.0,2180.0,2210.0,185183
2020-05-08,2220.0,2590.0,2215.0,2505.0,3871397
2020-05-11,2505.0,2565.0,2390.0,2495.0,1621907
2020-05-12,2510.0,2550.0,2415.0,2465.0,755402
2020-05-13,2405.0,2550.0,2355.0,2465.0,710668
2020-05-14,2465.0,2850.0,2460.0,2635.0,6420833
2020-05-15,2635.0,2690.0,2545.0,2685.0,1314719
2020-05-18,2675.0,2810.0,2630.0,2750.0,1493739
2020-05-19,2755.0,2800.0,2715.0,2765.0,708949
2020-05-20,2790.0,2910.0,2750.0,2910.0,1599509
2020-05-21,3515.0,3780.0,3460.0,3780.0,5453314
2020-05-22,4130.0,4150.0,3615.0,3690.0,19667955
2020-05-25,3690.0,3980.0,3640.0,3765.0,7030708
2020-05-26,3790.0,3950.0,3750.0,3890.0,6155762
2020-05-27,4570.0,4975.0,4300.0,4410.0,20019503
2020-05-28,4410.0,4675.0,3970.0,4160.0,5240484
2020-05-29,4150.0,4570.0,3985.0,4440.0,6227297
2020-06-01,4395.0,4870.0,4395.0,4500.0,7148395
2020-06-02,4455.0,4455.0,4290.0,4435.0,2363948
2020-06-03,4525.0,4720.0,4380.0,4430.0,5545248
2020-06-04,4505.0,4510.0,4315.0,4360.0,1743414
2020-06-05,4360.0,4405.0,4300.0,4315.0,966865
2020-06-08,4345.0,4685.0,4310.0,4520.0,4424218
2020-06-09,4445.0,4470.0,4325.0,4385.0,1398963
2020-06-10,4310.0,4365.0,4100.0,4185.0,1381993
2020-06-11,4170.0,4240.0,4055.0,4120.0,1114019
2020-06-12,3800.0,4060.0,3745.0,4000.0,1616919
2020-06-15,4065.0,4075.0,3560.0,3620.0,1319654
2020-06-16,3800.0,3845.0,3695.0,3775.0,857556
2020-06-17,3720.0,3810.0,3600.0,3730.0,643009
2020-06-18,3755.0,4120.0,3650.0,3760.0,2708106
2020-06-19,3805.0,3950.0,3730.0,3940.0,1039928
2020-06-22,4095.0,4270.0,3945.0,4100.0,3314068
2020-06-23,4120.0,4310.0,3915.0,4310.0,2354567
2020-06-24,4280.0,4400.0,4180.0,4255.0,2409296
2020-06-25,4105.0,4200.0,4060.0,4090.0,934675
2020-06-26,4120.0,5310.0,4055.0,5310.0,69367804
2020-06-29,5600.0,5720.0,4940.0,5080.0,40040781
2020-06-30,5150.0,5400.0,4865.0,5400.0,14480899
2020-07-01,5300.0,5350.0,5000.0,5000.0,6699824
2020-07-02,4930.0,5140.0,4775.0,5040.0,5630176
2020-07-03,5040.0,5220.0,4980.0,5000.0,4655233
2020-07-06,5080.0,5130.0,4950.0,5060.0,2026500
2020-07-07,5100.0,5340.0,5030.0,5030.0,7695293
2020-07-08,5080.0,5320.0,5000.0,5280.0,6352518
2020-07-09,5570.0,6640.0,5540.0,6200.0,63740519
2020-07-10,6110.0,6450.0,5950.0,6420.0,13277369
2020-07-13,6340.0,7220.0,6190.0,6650.0,28068553
2020-07-14,6760.0,7080.0,5780.0,5930.0,18136486
2020-07-15,6110.0,6140.0,5840.0,5930.0,4236336
2020-07-16,5870.0,7080.0,5770.0,6280.0,32917369
2020-07-17,6280.0,6670.0,6180.0,6510.0,9113146
2020-07-20,6660.0,7140.0,6650.0,6750.0,23755965
2020-07-21,6750.0,8150.0,6470.0,7560.0,42846431
2020-07-22,7620.0,8190.0,7310.0,7340.0,19048090
2020-07-23,7430.0,7610.0,7100.0,7210.0,4198559
2020-07-24,7140.0,7550.0,7070.0,7210.0,4659702
2020-07-27,7110.0,7750.0,7040.0,7330.0,10540966
2020-07-28,7420.0,7520.0,7220.0,7380.0,3021522
2020-07-29,7410.0,7570.0,7250.0,7290.0,2768210
2020-07-30,7330.0,7350.0,7000.0,7250.0,2870214
2020-07-31,7250.0,7420.0,7080.0,7080.0,2238567
2020-08-03,7040.0,7140.0,6860.0,7130.0,1996620
2020-08-04,7160.0,7390.0,7070.0,7190.0,2776262
2020-08-05,7200.0,7260.0,7110.0,7120.0,1173424
2020-08-06,7170.0,7480.0,7080.0,7480.0,2503152
2020-08-07,7500.0,7510.0,7220.0,7300.0,2119758
2020-08-10,7350.0,7640.0,7180.0,7620.0,4172328
2020-08-11,7660.0,7770.0,7430.0,7490.0,4029929
2020-08-12,7490.0,7680.0,7050.0,7170.0,2732721
2020-08-13,7300.0,7330.0,6930.0,7050.0,1489297
2020-08-14,7050.0,7150.0,6650.0,6660.0,2013008
2020-08-18,6700.0,6730.0,6040.0,6180.0,1990999
