date,open,high,low,close,volume
2020-01-02,7110.0,7280.0,7040.0,7210.0,224696
2020-01-03,7290.0,7340.0,7140.0,7160.0,245754
2020-01-06,6950.0,7140.0,6900.0,7120.0,203273
2020-01-07,7130.0,7210.0,7060.0,7120.0,141699
2020-01-08,7150.0,7710.0,7030.0,7430.0,1155429
2020-01-09,7600.0,7770.0,7520.0,7640.0,613635
2020-01-10,7700.0,7720.0,7500.0,7590.0,249164
2020-01-13,7640.0,7650.0,7470.0,7580.0,273479
2020-01-14,7680.0,7960.0,7600.0,7700.0,572768
2020-01-15,7800.0,7800.0,7440.0,7590.0,222627
2020-01-16,7620.0,7880.0,7500.0,7850.0,324129
2020-01-17,7900.0,8000.0,7730.0,7790.0,178286
2020-01-20,7770.0,8090.0,7690.0,7850.0,484944
2020-01-21,7900.0,8000.0,7630.0,7720.0,282233
2020-01-22,7720.0,8100.0,7720.0,8100.0,412182
2020-01-23,8160.0,8230.0,7900.0,8070.0,283541
2020-01-28,7630.0,7890.0,7610.0,7780.0,351159
2020-01-29,7800.0,7890.0,7650.0,7680.0,199913
2020-01-30,7680.0,7770.0,7380.0,7470.0,267613
2020-01-31,7530.0,7590.0,7100.0,7190.0,275492
2020-02-03,6910.0,7340.0,6830.0,7310.0,303764
2020-02-04,7350.0,8300.0,7340.0,8300.0,1157072
2020-02-05,8920.0,9470.0,8520.0,9030.0,4612824
2020-02-06,9030.0,9350.0,8900.0,9240.0,1277348
2020-02-07,9240.0,9550.0,9010.0,9540.0,1477169
2020-02-10,9390.0,9630.0,9310.0,9450.0,759818
2020-02-11,9530.0,9730.0,9390.0,9700.0,984708
2020-02-12,9730.0,9920.0,9380.0,9540.0,882780
2020-02-13,9530.0,9730.0,9190.0,9310.0,644210
2020-02-14,9310.0,10300.0,9300.0,9610.0,3097623
2020-02-17,9610.0,9980.0,9410.0,9890.0,1027809
2020-02-18,9890.0,9890.0,9250.0,9270.0,844561
2020-02-19,9350.0,9630.0,9040.0,9580.0,821137
2020-02-20,9710.0,10250.0,9600.0,9650.0,1760268
2020-02-21,9350.0,9620.0,9150.0,9270.0,875302
2020-02-24,8910.0,9500.0,8900.0,9240.0,957241
2020-02-25,9230.0,9480.0,8910.0,9480.0,682971
2020-02-26,9200.0,9390.0,9080.0,9320.0,612570
2020-02-27,9450.0,9450.0,8560.0,8800.0,648911
2020-02-28,8540.0,8670.0,8100.0,8300.0,652530
2020-03-02,8450.0,8690.0,8200.0,8500.0,596880
2020-03-03,8820.0,8920.0,8290.0,8300.0,713136
2020-03-04,8140.0,8940.0,8140.0,8830.0,638675
2020-03-05,9000.0,9030.0,8490.0,8810.0,618562
2020-03-06,8580.0,8850.0,8490.0,8850.0,407029
2020-03-09,8780.0,9030.0,8300.0,8430.0,1016810
2020-03-10,8350.0,8960.0,8180.0,8960.0,920760
2020-03-11,8910.0,8930.0,8120.0,8300.0,1192595
2020-03-12,8150.0,8360.0,7350.0,7590.0,1348232
2020-03-13,6850.0,7300.0,6190.0,7000.0,1778743
2020-03-16,7070.0,7250.0,6140.0,6150.0,1408799
2020-03-17,5780.0,6370.0,5650.0,6210.0,1296111
2020-03-18,6310.0,6550.0,5730.0,5750.0,1143217
2020-03-19,5930.0,6030.0,4750.0,4900.0,1209605
2020-03-20,5050.0,5670.0,4980.0,5650.0,1244796
2020-03-23,5170.0,5300.0,4910.0,5060.0,922153
2020-03-24,5310.0,5720.0,5180.0,5670.0,978842
2020-03-25,6000.0,6130.0,5730.0,5980.0,910726
2020-03-26,6040.0,6330.0,5840.0,6030.0,748733
2020-03-27,6400.0,6400.0,5810.0,6040.0,852092
2020-03-30,5800.0,6270.0,5710.0,6220.0,574726
2020-03-31,6390.0,6850.0,6380.0,6580.0,1172211
2020-04-01,6570.0,6880.0,6280.0,6390.0,837703
2020-04-02,6450.0,6670.0,6260.0,6670.0,532704
2020-04-03,6760.0,6760.0,6510.0,6660.0,490877
2020-04-06,6700.0,6980.0,6610.0,6970.0,791044
2020-04-07,7220.0,7410.0,6970.0,7280.0,1046658
2020-04-08,7220.0,7910.0,7110.0,7700.0,1362513
2020-04-09,7930.0,8450.0,7900.0,8450.0,1698476
2020-04-10,8330.0,8430.0,7810.0,8260.0,1066291
2020-04-13,8140.0,8140.0,7820.0,7850.0,603853
2020-04-14,7960.0,8100.0,7870.0,7950.0,576042
2020-04-16,7850.0,8430.0,7760.0,8400.0,764872
2020-04-17,8520.0,8790.0,8430.0,8620.0,1082981
2020-04-20,8650.0,8670.0,8370.0,8450.0,591187
2020-04-21,8320.0,8520.0,7950.0,8350.0,581324
2020-04-22,8190.0,8360.0,8010.0,8350.0,423665
2020-04-23,8500.0,8510.0,8240.0,8300.0,358408
2020-04-24,8300.0,8530.0,8200.0,8230.0,662021
2020-04-27,8300.0,8400.0,8120.0,8240.0,308302
2020-04-28,8390.0,8390.0,8030.0,8150.0,461227
2020-04-29,8210.0,8560.0,8120.0,8290.0,841675
2020-05-04,8180.0,8750.0,8090.0,8720.0,933698
2020-05-06,9200.0,9850.0,9120.0,9410.0,3532180
2020-05-07,9480.0,9570.0,9220.0,9500.0,969480
2020-05-08,9570.0,9850.0,9400.0,9540.0,1218523
2020-05-11,9580.0,9770.0,9330.0,9610.0,733041
2020-05-12,9600.0,9680.0,9050.0,9460.0,873026
2020-05-13,9270.0,9400.0,9180.0,9400.0,380551
2020-05-14,9260.0,9630.0,9200.0,9480.0,906546
2020-05-15,9630.0,9630.0,8990.0,9130.0,1793048
2020-05-18,9240.0,9330.0,8940.0,9140.0,1118505
2020-05-19,9290.0,9550.0,9160.0,9380.0,1346223
2020-05-20,9380.0,9500.0,9290.0,9380.0,881289
2020-05-21,9620.0,9990.0,9290.0,9320.0,3184876
2020-05-22,9430.0,9550.0,8860.0,9060.0,1554851
2020-05-25,9140.0,9340.0,8950.0,9310.0,864756
2020-05-26,9210.0,9350.0,9050.0,9090.0,997314
2020-05-27,9090.0,9470.0,8950.0,9200.0,1712078
2020-05-28,9320.0,9450.0,8730.0,9060.0,1529189
2020-05-29,8910.0,9030.0,8630.0,8690.0,939565
2020-06-01,8700.0,8910.0,8630.0,8870.0,712800
2020-06-02,8880.0,8950.0,8720.0,8750.0,583848
2020-06-03,8800.0,8910.0,8640.0,8650.0,551660
2020-06-04,8740.0,8830.0,8660.0,8700.0,464308
2020-06-05,8710.0,9080.0,8710.0,9040.0,944526
2020-06-08,9110.0,9300.0,9000.0,9260.0,894992
2020-06-09,9350.0,9370.0,9030.0,9130.0,636644
2020-06-10,9130.0,9310.0,9090.0,9110.0,435671
2020-06-11,9140.0,9140.0,8880.0,8910.0,531544
2020-06-12,8200.0,8620.0,8200.0,8590.0,577914
2020-06-15,8540.0,8540.0,7680.0,7690.0,798575
2020-06-16,7890.0,8080.0,7870.0,7960.0,471427
2020-06-17,7840.0,8170.0,7780.0,7840.0,490247
2020-06-18,7870.0,7990.0,7710.0,7890.0,268420
2020-06-19,8070.0,8080.0,7880.0,8000.0,288895
2020-06-22,8000.0,8050.0,7800.0,7880.0,412038
2020-06-23,7980.0,8060.0,7750.0,7770.0,372193
2020-06-24,7810.0,8130.0,7810.0,8100.0,568910
2020-06-25,7960.0,8020.0,7770.0,7890.0,346950
2020-06-26,7990.0,8110.0,7800.0,7920.0,322123
2020-06-29,7810.0,8060.0,7760.0,7870.0,219212
2020-06-30,8060.0,8440.0,7960.0,8330.0,837764
2020-07-01,8510.0,8990.0,8450.0,8730.0,1566056
2020-07-02,8900.0,8940.0,8520.0,8780.0,599059
2020-07-03,8750.0,8800.0,8560.0,8660.0,340076
2020-07-06,8660.0,9030.0,8550.0,8900.0,767535
2020-07-07,8990.0,9000.0,8600.0,8600.0,480309
2020-07-08,8620.0,8760.0,8510.0,8720.0,315021
2020-07-09,8780.0,9100.0,8780.0,8930.0,1160406
2020-07-10,9040.0,9490.0,8880.0,9000.0,2239592
2020-07-13,9020.0,9210.0,8780.0,9020.0,649511
2020-07-14,8950.0,9020.0,8790.0,9000.0,387679
2020-07-15,9080.0,10700.0,9080.0,10550.0,8175772
2020-07-16,10450.0,10450.0,9910.0,10100.0,2288915
2020-07-17,10000.0,10400.0,9980.0,10050.0,1275864
2020-07-20,10100.0,10400.0,9990.0,10150.0,1032075
2020-07-21,10300.0,10850.0,9990.0,10650.0,2495251
2020-07-22,10750.0,11150.0,10550.0,10800.0,2477330
2020-07-23,10800.0,10850.0,10200.0,10350.0,1032329
2020-07-24,10100.0,10350.0,9780.0,9820.0,1096974
2020-07-27,9820.0,10350.0,9800.0,10250.0,987174
2020-07-28,10250.0,10550.0,10050.0,10300.0,749984
2020-07-29,10250.0,10300.0,9930.0,10000.0,640146
2020-07-30,10150.0,10700.0,9970.0,10400.0,1898930
