date,open,high,low,close,volume
2020-01-02,1330.0,1370.0,1300.0,1365.0,310965
2020-01-03,1380.0,1385.0,1350.0,1360.0,158447
2020-01-06,1340.0,1350.0,1280.0,1300.0,410254
2020-01-07,1300.0,1365.0,1300.0,1360.0,434361
2020-01-08,1350.0,1350.0,1250.0,1255.0,595949
2020-01-09,1285.0,1315.0,1285.0,1300.0,212358
2020-01-10,1300.0,1345.0,1300.0,1315.0,233958
2020-01-13,1320.0,1365.0,1305.0,1365.0,448797
2020-01-14,1365.0,1370.0,1340.0,1350.0,152523
2020-01-15,1340.0,1360.0,1340.0,1360.0,169521
2020-01-16,1365.0,1380.0,1345.0,1355.0,266670
2020-01-17,1340.0,1365.0,1340.0,1340.0,294138
2020-01-20,1340.0,1350.0,1315.0,1330.0,184296
2020-01-21,1330.0,1330.0,1315.0,1325.0,98112
2020-01-22,1315.0,1335.0,1310.0,1320.0,102514
2020-01-23,1365.0,1575.0,1365.0,1515.0,21756023
2020-01-28,1405.0,1460.0,1320.0,1365.0,4658695
2020-01-29,1390.0,1440.0,1370.0,1435.0,2543897
2020-01-30,1405.0,1410.0,1295.0,1295.0,1789836
2020-01-31,1310.0,1440.0,1245.0,1245.0,4293943
2020-02-03,1230.0,1235.0,1160.0,1205.0,899549
2020-02-04,1205.0,1260.0,1205.0,1255.0,409165
2020-02-05,1260.0,1285.0,1260.0,1285.0,326961
2020-02-06,1290.0,1305.0,1280.0,1295.0,286628
2020-02-07,1290.0,1310.0,1275.0,1300.0,402720
2020-02-10,1300.0,1310.0,1275.0,1300.0,254184
2020-02-11,1300.0,1310.0,1290.0,1310.0,254136
2020-02-12,1320.0,1435.0,1310.0,1350.0,5549041
2020-02-13,1365.0,1415.0,1360.0,1385.0,1459446
2020-02-14,1365.0,1425.0,1355.0,1410.0,1113274
2020-02-17,1430.0,1445.0,1380.0,1430.0,1509974
2020-02-18,1420.0,1455.0,1395.0,1435.0,1189513
2020-02-19,1430.0,1465.0,1400.0,1435.0,837775
2020-02-20,1420.0,1455.0,1405.0,1410.0,457531
2020-02-21,1375.0,1435.0,1375.0,1385.0,431666
2020-02-24,1340.0,1405.0,1325.0,1365.0,552122
2020-02-25,1335.0,1450.0,1335.0,1420.0,865782
2020-02-26,1400.0,1445.0,1365.0,1420.0,535316
2020-02-27,1405.0,1415.0,1355.0,1380.0,1071366
2020-02-28,1485.0,1495.0,1345.0,1345.0,5591496
2020-03-02,1305.0,1335.0,1275.0,1300.0,961526
2020-03-03,1340.0,1370.0,1310.0,1360.0,534848
2020-03-04,1335.0,1420.0,1335.0,1400.0,785532
2020-03-05,1405.0,1445.0,1385.0,1445.0,1020198
2020-03-06,1420.0,1430.0,1360.0,1370.0,660846
2020-03-09,1360.0,1370.0,1210.0,1220.0,1710230
2020-03-10,1225.0,1255.0,1150.0,1255.0,533547
2020-03-11,1270.0,1270.0,1170.0,1190.0,466345
2020-03-12,1185.0,1185.0,1015.0,1050.0,1240454
2020-03-13,915.0,978.0,867.0,921.0,1290003
2020-03-16,900.0,965.0,870.0,877.0,866286
2020-03-17,756.0,900.0,756.0,877.0,615568
2020-03-18,880.0,920.0,800.0,800.0,464359
2020-03-19,795.0,820.0,615.0,653.0,1187780
2020-03-20,645.0,705.0,645.0,682.0,601531
2020-03-23,615.0,626.0,577.0,586.0,607362
2020-03-24,593.0,632.0,593.0,622.0,440733
2020-03-25,657.0,805.0,656.0,785.0,1146307
2020-03-26,795.0,841.0,731.0,791.0,799311
2020-03-27,811.0,838.0,771.0,809.0,681348
2020-03-30,795.0,850.0,756.0,844.0,337756
2020-03-31,848.0,906.0,844.0,870.0,729084
2020-04-01,870.0,914.0,863.0,872.0,450988
2020-04-02,851.0,922.0,851.0,900.0,345247
2020-04-03,965.0,965.0,897.0,915.0,332685
2020-04-06,920.0,955.0,915.0,934.0,389800
2020-04-07,944.0,980.0,944.0,980.0,401721
2020-04-08,980.0,982.0,940.0,973.0,392866
2020-04-09,1010.0,1030.0,986.0,1015.0,417613
2020-04-10,1040.0,1040.0,961.0,995.0,419492
2020-04-13,998.0,1010.0,963.0,963.0,368703
2020-04-14,966.0,1015.0,966.0,1010.0,377290
2020-04-16,1100.0,1120.0,1010.0,1080.0,1505877
2020-04-17,1220.0,1385.0,1160.0,1160.0,20142576
2020-04-20,1160.0,1255.0,1135.0,1220.0,2550820
2020-04-21,1200.0,1210.0,1115.0,1145.0,1139021
2020-04-22,1115.0,1150.0,1105.0,1145.0,501695
2020-04-23,1150.0,1200.0,1140.0,1175.0,612245
2020-04-24,1150.0,1160.0,1110.0,1130.0,715929
2020-04-27,1135.0,1155.0,1125.0,1145.0,341308
2020-04-28,1145.0,1190.0,1125.0,1155.0,687114
2020-04-29,1170.0,1240.0,1140.0,1180.0,2565332
2020-05-04,1155.0,1185.0,1135.0,1155.0,475225
2020-05-06,1170.0,1240.0,1170.0,1215.0,1018625
2020-05-07,1215.0,1245.0,1210.0,1225.0,798856
2020-05-08,1215.0,1335.0,1170.0,1225.0,4982921
2020-05-11,1230.0,1300.0,1190.0,1230.0,1782443
2020-05-12,1235.0,1280.0,1210.0,1255.0,1793274
2020-05-13,1235.0,1280.0,1215.0,1260.0,1307711
2020-05-14,1270.0,1285.0,1230.0,1245.0,764710
2020-05-15,1270.0,1275.0,1230.0,1260.0,735482
2020-05-18,1265.0,1275.0,1240.0,1260.0,924185
2020-05-19,1275.0,1285.0,1245.0,1270.0,1007707
2020-05-20,1280.0,1330.0,1265.0,1310.0,3406359
2020-05-21,1600.0,1610.0,1375.0,1395.0,17737222
2020-05-22,1395.0,1405.0,1325.0,1355.0,2485865
2020-05-25,1365.0,1400.0,1360.0,1380.0,1520972
2020-05-26,1375.0,1420.0,1355.0,1420.0,1436612
2020-05-27,1455.0,1645.0,1430.0,1500.0,19102840
2020-05-28,1490.0,1495.0,1405.0,1425.0,2293440
2020-05-29,1390.0,1525.0,1380.0,1525.0,3002967
2020-06-01,1530.0,1690.0,1500.0,1660.0,14531816
2020-06-02,1625.0,1640.0,1570.0,1605.0,3916815
2020-06-03,1615.0,1625.0,1515.0,1540.0,1932374
2020-06-04,1530.0,1555.0,1495.0,1555.0,989377
2020-06-05,1550.0,1570.0,1515.0,1550.0,644405
2020-06-08,1570.0,1580.0,1540.0,1550.0,783151
2020-06-09,1550.0,1580.0,1490.0,1565.0,1307682
2020-06-10,1555.0,1565.0,1500.0,1520.0,535568
2020-06-11,1505.0,1540.0,1455.0,1475.0,639470
2020-06-12,1390.0,1430.0,1305.0,1405.0,1047303
2020-06-15,1390.0,1430.0,1240.0,1250.0,1361917
2020-06-16,1280.0,1355.0,1280.0,1350.0,915060
2020-06-17,1315.0,1330.0,1260.0,1290.0,495942
2020-06-18,1290.0,1340.0,1275.0,1335.0,578961
2020-06-19,1345.0,1360.0,1300.0,1340.0,408210
2020-06-22,1325.0,1370.0,1320.0,1360.0,662952
2020-06-23,1370.0,1380.0,1310.0,1325.0,567144
2020-06-24,1325.0,1345.0,1315.0,1330.0,396505
2020-06-25,1310.0,1325.0,1260.0,1280.0,569299
2020-06-26,1295.0,1420.0,1285.0,1380.0,3272841
2020-06-29,1335.0,1355.0,1315.0,1315.0,752214
2020-06-30,1320.0,1340.0,1300.0,1335.0,471723
2020-07-01,1350.0,1355.0,1290.0,1295.0,436627
2020-07-02,1300.0,1320.0,1285.0,1315.0,430252
2020-07-03,1315.0,1330.0,1295.0,1320.0,342940
2020-07-06,1325.0,1435.0,1305.0,1385.0,2824012
2020-07-07,1385.0,1390.0,1335.0,1345.0,838960
2020-07-08,1350.0,1420.0,1335.0,1400.0,1476541
2020-07-09,1415.0,1495.0,1400.0,1480.0,5821474
2020-07-10,1460.0,1480.0,1415.0,1455.0,1317810
2020-07-13,1455.0,1535.0,1420.0,1530.0,3780174
2020-07-14,1500.0,1510.0,1365.0,1405.0,2448786
2020-07-15,1435.0,1440.0,1380.0,1405.0,989997
2020-07-16,1405.0,1525.0,1385.0,1410.0,3137150
2020-07-17,1410.0,1435.0,1395.0,1410.0,624655
2020-07-20,1425.0,1425.0,1385.0,1395.0,609606
2020-07-21,1415.0,1485.0,1400.0,1485.0,2492590
2020-07-22,1475.0,1490.0,1445.0,1490.0,2309782
2020-07-23,1505.0,1550.0,1430.0,1440.0,3604998
2020-07-24,1430.0,1435.0,1390.0,1415.0,1205354
2020-07-27,1425.0,1470.0,1420.0,1435.0,1378542
2020-07-28,1455.0,1455.0,1410.0,1415.0,592510
2020-07-29,1415.0,1425.0,1390.0,1410.0,625111
2020-07-30,1405.0,1415.0,1365.0,1365.0,1278658
2020-07-31,1380.0,1390.0,1355.0,1360.0,500232
2020-08-03,1355.0,1365.0,1315.0,1335.0,655102
2020-08-04,1335.0,1355.0,1325.0,1350.0,418232
2020-08-05,1360.0,1365.0,1320.0,1335.0,352773
2020-08-06,1340.0,1370.0,1315.0,1340.0,654066
2020-08-07,1330.0,1360.0,1320.0,1340.0,505721
2020-08-10,1335.0,1355.0,1310.0,1355.0,521873
2020-08-11,1355.0,1370.0,1330.0,1360.0,484928
2020-08-12,1360.0,1365.0,1325.0,1335.0,505475
2020-08-13,1340.0,1385.0,1340.0,1355.0,668831
2020-08-14,1345.0,1360.0,1310.0,1315.0,478521
2020-08-18,1315.0,1315.0,1210.0,1220.0,854556
2020-08-19,1220.0,1255.0,1220.0,1240.0,275337
2020-08-20,1240.0,1240.0,1140.0,1155.0,673815
2020-08-21,1160.0,1210.0,1125.0,1180.0,376802
2020-08-24,1185.0,1190.0,1130.0,1190.0,270625
2020-08-25,1185.0,1250.0,1185.0,1250.0,204546
2020-08-26,1270.0,1270.0,1210.0,1250.0,258181
2020-08-27,1240.0,1245.0,1200.0,1210.0,320097
2020-08-28,1210.0,1245.0,1205.0,1210.0,425981
2020-08-31,1220.0,1250.0,1210.0,1245.0,281291
2020-09-01,1245.0,1255.0,1225.0,1225.0,339733
2020-09-02,1240.0,1340.0,1235.0,1270.0,1617245
2020-09-03,1275.0,1315.0,1265.0,1300.0,825457
2020-09-04,1250.0,1500.0,1235.0,1395.0,21700797
2020-09-07,1395.0,1560.0,1350.0,1435.0,13820426
2020-09-08,1470.0,1470.0,1370.0,1430.0,2402231
2020-09-09,1400.0,1630.0,1395.0,1540.0,9081258
2020-09-10,1515.0,1650.0,1475.0,1545.0,10744898
2020-09-11,1520.0,1575.0,1475.0,1485.0,2341976
2020-09-14,1505.0,1540.0,1485.0,1495.0,1682642
2020-09-15,1500.0,1535.0,1480.0,1515.0,1370020
2020-09-16,1535.0,1965.0,1510.0,1965.0,93067245
2020-09-17,2040.0,2210.0,1875.0,1875.0,89882987
2020-09-18,1870.0,1915.0,1775.0,1860.0,11056563
2020-09-21,1905.0,2235.0,1830.0,1860.0,90755258
2020-09-22,1820.0,1820.0,1665.0,1720.0,7428596
2020-09-23,1730.0,1945.0,1715.0,1780.0,23089672
2020-09-24,1700.0,1740.0,1590.0,1600.0,5127451
2020-09-25,1620.0,1640.0,1540.0,1545.0,3604133
2020-09-28,1560.0,1630.0,1560.0,1610.0,2242736
2020-09-29,1615.0,1675.0,1565.0,1590.0,3716841
2020-10-05,1610.0,1810.0,1595.0,1735.0,14834166
2020-10-06,1700.0,1830.0,1670.0,1750.0,5881581
2020-10-07,1735.0,1795.0,1720.0,1755.0,2963771
2020-10-08,1785.0,1870.0,1700.0,1860.0,7438030
2020-10-12,1850.0,1880.0,1790.0,1825.0,4208338
2020-10-13,1840.0,1935.0,1760.0,1835.0,7943452
2020-10-14,1875.0,2200.0,1835.0,2150.0,63145556
2020-10-15,2415.0,2495.0,1965.0,2100.0,39264780
2020-10-16,2175.0,2195.0,1940.0,1950.0,9216326
2020-10-19,1915.0,1960.0,1815.0,1830.0,4351400
2020-10-20,1795.0,1865.0,1715.0,1765.0,3739471
2020-10-21,1765.0,1835.0,1750.0,1775.0,3074196
2020-10-22,1775.0,1775.0,1670.0,1670.0,2070978
2020-10-23,1725.0,1750.0,1680.0,1695.0,2388983
2020-10-26,1695.0,2180.0,1615.0,1910.0,52369093
2020-10-27,1870.0,2480.0,1830.0,2480.0,89600927
2020-10-28,2595.0,2670.0,2340.0,2480.0,95585945
2020-10-29,2635.0,2745.0,2350.0,2505.0,60587805
2020-10-30,2410.0,2430.0,2165.0,2165.0,12922487
2020-11-02,2170.0,2230.0,2140.0,2180.0,9618035
2020-11-03,2260.0,2310.0,2080.0,2140.0,16988173
2020-11-04,2195.0,2295.0,1980.0,2000.0,16081286
2020-11-05,2205.0,2260.0,2105.0,2130.0,9239014
2020-11-06,2145.0,2270.0,2130.0,2210.0,10505934
2020-11-09,2280.0,2600.0,2240.0,2550.0,58872566
2020-11-10,2550.0,2640.0,2310.0,2360.0,16394901
2020-11-11,2325.0,2340.0,2235.0,2260.0,5537448
2020-11-12,2280.0,2335.0,2215.0,2275.0,4924380
2020-11-13,2205.0,2240.0,2100.0,2200.0,3791820
2020-11-16,2200.0,2280.0,2160.0,2225.0,2827895
2020-11-17,2215.0,2215.0,2135.0,2155.0,2237829
2020-11-18,2235.0,2395.0,2230.0,2280.0,22220245
2020-11-19,2280.0,2295.0,2200.0,2215.0,3263267
2020-11-20,2220.0,2230.0,2185.0,2190.0,1937422
2020-11-23,2180.0,2180.0,2130.0,2165.0,1653196
2020-11-24,2185.0,2255.0,2175.0,2230.0,3866379
2020-11-25,2250.0,2250.0,2115.0,2155.0,1812112
2020-11-26,2155.0,2220.0,2100.0,2210.0,2442286
2020-11-27,2215.0,2255.0,2190.0,2195.0,1970434
2020-11-30,2200.0,2210.0,2130.0,2135.0,1449804
2020-12-01,2145.0,2155.0,2110.0,2125.0,897215
2020-12-02,2135.0,2160.0,2110.0,2140.0,1045541
2020-12-03,2130.0,2140.0,2040.0,2070.0,1504524
2020-12-04,2080.0,2080.0,2005.0,2010.0,1211919
2020-12-07,2020.0,2045.0,1975.0,2010.0,1026861
2020-12-08,1990.0,2030.0,1980.0,1990.0,872713
2020-12-09,2010.0,2080.0,1995.0,2020.0,1579741
2020-12-10,2010.0,2080.0,1960.0,2040.0,1262962
2020-12-11,2050.0,2075.0,2025.0,2040.0,1092512
2020-12-14,2020.0,2030.0,1985.0,2000.0,663988
2020-12-15,2025.0,2025.0,1980.0,1995.0,585201
2020-12-16,2020.0,2035.0,1990.0,2020.0,635769
2020-12-17,2025.0,2025.0,1980.0,1985.0,550852
2020-12-18,1985.0,2000.0,1970.0,1980.0,573570
2020-12-21,1970.0,1980.0,1915.0,1930.0,774793
2020-12-22,1920.0,1935.0,1830.0,1845.0,1052765
2020-12-23,1850.0,2385.0,1810.0,2260.0,53256353
2020-12-24,2255.0,2260.0,1960.0,1980.0,10010375
2020-12-28,1975.0,2170.0,1890.0,2040.0,11047130
2020-12-29,1990.0,2115.0,1990.0,2040.0,4887292
2020-12-30,2030.0,2215.0,2030.0,2160.0,9830084
2021-01-04,2170.0,2485.0,2135.0,2365.0,28925504
2021-01-05,2365.0,2415.0,2280.0,2325.0,7477846
2021-01-06,2350.0,2360.0,2230.0,2290.0,4352782
2021-01-07,2370.0,2975.0,2340.0,2975.0,105548711
2021-01-08,3045.0,3250.0,2895.0,2970.0,70076576
2021-01-11,2930.0,2970.0,2710.0,2820.0,10528078
2021-01-12,2745.0,3210.0,2705.0,2890.0,52952389
2021-01-13,2850.0,2870.0,2685.0,2705.0,6308152
2021-01-14,2700.0,2865.0,2660.0,2720.0,5598493
2021-01-15,2705.0,2800.0,2690.0,2775.0,3213882
2021-01-18,2830.0,3040.0,2750.0,2825.0,17340128
2021-01-19,2825.0,3225.0,2810.0,2960.0,30237779
2021-01-20,2920.0,3020.0,2840.0,3010.0,7626002
2021-01-21,2985.0,2990.0,2815.0,2815.0,4602670
2021-01-22,2815.0,2865.0,2740.0,2800.0,2771081
2021-01-25,2800.0,2940.0,2750.0,2800.0,5492120
2021-01-26,2815.0,2850.0,2765.0,2775.0,1733247
2021-01-27,2775.0,2785.0,2590.0,2590.0,2457921
2021-01-28,2540.0,2560.0,2400.0,2470.0,2063298
2021-01-29,2490.0,2515.0,2275.0,2335.0,1858513
2021-02-01,2290.0,2410.0,2240.0,2380.0,1345220
2021-02-02,2385.0,2465.0,2370.0,2425.0,1291655
2021-02-03,2440.0,2595.0,2440.0,2520.0,2722379
2021-02-04,2520.0,2550.0,2435.0,2480.0,946041
2021-02-05,2520.0,2535.0,2405.0,2455.0,1237414
2021-02-08,2415.0,2530.0,2375.0,2390.0,1553138
2021-02-09,2390.0,2580.0,2330.0,2390.0,2048333
2021-02-10,2415.0,2420.0,2345.0,2385.0,581269
2021-02-15,2410.0,2680.0,2350.0,2530.0,7458909
2021-02-16,2515.0,2645.0,2470.0,2550.0,2404639
2021-02-17,2555.0,2635.0,2505.0,2585.0,2236100
2021-02-18,2590.0,2670.0,2545.0,2610.0,2447309
2021-02-19,2610.0,2610.0,2485.0,2515.0,1104665
2021-02-22,2520.0,2950.0,2515.0,2655.0,18425997
2021-02-23,2645.0,2845.0,2560.0,2560.0,7333401
2021-02-24,2565.0,2600.0,2335.0,2335.0,2302963
2021-02-25,2390.0,2420.0,2320.0,2360.0,1100415
2021-02-26,2265.0,2305.0,2220.0,2270.0,1119259
2021-03-02,2300.0,2640.0,2280.0,2450.0,9086749
2021-03-03,2500.0,2735.0,2495.0,2575.0,11901479
2021-03-04,2570.0,2700.0,2480.0,2645.0,3917082
2021-03-05,2595.0,2630.0,2515.0,2515.0,1809120
2021-03-08,2525.0,2755.0,2525.0,2640.0,7318546
2021-03-09,2635.0,2635.0,2450.0,2525.0,1853779
2021-03-10,2560.0,2640.0,2425.0,2430.0,1802549
2021-03-11,2420.0,2500.0,2420.0,2435.0,890753
2021-03-12,2500.0,2945.0,2500.0,2770.0,68535626
2021-03-15,2740.0,2820.0,2685.0,2750.0,11502604
2021-03-16,2845.0,3110.0,2805.0,2890.0,45280657
2021-03-17,2860.0,2930.0,2725.0,2725.0,8163693
2021-03-18,2725.0,2815.0,2700.0,2740.0,5393046
2021-03-19,2645.0,2720.0,2640.0,2700.0,2091660
2021-03-22,2690.0,2720.0,2650.0,2655.0,1342116
2021-03-23,2665.0,2760.0,2665.0,2725.0,3159184
2021-03-24,2700.0,2900.0,2620.0,2770.0,10411789
2021-03-25,2745.0,2765.0,2680.0,2690.0,1675007
2021-03-26,2690.0,2770.0,2660.0,2735.0,2614785
2021-03-29,2750.0,2815.0,2710.0,2780.0,2505106
2021-03-30,2990.0,3065.0,2780.0,2785.0,24167870
2021-03-31,2815.0,2890.0,2755.0,2755.0,4258250
2021-04-01,2780.0,2925.0,2745.0,2860.0,11463060
2021-04-02,2885.0,2905.0,2825.0,2840.0,3713619
2021-04-05,2880.0,2985.0,2825.0,2950.0,6862134
2021-04-06,2960.0,2965.0,2810.0,2940.0,6151096
2021-04-07,3050.0,3235.0,2910.0,2915.0,29310711
2021-04-08,2900.0,2900.0,2820.0,2830.0,3876150
2021-04-09,2830.0,2870.0,2800.0,2800.0,2166708
2021-04-12,2805.0,2865.0,2800.0,2820.0,2090034
2021-04-13,2820.0,2875.0,2805.0,2835.0,1947524
2021-04-14,2900.0,2970.0,2845.0,2865.0,6094259
2021-04-15,2905.0,3150.0,2890.0,3060.0,34970910
2021-04-16,3030.0,3050.0,2915.0,2935.0,5430352
2021-04-19,2955.0,3130.0,2910.0,3115.0,11046750
2021-04-20,3110.0,3110.0,3000.0,3055.0,5317001
2021-04-21,3130.0,3540.0,3105.0,3170.0,66866520
2021-04-22,3120.0,3380.0,3115.0,3295.0,28827289
2021-04-23,3240.0,3275.0,2960.0,3050.0,7176978
2021-04-26,3040.0,3085.0,2965.0,3025.0,3310975
2021-04-27,3030.0,3085.0,2970.0,2985.0,2692453
2021-04-28,2980.0,2985.0,2790.0,2810.0,3346535
2021-04-29,2850.0,2850.0,2735.0,2805.0,1659584
2021-04-30,2810.0,2875.0,2760.0,2805.0,1701470
2021-05-03,2785.0,2835.0,2755.0,2770.0,884845
2021-05-04,2775.0,2800.0,2625.0,2700.0,1331057
2021-05-06,2700.0,2785.0,2685.0,2760.0,828924
2021-05-07,2800.0,2830.0,2775.0,2810.0,1271124
2021-05-10,2845.0,2865.0,2805.0,2815.0,1026508
2021-05-11,2780.0,2835.0,2780.0,2795.0,695499
2021-05-12,2785.0,2820.0,2730.0,2745.0,999934
2021-05-13,2655.0,2740.0,2650.0,2670.0,843713
2021-05-14,2695.0,2735.0,2685.0,2690.0,669701
2021-05-17,2710.0,2750.0,2675.0,2680.0,612262
2021-05-18,2650.0,2690.0,2645.0,2655.0,673846
2021-05-20,2645.0,2665.0,2605.0,2605.0,537371
2021-05-21,2615.0,2650.0,2590.0,2595.0,614062
2021-05-24,2590.0,2630.0,2560.0,2585.0,453213
2021-05-25,2550.0,2605.0,2550.0,2585.0,725035
2021-05-26,2705.0,2710.0,2610.0,2635.0,1430718
2021-05-27,2635.0,2665.0,2600.0,2620.0,633150
2021-05-28,2620.0,2860.0,2620.0,2765.0,5151969
2021-05-31,2765.0,2810.0,2735.0,2770.0,979813
