date,open,high,low,close,volume
2020-01-02,2980.0,3040.0,2955.0,2960.0,234748
2020-01-03,2960.0,3020.0,2935.0,3000.0,268180
2020-01-06,2955.0,3000.0,2860.0,2905.0,219074
2020-01-07,2915.0,2990.0,2815.0,2820.0,182682
2020-01-08,2875.0,2875.0,2615.0,2730.0,280354
2020-01-09,2765.0,2820.0,2740.0,2790.0,165486
2020-01-10,2880.0,3095.0,2820.0,3035.0,472286
2020-01-13,3055.0,3110.0,3000.0,3075.0,276962
2020-01-14,3075.0,3095.0,2990.0,3060.0,213322
2020-01-15,3020.0,3060.0,2935.0,2960.0,191310
2020-01-16,2950.0,2965.0,2725.0,2965.0,228300
2020-01-17,3045.0,3045.0,2945.0,3000.0,106268
2020-01-20,3060.0,3060.0,2950.0,3020.0,161202
2020-01-21,3020.0,3065.0,2960.0,2970.0,106266
2020-01-22,2970.0,3000.0,2900.0,2995.0,127574
2020-01-23,2995.0,2995.0,2925.0,2945.0,97336
2020-01-28,2900.0,3100.0,2810.0,2825.0,521236
2020-01-29,2825.0,2875.0,2765.0,2790.0,139956
2020-01-30,2790.0,2855.0,2725.0,2820.0,131984
2020-01-31,3020.0,3125.0,2795.0,2820.0,608512
2020-02-03,2820.0,2925.0,2565.0,2725.0,232192
2020-02-04,2700.0,2860.0,2700.0,2795.0,140900
2020-02-05,2765.0,2810.0,2765.0,2795.0,57334
2020-02-06,2785.0,2810.0,2715.0,2770.0,75336
2020-02-07,2785.0,2790.0,2690.0,2760.0,75834
2020-02-10,2750.0,2775.0,2660.0,2670.0,76978
2020-02-11,2715.0,2715.0,2595.0,2665.0,211628
2020-02-12,2665.0,2750.0,2630.0,2745.0,266634
2020-02-13,2760.0,2810.0,2680.0,2795.0,130854
2020-02-14,2795.0,2795.0,2710.0,2750.0,105976
2020-02-17,2750.0,2800.0,2655.0,2695.0,76240
2020-02-18,2695.0,2695.0,2505.0,2575.0,206314
2020-02-19,2575.0,2585.0,2450.0,2525.0,118014
2020-02-20,2525.0,2535.0,2400.0,2500.0,128104
2020-02-21,2450.0,2525.0,2355.0,2465.0,135712
2020-02-24,2407.0,2407.0,2165.0,2193.0,336534
2020-02-25,2192.0,2400.0,2160.0,2400.0,275002
2020-02-26,2410.0,2450.0,2237.0,2283.0,247700
2020-02-27,2282.0,2307.0,2080.0,2113.0,344962
2020-02-28,2010.0,2075.0,1960.0,2075.0,339098
2020-03-02,1977.0,2087.0,1977.0,2058.0,227020
2020-03-03,2057.0,2140.0,2057.0,2115.0,174098
2020-03-04,2322.0,2322.0,2092.0,2135.0,363614
2020-03-05,2132.0,2222.0,2130.0,2215.0,104024
2020-03-06,2215.0,2227.0,2175.0,2210.0,108710
2020-03-09,2215.0,2397.0,2107.0,2163.0,571898
2020-03-10,2160.0,2160.0,1955.0,2095.0,148968
2020-03-11,2107.0,2160.0,1905.0,1945.0,175714
2020-03-12,1945.0,2010.0,1700.0,1985.0,424558
2020-03-13,1680.0,1995.0,1680.0,1993.0,319708
2020-03-16,2025.0,2025.0,1710.0,1710.0,287534
2020-03-17,1550.0,1695.0,1497.0,1640.0,502658
2020-03-18,1650.0,1657.0,1450.0,1488.0,167206
2020-03-19,1402.0,1480.0,1225.0,1330.0,635680
2020-03-20,1335.0,1442.0,1335.0,1408.0,223540
2020-03-23,1277.0,1382.0,1200.0,1200.0,257762
2020-03-24,1190.0,1275.0,1190.0,1275.0,238764
2020-03-25,1287.0,1390.0,1250.0,1288.0,304568
2020-03-26,1305.0,1427.0,1297.0,1358.0,423128
2020-03-27,1392.0,1497.0,1390.0,1458.0,231910
2020-03-30,1430.0,1790.0,1430.0,1790.0,639676
2020-03-31,1797.0,1950.0,1777.0,1803.0,373426
2020-04-01,1802.0,1802.0,1640.0,1685.0,302148
2020-04-02,1680.0,1680.0,1575.0,1640.0,215350
2020-04-03,1675.0,1925.0,1675.0,1740.0,443048
2020-04-06,1810.0,2175.0,1760.0,2058.0,996154
2020-04-07,2112.0,2220.0,2057.0,2100.0,446130
2020-04-08,2100.0,2220.0,2090.0,2135.0,475204
2020-04-09,2227.0,2297.0,2105.0,2155.0,253730
2020-04-10,2167.0,2182.0,1980.0,2110.0,220174
2020-04-13,2105.0,2240.0,2022.0,2163.0,402984
2020-04-14,2167.0,2800.0,2107.0,2625.0,2579702
2020-04-16,2510.0,2620.0,2340.0,2600.0,795204
2020-04-17,2600.0,2610.0,2427.0,2550.0,423378
2020-04-20,2500.0,2580.0,2497.0,2545.0,335648
2020-04-21,2540.0,2540.0,2287.0,2360.0,469204
2020-04-22,2342.0,2387.0,2300.0,2385.0,253794
2020-04-23,2387.0,2430.0,2312.0,2335.0,151194
2020-04-24,2335.0,2335.0,2222.0,2265.0,227536
2020-04-27,2260.0,2265.0,2170.0,2225.0,167582
2020-04-28,2265.0,2265.0,2150.0,2175.0,130846
2020-04-29,2177.0,2497.0,2177.0,2438.0,966924
2020-05-04,2397.0,2535.0,2312.0,2500.0,219928
2020-05-06,2500.0,2645.0,2475.0,2590.0,704692
2020-05-07,2660.0,2725.0,2330.0,2330.0,976054
2020-05-08,2362.0,2645.0,2362.0,2585.0,892222
2020-05-11,2580.0,2580.0,2437.0,2445.0,426516
2020-05-12,2445.0,2540.0,2380.0,2500.0,190134
2020-05-13,2515.0,2550.0,2427.0,2510.0,137246
2020-05-14,2450.0,2520.0,2380.0,2463.0,288300
2020-05-15,2487.0,2540.0,2300.0,2498.0,387286
2020-05-18,2500.0,2530.0,2415.0,2468.0,159424
2020-05-19,2467.0,2492.0,2340.0,2355.0,340692
2020-05-20,2352.0,2410.0,2290.0,2393.0,252032
2020-05-21,2400.0,2535.0,2327.0,2530.0,537508
2020-05-22,2695.0,2910.0,2635.0,2910.0,4885054
2020-05-25,2875.0,2955.0,2760.0,2885.0,1649956
2020-05-26,2910.0,3025.0,2820.0,2965.0,1470638
2020-05-27,2950.0,3000.0,2835.0,2860.0,785944
2020-05-28,2820.0,2845.0,2560.0,2640.0,1751464
2020-05-29,2675.0,2705.0,2485.0,2510.0,747284
2020-06-01,2510.0,2600.0,2470.0,2530.0,377382
2020-06-02,2500.0,2535.0,2425.0,2525.0,568282
2020-06-03,2550.0,2555.0,1972.0,2025.0,1513516
2020-06-04,2097.0,2250.0,2055.0,2093.0,1333410
2020-06-05,2100.0,2310.0,2100.0,2218.0,798916
2020-06-08,2262.0,2350.0,2187.0,2240.0,696544
2020-06-09,2252.0,2280.0,2200.0,2205.0,309694
2020-06-10,2205.0,2205.0,2077.0,2100.0,392828
2020-06-11,2100.0,2120.0,2005.0,2088.0,179574
2020-06-12,2000.0,2087.0,1955.0,2063.0,184314
2020-06-15,2007.0,2060.0,1755.0,1810.0,615548
2020-06-16,1812.0,1902.0,1807.0,1825.0,254596
2020-06-17,1825.0,1967.0,1767.0,1895.0,428356
2020-06-18,1865.0,2047.0,1795.0,1848.0,511604
2020-06-19,1847.0,1850.0,1807.0,1825.0,105298
2020-06-22,1825.0,1842.0,1780.0,1790.0,134112
2020-06-23,1770.0,1862.0,1767.0,1820.0,156396
2020-06-24,1830.0,1880.0,1797.0,1845.0,211844
2020-06-25,1842.0,1842.0,1727.0,1745.0,129856
2020-06-26,1745.0,1800.0,1642.0,1655.0,251946
2020-06-29,1612.0,1650.0,1505.0,1635.0,259412
2020-06-30,1610.0,1765.0,1610.0,1720.0,272728
2020-07-01,1720.0,1845.0,1720.0,1773.0,184862
2020-07-02,1772.0,1827.0,1712.0,1793.0,152242
2020-07-03,1810.0,1812.0,1777.0,1785.0,68226
2020-07-06,1832.0,1832.0,1735.0,1743.0,116522
2020-07-07,1745.0,1770.0,1660.0,1708.0,118712
2020-07-08,1717.0,1717.0,1652.0,1675.0,106204
2020-07-09,1675.0,1745.0,1652.0,1685.0,80060
2020-07-10,1702.0,1702.0,1600.0,1645.0,88506
2020-07-13,1645.0,1665.0,1600.0,1645.0,67852
2020-07-14,1645.0,1787.0,1595.0,1710.0,242786
2020-07-15,1710.0,1747.0,1710.0,1720.0,96328
2020-07-16,1717.0,1717.0,1665.0,1675.0,66566
2020-07-17,1677.0,1705.0,1650.0,1650.0,73632
2020-07-20,1667.0,1832.0,1667.0,1780.0,357640
2020-07-21,1832.0,1832.0,1732.0,1745.0,179054
2020-07-22,1790.0,1790.0,1707.0,1745.0,102878
2020-07-23,1762.0,1762.0,1717.0,1725.0,90024
2020-07-24,1742.0,1742.0,1652.0,1683.0,184460
2020-07-27,1682.0,1690.0,1625.0,1635.0,169370
2020-07-28,1635.0,1685.0,1592.0,1685.0,171958
2020-07-29,1702.0,1702.0,1640.0,1660.0,79006
2020-07-30,1700.0,1795.0,1650.0,1700.0,273752
2020-07-31,1710.0,1725.0,1607.0,1670.0,123936
2020-08-03,1670.0,1670.0,1622.0,1643.0,95366
2020-08-04,1642.0,1665.0,1625.0,1643.0,67060
2020-08-05,1627.0,1680.0,1627.0,1655.0,108536
2020-08-06,1655.0,1672.0,1640.0,1665.0,94560
2020-08-07,1690.0,1740.0,1655.0,1703.0,155550
2020-08-10,1705.0,1837.0,1657.0,1800.0,365068
2020-08-11,1800.0,1845.0,1677.0,1753.0,318802
2020-08-12,1770.0,1772.0,1695.0,1715.0,110438
2020-08-13,1717.0,1945.0,1717.0,1835.0,815328
2020-08-14,1837.0,1837.0,1725.0,1785.0,357186
2020-08-18,1785.0,1787.0,1647.0,1650.0,295730
2020-08-19,1692.0,1727.0,1662.0,1708.0,97464
2020-08-20,1682.0,1690.0,1575.0,1623.0,203438
2020-08-21,1622.0,1647.0,1585.0,1623.0,160784
2020-08-24,1615.0,1637.0,1520.0,1628.0,97480
2020-08-25,1635.0,1645.0,1600.0,1630.0,147256
2020-08-26,1645.0,1665.0,1575.0,1600.0,225826
2020-08-27,1592.0,1750.0,1535.0,1605.0,577942
2020-08-28,1605.0,1645.0,1587.0,1605.0,221136
2020-08-31,1605.0,1647.0,1597.0,1625.0,194468
2020-09-01,1625.0,1707.0,1610.0,1700.0,178632
