date,open,high,low,close,volume
2020-01-02,2155.0,2155.0,2085.0,2130.0,113841
2020-01-03,2140.0,2350.0,2115.0,2245.0,939728
2020-01-06,2255.0,2315.0,2155.0,2195.0,290842
2020-01-07,2200.0,2250.0,2110.0,2140.0,174199
2020-01-08,2125.0,2145.0,2005.0,2005.0,196535
2020-01-09,2145.0,2190.0,2050.0,2080.0,231311
2020-01-10,2090.0,2130.0,2055.0,2130.0,88289
2020-01-13,2130.0,2180.0,2075.0,2110.0,139678
2020-01-14,2140.0,2140.0,2095.0,2115.0,41876
2020-01-15,2115.0,2215.0,2110.0,2180.0,174255
2020-01-16,2225.0,2540.0,2175.0,2240.0,1601242
2020-01-17,2240.0,2420.0,2185.0,2355.0,666224
2020-01-20,2545.0,3060.0,2530.0,3060.0,3580930
2020-01-21,3605.0,3875.0,3275.0,3600.0,11219385
2020-01-22,3800.0,4080.0,3430.0,3860.0,6840835
2020-01-23,3660.0,3785.0,3510.0,3605.0,3365089
2020-01-28,4310.0,4310.0,3910.0,3920.0,5002265
2020-01-29,3650.0,3725.0,3345.0,3500.0,1806736
2020-01-30,3435.0,3695.0,3050.0,3350.0,2832917
2020-01-31,3410.0,3500.0,2750.0,2895.0,1389251
2020-02-03,2840.0,2890.0,2300.0,2350.0,1303532
2020-02-04,2410.0,2970.0,2300.0,2615.0,3046494
2020-02-05,2665.0,2695.0,2460.0,2620.0,771160
2020-02-06,2650.0,2680.0,2475.0,2570.0,490413
2020-02-07,2600.0,3150.0,2600.0,2785.0,3867197
2020-02-10,2745.0,2745.0,2515.0,2600.0,586334
2020-02-11,2520.0,3100.0,2460.0,2955.0,3832797
2020-02-12,2855.0,2920.0,2690.0,2690.0,891247
2020-02-13,2705.0,2765.0,2570.0,2700.0,557740
2020-02-14,2725.0,2760.0,2570.0,2640.0,390447
2020-02-17,2650.0,2690.0,2545.0,2580.0,238297
2020-02-18,2580.0,2650.0,2480.0,2585.0,559795
2020-02-19,2595.0,2960.0,2560.0,2850.0,1852244
2020-02-20,2980.0,3675.0,2900.0,3320.0,7227422
2020-02-21,3550.0,3580.0,3005.0,3210.0,2099658
2020-02-24,3495.0,3555.0,3000.0,3090.0,1537646
2020-02-25,3035.0,3060.0,2700.0,2800.0,583354
2020-02-26,2835.0,2915.0,2635.0,2750.0,843534
2020-02-27,3120.0,3325.0,2810.0,2825.0,3542801
2020-02-28,2750.0,3000.0,2670.0,2820.0,789167
2020-03-02,2820.0,2920.0,2660.0,2810.0,406969
2020-03-03,2780.0,3350.0,2710.0,2910.0,3872688
2020-03-04,2905.0,3075.0,2835.0,3005.0,1295403
2020-03-05,2980.0,3090.0,2900.0,2920.0,966304
2020-03-06,3000.0,3230.0,2935.0,3125.0,3359932
2020-03-09,3155.0,3710.0,3110.0,3710.0,5764080
2020-03-10,3410.0,4820.0,3050.0,4820.0,21128545
2020-03-11,5660.0,5820.0,4880.0,5070.0,16262975
2020-03-12,5100.0,5230.0,4460.0,4740.0,3711551
2020-03-13,4190.0,4195.0,3420.0,3690.0,3015977
2020-03-16,3860.0,4295.0,3465.0,3935.0,4149767
2020-03-17,3665.0,4350.0,3605.0,4170.0,3321597
2020-03-18,4350.0,5200.0,4230.0,4520.0,8017050
2020-03-19,4635.0,4650.0,3960.0,4160.0,1882888
2020-03-20,4430.0,4570.0,4190.0,4255.0,1817591
2020-03-23,5450.0,5500.0,5000.0,5400.0,6308284
2020-03-24,5130.0,5770.0,4915.0,5320.0,3515591
2020-03-25,5800.0,6320.0,5340.0,6050.0,8751618
2020-03-26,7080.0,7850.0,6980.0,7790.0,6332568
2020-03-27,0.0,0.0,0.0,7790.0,0
2020-03-30,10000.0,10100.0,9300.0,10100.0,6698433
2020-03-31,0.0,0.0,0.0,10100.0,0
2020-04-01,11000.0,12300.0,8760.0,9580.0,7455881
2020-04-02,9000.0,9180.0,7090.0,7420.0,4533037
2020-04-03,7420.0,8160.0,6860.0,7440.0,3934933
2020-04-06,7960.0,7960.0,7420.0,7700.0,2851995
2020-04-07,8500.0,8540.0,7750.0,7980.0,5217292
2020-04-08,8000.0,8000.0,7210.0,7400.0,2456185
2020-04-09,7360.0,7470.0,7090.0,7160.0,1272802
2020-04-10,7250.0,7250.0,5960.0,6450.0,1865025
2020-04-13,6900.0,8350.0,6760.0,7430.0,10218576
2020-04-14,7670.0,7930.0,7150.0,7310.0,2502404
2020-04-16,7310.0,7380.0,6550.0,6910.0,1264625
2020-04-17,6910.0,6910.0,6290.0,6340.0,1178784
2020-04-20,6710.0,7630.0,6500.0,7450.0,2543079
2020-04-21,7450.0,7570.0,6480.0,7450.0,1690833
2020-04-22,7210.0,7700.0,7070.0,7370.0,902350
2020-04-23,7380.0,7600.0,7150.0,7550.0,677004
2020-04-24,7500.0,7800.0,7040.0,7450.0,717905
2020-04-27,7400.0,7650.0,7110.0,7430.0,488279
2020-04-28,7690.0,8100.0,7360.0,7650.0,2200729
2020-04-29,7800.0,8000.0,7520.0,7940.0,1438748
2020-05-04,8000.0,8920.0,7900.0,8630.0,2930775
2020-05-06,8660.0,8780.0,8150.0,8620.0,948412
2020-05-07,9010.0,10150.0,8980.0,9460.0,3748195
2020-05-08,9580.0,10450.0,9300.0,10300.0,1714913
2020-05-11,11200.0,13350.0,10650.0,13350.0,7336679
2020-05-12,12800.0,13450.0,11700.0,12250.0,3208832
2020-05-13,12650.0,12800.0,11450.0,12600.0,1376184
2020-05-14,12300.0,14150.0,11800.0,12600.0,2845603
2020-05-15,14450.0,14500.0,12600.0,12900.0,2392035
2020-05-18,12600.0,13050.0,11700.0,12400.0,1295395
2020-05-19,11450.0,12400.0,11400.0,12200.0,963231
2020-05-20,13000.0,13000.0,12300.0,12600.0,517762
2020-05-21,12700.0,12850.0,12450.0,12650.0,400071
2020-05-22,13000.0,14250.0,12950.0,13900.0,2033059
2020-05-25,13300.0,14200.0,13050.0,14100.0,868096
2020-05-26,14350.0,14350.0,13750.0,14300.0,494964
2020-05-27,14100.0,14500.0,13900.0,14500.0,368023
2020-05-28,14500.0,15850.0,14300.0,15350.0,838771
2020-05-29,15450.0,15650.0,14100.0,14850.0,728184
2020-06-01,14650.0,15400.0,14650.0,15350.0,435877
2020-06-02,15400.0,15600.0,15100.0,15100.0,366616
2020-06-03,14800.0,14950.0,13350.0,14150.0,893081
2020-06-04,14000.0,14800.0,13450.0,14200.0,564378
2020-06-05,15150.0,15750.0,14700.0,15250.0,1257951
2020-06-08,15900.0,18400.0,15500.0,16150.0,2588693
2020-06-09,15800.0,16400.0,15350.0,16350.0,800486
