date,open,high,low,close,volume
2020-01-02,123075.0,125550.0,122624.0,125100.0,26726
2020-01-03,127350.0,129824.0,123525.0,125550.0,37405
2020-01-06,126900.0,128250.0,120824.0,120825.0,36540
2020-01-07,120825.0,123075.0,120825.0,122850.0,13627
2020-01-08,121500.0,122624.0,112500.0,113625.0,48832
2020-01-09,117000.0,122175.0,117000.0,122175.0,27080
2020-01-10,121950.0,123975.0,120600.0,123750.0,18162
2020-01-13,123974.0,125550.0,122400.0,125550.0,22339
2020-01-14,126225.0,126675.0,122850.0,123300.0,31694
2020-01-15,132300.0,132525.0,124875.0,124875.0,84642
2020-01-16,125325.0,128024.0,125325.0,125550.0,29710
2020-01-17,126675.0,126900.0,124425.0,125775.0,20004
2020-01-20,126000.0,126225.0,121725.0,122400.0,20139
2020-01-21,121500.0,123749.0,119025.0,119475.0,18922
2020-01-22,118799.0,122175.0,118799.0,121950.0,10494
2020-01-23,121275.0,123975.0,120599.0,121500.0,11871
2020-01-28,116100.0,118574.0,114300.0,116550.0,27785
2020-01-29,117225.0,118350.0,115650.0,115650.0,17592
2020-01-30,115650.0,116775.0,110250.0,111150.0,29711
2020-01-31,110250.0,116775.0,106650.0,106875.0,29783
2020-02-03,104625.0,108450.0,100575.0,108000.0,24664
2020-02-04,108225.0,112050.0,107775.0,111150.0,15849
2020-02-05,112275.0,114300.0,110250.0,111375.0,13386
2020-02-06,111600.0,114525.0,111600.0,113850.0,12932
2020-02-07,113850.0,114525.0,112050.0,113175.0,10917
2020-02-10,113175.0,116325.0,111600.0,114975.0,11624
2020-02-11,114975.0,116550.0,114075.0,116550.0,9122
2020-02-12,115875.0,116775.0,114750.0,115200.0,11210
2020-02-13,115200.0,117450.0,113850.0,114525.0,15075
2020-02-14,114300.0,115425.0,112725.0,113625.0,13988
2020-02-17,114075.0,114975.0,112725.0,112950.0,13938
2020-02-18,111375.0,113625.0,110025.0,110250.0,14465
2020-02-19,110250.0,111600.0,106875.0,108000.0,14620
2020-02-20,107775.0,108900.0,104400.0,104625.0,18162
2020-02-21,101925.0,105750.0,101250.0,101925.0,15593
2020-02-24,97200.0,99000.0,91575.0,92475.0,39396
2020-02-25,90672.0,101025.0,90450.0,100575.0,54464
2020-02-26,99450.0,101025.0,96750.0,99000.0,17207
2020-02-27,98100.0,99675.0,92925.0,93150.0,16459
2020-02-28,92475.0,93600.0,87300.0,87750.0,26753
2020-03-02,86850.0,94050.0,86850.0,93150.0,18803
2020-03-03,93825.0,98325.0,93825.0,94725.0,12094
2020-03-04,93600.0,98325.0,93600.0,95625.0,17308
2020-03-05,97650.0,98325.0,95172.0,96075.0,11158
2020-03-06,94500.0,95850.0,92925.0,94500.0,9838
2020-03-09,92025.0,93150.0,85950.0,87075.0,30109
2020-03-10,85047.0,87975.0,83025.0,87075.0,25215
2020-03-11,87300.0,88200.0,81675.0,82125.0,19507
2020-03-12,80550.0,82125.0,73350.0,75600.0,38661
2020-03-13,63900.0,69525.0,58949.0,63000.0,70140
2020-03-16,65249.0,69300.0,60750.0,60975.0,48030
2020-03-17,55800.0,63000.0,54449.0,60975.0,37402
2020-03-18,60750.0,65250.0,53775.0,53775.0,37948
2020-03-19,54672.0,56700.0,41265.0,42165.0,85485
