date,open,high,low,close,volume
2020-01-02,27250.0,27700.0,26500.0,27500.0,224040
2020-01-03,27600.0,28800.0,26600.0,28400.0,563162
2020-01-06,28400.0,30500.0,28000.0,30000.0,1141917
2020-01-07,30500.0,31200.0,29500.0,30750.0,634303
2020-01-08,30750.0,30950.0,29400.0,30550.0,457119
2020-01-09,31200.0,32250.0,30800.0,32050.0,500618
2020-01-10,32050.0,32050.0,31050.0,31750.0,219049
2020-01-13,32350.0,34850.0,32200.0,34700.0,1145821
2020-01-14,35100.0,36750.0,34450.0,35000.0,568891
2020-01-15,35100.0,35950.0,34500.0,35800.0,288280
2020-01-16,35750.0,35750.0,34600.0,35150.0,323680
2020-01-17,35100.0,35300.0,34350.0,34950.0,241874
2020-01-20,34950.0,35600.0,34300.0,34450.0,266582
2020-01-21,34350.0,34550.0,33100.0,33300.0,359966
2020-01-22,33200.0,34500.0,33100.0,33950.0,231387
2020-01-23,33000.0,33950.0,32900.0,33300.0,235061
2020-01-28,30500.0,32300.0,28000.0,31300.0,752471
2020-01-29,31300.0,33150.0,31300.0,32750.0,300269
2020-01-30,32750.0,33250.0,31900.0,32550.0,237379
2020-01-31,33000.0,33350.0,31600.0,31600.0,242343
2020-02-03,30400.0,34250.0,30400.0,33950.0,454352
2020-02-04,33650.0,35050.0,33250.0,34200.0,261373
2020-02-05,34250.0,34700.0,33400.0,33500.0,175969
2020-02-06,33950.0,34350.0,33000.0,33650.0,193934
2020-02-07,33800.0,34550.0,33250.0,33900.0,143567
2020-02-10,33300.0,33300.0,32650.0,32650.0,164585
2020-02-11,32650.0,33200.0,31850.0,32000.0,248802
2020-02-12,32200.0,32900.0,32050.0,32700.0,160443
2020-02-13,32850.0,33500.0,32400.0,33200.0,242917
2020-02-14,33200.0,33250.0,32450.0,32650.0,114880
2020-02-17,32650.0,34950.0,32000.0,34600.0,424372
2020-02-18,34700.0,35350.0,33950.0,34050.0,259913
2020-02-19,34100.0,34650.0,33150.0,33900.0,151941
2020-02-20,33750.0,33750.0,32700.0,32900.0,195634
2020-02-21,32500.0,32650.0,31050.0,31050.0,298120
2020-02-24,30100.0,31400.0,29400.0,30050.0,402842
2020-02-25,30050.0,31100.0,29800.0,30600.0,222417
2020-02-26,30200.0,32450.0,29900.0,31750.0,277212
2020-02-27,32000.0,33750.0,31500.0,32000.0,448357
2020-02-28,31600.0,32050.0,30000.0,30300.0,295035
2020-03-02,30550.0,31300.0,29300.0,30900.0,307466
2020-03-03,31450.0,31900.0,29650.0,29950.0,393072
2020-03-04,29800.0,30300.0,29050.0,29700.0,416340
2020-03-05,30000.0,30050.0,29000.0,29100.0,305440
2020-03-06,28100.0,28850.0,25950.0,26450.0,1036503
2020-03-09,25600.0,25750.0,24700.0,25100.0,542646
2020-03-10,24600.0,25750.0,24400.0,25300.0,334610
2020-03-11,25350.0,26550.0,24900.0,25150.0,571946
2020-03-12,25050.0,25050.0,22700.0,23250.0,528861
2020-03-13,21100.0,24000.0,20500.0,22700.0,482022
2020-03-16,23000.0,23750.0,21750.0,22200.0,278885
2020-03-17,20700.0,22850.0,20700.0,22400.0,254009
2020-03-18,22450.0,23200.0,21000.0,21000.0,310288
2020-03-19,21650.0,22300.0,18950.0,19550.0,442647
2020-03-20,19650.0,21450.0,19350.0,21350.0,278436
2020-03-23,19900.0,20100.0,19000.0,19450.0,263535
2020-03-24,19900.0,21800.0,19450.0,21400.0,276303
2020-03-25,22100.0,24650.0,21900.0,24650.0,443802
2020-03-26,25350.0,26900.0,24300.0,24650.0,491865
2020-03-27,25850.0,25900.0,23550.0,24400.0,324990
2020-03-30,23300.0,24000.0,22650.0,23800.0,231466
2020-03-31,24050.0,24300.0,23250.0,24050.0,300035
2020-04-01,23900.0,24650.0,23100.0,23100.0,259274
2020-04-02,23300.0,24100.0,22850.0,24100.0,143869
2020-04-03,24100.0,24150.0,23250.0,23650.0,163565
2020-04-06,23900.0,25000.0,23500.0,25000.0,249158
2020-04-07,25650.0,26000.0,24700.0,25300.0,210131
2020-04-08,25050.0,26900.0,24800.0,26250.0,387566
2020-04-09,27000.0,27050.0,26100.0,26550.0,207071
2020-04-10,26550.0,28900.0,26100.0,28900.0,708254
2020-04-13,28900.0,29800.0,28000.0,28000.0,477031
2020-04-14,28600.0,29100.0,27900.0,28900.0,245061
2020-04-16,29550.0,30800.0,29300.0,30550.0,582642
2020-04-17,31300.0,31400.0,29800.0,30850.0,430579
2020-04-20,30950.0,30950.0,29600.0,29600.0,423534
2020-04-21,29150.0,29150.0,27950.0,28700.0,491120
2020-04-22,28000.0,29250.0,27800.0,29250.0,239240
2020-04-23,29300.0,29450.0,28800.0,29150.0,138419
2020-04-24,28900.0,28900.0,27750.0,28050.0,206180
2020-04-27,28350.0,29100.0,28000.0,28850.0,194223
2020-04-28,28850.0,30500.0,28450.0,29550.0,386562
2020-04-29,29600.0,30000.0,29000.0,29650.0,201966
2020-05-04,28750.0,30300.0,28700.0,29850.0,290853
2020-05-06,30750.0,30900.0,30000.0,30600.0,248094
2020-05-07,30600.0,30950.0,30150.0,30950.0,190531
2020-05-08,31500.0,31550.0,30400.0,30600.0,300049
2020-05-11,30100.0,30650.0,29800.0,30050.0,214296
2020-05-12,29900.0,30000.0,29100.0,29400.0,197160
2020-05-13,28800.0,30700.0,28450.0,30650.0,230315
2020-05-14,30150.0,31500.0,30050.0,30500.0,372099
2020-05-15,31350.0,31350.0,29400.0,29500.0,293884
2020-05-18,29600.0,30650.0,29300.0,30450.0,205493
2020-05-19,31350.0,33200.0,30850.0,33200.0,1140274
2020-05-20,32800.0,33600.0,31950.0,33500.0,490496
2020-05-21,33600.0,33600.0,32650.0,32900.0,254561
2020-05-22,32800.0,32800.0,31200.0,31500.0,322670
2020-05-25,31300.0,31750.0,30700.0,31400.0,240654
2020-05-26,31500.0,32150.0,31000.0,32100.0,239713
2020-05-27,32400.0,32950.0,31900.0,32150.0,277635
2020-05-28,32300.0,32450.0,30200.0,30300.0,393929
2020-05-29,30500.0,30750.0,29500.0,29600.0,277530
2020-06-01,30650.0,31850.0,30100.0,30450.0,686615
2020-06-02,30150.0,30600.0,29900.0,30250.0,288120
2020-06-03,30500.0,30950.0,30150.0,30450.0,270425
2020-06-04,30500.0,30600.0,29850.0,30050.0,344012
2020-06-05,30000.0,30250.0,29600.0,29900.0,291327
2020-06-08,30250.0,31900.0,30100.0,31850.0,613440
2020-06-09,31900.0,32000.0,31250.0,31850.0,364557
2020-06-10,31850.0,32450.0,31500.0,31950.0,310168
2020-06-11,32250.0,32750.0,31800.0,32000.0,393610
2020-06-12,30100.0,30850.0,29650.0,30400.0,411432
2020-06-15,30150.0,30600.0,28550.0,28550.0,414211
2020-06-16,29400.0,30400.0,29100.0,29750.0,261867
2020-06-17,29550.0,30200.0,29050.0,29700.0,200588
2020-06-18,29500.0,29850.0,29250.0,29600.0,144399
2020-06-19,29750.0,30000.0,29150.0,29800.0,156447
2020-06-22,30000.0,30850.0,29850.0,30450.0,253957
2020-06-23,30600.0,31400.0,30000.0,31200.0,341798
2020-06-24,31500.0,31550.0,30950.0,31500.0,254978
2020-06-25,31200.0,32800.0,30800.0,32500.0,676127
2020-06-26,33100.0,34400.0,31950.0,33850.0,842622
2020-06-29,35250.0,41000.0,35000.0,37000.0,4349566
2020-06-30,37450.0,42750.0,35550.0,37250.0,5841435
2020-07-01,37900.0,38550.0,35550.0,35600.0,1038657
2020-07-02,35600.0,40750.0,35450.0,39450.0,3682110
2020-07-03,39100.0,40500.0,38150.0,38750.0,1391222
2020-07-06,39350.0,39850.0,38350.0,39200.0,584828
2020-07-07,38850.0,39000.0,37800.0,38600.0,544592
2020-07-08,38800.0,40600.0,38700.0,40400.0,1408159
2020-07-09,40750.0,41750.0,39400.0,39600.0,719118
2020-07-10,39650.0,39800.0,36700.0,38350.0,775502
2020-07-13,38700.0,39250.0,37500.0,38250.0,408220
2020-07-14,37800.0,39000.0,37550.0,38750.0,383678
2020-07-15,39000.0,39250.0,37250.0,37450.0,406235
2020-07-16,37650.0,38250.0,37200.0,38000.0,271934
2020-07-17,38350.0,39850.0,37550.0,39650.0,536336
2020-07-20,39850.0,40600.0,39100.0,40000.0,451172
2020-07-21,40700.0,40700.0,38950.0,39000.0,385836
2020-07-22,39000.0,39100.0,38050.0,38350.0,261924
2020-07-23,38150.0,39650.0,37650.0,38850.0,347345
2020-07-24,38500.0,39150.0,37650.0,38300.0,254186
2020-07-27,37950.0,39100.0,37600.0,38700.0,204312
2020-07-28,38750.0,39400.0,38450.0,38950.0,279046
2020-07-29,39150.0,40500.0,38550.0,40400.0,568401
2020-07-30,40550.0,40550.0,39300.0,39450.0,417804
2020-07-31,39600.0,41200.0,39250.0,40700.0,473782
2020-08-03,41500.0,43200.0,41150.0,42650.0,1057129
2020-08-04,42800.0,43800.0,42000.0,42950.0,451082
2020-08-05,43000.0,45000.0,42500.0,45000.0,602603
2020-08-06,45000.0,46000.0,44200.0,45050.0,447910
2020-08-07,44950.0,45350.0,43750.0,43950.0,426223
2020-08-10,44900.0,46100.0,43400.0,45600.0,863517
2020-08-11,46150.0,46400.0,44850.0,45700.0,421615
2020-08-12,45750.0,45800.0,43600.0,44250.0,455990
2020-08-13,46150.0,50800.0,45700.0,48250.0,2380126
2020-08-14,48450.0,49450.0,47500.0,48500.0,712309
2020-08-18,49000.0,49300.0,46050.0,46750.0,720514
2020-08-19,46750.0,49900.0,46200.0,49300.0,857261
2020-08-20,48800.0,48800.0,46000.0,46500.0,642998
2020-08-21,46700.0,47500.0,44700.0,46700.0,425496
2020-08-24,46100.0,47150.0,45100.0,46800.0,258061
2020-08-25,47200.0,49350.0,47000.0,48700.0,397671
2020-08-26,48750.0,50800.0,48100.0,50400.0,586564
2020-08-27,49950.0,51400.0,49450.0,50900.0,528784
2020-08-28,50900.0,52500.0,47600.0,49000.0,1298643
2020-08-31,48950.0,49000.0,46000.0,46650.0,748647
2020-09-01,47550.0,49400.0,46800.0,48450.0,657023
2020-09-02,49000.0,50600.0,48700.0,50200.0,461506
2020-09-03,51400.0,52300.0,49750.0,52200.0,574772
2020-09-04,49650.0,53000.0,49650.0,52300.0,732555
2020-09-07,53000.0,54900.0,51900.0,54700.0,583146
2020-09-08,54700.0,58500.0,54200.0,57600.0,896783
2020-09-09,57700.0,60500.0,56200.0,57700.0,821117
2020-09-10,58700.0,59000.0,56700.0,57700.0,470213
2020-09-11,57400.0,60500.0,56900.0,58700.0,456164
2020-09-14,59300.0,59300.0,57500.0,58000.0,329573
2020-09-15,57800.0,58400.0,57000.0,58000.0,270909
2020-09-16,58000.0,58800.0,57300.0,58300.0,290431
2020-09-17,58300.0,58300.0,55800.0,56300.0,427639
2020-09-18,56900.0,58000.0,55600.0,58000.0,288517
2020-09-21,57800.0,58200.0,55500.0,55600.0,319022
2020-09-22,55100.0,56600.0,54500.0,55200.0,452024
2020-09-23,56400.0,56400.0,52500.0,55900.0,430881
2020-09-24,54500.0,55600.0,51800.0,51900.0,767893
2020-09-25,52600.0,52900.0,49400.0,50900.0,619816
2020-09-28,52300.0,57500.0,51800.0,57000.0,1067907
2020-09-29,57700.0,58000.0,54900.0,58000.0,758762
2020-10-05,57100.0,57400.0,51800.0,52500.0,1428801
2020-10-06,52000.0,53200.0,50200.0,51500.0,633818
2020-10-07,51600.0,52700.0,51200.0,51600.0,323584
2020-10-08,51800.0,52200.0,49150.0,49800.0,892497
2020-10-12,50200.0,50300.0,47350.0,47600.0,915863
2020-10-13,48400.0,49300.0,47050.0,48100.0,779552
2020-10-14,48200.0,48600.0,47550.0,48150.0,408840
2020-10-15,48700.0,48850.0,43050.0,44900.0,1775135
2020-10-16,44750.0,45150.0,43350.0,43850.0,550398
2020-10-19,43400.0,44700.0,42350.0,42650.0,557448
2020-10-20,42000.0,43350.0,41750.0,42950.0,426811
2020-10-21,42750.0,43600.0,42350.0,42600.0,328871
2020-10-22,42150.0,42850.0,41600.0,41700.0,282868
2020-10-23,41750.0,42250.0,40850.0,41950.0,359499
2020-10-26,41750.0,41850.0,38400.0,38700.0,888978
2020-10-27,38700.0,40450.0,38150.0,40400.0,504972
2020-10-28,39750.0,41150.0,39150.0,41150.0,292532
2020-10-29,39800.0,40700.0,39400.0,40450.0,314114
2020-10-30,40450.0,40450.0,38700.0,38700.0,238904
2020-11-02,38700.0,40300.0,38300.0,39850.0,229042
2020-11-03,40000.0,41450.0,40000.0,41000.0,391823
2020-11-04,41500.0,41550.0,40100.0,41150.0,273475
2020-11-05,41650.0,44000.0,41400.0,43850.0,812347
2020-11-06,43950.0,44000.0,42350.0,42500.0,461402
2020-11-09,43100.0,43650.0,42650.0,42950.0,242108
2020-11-10,44850.0,45100.0,43550.0,43900.0,488734
2020-11-11,43900.0,44050.0,42650.0,42800.0,291766
2020-11-12,43500.0,44700.0,43200.0,43650.0,528877
2020-11-13,43800.0,44650.0,43050.0,44350.0,371817
2020-11-16,44750.0,45800.0,44350.0,45300.0,400215
2020-11-17,45450.0,45450.0,43600.0,43850.0,353289
2020-11-18,43650.0,45250.0,42850.0,44900.0,444759
2020-11-19,44750.0,44750.0,43500.0,43850.0,256171
2020-11-20,43850.0,44850.0,43850.0,44600.0,220896
2020-11-23,44700.0,46150.0,44150.0,45450.0,469669
2020-11-24,45450.0,47400.0,45400.0,47150.0,528260
2020-11-25,47550.0,47650.0,45400.0,45950.0,544693
2020-11-26,45950.0,45950.0,44750.0,45150.0,259240
2020-11-27,45200.0,45500.0,44350.0,45050.0,213222
2020-11-30,44800.0,45050.0,43700.0,43800.0,348643
2020-12-01,43650.0,44300.0,43000.0,44050.0,260984
2020-12-02,44000.0,44400.0,43500.0,43750.0,240272
2020-12-03,44500.0,49250.0,44400.0,49050.0,1863096
2020-12-04,48700.0,48950.0,46300.0,46600.0,730782
2020-12-07,46250.0,46350.0,44800.0,45550.0,493228
2020-12-08,45200.0,47850.0,45200.0,45900.0,570731
2020-12-09,46100.0,47100.0,46000.0,46650.0,239462
2020-12-10,46100.0,47000.0,45600.0,45800.0,368339
2020-12-11,46150.0,48000.0,45700.0,47300.0,514089
2020-12-14,46750.0,47600.0,46150.0,46800.0,299750
2020-12-15,46800.0,47750.0,46450.0,46750.0,230277
2020-12-16,46750.0,47200.0,46500.0,46900.0,192364
