date,open,high,low,close,volume
2020-01-02,10900.0,11750.0,10850.0,11700.0,1067916
2020-01-03,11800.0,11850.0,11350.0,11450.0,686735
2020-01-06,11150.0,11350.0,10850.0,11000.0,534564
2020-01-07,11200.0,12000.0,11150.0,11450.0,2183295
2020-01-08,11400.0,11800.0,11050.0,11700.0,1679383
2020-01-09,12150.0,13650.0,11850.0,12950.0,8470286
2020-01-10,13150.0,13450.0,12800.0,13200.0,2316312
2020-01-13,13300.0,17150.0,13200.0,16300.0,16019514
2020-01-14,16550.0,17600.0,15850.0,16400.0,8492204
2020-01-15,16200.0,17600.0,15950.0,16800.0,4165557
2020-01-16,17450.0,17750.0,16600.0,16850.0,1944045
2020-01-17,16950.0,17150.0,16500.0,16850.0,930062
2020-01-20,16850.0,17500.0,15950.0,16250.0,2358296
2020-01-21,15950.0,16550.0,15500.0,16550.0,1784245
2020-01-22,15850.0,16500.0,15800.0,15950.0,875093
2020-01-23,15650.0,15750.0,15150.0,15600.0,925848
2020-01-28,13250.0,14400.0,13150.0,14350.0,1804678
2020-01-29,14700.0,14850.0,13900.0,14250.0,1191497
2020-01-30,13900.0,14200.0,13150.0,13550.0,848236
2020-01-31,13450.0,13850.0,12900.0,12900.0,806494
2020-02-03,12400.0,13500.0,12200.0,13400.0,1145051
2020-02-04,13200.0,13750.0,12950.0,13450.0,787451
2020-02-05,13650.0,13750.0,12850.0,13000.0,940215
2020-02-06,13250.0,13700.0,13000.0,13700.0,662543
2020-02-07,13550.0,13550.0,13200.0,13350.0,395344
2020-02-10,13150.0,13550.0,12900.0,13500.0,271240
2020-02-11,13400.0,14550.0,13400.0,14050.0,1060622
2020-02-12,14000.0,14650.0,13900.0,14650.0,761511
2020-02-13,14500.0,14850.0,14200.0,14600.0,865217
2020-02-14,14400.0,14650.0,14350.0,14650.0,352598
2020-02-17,15100.0,15100.0,14600.0,14750.0,839924
2020-02-18,14650.0,14700.0,14150.0,14550.0,552089
2020-02-19,14450.0,14550.0,13800.0,14100.0,472420
2020-02-20,13950.0,14100.0,13500.0,13600.0,500091
2020-02-21,13500.0,14700.0,13350.0,13800.0,1136727
2020-02-24,13350.0,13450.0,12800.0,12900.0,598571
2020-02-25,12700.0,13700.0,12600.0,13650.0,521153
2020-02-26,13400.0,13700.0,13150.0,13500.0,374183
2020-02-27,13400.0,13500.0,12800.0,12850.0,346004
2020-02-28,12500.0,12850.0,12000.0,12350.0,367969
2020-03-02,12100.0,12650.0,11850.0,12400.0,427003
2020-03-03,12850.0,13250.0,12500.0,12500.0,491546
2020-03-04,12350.0,13100.0,12350.0,13100.0,308499
2020-03-05,13400.0,13450.0,13050.0,13400.0,338343
2020-03-06,13000.0,13150.0,12700.0,12950.0,350197
2020-03-09,12550.0,12850.0,12300.0,12350.0,239347
2020-03-10,12250.0,13250.0,12100.0,13200.0,367292
2020-03-11,13200.0,13250.0,12200.0,12400.0,400166
2020-03-12,12350.0,12600.0,11650.0,11750.0,387031
2020-03-13,10750.0,11300.0,10000.0,10850.0,689340
2020-03-16,11100.0,11650.0,10650.0,10650.0,543069
2020-03-17,10150.0,11450.0,10150.0,11450.0,583400
2020-03-18,11450.0,12450.0,11000.0,11000.0,922096
2020-03-19,11550.0,11800.0,9940.0,10050.0,961323
2020-03-20,10450.0,10700.0,9900.0,10550.0,788409
2020-03-23,9900.0,10200.0,9710.0,9800.0,495215
2020-03-24,10150.0,10600.0,9910.0,10450.0,545819
2020-03-25,10900.0,11350.0,10600.0,11150.0,863784
2020-03-26,11400.0,12250.0,10950.0,11700.0,1329382
2020-03-27,12200.0,12300.0,11000.0,11550.0,969847
2020-03-30,11100.0,11900.0,11050.0,11600.0,655297
2020-03-31,11800.0,12300.0,11650.0,12150.0,896363
2020-04-01,12150.0,12550.0,11750.0,11750.0,671698
2020-04-02,12000.0,12500.0,11550.0,12400.0,815157
2020-04-03,12250.0,12350.0,11800.0,12150.0,535362
2020-04-06,12300.0,12650.0,12150.0,12600.0,679277
2020-04-07,12950.0,13050.0,12200.0,12900.0,1169538
2020-04-08,12750.0,15050.0,12500.0,14100.0,5010731
2020-04-09,14300.0,14450.0,13900.0,14050.0,995695
2020-04-10,14050.0,15400.0,13100.0,15400.0,4417381
2020-04-13,14950.0,16700.0,14500.0,14850.0,5441788
2020-04-14,14950.0,15250.0,14800.0,15000.0,994997
2020-04-16,14900.0,15550.0,14850.0,15200.0,1019934
2020-04-17,15350.0,16100.0,15150.0,15400.0,2169898
2020-04-20,15300.0,15550.0,15050.0,15100.0,679964
2020-04-21,15150.0,15300.0,13650.0,14500.0,1134881
2020-04-22,14300.0,14800.0,14100.0,14800.0,410734
2020-04-23,14800.0,15200.0,14600.0,15100.0,581623
2020-04-24,14800.0,14950.0,14150.0,14350.0,574498
2020-04-27,14500.0,14900.0,14250.0,14850.0,448146
2020-04-28,15100.0,15400.0,14650.0,15000.0,890067
2020-04-29,15000.0,15750.0,14600.0,15250.0,1372167
2020-05-04,14900.0,15500.0,14800.0,15000.0,571707
2020-05-06,15350.0,15400.0,15100.0,15200.0,423875
2020-05-07,15200.0,15850.0,15200.0,15700.0,904289
2020-05-08,15900.0,16000.0,15450.0,15550.0,737561
2020-05-11,15550.0,15550.0,14850.0,15150.0,625908
2020-05-12,15200.0,15600.0,15050.0,15300.0,467826
2020-05-13,15000.0,15800.0,14950.0,15600.0,924695
2020-05-14,16200.0,16250.0,15200.0,15300.0,1107416
2020-05-15,15450.0,15600.0,15050.0,15500.0,421012
2020-05-18,15700.0,16150.0,15500.0,16150.0,1186880
2020-05-19,16350.0,16500.0,15850.0,16350.0,1291798
2020-05-20,16500.0,16850.0,16200.0,16800.0,1355484
2020-05-21,16800.0,16800.0,15650.0,15800.0,1311339
2020-05-22,16000.0,16050.0,15050.0,15200.0,873151
2020-05-25,15050.0,15100.0,14400.0,14800.0,694721
2020-05-26,14850.0,15050.0,14600.0,15000.0,347367
2020-05-27,15050.0,15050.0,14600.0,14650.0,367697
2020-05-28,14700.0,15000.0,13800.0,14250.0,505879
2020-05-29,14050.0,14150.0,13650.0,14050.0,310934
2020-06-01,14150.0,14450.0,13950.0,14400.0,215729
2020-06-02,14400.0,14400.0,14100.0,14200.0,182827
2020-06-03,14350.0,14950.0,14100.0,14800.0,627968
2020-06-04,14850.0,15100.0,14550.0,14750.0,538915
2020-06-05,14950.0,15100.0,14650.0,14750.0,245971
2020-06-08,14900.0,14950.0,14500.0,14550.0,194815
2020-06-09,14550.0,14700.0,14250.0,14350.0,198582
2020-06-10,14350.0,14900.0,14150.0,14550.0,406347
2020-06-11,14450.0,14650.0,14250.0,14400.0,176779
2020-06-12,13350.0,13900.0,13350.0,13850.0,231463
2020-06-15,13800.0,13850.0,12400.0,12400.0,397792
2020-06-16,12650.0,13150.0,12650.0,13050.0,169699
2020-06-17,12750.0,13200.0,12700.0,13050.0,162719
2020-06-18,12850.0,13050.0,12750.0,12850.0,119623
2020-06-19,12900.0,12900.0,12450.0,12700.0,172747
2020-06-22,12800.0,12800.0,12300.0,12400.0,150279
2020-06-23,12500.0,12600.0,11900.0,12000.0,213792
2020-06-24,12200.0,12350.0,12100.0,12200.0,106915
2020-06-25,12000.0,12250.0,11800.0,12000.0,118959
2020-06-26,12000.0,12200.0,11650.0,12000.0,170267
2020-06-29,11800.0,11800.0,11300.0,11400.0,138486
2020-06-30,11650.0,14800.0,11450.0,14800.0,5729729
2020-07-01,14050.0,14500.0,12800.0,12850.0,3593678
2020-07-02,12850.0,15000.0,12800.0,13550.0,5268427
2020-07-03,13750.0,15350.0,13300.0,14100.0,5395040
2020-07-06,14050.0,14900.0,14000.0,14200.0,1157378
2020-07-07,14400.0,14450.0,13700.0,13950.0,504985
2020-07-08,14000.0,14700.0,13900.0,14150.0,1110576
2020-07-09,14350.0,14500.0,14050.0,14200.0,526725
2020-07-10,14100.0,14150.0,13800.0,14000.0,317517
2020-07-13,14300.0,14800.0,14100.0,14300.0,1285505
2020-07-14,14150.0,14250.0,13900.0,14200.0,347457
2020-07-15,14300.0,14300.0,13950.0,13950.0,263159
2020-07-16,13950.0,15000.0,13900.0,14200.0,1802088
2020-07-17,14300.0,14400.0,14100.0,14350.0,351976
2020-07-20,14350.0,14450.0,14050.0,14200.0,262066
2020-07-21,14200.0,14450.0,14150.0,14250.0,306428
2020-07-22,14300.0,14400.0,14000.0,14100.0,189831
2020-07-23,14100.0,14450.0,13900.0,14000.0,378267
2020-07-24,13900.0,13900.0,13500.0,13550.0,246311
2020-07-27,13500.0,13900.0,13050.0,13800.0,174227
2020-07-28,13850.0,13900.0,13550.0,13650.0,191935
2020-07-29,13950.0,14000.0,13600.0,13600.0,182593
2020-07-30,13650.0,14350.0,13550.0,13850.0,632935
2020-07-31,14100.0,14700.0,13950.0,14250.0,1017316
2020-08-03,14250.0,14250.0,13700.0,13950.0,296199
2020-08-04,14000.0,14450.0,13800.0,14100.0,456444
2020-08-05,14200.0,14400.0,14050.0,14100.0,280655
2020-08-06,14150.0,14200.0,13950.0,14050.0,215203
2020-08-07,14100.0,14650.0,14050.0,14250.0,802323
2020-08-10,14050.0,14250.0,13950.0,14050.0,307977
2020-08-11,14150.0,14650.0,14050.0,14200.0,581391
2020-08-12,14250.0,14900.0,14200.0,14650.0,1044238
2020-08-13,15700.0,15900.0,14600.0,14650.0,2138161
2020-08-14,15150.0,15550.0,14700.0,15250.0,1558354
2020-08-18,15100.0,15100.0,13600.0,13750.0,1066533
