date,open,high,low,close,volume
2020-01-02,12500.0,12600.0,12200.0,12550.0,190238
2020-01-03,12800.0,12900.0,12350.0,12400.0,259650
2020-01-06,12050.0,12450.0,11800.0,12350.0,257273
2020-01-07,12350.0,12600.0,12150.0,12550.0,198120
2020-01-08,12400.0,12450.0,11500.0,11750.0,460148
2020-01-09,12150.0,12700.0,12150.0,12700.0,442002
2020-01-10,12750.0,12750.0,12450.0,12700.0,155117
2020-01-13,12750.0,13000.0,12450.0,12800.0,282880
2020-01-14,12950.0,13650.0,12900.0,13500.0,825462
2020-01-15,13550.0,13600.0,13200.0,13550.0,265238
2020-01-16,13600.0,14000.0,13350.0,13850.0,357802
2020-01-17,14100.0,14150.0,13500.0,13650.0,296666
2020-01-20,13800.0,13800.0,13250.0,13350.0,267867
2020-01-21,13450.0,13500.0,13050.0,13400.0,174875
2020-01-22,13350.0,13600.0,13250.0,13550.0,143747
2020-01-23,13500.0,13500.0,13050.0,13200.0,186726
2020-01-28,12400.0,12750.0,12150.0,12550.0,301665
2020-01-29,12950.0,13500.0,12800.0,13100.0,418305
2020-01-30,13250.0,13400.0,12500.0,12800.0,295248
2020-01-31,12950.0,12950.0,12150.0,12150.0,225214
2020-02-03,11800.0,12500.0,11500.0,12350.0,268925
2020-02-04,12450.0,12800.0,12250.0,12800.0,232895
2020-02-05,13000.0,13050.0,12000.0,12150.0,409376
2020-02-06,12400.0,12550.0,12150.0,12400.0,268673
2020-02-07,12500.0,13300.0,12400.0,12900.0,685405
2020-02-10,13000.0,13600.0,12750.0,13400.0,723971
2020-02-11,13500.0,13550.0,12800.0,13000.0,594769
2020-02-12,13000.0,13450.0,12800.0,13150.0,495823
2020-02-13,12750.0,14250.0,12700.0,14100.0,1452609
2020-02-14,14350.0,14600.0,13850.0,14250.0,1356540
2020-02-17,14450.0,14950.0,14200.0,14550.0,786278
2020-02-18,14500.0,14500.0,13900.0,14150.0,457499
2020-02-19,14350.0,14500.0,13850.0,14050.0,409337
2020-02-20,14150.0,14200.0,13700.0,13900.0,289851
2020-02-21,13550.0,13800.0,13000.0,13300.0,409813
2020-02-24,12750.0,13000.0,12300.0,12500.0,526896
2020-02-25,12450.0,12600.0,11800.0,12500.0,639363
2020-02-26,12050.0,12600.0,12000.0,12350.0,302704
2020-02-27,12500.0,12500.0,11300.0,11500.0,458406
2020-02-28,11150.0,11400.0,10450.0,10700.0,578997
2020-03-02,10850.0,11400.0,10650.0,11400.0,404434
2020-03-03,11750.0,11950.0,11200.0,11200.0,339706
2020-03-04,10950.0,11700.0,10950.0,11700.0,186084
2020-03-05,11850.0,11900.0,11550.0,11750.0,174603
2020-03-06,11400.0,11700.0,11100.0,11350.0,294218
2020-03-09,11000.0,11150.0,10500.0,10550.0,336936
2020-03-10,10300.0,10900.0,10200.0,10900.0,320308
2020-03-11,10850.0,10900.0,9880.0,10000.0,469845
2020-03-12,9960.0,10050.0,9000.0,9320.0,507818
2020-03-13,8460.0,8880.0,7210.0,8250.0,604975
2020-03-16,8370.0,8570.0,7470.0,7470.0,559247
2020-03-17,6980.0,7750.0,6980.0,7660.0,475870
2020-03-18,7760.0,7890.0,6540.0,6700.0,581871
2020-03-19,7090.0,7090.0,5220.0,5440.0,1155817
2020-03-20,5610.0,6740.0,5510.0,6640.0,728501
2020-03-23,6000.0,6380.0,5850.0,6140.0,481770
2020-03-24,6400.0,7190.0,6310.0,7140.0,571828
2020-03-25,7510.0,7760.0,7300.0,7530.0,512605
2020-03-26,7600.0,7820.0,7160.0,7500.0,368594
2020-03-27,7850.0,7950.0,7220.0,7500.0,377696
2020-03-30,7150.0,7540.0,7130.0,7500.0,267393
2020-03-31,7680.0,7860.0,7500.0,7770.0,425905
2020-04-01,7750.0,8250.0,7600.0,7770.0,364649
2020-04-02,7770.0,7890.0,7480.0,7800.0,314513
2020-04-03,8000.0,8070.0,7780.0,8020.0,309312
2020-04-06,8180.0,8460.0,8000.0,8460.0,353876
2020-04-07,8670.0,8880.0,8200.0,8540.0,523621
2020-04-08,8500.0,8610.0,8310.0,8430.0,418782
2020-04-09,8530.0,8710.0,8360.0,8440.0,542201
2020-04-10,8520.0,8580.0,8080.0,8230.0,538983
2020-04-13,8200.0,8200.0,7620.0,7620.0,554074
2020-04-14,7750.0,8040.0,7700.0,7960.0,322824
2020-04-16,8000.0,8400.0,7850.0,8380.0,337518
2020-04-17,8590.0,8840.0,8500.0,8580.0,527445
2020-04-20,8660.0,8740.0,8480.0,8500.0,342421
2020-04-21,8410.0,8450.0,7740.0,8440.0,715298
2020-04-22,8250.0,8250.0,7990.0,8200.0,521865
2020-04-23,8300.0,8300.0,8040.0,8120.0,487109
2020-04-24,8070.0,8150.0,7910.0,7930.0,396819
2020-04-27,7970.0,8080.0,7910.0,8030.0,197709
2020-04-28,8130.0,8220.0,8000.0,8120.0,230187
2020-04-29,8180.0,8480.0,8100.0,8440.0,611510
2020-05-04,8350.0,8480.0,8150.0,8300.0,279561
2020-05-06,8400.0,8640.0,8350.0,8600.0,341444
2020-05-07,8590.0,9200.0,8540.0,9160.0,1057029
2020-05-08,9210.0,9300.0,9020.0,9270.0,573324
2020-05-11,9290.0,9320.0,8980.0,9140.0,520803
2020-05-12,9050.0,9270.0,8950.0,9100.0,482070
2020-05-13,8950.0,9220.0,8860.0,9150.0,262632
2020-05-14,9020.0,9140.0,8900.0,8920.0,333034
2020-05-15,8960.0,9030.0,8750.0,8900.0,197772
2020-05-18,8710.0,8890.0,8560.0,8840.0,440262
2020-05-19,9040.0,9530.0,8900.0,9490.0,1015906
2020-05-20,9670.0,9850.0,9500.0,9590.0,753930
2020-05-21,9660.0,9670.0,9410.0,9500.0,448167
2020-05-22,9500.0,9920.0,9420.0,9880.0,677325
2020-05-25,10100.0,10550.0,9950.0,10400.0,1442114
2020-05-26,10350.0,10700.0,10150.0,10550.0,889173
2020-05-27,10550.0,10600.0,10150.0,10400.0,551729
2020-05-28,10450.0,10650.0,9620.0,9950.0,897463
2020-05-29,9950.0,9990.0,9520.0,9570.0,398068
2020-06-01,9660.0,10150.0,9650.0,10100.0,366967
2020-06-02,10250.0,10350.0,9840.0,9930.0,514775
2020-06-03,9980.0,10150.0,9930.0,10100.0,367144
2020-06-04,10150.0,10350.0,9990.0,10100.0,348915
2020-06-05,10100.0,10200.0,9890.0,10050.0,208286
2020-06-08,10100.0,10200.0,9790.0,9810.0,391708
2020-06-09,9910.0,10400.0,9880.0,10300.0,782813
2020-06-10,10350.0,10350.0,10150.0,10250.0,211775
2020-06-11,10250.0,10350.0,9960.0,10000.0,305927
2020-06-12,9400.0,9640.0,9340.0,9640.0,575401
2020-06-15,9640.0,9660.0,8800.0,8870.0,363013
2020-06-16,8970.0,9500.0,8970.0,9480.0,244453
2020-06-17,9440.0,9650.0,9080.0,9300.0,291458
2020-06-18,9300.0,9350.0,9090.0,9180.0,174596
2020-06-19,9200.0,9490.0,9030.0,9450.0,214622
2020-06-22,9380.0,9480.0,9230.0,9260.0,187915
2020-06-23,9630.0,10100.0,9220.0,9380.0,911710
2020-06-24,9500.0,9740.0,9380.0,9670.0,241375
2020-06-25,9580.0,9590.0,9270.0,9320.0,335361
2020-06-26,9500.0,9560.0,9230.0,9310.0,232318
2020-06-29,9140.0,9250.0,9050.0,9130.0,191269
2020-06-30,9330.0,9530.0,9170.0,9370.0,237977
2020-07-01,9570.0,9630.0,9220.0,9260.0,197855
2020-07-02,9280.0,9490.0,9220.0,9470.0,141621
2020-07-03,9520.0,9710.0,9410.0,9630.0,314570
2020-07-06,9730.0,9740.0,9570.0,9650.0,222425
2020-07-07,9800.0,9800.0,9510.0,9540.0,197922
2020-07-08,9630.0,9630.0,9450.0,9590.0,138067
2020-07-09,9630.0,9940.0,9580.0,9750.0,374189
2020-07-10,9810.0,9830.0,9450.0,9490.0,339398
2020-07-13,9530.0,10400.0,9530.0,10400.0,1279129
2020-07-14,10200.0,10300.0,9970.0,10150.0,514633
2020-07-15,10350.0,10450.0,9990.0,10450.0,534425
2020-07-16,10500.0,10500.0,10050.0,10200.0,408354
2020-07-17,10250.0,11600.0,10200.0,11250.0,2491327
2020-07-20,11350.0,11350.0,10800.0,11150.0,803914
2020-07-21,11100.0,11700.0,11000.0,11500.0,1020668
2020-07-22,11400.0,11500.0,11150.0,11150.0,370076
2020-07-23,11150.0,12150.0,11100.0,11500.0,1362666
2020-07-24,11400.0,11900.0,10850.0,11200.0,614459
2020-07-27,11200.0,11350.0,10850.0,11000.0,496273
2020-07-28,11200.0,11700.0,11050.0,11100.0,705080
2020-07-29,11200.0,11700.0,10950.0,11450.0,547241
2020-07-30,11600.0,12200.0,11450.0,12200.0,1081043
2020-07-31,12200.0,12500.0,11650.0,11900.0,858357
2020-08-03,12100.0,12500.0,11900.0,12400.0,710185
2020-08-04,12450.0,12500.0,11900.0,12200.0,648997
2020-08-05,12450.0,13200.0,12350.0,13000.0,1780357
2020-08-06,12900.0,13450.0,12750.0,13050.0,644321
2020-08-07,13050.0,13300.0,12750.0,12850.0,352405
2020-08-10,13000.0,13000.0,12500.0,12600.0,468365
2020-08-11,12800.0,13150.0,12100.0,12200.0,623774
2020-08-12,12000.0,12250.0,11350.0,12050.0,753290
2020-08-13,12200.0,12450.0,11800.0,11900.0,347742
2020-08-14,12000.0,12000.0,11400.0,11500.0,426319
2020-08-18,11500.0,11750.0,10700.0,11000.0,479971
2020-08-19,11050.0,11550.0,11050.0,11250.0,228880
2020-08-20,11250.0,11300.0,10300.0,10750.0,547484
2020-08-21,10850.0,11450.0,10600.0,11250.0,396393
2020-08-24,11250.0,12250.0,10850.0,12100.0,774742
2020-08-25,13000.0,13250.0,12300.0,12300.0,1672964
2020-08-26,12550.0,12900.0,12100.0,12600.0,799837
2020-08-27,12550.0,12600.0,11850.0,12000.0,663091
2020-08-28,12150.0,12350.0,11750.0,11950.0,434720
2020-08-31,12100.0,12450.0,12000.0,12200.0,351044
2020-09-01,12400.0,12500.0,11950.0,12200.0,406298
2020-09-02,12400.0,12950.0,12250.0,12800.0,729387
2020-09-03,12800.0,13000.0,12550.0,12650.0,394878
2020-09-04,11950.0,12150.0,11650.0,12050.0,539377
2020-09-07,12050.0,12500.0,11400.0,12300.0,489842
2020-09-08,12300.0,12650.0,12150.0,12550.0,423112
2020-09-09,12300.0,12700.0,12100.0,12550.0,319620
2020-09-10,12950.0,14400.0,12700.0,13400.0,4394842
2020-09-11,13500.0,13850.0,13300.0,13650.0,1065682
2020-09-14,13800.0,13850.0,13300.0,13600.0,606743
2020-09-15,13900.0,14100.0,13500.0,13550.0,606939
2020-09-16,13600.0,13650.0,12800.0,13100.0,635425
2020-09-17,13000.0,13000.0,12350.0,12500.0,619151
2020-09-18,12550.0,12550.0,11850.0,12050.0,822038
2020-09-21,11950.0,12500.0,11850.0,12050.0,537459
2020-09-22,12000.0,12100.0,11550.0,11600.0,412906
2020-09-23,12150.0,13250.0,11650.0,12700.0,2593889
2020-09-24,12100.0,12300.0,11500.0,11850.0,923891
2020-09-25,11900.0,12050.0,11600.0,11700.0,257589
2020-09-28,12050.0,12250.0,11800.0,12250.0,213872
2020-09-29,12350.0,12650.0,12150.0,12500.0,363539
2020-10-05,12500.0,12650.0,12200.0,12550.0,253074
2020-10-06,12650.0,12900.0,12550.0,12700.0,346379
2020-10-07,12550.0,12750.0,12350.0,12700.0,251918
2020-10-08,12850.0,13350.0,12750.0,13150.0,766495
2020-10-12,13200.0,13350.0,12900.0,13100.0,272519
2020-10-13,13350.0,13450.0,12900.0,12950.0,349340
2020-10-14,13000.0,13050.0,12400.0,12450.0,413656
2020-10-15,12550.0,12700.0,11900.0,12200.0,332155
2020-10-16,12250.0,12350.0,11850.0,12000.0,203289
2020-10-19,12200.0,12250.0,11700.0,11850.0,160456
2020-10-20,11700.0,12300.0,11500.0,12300.0,329425
2020-10-21,12300.0,12400.0,12000.0,12150.0,167934
2020-10-22,12150.0,12150.0,11700.0,11700.0,151330
2020-10-23,11850.0,11850.0,11550.0,11600.0,118364
2020-10-26,11600.0,11600.0,10750.0,10750.0,382473
2020-10-27,10550.0,11100.0,10500.0,10850.0,161906
2020-10-28,10700.0,11250.0,10700.0,11150.0,128074
2020-10-29,10800.0,11250.0,10750.0,11200.0,132644
2020-10-30,11100.0,11350.0,10600.0,10800.0,170102
2020-11-02,10800.0,11300.0,10800.0,11050.0,82390
2020-11-03,11100.0,11700.0,11100.0,11650.0,178838
2020-11-04,11750.0,12150.0,11650.0,12100.0,381986
2020-11-05,12050.0,12450.0,12000.0,12350.0,273749
2020-11-06,12450.0,12650.0,12350.0,12500.0,344117
2020-11-09,12500.0,12700.0,12500.0,12600.0,233271
2020-11-10,12500.0,12750.0,12400.0,12650.0,237788
2020-11-11,12750.0,13100.0,12650.0,12950.0,542167
2020-11-12,13000.0,13200.0,12700.0,13100.0,297018
2020-11-13,12950.0,13300.0,12750.0,13150.0,417365
2020-11-16,13150.0,13400.0,12650.0,12950.0,556900
2020-11-17,12950.0,13000.0,12500.0,12750.0,294877
2020-11-18,12800.0,13150.0,12750.0,12800.0,181001
2020-11-19,12950.0,13300.0,12800.0,12900.0,582921
2020-11-20,13000.0,13100.0,12800.0,12850.0,156043
2020-11-23,12950.0,12950.0,12500.0,12600.0,284681
2020-11-24,12650.0,12750.0,12550.0,12600.0,475831
2020-11-25,12800.0,13100.0,12450.0,12650.0,548130
2020-11-26,12650.0,12800.0,12450.0,12750.0,172967
2020-11-27,12750.0,13100.0,12600.0,12750.0,513272
2020-11-30,12850.0,12900.0,12550.0,12550.0,237151
2020-12-01,12450.0,12700.0,12300.0,12650.0,191054
2020-12-02,12700.0,12750.0,12450.0,12650.0,226956
2020-12-03,12650.0,12700.0,12500.0,12650.0,113779
2020-12-04,12700.0,12750.0,12500.0,12650.0,139080
2020-12-07,12650.0,12650.0,12500.0,12500.0,124406
2020-12-08,12600.0,12900.0,12500.0,12550.0,199859
2020-12-09,12700.0,12750.0,12450.0,12600.0,142291
2020-12-10,12450.0,12800.0,12450.0,12750.0,170662
2020-12-11,12800.0,13200.0,12750.0,12900.0,450854
2020-12-14,12800.0,12850.0,12650.0,12750.0,121661
2020-12-15,12800.0,12800.0,12400.0,12650.0,276517
2020-12-16,12900.0,13000.0,12750.0,12850.0,345849
2020-12-17,13100.0,13500.0,12850.0,13450.0,810876
2020-12-18,13500.0,13700.0,13250.0,13400.0,353969
2020-12-21,13350.0,13400.0,13000.0,13100.0,195689
2020-12-22,13100.0,13250.0,12600.0,12650.0,268496
2020-12-23,12800.0,13800.0,12500.0,13000.0,1263331
2020-12-24,13100.0,13350.0,12550.0,12800.0,778532
2020-12-28,12750.0,12850.0,12550.0,12650.0,272163
2020-12-29,12650.0,13200.0,12650.0,13100.0,434487
2020-12-30,13100.0,15400.0,12950.0,14800.0,3628340
2021-01-04,14800.0,15400.0,14500.0,14900.0,1143266
2021-01-05,15150.0,15550.0,14300.0,14550.0,1171886
2021-01-06,14800.0,15100.0,14350.0,14350.0,621763
2021-01-07,14450.0,14850.0,14250.0,14450.0,416757
2021-01-08,14750.0,15350.0,14600.0,14850.0,1738578
2021-01-11,14950.0,15150.0,13650.0,14100.0,975739
2021-01-12,14050.0,14050.0,13550.0,13800.0,335907
