date,open,high,low,close,volume
2020-01-02,2580.0,2625.0,2510.0,2535.0,955201
2020-01-03,2510.0,2600.0,2370.0,2455.0,1400396
2020-01-06,2375.0,2570.0,2350.0,2525.0,1535204
2020-01-07,2535.0,2565.0,2460.0,2470.0,702625
2020-01-08,2425.0,2440.0,2240.0,2350.0,1365017
2020-01-09,2495.0,2635.0,2430.0,2630.0,1746923
2020-01-10,2645.0,2730.0,2530.0,2645.0,1611079
2020-01-13,2680.0,2680.0,2505.0,2545.0,1266786
2020-01-14,2545.0,2585.0,2460.0,2510.0,921255
2020-01-15,2500.0,2515.0,2410.0,2485.0,945484
2020-01-16,2455.0,2545.0,2430.0,2505.0,701711
2020-01-17,2505.0,2525.0,2405.0,2430.0,730397
2020-01-20,2400.0,2455.0,2260.0,2290.0,1580308
2020-01-21,2290.0,2410.0,2280.0,2355.0,965865
2020-01-22,2310.0,2520.0,2305.0,2505.0,1050047
2020-01-23,2500.0,2510.0,2385.0,2455.0,1251037
2020-01-28,2280.0,2390.0,2235.0,2375.0,1631072
2020-01-29,2435.0,2500.0,2355.0,2485.0,1469896
2020-01-30,2420.0,2465.0,2330.0,2400.0,1226817
2020-01-31,2450.0,2505.0,2275.0,2295.0,1345808
2020-02-03,2200.0,2385.0,2185.0,2355.0,919038
2020-02-04,2395.0,2405.0,2305.0,2390.0,706348
2020-02-05,2405.0,2425.0,2245.0,2295.0,1296624
2020-02-06,2280.0,2350.0,2280.0,2320.0,711891
2020-02-07,2320.0,2420.0,2250.0,2410.0,1447506
2020-02-10,2390.0,2390.0,2275.0,2300.0,976141
2020-02-11,2300.0,2315.0,2220.0,2270.0,1087951
2020-02-12,2270.0,2285.0,2235.0,2270.0,579702
2020-02-13,2260.0,2305.0,2210.0,2245.0,574768
2020-02-14,2215.0,2345.0,2215.0,2320.0,960638
2020-02-17,2310.0,2375.0,2270.0,2375.0,682967
2020-02-18,2370.0,2370.0,2230.0,2255.0,1113333
2020-02-19,2255.0,2275.0,2155.0,2180.0,901744
2020-02-20,2180.0,2255.0,2150.0,2160.0,546083
2020-02-21,2145.0,2180.0,2010.0,2060.0,852459
2020-02-24,1935.0,2020.0,1935.0,1955.0,715723
2020-02-25,1915.0,2070.0,1915.0,2070.0,716017
2020-02-26,2020.0,2040.0,1940.0,1980.0,737516
2020-02-27,1980.0,1985.0,1785.0,1885.0,1046498
2020-02-28,1800.0,1820.0,1670.0,1720.0,1304363
2020-03-02,1680.0,1835.0,1670.0,1820.0,848598
2020-03-03,1880.0,1895.0,1815.0,1860.0,593807
2020-03-04,1840.0,1920.0,1820.0,1915.0,303269
2020-03-05,1930.0,1930.0,1865.0,1910.0,307986
2020-03-06,1880.0,1890.0,1820.0,1845.0,337747
2020-03-09,1800.0,1800.0,1690.0,1720.0,431239
2020-03-10,1690.0,1735.0,1650.0,1725.0,524687
2020-03-11,1730.0,1730.0,1580.0,1620.0,463639
2020-03-12,1595.0,1615.0,1425.0,1500.0,837649
2020-03-13,1395.0,1430.0,1200.0,1400.0,1266206
2020-03-16,1410.0,1435.0,1250.0,1250.0,673694
2020-03-17,1145.0,1295.0,1145.0,1265.0,478244
2020-03-18,1250.0,1305.0,1180.0,1185.0,597268
2020-03-19,1190.0,1225.0,890.0,914.0,1345230
2020-03-20,940.0,1020.0,933.0,1020.0,780732
2020-03-23,975.0,994.0,930.0,975.0,374494
2020-03-24,986.0,1070.0,986.0,1060.0,521572
2020-03-25,1115.0,1135.0,1080.0,1130.0,585929
2020-03-26,1130.0,1230.0,1080.0,1185.0,819061
2020-03-27,1265.0,1270.0,1170.0,1215.0,620297
2020-03-30,1150.0,1240.0,1145.0,1235.0,455444
2020-03-31,1250.0,1295.0,1240.0,1280.0,415966
2020-04-01,1275.0,1345.0,1240.0,1265.0,417710
2020-04-02,1250.0,1335.0,1220.0,1295.0,303090
2020-04-03,1300.0,1305.0,1240.0,1265.0,301103
2020-04-06,1250.0,1330.0,1235.0,1330.0,402662
2020-04-07,1470.0,1470.0,1355.0,1405.0,566738
2020-04-08,1400.0,1440.0,1340.0,1405.0,339958
2020-04-09,1480.0,1505.0,1430.0,1450.0,507653
2020-04-10,1455.0,1465.0,1375.0,1440.0,427654
2020-04-13,1440.0,1445.0,1335.0,1335.0,384246
2020-04-14,1340.0,1405.0,1340.0,1380.0,431740
2020-04-16,1395.0,1410.0,1330.0,1410.0,268508
2020-04-17,1425.0,1500.0,1425.0,1485.0,626984
2020-04-20,1490.0,1695.0,1490.0,1670.0,1376842
2020-04-21,1635.0,1650.0,1520.0,1590.0,876927
2020-04-22,1550.0,1590.0,1490.0,1590.0,512363
2020-04-23,1600.0,1605.0,1570.0,1600.0,254854
2020-04-24,1605.0,1605.0,1520.0,1535.0,241184
2020-04-27,1535.0,1650.0,1510.0,1610.0,509818
2020-04-28,1655.0,1660.0,1575.0,1610.0,361321
2020-04-29,1615.0,1735.0,1600.0,1695.0,873479
2020-05-04,1680.0,1850.0,1625.0,1800.0,891330
2020-05-06,1800.0,1845.0,1765.0,1800.0,563832
2020-05-07,1780.0,1805.0,1720.0,1790.0,562353
2020-05-08,1775.0,1830.0,1755.0,1795.0,564173
2020-05-11,1820.0,1825.0,1755.0,1775.0,718904
2020-05-12,1760.0,1785.0,1695.0,1735.0,439444
2020-05-13,1700.0,1735.0,1650.0,1730.0,315547
2020-05-14,1705.0,1750.0,1650.0,1685.0,432014
2020-05-15,1690.0,1745.0,1610.0,1670.0,339243
2020-05-18,1680.0,1680.0,1615.0,1655.0,199551
2020-05-19,1645.0,1735.0,1645.0,1685.0,545270
2020-05-20,1720.0,1790.0,1695.0,1770.0,730948
2020-05-21,1770.0,1785.0,1670.0,1765.0,1761351
2020-05-22,1730.0,1750.0,1675.0,1715.0,679402
2020-05-25,1700.0,1865.0,1700.0,1865.0,2162762
2020-05-26,1865.0,1925.0,1800.0,1910.0,2709717
2020-05-27,1930.0,1940.0,1850.0,1895.0,1341786
2020-05-28,1910.0,1920.0,1735.0,1820.0,1358741
2020-05-29,1810.0,1820.0,1730.0,1810.0,463874
2020-06-01,1810.0,1860.0,1795.0,1845.0,487528
2020-06-02,1850.0,1920.0,1800.0,1890.0,1022090
2020-06-03,1890.0,1890.0,1825.0,1840.0,507378
2020-06-04,1840.0,1875.0,1810.0,1850.0,406417
2020-06-05,1860.0,1860.0,1820.0,1835.0,295141
2020-06-08,1865.0,1865.0,1810.0,1845.0,344834
2020-06-09,1850.0,1875.0,1825.0,1845.0,428451
2020-06-10,1855.0,1855.0,1810.0,1845.0,410569
2020-06-11,1845.0,1845.0,1780.0,1800.0,540227
2020-06-12,1700.0,1745.0,1580.0,1740.0,690495
2020-06-15,1735.0,1735.0,1545.0,1550.0,680442
2020-06-16,1605.0,1650.0,1590.0,1645.0,467741
2020-06-17,1630.0,1700.0,1625.0,1675.0,295375
2020-06-18,1675.0,1700.0,1660.0,1695.0,269009
2020-06-19,1695.0,1715.0,1630.0,1655.0,661776
2020-06-22,1660.0,1710.0,1635.0,1690.0,477383
2020-06-23,1690.0,1730.0,1630.0,1665.0,456638
2020-06-24,1665.0,1725.0,1625.0,1710.0,482073
2020-06-25,1670.0,1705.0,1660.0,1690.0,228622
2020-06-26,1685.0,1705.0,1665.0,1680.0,195163
2020-06-29,1680.0,1680.0,1610.0,1630.0,285249
2020-06-30,1635.0,1665.0,1620.0,1645.0,248465
2020-07-01,1655.0,1755.0,1640.0,1700.0,624349
2020-07-02,1690.0,1730.0,1670.0,1700.0,211094
2020-07-03,1700.0,1715.0,1670.0,1695.0,182045
2020-07-06,1695.0,1830.0,1680.0,1820.0,1261905
2020-07-07,1825.0,1855.0,1775.0,1825.0,936917
2020-07-08,1820.0,1845.0,1780.0,1825.0,372224
2020-07-09,1840.0,1840.0,1780.0,1805.0,317816
2020-07-10,1805.0,1805.0,1760.0,1800.0,306697
2020-07-13,1800.0,1820.0,1785.0,1795.0,316348
2020-07-14,1800.0,1800.0,1750.0,1785.0,306891
2020-07-15,1845.0,1920.0,1800.0,1830.0,2646950
2020-07-16,1845.0,1855.0,1755.0,1805.0,718271
2020-07-17,1805.0,1820.0,1775.0,1790.0,359520
2020-07-20,1785.0,1800.0,1745.0,1785.0,522684
2020-07-21,1770.0,1880.0,1760.0,1880.0,1241807
2020-07-22,1860.0,1920.0,1815.0,1900.0,1672028
2020-07-23,1885.0,1895.0,1790.0,1840.0,682637
2020-07-24,1840.0,1840.0,1770.0,1790.0,439974
