date,open,high,low,close,volume
2020-01-02,4374.0,4437.0,4312.0,4437.0,132450
2020-01-03,4482.0,4482.0,4358.0,4421.0,150449
2020-01-06,4366.0,4420.0,4202.0,4390.0,175308
2020-01-07,4429.0,4476.0,4358.0,4437.0,142751
2020-01-08,4436.0,4436.0,4155.0,4202.0,199448
2020-01-09,4295.0,4412.0,4288.0,4351.0,82874
2020-01-10,4350.0,4490.0,4342.0,4484.0,136889
2020-01-13,4482.0,4615.0,4443.0,4601.0,181412
2020-01-14,4592.0,4607.0,4420.0,4484.0,209370
2020-01-15,4507.0,4600.0,4459.0,4554.0,88080
2020-01-16,4576.0,4615.0,4521.0,4538.0,55884
2020-01-17,4506.0,4732.0,4497.0,4655.0,278079
2020-01-20,4654.0,4693.0,4584.0,4616.0,107475
2020-01-21,4631.0,4654.0,4467.0,4523.0,134392
2020-01-22,4490.0,4646.0,4490.0,4601.0,118694
2020-01-23,4653.0,4724.0,4568.0,4647.0,96559
2020-01-28,4429.0,4593.0,4390.0,4554.0,170343
2020-01-29,4569.0,5022.0,4553.0,4593.0,1171833
2020-01-30,4584.0,4607.0,4302.0,4327.0,310119
2020-01-31,4319.0,4398.0,4108.0,4117.0,225406
2020-02-03,4053.0,4209.0,3967.0,4124.0,84446
2020-02-04,4263.0,4302.0,4162.0,4264.0,50326
2020-02-05,4280.0,4381.0,4233.0,4241.0,55483
2020-02-06,4296.0,4483.0,4280.0,4437.0,90641
2020-02-07,4443.0,4553.0,4397.0,4499.0,125034
2020-02-10,4521.0,4623.0,4428.0,4577.0,106700
2020-02-11,4631.0,4631.0,4537.0,4577.0,87988
2020-02-12,4623.0,4724.0,4545.0,4694.0,209742
2020-02-13,4664.0,4757.0,4616.0,4664.0,165440
2020-02-14,4631.0,4724.0,4623.0,4694.0,71662
2020-02-17,4703.0,4733.0,4640.0,4703.0,56845
2020-02-18,4702.0,4732.0,4568.0,4585.0,57903
2020-02-19,4561.0,4639.0,4459.0,4632.0,56238
2020-02-20,4631.0,4646.0,4522.0,4562.0,107066
2020-02-21,4521.0,4528.0,4294.0,4405.0,182066
2020-02-24,4248.0,4372.0,4146.0,4147.0,115750
2020-02-25,4099.0,4302.0,4084.0,4288.0,65227
2020-02-26,4146.0,4325.0,4146.0,4264.0,46441
2020-02-27,4264.0,4296.0,3991.0,4039.0,108313
2020-02-28,3950.0,4059.0,3638.0,3678.0,142210
2020-03-02,3670.0,3885.0,3584.0,3831.0,127070
2020-03-03,3858.0,4007.0,3834.0,3863.0,81302
2020-03-04,3873.0,4029.0,3846.0,3976.0,34739
2020-03-05,4029.0,4146.0,3983.0,4124.0,80954
2020-03-06,4060.0,4091.0,3888.0,3983.0,147926
2020-03-09,3935.0,3935.0,3709.0,3710.0,76789
2020-03-10,3599.0,3708.0,3521.0,3690.0,126853
2020-03-11,3693.0,3744.0,3420.0,3456.0,162445
2020-03-12,3365.0,3432.0,3108.0,3128.0,266561
2020-03-13,2823.0,2967.0,2268.0,2542.0,459974
2020-03-16,2724.0,2724.0,2412.0,2413.0,243075
2020-03-17,2182.0,2483.0,2174.0,2405.0,175282
2020-03-18,2389.0,2553.0,2288.0,2288.0,114344
2020-03-19,2358.0,2464.0,1648.0,1722.0,225880
2020-03-20,1721.0,1905.0,1721.0,1878.0,192622
2020-03-23,1732.0,1771.0,1623.0,1624.0,139846
2020-03-24,1697.0,1845.0,1662.0,1827.0,128604
2020-03-25,1886.0,2105.0,1886.0,2039.0,226173
2020-03-26,2049.0,2280.0,2041.0,2124.0,175898
2020-03-27,2319.0,2319.0,1960.0,2124.0,144797
2020-03-30,2119.0,2201.0,2026.0,2179.0,132019
2020-03-31,2264.0,2401.0,2225.0,2351.0,149274
2020-04-01,2410.0,2499.0,2327.0,2371.0,109402
2020-04-02,2319.0,2487.0,2315.0,2468.0,85846
2020-04-03,2478.0,2537.0,2400.0,2460.0,75516
2020-04-06,2475.0,2674.0,2471.0,2675.0,142878
2020-04-07,2780.0,2888.0,2654.0,2804.0,150338
2020-04-08,2857.0,2990.0,2779.0,2901.0,176368
2020-04-09,2927.0,3029.0,2900.0,2999.0,131590
2020-04-10,3041.0,3123.0,2849.0,3124.0,125020
2020-04-13,3084.0,3084.0,2952.0,2964.0,133452
2020-04-14,2967.0,3010.0,2917.0,2968.0,48953
2020-04-16,2966.0,3002.0,2858.0,2999.0,37124
2020-04-17,3053.0,3064.0,2978.0,2999.0,91580
2020-04-20,3005.0,3189.0,2994.0,3116.0,118514
2020-04-21,3107.0,3181.0,2830.0,3124.0,129334
2020-04-22,3053.0,3213.0,3037.0,3214.0,58761
2020-04-23,3279.0,3396.0,3197.0,3327.0,141056
2020-04-24,3327.0,3429.0,3093.0,3187.0,91941
2020-04-27,3205.0,3279.0,3178.0,3280.0,54012
2020-04-28,3279.0,3303.0,3178.0,3245.0,52372
2020-04-29,3217.0,3350.0,3206.0,3257.0,70178
2020-05-04,3218.0,3350.0,3213.0,3269.0,44232
2020-05-06,3341.0,3381.0,3286.0,3370.0,59165
2020-05-07,3424.0,3424.0,3342.0,3413.0,69641
2020-05-08,3444.0,3480.0,3370.0,3441.0,84153
2020-05-11,3470.0,3470.0,3329.0,3358.0,71497
2020-05-12,3357.0,3365.0,3162.0,3335.0,94522
2020-05-13,3283.0,3357.0,3248.0,3292.0,59292
2020-05-14,3291.0,3643.0,3256.0,3351.0,964899
2020-05-15,3326.0,3365.0,3240.0,3296.0,152980
2020-05-18,3303.0,3435.0,3240.0,3366.0,113649
2020-05-19,3428.0,3550.0,3369.0,3550.0,184272
2020-05-20,3557.0,3689.0,3510.0,3628.0,149917
2020-05-21,3638.0,3670.0,3592.0,3644.0,113133
2020-05-22,3681.0,3872.0,3642.0,3690.0,527319
2020-05-25,3784.0,3804.0,3702.0,3785.0,191774
2020-05-26,3788.0,3804.0,3737.0,3785.0,118321
2020-05-27,3857.0,3857.0,3783.0,3827.0,126454
2020-05-28,3827.0,3851.0,3550.0,3695.0,207876
2020-05-29,3591.0,3747.0,3560.0,3741.0,150269
2020-06-01,3755.0,3783.0,3696.0,3741.0,51040
2020-06-02,3747.0,3818.0,3696.0,3819.0,79376
2020-06-03,3825.0,3864.0,3720.0,3768.0,101879
2020-06-04,3767.0,3813.0,3716.0,3768.0,72937
2020-06-05,3794.0,3794.0,3716.0,3776.0,46856
2020-06-08,3811.0,3951.0,3732.0,3952.0,267876
2020-06-09,3951.0,3959.0,3884.0,3913.0,134828
2020-06-10,3905.0,3936.0,3878.0,3902.0,75170
2020-06-11,3904.0,4045.0,3853.0,3937.0,235733
2020-06-12,3687.0,3768.0,3585.0,3695.0,164134
2020-06-15,3709.0,3717.0,3265.0,3265.0,142288
2020-06-16,3334.0,3943.0,3334.0,3554.0,416034
2020-06-17,3502.0,3623.0,3420.0,3538.0,85748
2020-06-18,3538.0,3604.0,3514.0,3558.0,53327
2020-06-19,3553.0,3596.0,3514.0,3550.0,44280
2020-06-22,3553.0,3569.0,3487.0,3550.0,80577
2020-06-23,3568.0,3584.0,3471.0,3495.0,52626
2020-06-24,3522.0,3686.0,3502.0,3636.0,122930
2020-06-25,3591.0,3591.0,3490.0,3546.0,75297
2020-06-26,3552.0,3647.0,3545.0,3620.0,93684
2020-06-29,3591.0,3634.0,3459.0,3561.0,65814
2020-06-30,3572.0,3787.0,3557.0,3683.0,210766
2020-07-01,3690.0,3784.0,3522.0,3558.0,103502
2020-07-02,3556.0,3627.0,3490.0,3534.0,52852
2020-07-03,3591.0,3591.0,3498.0,3546.0,51252
2020-07-06,3545.0,3697.0,3545.0,3616.0,129401
2020-07-07,3662.0,3662.0,3545.0,3585.0,46397
2020-07-08,3623.0,3681.0,3498.0,3659.0,104858
2020-07-09,3670.0,3787.0,3658.0,3683.0,94759
2020-07-10,3685.0,3712.0,3615.0,3678.0,71529
2020-07-13,3667.0,3709.0,3616.0,3648.0,50125
2020-07-14,3647.0,3706.0,3577.0,3597.0,48875
2020-07-15,3650.0,3650.0,3569.0,3616.0,68086
2020-07-16,3667.0,3667.0,3530.0,3609.0,39040
2020-07-17,3607.0,3607.0,3513.0,3534.0,102041
2020-07-20,3542.0,3546.0,3382.0,3441.0,71476
2020-07-21,3451.0,3501.0,3396.0,3444.0,56518
2020-07-22,3427.0,3513.0,3392.0,3448.0,42023
2020-07-23,3491.0,3491.0,3404.0,3433.0,29819
2020-07-24,3427.0,3431.0,3341.0,3397.0,54901
2020-07-27,3361.0,3396.0,3334.0,3366.0,31279
2020-07-28,3393.0,3393.0,3291.0,3339.0,60745
2020-07-29,3334.0,3334.0,3271.0,3280.0,35193
2020-07-30,3318.0,3420.0,3318.0,3366.0,57098
2020-07-31,3365.0,3448.0,3354.0,3421.0,40000
2020-08-03,3420.0,3435.0,3381.0,3417.0,41068
2020-08-04,3416.0,3494.0,3397.0,3460.0,38444
2020-08-05,3486.0,3506.0,3439.0,3468.0,29527
2020-08-06,3502.0,3506.0,3389.0,3425.0,67607
2020-08-07,3424.0,3424.0,3322.0,3351.0,50435
2020-08-10,3318.0,3349.0,3291.0,3331.0,37440
2020-08-11,3350.0,3381.0,3330.0,3351.0,24504
2020-08-12,3349.0,3369.0,3276.0,3327.0,34802
2020-08-13,3326.0,3394.0,3326.0,3355.0,23250
2020-08-14,3349.0,3400.0,3295.0,3319.0,44886
2020-08-18,3251.0,3310.0,2677.0,2772.0,622170
2020-08-19,2858.0,2959.0,2772.0,2886.0,175363
2020-08-20,2888.0,2919.0,2693.0,2733.0,116390
2020-08-21,2771.0,2849.0,2686.0,2788.0,68081
2020-08-24,2787.0,2842.0,2701.0,2831.0,23337
2020-08-25,2830.0,3041.0,2830.0,2929.0,50315
2020-08-26,2936.0,3018.0,2893.0,2964.0,57001
2020-08-27,2964.0,3003.0,2917.0,2972.0,60903
2020-08-28,2971.0,3044.0,2931.0,2960.0,48908
2020-08-31,2959.0,3044.0,2881.0,2960.0,110428
2020-09-01,2936.0,3030.0,2936.0,3003.0,41708
2020-09-02,3061.0,3061.0,2975.0,3007.0,33075
2020-09-03,2998.0,3056.0,2982.0,2999.0,67690
2020-09-04,2858.0,3022.0,2858.0,2976.0,64610
2020-09-07,3025.0,3034.0,2956.0,3007.0,66435
2020-09-08,3010.0,3076.0,2979.0,3015.0,49965
2020-09-09,3042.0,3042.0,2948.0,3023.0,22607
2020-09-10,3021.0,3044.0,2986.0,3026.0,21570
2020-09-11,3018.0,3120.0,2991.0,3113.0,86569
2020-09-14,3111.0,3146.0,3080.0,3143.0,30932
2020-09-15,3140.0,3155.0,3073.0,3140.0,33850
2020-09-16,3109.0,3159.0,3077.0,3109.0,43545
2020-09-17,3127.0,3143.0,3069.0,3132.0,68019
2020-09-18,3131.0,3142.0,3053.0,3143.0,35337
