date,open,high,low,close,volume
2020-01-02,3675.0,3745.0,3645.0,3745.0,12979
2020-01-03,3745.0,3760.0,3685.0,3735.0,8632
2020-01-06,3675.0,3945.0,3625.0,3760.0,49364
2020-01-07,3765.0,4400.0,3765.0,3900.0,322113
2020-01-08,3895.0,3970.0,3775.0,3880.0,42033
2020-01-09,3880.0,4200.0,3720.0,4090.0,101513
2020-01-10,4530.0,4540.0,4115.0,4175.0,142373
2020-01-13,4350.0,4350.0,4120.0,4200.0,93051
2020-01-14,4235.0,4250.0,4135.0,4200.0,22959
2020-01-15,4295.0,4295.0,4115.0,4140.0,28359
2020-01-16,4140.0,4145.0,4030.0,4085.0,30721
2020-01-17,4085.0,4165.0,4040.0,4120.0,13621
2020-01-20,4120.0,4140.0,4045.0,4080.0,11205
2020-01-21,4040.0,4125.0,4020.0,4055.0,11820
2020-01-22,4055.0,4055.0,3975.0,4005.0,11486
2020-01-23,4005.0,4010.0,3920.0,3945.0,27762
2020-01-28,3850.0,3900.0,3725.0,3885.0,18006
2020-01-29,3865.0,4005.0,3865.0,3940.0,5241
2020-01-30,3910.0,3985.0,3800.0,3895.0,5564
2020-01-31,3895.0,3970.0,3750.0,3780.0,22992
2020-02-03,3630.0,3780.0,3575.0,3625.0,30164
2020-02-04,3685.0,3685.0,3585.0,3625.0,33577
2020-02-05,3800.0,4020.0,3785.0,3985.0,102544
2020-02-06,3995.0,4145.0,3935.0,4090.0,56120
2020-02-07,4110.0,4225.0,4085.0,4180.0,69445
2020-02-10,4180.0,4180.0,4050.0,4165.0,27242
2020-02-11,4065.0,4250.0,3995.0,4240.0,48165
2020-02-12,4240.0,4380.0,4140.0,4215.0,41990
2020-02-13,4170.0,4170.0,3980.0,4080.0,71901
2020-02-14,4080.0,4125.0,4000.0,4095.0,19688
2020-02-17,4090.0,4145.0,4030.0,4140.0,21810
2020-02-18,4100.0,4135.0,3970.0,3970.0,35166
2020-02-19,3970.0,4020.0,3935.0,3985.0,38548
2020-02-20,3905.0,4115.0,3905.0,3990.0,39495
2020-02-21,3985.0,3990.0,3890.0,3930.0,41295
2020-02-24,3930.0,3975.0,3800.0,3970.0,50689
2020-02-25,3970.0,4090.0,3950.0,4000.0,36222
2020-02-26,4000.0,4380.0,3960.0,4380.0,190347
2020-02-27,4570.0,4780.0,3885.0,3885.0,377156
2020-02-28,3875.0,3875.0,3670.0,3700.0,61994
