date,open,high,low,close,volume
2020-01-02,5100.0,5170.0,5080.0,5170.0,36660
2020-01-03,5130.0,5230.0,5130.0,5140.0,26873
2020-01-06,5080.0,5080.0,4925.0,4970.0,70263
2020-01-07,5000.0,5020.0,4970.0,4970.0,25591
2020-01-08,4970.0,5000.0,4605.0,4670.0,158649
2020-01-09,4735.0,5100.0,4735.0,5070.0,129133
2020-01-10,5070.0,5200.0,5020.0,5160.0,56193
2020-01-13,5170.0,5330.0,5120.0,5270.0,95062
2020-01-14,5290.0,5290.0,5140.0,5180.0,32571
2020-01-15,5180.0,5340.0,5120.0,5290.0,63600
2020-01-16,5340.0,5350.0,5210.0,5290.0,31503
2020-01-17,5290.0,5360.0,5240.0,5330.0,53368
2020-01-20,5380.0,5380.0,5180.0,5200.0,35607
2020-01-21,5170.0,5290.0,5090.0,5100.0,65062
2020-01-22,5050.0,5160.0,5050.0,5100.0,27662
2020-01-23,5100.0,5130.0,5050.0,5100.0,39122
2020-01-28,4855.0,4990.0,4845.0,4935.0,60615
2020-01-29,4905.0,5020.0,4870.0,5000.0,43328
2020-01-30,4960.0,5030.0,4810.0,4820.0,58994
2020-01-31,4705.0,4860.0,4700.0,4705.0,76421
2020-02-03,4525.0,4645.0,4405.0,4610.0,121867
2020-02-04,4600.0,4785.0,4600.0,4750.0,67246
2020-02-05,4775.0,4925.0,4760.0,4810.0,50466
2020-02-06,4765.0,5000.0,4765.0,4930.0,56631
2020-02-07,5000.0,5000.0,4890.0,4910.0,25223
2020-02-10,4910.0,4980.0,4885.0,4955.0,34665
2020-02-11,4865.0,4915.0,4845.0,4875.0,53455
2020-02-12,4875.0,4905.0,4805.0,4900.0,44278
2020-02-13,4845.0,4945.0,4800.0,4850.0,40616
2020-02-14,4805.0,4865.0,4805.0,4840.0,34743
2020-02-17,4900.0,4900.0,4790.0,4790.0,32922
2020-02-18,4805.0,4805.0,4685.0,4700.0,48663
2020-02-19,4680.0,4725.0,4605.0,4640.0,60030
2020-02-20,4600.0,4665.0,4570.0,4595.0,40214
2020-02-21,4510.0,4575.0,4485.0,4500.0,73332
2020-02-24,4370.0,4400.0,4130.0,4130.0,101179
2020-02-25,4000.0,4330.0,4000.0,4320.0,98682
2020-02-26,4305.0,4570.0,4220.0,4400.0,37655
2020-02-27,4405.0,4470.0,4230.0,4235.0,62183
2020-02-28,4095.0,4220.0,3975.0,4000.0,126841
2020-03-02,3900.0,4190.0,3900.0,4125.0,65575
2020-03-03,4140.0,4275.0,4125.0,4155.0,50841
2020-03-04,4155.0,4240.0,4110.0,4220.0,25945
2020-03-05,4245.0,4330.0,4230.0,4320.0,33479
2020-03-06,4380.0,4550.0,4220.0,4260.0,50682
2020-03-09,4225.0,4225.0,4010.0,4040.0,59070
2020-03-10,3920.0,4065.0,3905.0,3990.0,63812
2020-03-11,3980.0,4045.0,3885.0,3890.0,82517
2020-03-12,3750.0,3845.0,3375.0,3435.0,182773
2020-03-13,2980.0,3190.0,2710.0,2985.0,252807
2020-03-16,2985.0,3190.0,2870.0,2870.0,140175
2020-03-17,2475.0,2910.0,2475.0,2860.0,100934
2020-03-18,2865.0,3005.0,2710.0,2710.0,90784
2020-03-19,2695.0,2780.0,2250.0,2320.0,262782
2020-03-20,2235.0,2510.0,2235.0,2500.0,153256
2020-03-23,2405.0,2415.0,2230.0,2310.0,94442
2020-03-24,2335.0,2440.0,2265.0,2405.0,147764
2020-03-25,2420.0,2630.0,2420.0,2585.0,165841
2020-03-26,2620.0,2935.0,2580.0,2830.0,283432
2020-03-27,2905.0,3055.0,2770.0,2885.0,162796
2020-03-30,2865.0,2885.0,2700.0,2885.0,81795
2020-03-31,2975.0,3750.0,2975.0,3750.0,761807
2020-04-01,3975.0,4385.0,3735.0,3770.0,1480522
2020-04-02,3840.0,4430.0,3505.0,4020.0,1327340
2020-04-03,4020.0,4160.0,3900.0,4100.0,370676
2020-04-06,4350.0,4780.0,4315.0,4510.0,1270088
2020-04-07,4515.0,4665.0,4290.0,4485.0,518203
2020-04-08,4475.0,4580.0,4320.0,4485.0,275113
2020-04-09,4525.0,5110.0,4410.0,4580.0,1339726
2020-04-10,4655.0,4835.0,4190.0,4540.0,591320
2020-04-13,4555.0,4730.0,4365.0,4495.0,470013
2020-04-14,4700.0,4900.0,4570.0,4770.0,1099237
2020-04-16,4890.0,5330.0,4735.0,5110.0,1680668
2020-04-17,5000.0,5060.0,4870.0,4940.0,404369
2020-04-20,4945.0,5340.0,4940.0,5210.0,1127839
2020-04-21,5180.0,5330.0,4300.0,4940.0,984539
2020-04-22,4900.0,5050.0,4655.0,4965.0,387824
2020-04-23,4990.0,5060.0,4910.0,5060.0,275860
2020-04-24,5030.0,5060.0,4800.0,4890.0,294731
2020-04-27,4935.0,4980.0,4815.0,4865.0,189550
2020-04-28,4870.0,4880.0,4615.0,4670.0,273637
2020-04-29,4700.0,4700.0,4595.0,4620.0,116465
2020-05-04,4900.0,4905.0,4625.0,4670.0,271990
2020-05-06,4750.0,4750.0,4600.0,4690.0,187692
2020-05-07,4670.0,4790.0,4605.0,4635.0,192663
2020-05-08,4650.0,4770.0,4640.0,4745.0,175066
2020-05-11,4720.0,4740.0,4565.0,4640.0,156612
2020-05-12,4640.0,4665.0,4465.0,4565.0,96919
2020-05-13,4500.0,4560.0,4390.0,4555.0,59280
2020-05-14,4450.0,4580.0,4450.0,4495.0,75929
2020-05-15,4555.0,4555.0,4360.0,4480.0,104953
2020-05-18,4500.0,4535.0,4405.0,4500.0,74094
2020-05-19,4525.0,4675.0,4350.0,4665.0,159374
2020-05-20,4665.0,4745.0,4620.0,4725.0,111424
2020-05-21,4750.0,4765.0,4645.0,4730.0,128896
2020-05-22,4690.0,4745.0,4615.0,4650.0,82069
2020-05-25,4600.0,4680.0,4580.0,4590.0,87491
2020-05-26,4560.0,4840.0,4555.0,4785.0,331306
2020-05-27,4790.0,4845.0,4685.0,4750.0,148031
2020-05-28,4775.0,5190.0,4580.0,4730.0,1349520
2020-05-29,4770.0,4835.0,4630.0,4715.0,149504
2020-06-01,4820.0,4880.0,4725.0,4745.0,194951
2020-06-02,4780.0,4975.0,4760.0,4910.0,318231
2020-06-03,4885.0,5040.0,4845.0,4910.0,341957
2020-06-04,4910.0,4965.0,4840.0,4900.0,160099
2020-06-05,4920.0,5630.0,4900.0,5050.0,2151518
2020-06-08,5000.0,5040.0,4875.0,4945.0,479549
2020-06-09,4885.0,4900.0,4740.0,4820.0,267920
2020-06-10,4745.0,4820.0,4730.0,4770.0,143567
2020-06-11,4720.0,4900.0,4635.0,4685.0,148811
2020-06-12,4320.0,4560.0,4315.0,4520.0,220235
2020-06-15,4440.0,4505.0,4100.0,4100.0,266507
2020-06-16,4120.0,4475.0,4100.0,4450.0,163561
2020-06-17,4285.0,4320.0,4130.0,4240.0,174856
2020-06-18,4360.0,4360.0,4200.0,4290.0,97769
2020-06-19,4355.0,4645.0,4280.0,4355.0,252965
2020-06-22,4350.0,4410.0,4245.0,4305.0,78363
2020-06-23,4260.0,4330.0,4200.0,4220.0,72151
2020-06-24,4490.0,4500.0,4290.0,4480.0,198288
2020-06-25,4390.0,4420.0,4305.0,4315.0,72483
2020-06-26,4330.0,4385.0,4240.0,4330.0,59425
2020-06-29,4285.0,4520.0,4280.0,4505.0,179507
2020-06-30,4495.0,4505.0,4340.0,4440.0,96371
2020-07-01,4450.0,5200.0,4420.0,4520.0,3276179
2020-07-02,4520.0,4645.0,4470.0,4580.0,208786
2020-07-03,4630.0,4825.0,4535.0,4820.0,507021
2020-07-06,4955.0,5250.0,4850.0,4920.0,2215802
2020-07-07,4885.0,4910.0,4685.0,4745.0,405034
2020-07-08,4740.0,5050.0,4690.0,4775.0,717623
2020-07-09,4800.0,4875.0,4735.0,4740.0,222876
2020-07-10,4750.0,4835.0,4655.0,4670.0,175923
2020-07-13,4660.0,4980.0,4600.0,4960.0,518090
2020-07-14,4960.0,4960.0,4820.0,4860.0,269719
2020-07-15,4910.0,5030.0,4885.0,4920.0,340591
2020-07-16,4925.0,4970.0,4800.0,4805.0,208093
2020-07-17,4850.0,4910.0,4775.0,4830.0,184309
2020-07-20,4835.0,4870.0,4730.0,4795.0,163576
2020-07-21,4795.0,4945.0,4720.0,4900.0,238084
2020-07-22,4900.0,4925.0,4830.0,4860.0,143087
2020-07-23,4830.0,5090.0,4740.0,4750.0,322408
2020-07-24,4750.0,4930.0,4735.0,4880.0,268537
2020-07-27,4885.0,5080.0,4870.0,5000.0,386889
2020-07-28,5000.0,5000.0,4800.0,4835.0,275831
2020-07-29,4835.0,4905.0,4810.0,4840.0,109808
2020-07-30,4870.0,5470.0,4860.0,5170.0,2009107
2020-07-31,5120.0,5150.0,4935.0,4970.0,486183
2020-08-03,4975.0,5130.0,4970.0,5030.0,345300
2020-08-04,5030.0,5210.0,5030.0,5090.0,330541
2020-08-05,5070.0,5180.0,5000.0,5050.0,195219
2020-08-06,5070.0,5820.0,5070.0,5380.0,5160399
2020-08-07,5350.0,5350.0,5140.0,5250.0,610402
2020-08-10,5320.0,5980.0,5320.0,5630.0,4227314
2020-08-11,5580.0,5630.0,5450.0,5570.0,637529
2020-08-12,5510.0,5520.0,5270.0,5280.0,423466
2020-08-13,5280.0,5340.0,5160.0,5200.0,247014
2020-08-14,5200.0,5250.0,4995.0,5070.0,292693
2020-08-18,5070.0,5070.0,4600.0,4650.0,367659
2020-08-19,4650.0,4755.0,4580.0,4645.0,165678
2020-08-20,4645.0,4775.0,4420.0,4485.0,282715
2020-08-21,4485.0,4695.0,4400.0,4565.0,101345
2020-08-24,4565.0,4825.0,4495.0,4740.0,192074
2020-08-25,4770.0,4880.0,4700.0,4880.0,129490
2020-08-26,4950.0,4980.0,4750.0,4890.0,270809
2020-08-27,4865.0,4865.0,4580.0,4640.0,211262
2020-08-28,4705.0,4760.0,4625.0,4720.0,114555
2020-08-31,4730.0,4925.0,4730.0,4860.0,165650
2020-09-01,4860.0,4860.0,4750.0,4810.0,91391
2020-09-02,4835.0,4845.0,4680.0,4800.0,70777
2020-09-03,4800.0,4835.0,4770.0,4805.0,88263
2020-09-04,4525.0,4760.0,4505.0,4715.0,91332
2020-09-07,4740.0,4765.0,4640.0,4735.0,86947
2020-09-08,4690.0,4775.0,4690.0,4710.0,93088
2020-09-09,4685.0,4730.0,4650.0,4650.0,78535
2020-09-10,4650.0,4725.0,4650.0,4675.0,62500
2020-09-11,4820.0,4935.0,4640.0,4710.0,155003
2020-09-14,4860.0,4950.0,4730.0,4950.0,336994
2020-09-15,4950.0,5040.0,4825.0,5040.0,505882
2020-09-16,5610.0,5950.0,5190.0,5240.0,5193965
2020-09-17,5210.0,5210.0,4950.0,4990.0,574981
2020-09-18,4970.0,5030.0,4830.0,4935.0,264255
2020-09-21,4900.0,5440.0,4865.0,5140.0,1325750
2020-09-22,5060.0,5140.0,4880.0,4965.0,250209
2020-09-23,4970.0,5030.0,4740.0,4840.0,242526
2020-09-24,4720.0,4945.0,4630.0,4665.0,261981
2020-09-25,4670.0,4955.0,4535.0,4865.0,399299
2020-09-28,4870.0,4990.0,4800.0,4985.0,195894
2020-09-29,4990.0,5190.0,4920.0,5070.0,265983
2020-10-05,4970.0,4980.0,4865.0,4945.0,145661
2020-10-06,4905.0,5060.0,4810.0,4970.0,194906
2020-10-07,4960.0,5060.0,4930.0,4985.0,95449
2020-10-08,4940.0,5040.0,4935.0,4950.0,90877
2020-10-12,5050.0,5310.0,4980.0,5120.0,693355
2020-10-13,5140.0,5140.0,5010.0,5060.0,172400
2020-10-14,5070.0,5330.0,4945.0,4975.0,657745
2020-10-15,5000.0,5140.0,4880.0,4975.0,351730
2020-10-16,4985.0,4995.0,4850.0,4940.0,133491
2020-10-19,4870.0,4955.0,4840.0,4860.0,67707
