date,open,high,low,close,volume
2020-01-02,6663.0,6992.0,6468.0,6803.0,1037078
2020-01-03,6807.0,6852.0,6628.0,6798.0,352824
2020-01-06,6837.0,7412.0,6478.0,6528.0,911750
2020-01-07,6677.0,7252.0,6318.0,6443.0,545973
2020-01-08,6428.0,6438.0,5799.0,5969.0,345167
2020-01-09,6153.0,6292.0,6113.0,6253.0,142067
2020-01-10,6253.0,6557.0,6178.0,6503.0,245958
2020-01-13,6522.0,6642.0,6448.0,6498.0,122721
2020-01-14,6448.0,6587.0,6378.0,6473.0,72058
2020-01-15,6507.0,6507.0,6328.0,6453.0,79086
2020-01-16,6447.0,6447.0,6283.0,6423.0,78814
2020-01-17,6388.0,6537.0,6328.0,6423.0,47626
2020-01-20,6487.0,6517.0,6213.0,6298.0,55705
2020-01-21,6293.0,6323.0,6014.0,6014.0,93390
2020-01-22,6083.0,6083.0,5949.0,5969.0,41352
2020-01-23,5963.0,6062.0,5918.0,6058.0,36205
2020-01-28,5838.0,5908.0,5669.0,5679.0,91697
2020-01-29,5703.0,5798.0,5649.0,5684.0,37358
2020-01-30,5678.0,5753.0,5359.0,5459.0,64514
2020-01-31,5408.0,5543.0,5244.0,5284.0,58637
2020-02-03,5139.0,5313.0,4959.0,5294.0,38963
2020-02-04,5239.0,5538.0,5239.0,5484.0,32040
2020-02-05,5478.0,5498.0,5289.0,5384.0,35030
2020-02-06,5378.0,5493.0,5314.0,5354.0,51344
2020-02-07,5418.0,5418.0,5229.0,5339.0,55390
2020-02-10,5333.0,5333.0,5094.0,5264.0,29615
2020-02-11,5283.0,5323.0,5189.0,5199.0,26514
2020-02-12,5184.0,5209.0,5015.0,5025.0,68658
2020-02-13,5024.0,5743.0,4999.0,5109.0,380691
2020-02-14,5103.0,5348.0,5054.0,5054.0,131658
2020-02-17,5054.0,5098.0,4844.0,5094.0,109963
2020-02-18,5054.0,5203.0,4979.0,5139.0,52573
2020-02-19,5133.0,5218.0,4949.0,5049.0,34335
2020-02-20,5114.0,5134.0,4850.0,4975.0,50457
2020-02-21,4844.0,4959.0,4705.0,4715.0,42451
2020-02-24,4539.0,4709.0,4410.0,4490.0,69545
2020-02-25,4225.0,4614.0,4225.0,4575.0,124962
2020-02-26,4540.0,4589.0,4405.0,4580.0,18348
2020-02-27,4555.0,4629.0,4390.0,4575.0,55158
2020-02-28,4390.0,4470.0,3976.0,3996.0,96200
2020-03-02,4010.0,4209.0,3970.0,4125.0,55804
2020-03-03,4225.0,5359.0,4165.0,4875.0,3342625
2020-03-04,4810.0,5239.0,4600.0,4995.0,813410
2020-03-05,4989.0,5344.0,4870.0,4950.0,531418
2020-03-06,4794.0,5074.0,4630.0,4650.0,191857
2020-03-09,4644.0,4674.0,4270.0,4350.0,82292
2020-03-10,4345.0,4969.0,4205.0,4680.0,370139
2020-03-11,4665.0,5649.0,4445.0,4915.0,1213672
2020-03-12,4909.0,4909.0,4090.0,4170.0,361750
2020-03-13,3456.0,3755.0,3291.0,3596.0,291402
2020-03-16,3450.0,3850.0,3126.0,3126.0,247077
2020-03-17,2812.0,3156.0,2812.0,2997.0,222537
2020-03-18,3001.0,3111.0,2782.0,2877.0,145359
2020-03-19,2901.0,2935.0,2102.0,2197.0,289498
2020-03-20,2202.0,2416.0,2202.0,2302.0,221373
2020-03-23,2166.0,2206.0,1982.0,2052.0,106171
2020-03-24,2152.0,2247.0,2077.0,2247.0,65504
2020-03-25,2337.0,2476.0,2292.0,2437.0,95115
2020-03-26,2462.0,2806.0,2402.0,2727.0,193345
2020-03-27,2991.0,2991.0,2417.0,2742.0,121432
2020-03-30,2562.0,2906.0,2547.0,2797.0,61689
2020-03-31,2847.0,3041.0,2817.0,2977.0,119655
2020-04-01,2962.0,3216.0,2902.0,2997.0,90811
2020-04-02,2956.0,3085.0,2866.0,3081.0,60569
2020-04-03,3096.0,3670.0,3096.0,3301.0,512671
2020-04-06,3321.0,3485.0,3161.0,3466.0,111115
2020-04-07,3471.0,3565.0,3266.0,3471.0,121760
2020-04-08,3441.0,3590.0,3306.0,3536.0,69103
2020-04-09,3546.0,3675.0,3441.0,3611.0,61343
2020-04-10,3630.0,3650.0,3291.0,3566.0,67116
2020-04-13,3565.0,3565.0,3361.0,3361.0,56692
2020-04-14,3366.0,3555.0,3366.0,3521.0,71068
2020-04-16,3511.0,3700.0,3461.0,3681.0,59260
2020-04-17,3681.0,4045.0,3681.0,3961.0,135066
2020-04-20,3985.0,4055.0,3861.0,3901.0,48420
2020-04-21,3895.0,3900.0,3461.0,3711.0,115767
2020-04-22,3551.0,3720.0,3436.0,3666.0,59904
2020-04-23,3671.0,3820.0,3626.0,3801.0,44460
2020-04-24,3775.0,3860.0,3686.0,3721.0,40013
2020-04-27,3716.0,3890.0,3716.0,3841.0,25246
2020-04-28,3895.0,4829.0,3895.0,4095.0,2191596
2020-04-29,4045.0,4105.0,3906.0,3961.0,190518
2020-05-04,3850.0,3915.0,3686.0,3771.0,113476
2020-05-06,3766.0,3820.0,3716.0,3801.0,55723
2020-05-07,3805.0,4304.0,3790.0,4040.0,426751
2020-05-08,4040.0,4149.0,4000.0,4125.0,122138
2020-05-11,4179.0,4194.0,4010.0,4065.0,55838
2020-05-12,4070.0,4090.0,3746.0,4021.0,58855
2020-05-13,4011.0,4095.0,3791.0,4011.0,44529
2020-05-14,3965.0,4025.0,3866.0,3901.0,56000
2020-05-15,3921.0,4310.0,3831.0,4021.0,182640
2020-05-18,4015.0,4015.0,3941.0,3996.0,49603
2020-05-19,3990.0,4214.0,3990.0,4175.0,131637
2020-05-20,4150.0,4359.0,4105.0,4275.0,117107
2020-05-21,4270.0,4359.0,4240.0,4335.0,75019
2020-05-22,4379.0,4419.0,4120.0,4235.0,103129
2020-05-25,4280.0,4344.0,4255.0,4320.0,41904
2020-05-26,4310.0,4644.0,4250.0,4545.0,232846
2020-05-27,4569.0,4734.0,4440.0,4535.0,208324
2020-05-28,4559.0,4559.0,4200.0,4400.0,114426
2020-05-29,4380.0,4484.0,4300.0,4445.0,48390
2020-06-01,4600.0,4944.0,4495.0,4800.0,700142
2020-06-02,4804.0,5183.0,4684.0,5174.0,733882
2020-06-03,5258.0,5528.0,4989.0,5114.0,621268
2020-06-04,5469.0,6643.0,5349.0,5894.0,4521805
2020-06-05,5778.0,5808.0,5419.0,5489.0,560413
2020-06-08,5493.0,5683.0,5089.0,5184.0,634854
2020-06-09,5174.0,5508.0,5174.0,5229.0,553511
2020-06-10,5144.0,5194.0,4925.0,5035.0,286886
2020-06-11,4984.0,5158.0,4934.0,5049.0,125591
2020-06-12,4715.0,4914.0,4675.0,4860.0,184131
2020-06-15,4799.0,4814.0,4280.0,4280.0,300165
2020-06-16,4380.0,4574.0,4380.0,4430.0,135444
2020-06-17,4430.0,4749.0,4370.0,4485.0,109559
2020-06-18,4510.0,4594.0,4445.0,4530.0,82915
2020-06-19,4465.0,4584.0,4465.0,4560.0,80536
2020-06-22,4555.0,4689.0,4545.0,4640.0,92067
2020-06-23,4764.0,4764.0,4510.0,4635.0,96612
2020-06-24,4714.0,4974.0,4420.0,4500.0,454389
2020-06-25,4480.0,5843.0,4310.0,4695.0,6973478
2020-06-26,4689.0,4704.0,4465.0,4545.0,412430
2020-06-29,4374.0,4479.0,4300.0,4335.0,187560
2020-06-30,4335.0,4494.0,4305.0,4445.0,128161
2020-07-01,4464.0,4549.0,4430.0,4440.0,101479
2020-07-02,4480.0,4509.0,4390.0,4500.0,52184
2020-07-03,4505.0,4719.0,4495.0,4680.0,138146
2020-07-06,4680.0,4904.0,4625.0,4870.0,200008
2020-07-07,4874.0,4889.0,4630.0,4715.0,154554
2020-07-08,4715.0,4819.0,4645.0,4755.0,68742
2020-07-09,4760.0,4994.0,4730.0,4825.0,250631
2020-07-10,4824.0,4839.0,4610.0,4650.0,139044
2020-07-13,4650.0,5174.0,4605.0,4885.0,817706
2020-07-14,4864.0,5463.0,4809.0,5204.0,1461227
2020-07-15,5178.0,5178.0,4949.0,5049.0,216059
2020-07-16,5089.0,5253.0,5014.0,5099.0,200702
