date,open,high,low,close,volume
2020-01-02,7600.0,7639.0,7570.0,7590.0,20860
2020-01-03,7590.0,7590.0,7460.0,7550.0,57990
2020-01-06,7450.0,7480.0,7400.0,7420.0,33460
2020-01-07,7419.0,7480.0,7390.0,7420.0,29520
2020-01-08,7390.0,7390.0,7120.0,7170.0,66570
2020-01-09,7360.0,7360.0,7160.0,7160.0,39770
2020-01-10,7220.0,7270.0,7160.0,7220.0,20300
2020-01-13,7250.0,7470.0,7240.0,7370.0,49150
2020-01-14,7300.0,7370.0,7260.0,7270.0,35540
2020-01-15,7270.0,7460.0,7270.0,7430.0,34780
2020-01-16,7470.0,7470.0,7370.0,7390.0,30590
2020-01-17,7340.0,7440.0,7320.0,7330.0,33700
2020-01-20,7440.0,7440.0,7290.0,7310.0,21430
2020-01-21,7310.0,7350.0,7210.0,7240.0,30790
2020-01-22,7170.0,7230.0,7150.0,7160.0,45860
2020-01-23,7150.0,7350.0,7100.0,7150.0,83190
2020-01-28,7060.0,7110.0,6910.0,6990.0,46680
2020-01-29,7000.0,7040.0,6950.0,6980.0,19990
2020-01-30,6990.0,6990.0,6660.0,6820.0,67060
2020-01-31,6820.0,6820.0,6600.0,6700.0,64350
2020-02-03,6680.0,6680.0,6470.0,6500.0,60330
2020-02-04,6499.0,6600.0,6480.0,6530.0,41810
2020-02-05,6530.0,6600.0,6500.0,6580.0,37650
2020-02-06,6610.0,6790.0,6580.0,6780.0,38830
2020-02-07,6870.0,6870.0,6730.0,6850.0,53350
2020-02-10,6870.0,7130.0,6800.0,7080.0,54060
2020-02-11,7090.0,7190.0,6940.0,7100.0,85280
2020-02-12,7000.0,7110.0,7000.0,7070.0,27320
2020-02-13,7050.0,7170.0,7000.0,7150.0,110600
2020-02-14,7150.0,7150.0,6970.0,7000.0,69250
2020-02-17,7000.0,7000.0,6850.0,6970.0,35930
2020-02-18,6970.0,6970.0,6860.0,6870.0,20930
2020-02-19,6870.0,6880.0,6770.0,6780.0,37030
2020-02-20,6780.0,6800.0,6600.0,6640.0,60570
2020-02-21,6640.0,6660.0,6500.0,6580.0,59730
2020-02-24,6500.0,6500.0,6299.0,6310.0,111250
2020-02-25,6250.0,6380.0,6240.0,6360.0,77640
2020-02-26,6229.0,6400.0,6229.0,6380.0,31720
2020-02-27,6430.0,6480.0,6370.0,6400.0,40810
2020-02-28,6390.0,6390.0,6200.0,6250.0,51460
2020-03-02,6260.0,6350.0,6250.0,6310.0,40910
2020-03-03,6310.0,6480.0,6310.0,6340.0,31560
2020-03-04,6380.0,6530.0,6300.0,6520.0,50720
2020-03-05,6600.0,6730.0,6510.0,6700.0,43750
2020-03-06,6690.0,6690.0,6390.0,6440.0,102470
2020-03-09,6400.0,6470.0,6110.0,6150.0,68590
2020-03-10,6100.0,6150.0,5960.0,6150.0,75990
2020-03-11,6019.0,6179.0,5779.0,5810.0,119150
2020-03-12,5810.0,5860.0,5480.0,5520.0,105780
2020-03-13,5070.0,5490.0,4715.0,5260.0,141210
2020-03-16,5260.0,5340.0,5000.0,5130.0,74490
2020-03-17,4985.0,5100.0,4750.0,4925.0,142050
2020-03-18,4850.0,5230.0,4800.0,4985.0,216180
2020-03-19,4985.0,5110.0,4200.0,4200.0,147420
2020-03-20,4210.0,4495.0,4200.0,4480.0,142810
2020-03-23,4210.0,4395.0,4150.0,4185.0,87300
2020-03-24,4210.0,4465.0,4210.0,4320.0,124150
2020-03-25,4440.0,4705.0,4435.0,4700.0,145850
2020-03-26,4700.0,4890.0,4650.0,4725.0,105120
2020-03-27,4800.0,4920.0,4425.0,4715.0,134270
2020-03-30,4590.0,4690.0,4450.0,4540.0,75770
2020-03-31,4600.0,5130.0,4600.0,4710.0,278220
2020-04-01,4710.0,4925.0,4610.0,4710.0,137280
2020-04-02,4870.0,4875.0,4680.0,4770.0,95890
2020-04-03,4745.0,4950.0,4745.0,4810.0,122680
2020-04-06,4810.0,5050.0,4810.0,4990.0,84220
2020-04-07,5110.0,5250.0,5080.0,5160.0,119440
2020-04-08,5160.0,5370.0,5100.0,5290.0,81520
2020-04-09,5390.0,5590.0,5260.0,5360.0,144280
2020-04-10,5500.0,5800.0,5310.0,5690.0,228130
2020-04-13,5910.0,5910.0,5720.0,5780.0,86010
2020-04-14,5800.0,6060.0,5800.0,6060.0,115750
2020-04-16,6070.0,6360.0,5990.0,6320.0,116420
2020-04-17,6880.0,6880.0,6220.0,6320.0,239500
2020-04-20,6400.0,6880.0,6360.0,6680.0,218300
2020-04-21,6800.0,6930.0,6250.0,6440.0,486500
2020-04-22,6300.0,7780.0,6090.0,7130.0,1377530
2020-04-23,6900.0,6910.0,6660.0,6820.0,383800
2020-04-24,6800.0,6850.0,6509.0,6540.0,190270
2020-04-27,6580.0,6660.0,6500.0,6520.0,109250
2020-04-28,6590.0,6610.0,6480.0,6550.0,80220
2020-04-29,6550.0,6790.0,6540.0,6790.0,124480
2020-05-04,6780.0,6850.0,6550.0,6670.0,140990
2020-05-06,6810.0,6810.0,6630.0,6690.0,64880
2020-05-07,6850.0,6930.0,6640.0,6690.0,150260
2020-05-08,6690.0,6760.0,6670.0,6690.0,88620
2020-05-11,6690.0,6750.0,6550.0,6590.0,53640
2020-05-12,6620.0,6620.0,6340.0,6440.0,70730
2020-05-13,6380.0,6380.0,6250.0,6320.0,67140
2020-05-14,6340.0,6340.0,6110.0,6150.0,69170
2020-05-15,6150.0,6320.0,6100.0,6270.0,95870
2020-05-18,6220.0,6310.0,6120.0,6250.0,74790
2020-05-19,6260.0,6380.0,6250.0,6300.0,63890
2020-05-20,6179.0,6360.0,6170.0,6290.0,68460
2020-05-21,6299.0,6370.0,6230.0,6230.0,74590
2020-05-22,6229.0,6309.0,5909.0,6060.0,125810
2020-05-25,6050.0,6150.0,5890.0,6080.0,61170
2020-05-26,6080.0,6290.0,6070.0,6160.0,114120
2020-05-27,6210.0,6320.0,6170.0,6270.0,39020
2020-05-28,6280.0,6350.0,6070.0,6150.0,70460
2020-05-29,6150.0,6270.0,5950.0,5950.0,319480
2020-06-01,6150.0,6150.0,6020.0,6080.0,116190
2020-06-02,6080.0,6190.0,6070.0,6160.0,94180
2020-06-03,6230.0,6310.0,6170.0,6290.0,115900
2020-06-04,6350.0,6380.0,6210.0,6240.0,89160
2020-06-05,6300.0,6300.0,6200.0,6280.0,31850
2020-06-08,6310.0,6350.0,6280.0,6280.0,67980
2020-06-09,6270.0,6320.0,6130.0,6130.0,111340
2020-06-10,6130.0,6170.0,6040.0,6070.0,96360
2020-06-11,6070.0,6100.0,5929.0,5940.0,117120
2020-06-12,5810.0,5810.0,5560.0,5680.0,129990
2020-06-15,5700.0,5840.0,5500.0,5500.0,103490
2020-06-16,5560.0,5760.0,5560.0,5700.0,103650
2020-06-17,5610.0,5760.0,5600.0,5740.0,48760
2020-06-18,5619.0,5720.0,5619.0,5690.0,29570
2020-06-19,5690.0,5810.0,5610.0,5740.0,69640
2020-06-22,5740.0,5800.0,5609.0,5620.0,52360
2020-06-23,5619.0,5670.0,5590.0,5610.0,69330
2020-06-24,5650.0,5780.0,5550.0,5600.0,122950
2020-06-25,5600.0,5600.0,5510.0,5550.0,44310
2020-06-26,5550.0,5620.0,5500.0,5540.0,29630
2020-06-29,5449.0,5520.0,5360.0,5380.0,33800
2020-06-30,5420.0,5500.0,5360.0,5420.0,54250
2020-07-01,5440.0,5489.0,5300.0,5380.0,101700
2020-07-02,5380.0,5389.0,5160.0,5260.0,121970
2020-07-03,5360.0,5470.0,5270.0,5400.0,112220
2020-07-06,5460.0,5640.0,5400.0,5580.0,65440
2020-07-07,5600.0,5720.0,5570.0,5630.0,82160
2020-07-08,5580.0,5589.0,5360.0,5500.0,59020
2020-07-09,5550.0,5550.0,5329.0,5380.0,81700
2020-07-10,5430.0,5430.0,5250.0,5330.0,91700
2020-07-13,5330.0,5440.0,5280.0,5440.0,41290
2020-07-14,5460.0,5460.0,5310.0,5430.0,34010
2020-07-15,5450.0,5510.0,5310.0,5350.0,148400
2020-07-16,5370.0,5450.0,5350.0,5400.0,72470
2020-07-17,5400.0,5440.0,5370.0,5440.0,52860
2020-07-20,5490.0,5490.0,5380.0,5430.0,58720
2020-07-21,5499.0,5499.0,5419.0,5470.0,69860
2020-07-22,5520.0,6069.0,5450.0,5580.0,511600
2020-07-23,5620.0,5700.0,5500.0,5680.0,119850
2020-07-24,5680.0,5820.0,5580.0,5820.0,183290
2020-07-27,5890.0,6200.0,5890.0,6120.0,351280
2020-07-28,6200.0,6200.0,6020.0,6070.0,135650
2020-07-29,6070.0,6070.0,5969.0,6020.0,91470
2020-07-30,6020.0,6070.0,5940.0,5950.0,49490
2020-07-31,5890.0,5990.0,5850.0,5920.0,61320
2020-08-03,6030.0,6030.0,5900.0,5960.0,50110
2020-08-04,5950.0,6230.0,5950.0,6230.0,227960
2020-08-05,6330.0,6330.0,6070.0,6160.0,109460
2020-08-06,6160.0,6220.0,6090.0,6160.0,103980
2020-08-07,6160.0,6210.0,6000.0,6060.0,54710
2020-08-10,6140.0,6290.0,6120.0,6280.0,196190
2020-08-11,6349.0,6360.0,6069.0,6140.0,213410
