date,open,high,low,close,volume
2020-01-02,11219.0,11450.0,10896.0,11374.0,1131181
2020-01-03,11558.0,11589.0,11004.0,11097.0,989692
2020-01-06,10957.0,11250.0,10865.0,10896.0,594829
2020-01-07,10927.0,11111.0,10803.0,10881.0,481605
2020-01-08,10819.0,10927.0,10325.0,10496.0,809265
2020-01-09,10865.0,11142.0,10726.0,11066.0,495890
2020-01-10,11127.0,11404.0,10819.0,11374.0,570337
2020-01-13,11404.0,11435.0,11019.0,11143.0,384692
2020-01-14,11235.0,11235.0,10526.0,10603.0,715574
2020-01-15,10495.0,10880.0,10433.0,10650.0,263708
2020-01-16,10649.0,10726.0,10202.0,10465.0,416651
2020-01-17,10479.0,10557.0,10295.0,10357.0,211594
2020-01-20,10711.0,11358.0,10587.0,10727.0,1142389
2020-01-21,10726.0,10803.0,10171.0,10187.0,481695
2020-01-22,10218.0,10449.0,10202.0,10449.0,221693
2020-01-23,10325.0,10449.0,10017.0,10203.0,368339
2020-01-28,9894.0,10079.0,9647.0,9710.0,378785
2020-01-29,9801.0,10125.0,9647.0,9925.0,244044
2020-01-30,9986.0,9986.0,9339.0,9478.0,375847
2020-01-31,9478.0,9555.0,8723.0,8970.0,611693
2020-02-03,8661.0,9324.0,8646.0,9201.0,500723
2020-02-04,9108.0,9416.0,9108.0,9293.0,230083
2020-02-05,9416.0,9478.0,9031.0,9216.0,259876
2020-02-06,9416.0,9647.0,9277.0,9571.0,269849
2020-02-07,9462.0,9586.0,9324.0,9417.0,174448
2020-02-10,9262.0,9586.0,9200.0,9355.0,154916
2020-02-11,9401.0,9617.0,9401.0,9586.0,141602
2020-02-12,9601.0,9817.0,9370.0,9756.0,215996
2020-02-13,9663.0,9663.0,9339.0,9525.0,238509
2020-02-14,9416.0,9570.0,9200.0,9355.0,273099
2020-02-17,9293.0,9509.0,9108.0,9232.0,295013
2020-02-18,9139.0,9231.0,8784.0,8877.0,351637
2020-02-19,8938.0,9031.0,8692.0,9001.0,247618
2020-02-20,8938.0,9062.0,8784.0,8862.0,175018
2020-02-21,8738.0,8923.0,8661.0,8692.0,197345
2020-02-24,8630.0,8676.0,8260.0,8353.0,452423
2020-02-25,8337.0,8784.0,8306.0,8754.0,260524
2020-02-26,8491.0,8861.0,8476.0,8769.0,180217
2020-02-27,8630.0,9370.0,8569.0,9293.0,739382
2020-02-28,9293.0,9478.0,8538.0,8785.0,616886
2020-03-02,8877.0,9308.0,8322.0,9309.0,442768
2020-03-03,9308.0,10603.0,9170.0,10157.0,1532839
2020-03-04,10094.0,10479.0,9740.0,10172.0,922855
2020-03-05,10171.0,10572.0,10048.0,10264.0,832630
2020-03-06,10187.0,10942.0,10140.0,10650.0,1437378
2020-03-09,10510.0,10572.0,9986.0,10311.0,808906
2020-03-10,10156.0,10402.0,9894.0,10187.0,691208
2020-03-11,10002.0,10125.0,8630.0,8769.0,1715551
2020-03-12,8692.0,8985.0,8029.0,8384.0,814009
2020-03-13,7705.0,7860.0,6688.0,7244.0,1583076
2020-03-16,8461.0,8630.0,7335.0,7359.0,1465864
2020-03-17,9277.0,9555.0,9154.0,9555.0,2424696
2020-03-18,9077.0,9462.0,7513.0,7513.0,5365329
2020-03-19,7860.0,8014.0,6688.0,6881.0,1815672
2020-03-20,7151.0,7482.0,7012.0,7382.0,1269916
2020-03-23,7628.0,9154.0,7490.0,7983.0,5214203
2020-03-24,7890.0,8229.0,7682.0,8168.0,1482973
2020-03-25,8337.0,8383.0,7844.0,8076.0,1677278
2020-03-26,8199.0,8553.0,7952.0,8014.0,2149959
2020-03-27,8260.0,9247.0,7937.0,8477.0,4187455
2020-03-30,8322.0,8769.0,8168.0,8708.0,1264447
2020-03-31,9077.0,9077.0,8414.0,8831.0,1644762
2020-04-01,8738.0,8892.0,8044.0,8045.0,1165826
2020-04-02,8029.0,8815.0,7952.0,8569.0,1584330
2020-04-03,8661.0,8661.0,8306.0,8477.0,621018
2020-04-06,8584.0,9724.0,8522.0,9679.0,2889383
2020-04-07,9786.0,9971.0,9262.0,9925.0,1649775
2020-04-08,10449.0,10634.0,10017.0,10126.0,2346506
2020-04-09,10218.0,10310.0,9863.0,10295.0,991264
2020-04-10,10341.0,10711.0,9940.0,10680.0,1683155
2020-04-13,10572.0,10896.0,10387.0,10418.0,1152134
2020-04-14,10526.0,11820.0,10264.0,11266.0,3631769
2020-04-16,11173.0,12113.0,10957.0,11914.0,1983559
2020-04-17,11743.0,11913.0,10541.0,10943.0,3418160
2020-04-20,12483.0,13716.0,11651.0,12037.0,7259130
2020-04-21,12067.0,12067.0,10865.0,11651.0,2006875
2020-04-22,11266.0,12175.0,11204.0,11929.0,1462230
2020-04-23,11944.0,12452.0,11898.0,12222.0,1132062
2020-04-24,12175.0,12791.0,12036.0,12237.0,1338607
2020-04-27,12252.0,12314.0,11913.0,12098.0,692239
2020-04-28,12113.0,12113.0,11173.0,11343.0,1189994
2020-04-29,11266.0,11574.0,11204.0,11574.0,576154
2020-05-04,11327.0,11497.0,10988.0,11127.0,616892
2020-05-06,11127.0,11404.0,10942.0,11205.0,385238
2020-05-07,11111.0,11528.0,11111.0,11343.0,366653
2020-05-08,11450.0,11635.0,11250.0,11636.0,494366
2020-05-11,11635.0,11805.0,11481.0,11513.0,537581
2020-05-12,11435.0,12082.0,11389.0,12006.0,1152500
2020-05-13,13377.0,13793.0,11790.0,11836.0,5612839
2020-05-14,11867.0,11867.0,11127.0,11251.0,1708930
2020-05-15,11543.0,12560.0,11497.0,12484.0,4504357
2020-05-18,12591.0,13100.0,12206.0,12638.0,3311341
2020-05-19,12976.0,13208.0,12129.0,12391.0,2054360
2020-05-20,12606.0,12714.0,12283.0,12576.0,1126431
2020-05-21,12606.0,12637.0,12283.0,12330.0,782668
2020-05-22,12190.0,12529.0,12067.0,12314.0,862843
2020-05-25,12391.0,12391.0,12052.0,12129.0,557683
2020-05-26,11913.0,12021.0,11574.0,11960.0,1350427
2020-05-27,11975.0,11990.0,11651.0,11651.0,739166
2020-05-28,11651.0,11944.0,11296.0,11451.0,1167295
2020-05-29,11420.0,11713.0,11373.0,11482.0,504160
2020-06-01,11543.0,12144.0,11543.0,12145.0,870201
2020-06-02,11990.0,12452.0,11928.0,12253.0,804953
2020-06-03,12375.0,12576.0,12067.0,12129.0,938658
2020-06-04,12283.0,12298.0,11836.0,11975.0,704803
2020-06-05,11975.0,12360.0,11867.0,12345.0,703172
2020-06-08,12468.0,12745.0,12283.0,12437.0,998154
2020-06-09,12437.0,14086.0,12175.0,13285.0,5730567
2020-06-10,13408.0,13886.0,12976.0,13516.0,2666760
2020-06-11,13685.0,17076.0,13408.0,15289.0,16037294
2020-06-12,14425.0,16059.0,14379.0,15566.0,4118735
2020-06-15,15997.0,16167.0,14086.0,14179.0,3538113
2020-06-16,14641.0,15920.0,14641.0,15659.0,2835211
2020-06-17,15658.0,15766.0,14795.0,15135.0,2113251
2020-06-18,15643.0,16290.0,15319.0,15366.0,3479390
2020-06-19,15550.0,15550.0,14687.0,15535.0,1697182
2020-06-22,15350.0,15581.0,15072.0,15335.0,1047846
2020-06-23,15396.0,15643.0,14687.0,14950.0,1548599
2020-06-24,15072.0,15242.0,14625.0,14641.0,1065009
2020-06-25,14333.0,14810.0,14271.0,14564.0,970754
2020-06-26,14656.0,14718.0,14040.0,14194.0,954784
2020-06-29,14425.0,14980.0,14178.0,14934.0,1623436
2020-06-30,15119.0,15119.0,14209.0,14272.0,1251985
2020-07-01,14394.0,14394.0,13053.0,13208.0,1505348
2020-07-02,13454.0,13654.0,13269.0,13393.0,719460
2020-07-03,13423.0,13932.0,13038.0,13747.0,1004121
2020-07-06,13685.0,14533.0,13562.0,14241.0,1099079
2020-07-07,14117.0,14548.0,14071.0,14472.0,687369
2020-07-08,14641.0,14779.0,14348.0,14395.0,585588
2020-07-09,14595.0,14595.0,13855.0,14318.0,856240
2020-07-10,14302.0,15720.0,14194.0,15643.0,3553232
2020-07-13,15026.0,15257.0,14333.0,14641.0,2765448
2020-07-14,14918.0,15581.0,14410.0,14564.0,2435988
2020-07-15,14564.0,14595.0,13824.0,13902.0,1267386
2020-07-16,13963.0,14009.0,13377.0,13424.0,974082
2020-07-17,13300.0,14178.0,13285.0,13809.0,724281
2020-07-20,14101.0,14317.0,13870.0,13994.0,896516
2020-07-21,13901.0,14641.0,13855.0,14503.0,1150059
2020-07-22,14579.0,14810.0,14225.0,14795.0,914735
2020-07-23,15119.0,15273.0,14779.0,14950.0,1473420
2020-07-24,14795.0,15473.0,14672.0,15058.0,1834442
2020-07-27,16629.0,19573.0,15735.0,19573.0,15588859
2020-07-28,19758.0,21730.0,18525.0,19958.0,13601822
2020-07-29,19588.0,19711.0,18617.0,18649.0,3228791
2020-07-30,18848.0,21407.0,18201.0,21407.0,5831863
2020-07-31,21052.0,25167.0,20775.0,22085.0,11765640
2020-08-03,21730.0,22640.0,21268.0,22378.0,2433127
2020-08-04,22378.0,24381.0,21730.0,22471.0,4505515
2020-08-05,22424.0,23796.0,22347.0,23133.0,3336354
2020-08-06,23703.0,24566.0,22532.0,24366.0,3821959
2020-08-07,25506.0,28496.0,21884.0,22270.0,11974229
2020-08-10,24998.0,25738.0,22994.0,24813.0,11306464
2020-08-11,24242.0,25044.0,23765.0,23935.0,3507498
