date,open,high,low,close,volume
2020-01-02,77353.0,77353.0,75054.0,75453.0,21323
2020-01-03,75609.0,75609.0,74181.0,74501.0,28648
2020-01-06,73074.0,73945.0,73074.0,73075.0,17209
2020-01-07,73073.0,73627.0,72676.0,72837.0,15951
2020-01-08,73073.0,73073.0,71013.0,71014.0,33181
2020-01-09,71488.0,72043.0,71012.0,71410.0,26842
2020-01-10,71169.0,72360.0,70140.0,72044.0,32263
2020-01-13,72280.0,74420.0,72280.0,73471.0,26897
2020-01-14,73151.0,74816.0,73151.0,74501.0,43710
2020-01-15,73865.0,75768.0,73865.0,75611.0,37870
2020-01-16,75054.0,76086.0,74500.0,75532.0,24407
2020-01-17,75052.0,75687.0,74498.0,74659.0,24456
2020-01-20,74500.0,76323.0,74500.0,75532.0,26226
2020-01-21,75292.0,75927.0,74500.0,75453.0,18034
2020-01-22,76084.0,76877.0,75291.0,76800.0,26812
2020-01-23,76641.0,76641.0,75293.0,76325.0,23445
2020-01-28,74976.0,76323.0,74577.0,74898.0,37481
2020-01-29,74974.0,75607.0,73625.0,74659.0,21330
2020-01-30,73707.0,75291.0,73626.0,74501.0,24811
2020-01-31,75132.0,75449.0,73627.0,73629.0,25169
2020-02-03,72834.0,74340.0,72280.0,73391.0,26490
2020-02-04,73388.0,74657.0,72596.0,73867.0,34384
2020-02-05,74024.0,74103.0,72914.0,73313.0,34922
2020-02-06,73309.0,75607.0,73309.0,74659.0,38777
2020-02-07,74102.0,74974.0,73150.0,74184.0,42014
2020-02-10,74499.0,74499.0,73230.0,73709.0,21582
2020-02-11,74102.0,77352.0,73707.0,76720.0,44150
2020-02-12,75689.0,77036.0,75689.0,76879.0,30698
2020-02-13,76639.0,76639.0,74577.0,75294.0,39154
2020-02-14,75291.0,75291.0,74182.0,74184.0,21907
2020-02-17,74815.0,74815.0,73705.0,74025.0,15262
2020-02-18,73548.0,74262.0,72993.0,73788.0,21624
2020-02-19,74420.0,76323.0,73786.0,76245.0,51636
2020-02-20,75449.0,76400.0,74498.0,75055.0,26603
2020-02-21,73865.0,74420.0,72835.0,72916.0,28180
2020-02-24,71964.0,72837.0,69903.0,70302.0,25292
2020-02-25,69902.0,72597.0,69902.0,71489.0,39861
2020-02-26,71487.0,71804.0,70853.0,71014.0,26369
2020-02-27,71013.0,71725.0,69743.0,70459.0,26331
2020-02-28,70456.0,70694.0,67760.0,68477.0,42455
2020-03-02,68872.0,70298.0,68000.0,70142.0,30210
2020-03-03,70615.0,71647.0,69824.0,70935.0,29979
2020-03-04,71014.0,71251.0,70141.0,70302.0,29003
2020-03-05,70377.0,71171.0,69902.0,70777.0,34705
2020-03-06,70694.0,71090.0,69505.0,69745.0,30873
2020-03-09,69029.0,69664.0,67999.0,69111.0,29474
2020-03-10,69030.0,69109.0,67760.0,68477.0,33936
2020-03-11,67998.0,69108.0,64829.0,65862.0,36113
2020-03-12,65145.0,66890.0,61976.0,63801.0,67439
2020-03-13,55952.0,63403.0,55952.0,62215.0,75904
2020-03-16,62531.0,63323.0,59042.0,59680.0,59176
2020-03-17,58331.0,59917.0,57064.0,59125.0,53619
2020-03-18,58725.0,63402.0,56982.0,56984.0,93894
2020-03-19,58090.0,58328.0,50562.0,50723.0,86546
