date,open,high,low,close,volume
2020-01-02,2670.0,2720.0,2655.0,2705.0,15243
2020-01-03,2705.0,2730.0,2690.0,2710.0,12678
2020-01-06,2730.0,2745.0,2685.0,2720.0,6532
2020-01-07,2745.0,2745.0,2700.0,2710.0,5149
2020-01-08,2725.0,2725.0,2590.0,2685.0,25988
2020-01-09,2660.0,2715.0,2650.0,2710.0,39230
2020-01-10,2710.0,2710.0,2685.0,2690.0,9438
2020-01-13,2690.0,2705.0,2665.0,2690.0,34512
2020-01-14,2690.0,2720.0,2685.0,2715.0,12839
2020-01-15,2695.0,2735.0,2680.0,2710.0,24555
2020-01-16,2715.0,2780.0,2695.0,2765.0,21799
2020-01-17,2765.0,2765.0,2725.0,2750.0,11443
2020-01-20,2760.0,2775.0,2730.0,2765.0,13911
2020-01-21,2765.0,2775.0,2715.0,2760.0,23321
2020-01-22,2755.0,2775.0,2725.0,2765.0,4196
2020-01-23,2765.0,2785.0,2735.0,2755.0,23037
2020-01-28,2725.0,2740.0,2665.0,2700.0,21904
2020-01-29,2670.0,2700.0,2670.0,2700.0,21359
2020-01-30,2690.0,2700.0,2660.0,2680.0,10896
2020-01-31,2650.0,2690.0,2590.0,2635.0,63712
2020-02-03,2550.0,2590.0,2505.0,2580.0,21143
2020-02-04,2540.0,2640.0,2490.0,2635.0,28892
2020-02-05,2640.0,2660.0,2580.0,2585.0,20915
2020-02-06,2640.0,2670.0,2600.0,2670.0,4395
2020-02-07,2655.0,2680.0,2625.0,2670.0,4010
2020-02-10,2600.0,2685.0,2595.0,2670.0,8278
2020-02-11,2630.0,2710.0,2630.0,2710.0,11475
2020-02-12,2705.0,2780.0,2700.0,2760.0,40094
2020-02-13,2810.0,2820.0,2745.0,2745.0,48245
2020-02-14,2745.0,2790.0,2700.0,2790.0,23701
2020-02-17,2790.0,2835.0,2760.0,2800.0,33588
2020-02-18,2800.0,2800.0,2730.0,2750.0,17530
2020-02-19,2760.0,2780.0,2740.0,2750.0,9951
2020-02-20,2750.0,2780.0,2675.0,2680.0,27272
2020-02-21,2675.0,2675.0,2615.0,2615.0,17297
2020-02-24,2595.0,2595.0,2500.0,2500.0,56905
2020-02-25,2495.0,2640.0,2470.0,2590.0,19385
2020-02-26,2585.0,2630.0,2530.0,2630.0,11556
2020-02-27,2630.0,2630.0,2540.0,2570.0,7724
2020-02-28,2475.0,2570.0,2430.0,2500.0,17024
2020-03-02,2460.0,2500.0,2410.0,2495.0,12997
2020-03-03,2465.0,2495.0,2430.0,2470.0,23784
2020-03-04,2470.0,2520.0,2435.0,2515.0,9073
2020-03-05,2515.0,2540.0,2470.0,2500.0,23806
2020-03-06,2475.0,2560.0,2325.0,2410.0,49508
2020-03-09,2405.0,2405.0,2170.0,2170.0,35201
2020-03-10,2080.0,2165.0,2080.0,2165.0,27965
2020-03-11,2165.0,2210.0,2035.0,2055.0,27581
2020-03-12,2055.0,2075.0,1875.0,1930.0,54314
2020-03-13,1830.0,1830.0,1625.0,1805.0,113439
2020-03-16,1730.0,1905.0,1730.0,1780.0,45934
2020-03-17,1600.0,1895.0,1600.0,1895.0,25097
2020-03-18,1895.0,2180.0,1895.0,1975.0,80087
2020-03-19,1945.0,1985.0,1610.0,1610.0,59875
2020-03-20,1625.0,1805.0,1625.0,1800.0,45500
2020-03-23,1645.0,1800.0,1635.0,1770.0,17311
2020-03-24,1850.0,1875.0,1710.0,1870.0,20901
2020-03-25,1870.0,1995.0,1870.0,1940.0,37664
2020-03-26,1940.0,2085.0,1890.0,2055.0,44579
2020-03-27,2055.0,2155.0,1990.0,2095.0,18971
2020-03-30,2095.0,2095.0,1970.0,2025.0,42493
2020-03-31,2090.0,2140.0,2040.0,2100.0,6101
2020-04-01,2150.0,2170.0,2080.0,2090.0,31741
2020-04-02,2010.0,2160.0,2010.0,2160.0,15306
2020-04-03,2165.0,2200.0,2125.0,2175.0,13216
2020-04-06,2070.0,2265.0,2070.0,2175.0,28168
2020-04-07,2180.0,2300.0,2160.0,2215.0,26990
2020-04-08,2210.0,2260.0,2165.0,2220.0,17509
2020-04-09,2225.0,2275.0,2225.0,2270.0,11076
2020-04-10,2295.0,2295.0,2120.0,2150.0,31636
2020-04-13,2150.0,2245.0,2130.0,2240.0,19545
2020-04-14,2245.0,2260.0,2125.0,2220.0,24793
2020-04-16,2220.0,2270.0,2180.0,2250.0,16385
2020-04-17,2240.0,2385.0,2210.0,2350.0,22883
2020-04-20,2485.0,2485.0,2325.0,2365.0,16009
2020-04-21,2315.0,2400.0,2270.0,2345.0,19871
2020-04-22,2310.0,2390.0,2310.0,2365.0,6956
