date,open,high,low,close,volume
2020-01-02,11250.0,11250.0,10900.0,11100.0,61738
2020-01-03,11150.0,11600.0,11150.0,11550.0,54326
2020-01-06,11500.0,11500.0,11050.0,11350.0,39918
2020-01-07,11250.0,12300.0,11200.0,11600.0,542578
2020-01-08,11500.0,11550.0,10950.0,10950.0,96304
2020-01-09,11200.0,11550.0,11150.0,11500.0,55874
2020-01-10,11650.0,11700.0,11450.0,11500.0,28134
2020-01-13,11600.0,12100.0,11550.0,11900.0,109296
2020-01-14,11950.0,11950.0,11700.0,11850.0,55455
2020-01-15,11850.0,12050.0,11750.0,11950.0,51372
2020-01-16,12000.0,12050.0,11850.0,11850.0,29485
2020-01-17,12000.0,12400.0,11900.0,12150.0,144085
2020-01-20,12150.0,12150.0,11750.0,11800.0,52134
2020-01-21,11700.0,11900.0,11600.0,11600.0,26441
2020-01-22,11550.0,11750.0,11550.0,11700.0,17940
2020-01-23,11600.0,11750.0,11550.0,11700.0,15718
2020-01-28,11250.0,11350.0,11000.0,11150.0,33741
2020-01-29,11250.0,11500.0,11200.0,11450.0,28113
2020-01-30,11350.0,11550.0,11050.0,11050.0,32017
2020-01-31,11150.0,11250.0,10650.0,10950.0,83727
2020-02-03,11200.0,11250.0,10500.0,11100.0,120434
2020-02-04,11000.0,11300.0,10950.0,11300.0,51385
2020-02-05,11300.0,11650.0,11300.0,11650.0,54825
2020-02-06,11700.0,11800.0,11550.0,11800.0,50058
2020-02-07,11700.0,11700.0,11550.0,11650.0,24168
2020-02-10,11550.0,11750.0,11500.0,11750.0,27161
2020-02-11,11800.0,12200.0,11650.0,12200.0,169246
2020-02-12,13050.0,14900.0,13000.0,13650.0,4332852
2020-02-13,13800.0,14150.0,13350.0,14150.0,936227
2020-02-14,13950.0,13950.0,13400.0,13550.0,365375
2020-02-17,13400.0,13950.0,13400.0,13950.0,253875
2020-02-18,14100.0,14100.0,12900.0,13350.0,203370
2020-02-19,13350.0,13650.0,12900.0,13650.0,148661
2020-02-20,13650.0,13650.0,13150.0,13550.0,128273
2020-02-21,13300.0,13600.0,13000.0,13000.0,166849
2020-02-24,12500.0,13300.0,12300.0,13000.0,196121
2020-02-25,13200.0,13600.0,12750.0,13050.0,236010
2020-02-26,12700.0,13250.0,12600.0,13250.0,90374
2020-02-27,13150.0,13400.0,12550.0,12600.0,96564
2020-02-28,12350.0,12500.0,11250.0,11550.0,190504
2020-03-02,11350.0,11900.0,11200.0,11700.0,125366
2020-03-03,11850.0,12150.0,11700.0,11900.0,96212
2020-03-04,11750.0,12350.0,11750.0,12350.0,79664
2020-03-05,12550.0,12650.0,12300.0,12650.0,46550
2020-03-06,12500.0,12500.0,12000.0,12400.0,79098
2020-03-09,12200.0,12200.0,11450.0,11700.0,88055
2020-03-10,11400.0,11800.0,11050.0,11600.0,97160
2020-03-11,11600.0,11700.0,10750.0,10950.0,98526
2020-03-12,10600.0,10850.0,9840.0,10150.0,157382
2020-03-13,8500.0,9150.0,7890.0,8700.0,322148
2020-03-16,8700.0,9070.0,8100.0,8230.0,147076
2020-03-17,7400.0,8480.0,7400.0,8320.0,144092
2020-03-18,8320.0,8600.0,7510.0,7710.0,127015
2020-03-19,7750.0,8080.0,5960.0,5980.0,267957
2020-03-20,6080.0,7360.0,6080.0,6760.0,279860
2020-03-23,6610.0,6610.0,6110.0,6250.0,84935
2020-03-24,6430.0,6930.0,6300.0,6760.0,148496
2020-03-25,7040.0,7300.0,6840.0,7100.0,197841
2020-03-26,7220.0,7550.0,7020.0,7370.0,197008
2020-03-27,7640.0,7890.0,7220.0,7490.0,212840
2020-03-30,7350.0,7830.0,7070.0,7820.0,78793
2020-03-31,8100.0,8580.0,7910.0,8370.0,141301
2020-04-01,8370.0,9040.0,8140.0,8820.0,166601
2020-04-02,8820.0,9900.0,8520.0,9900.0,169782
2020-04-03,9900.0,10100.0,9590.0,9700.0,100401
2020-04-06,9700.0,10400.0,9660.0,10050.0,126512
2020-04-07,10450.0,11450.0,9960.0,10250.0,346176
2020-04-08,10200.0,10450.0,10000.0,10250.0,80148
2020-04-09,10400.0,10900.0,10250.0,10750.0,117314
2020-04-10,11750.0,12450.0,10300.0,10750.0,574162
2020-04-13,10700.0,11300.0,10350.0,10350.0,95300
2020-04-14,10650.0,10750.0,10350.0,10450.0,43722
2020-04-16,10450.0,11000.0,10400.0,10950.0,61624
2020-04-17,11000.0,11400.0,10850.0,11150.0,120185
2020-04-20,11400.0,11600.0,11100.0,11400.0,134533
2020-04-21,11750.0,12150.0,10600.0,11000.0,359953
2020-04-22,10850.0,11350.0,10700.0,11200.0,67851
2020-04-23,11450.0,12400.0,11250.0,12000.0,449089
2020-04-24,11900.0,12000.0,11400.0,11950.0,112552
2020-04-27,12000.0,12200.0,11750.0,11950.0,81246
2020-04-28,12000.0,12300.0,11400.0,11850.0,87796
2020-04-29,12000.0,12000.0,11450.0,11650.0,80755
2020-05-04,11450.0,11700.0,11350.0,11650.0,43390
2020-05-06,11700.0,12000.0,11700.0,12000.0,90518
2020-05-07,12000.0,12800.0,12000.0,12650.0,339014
2020-05-08,13000.0,13100.0,12600.0,12750.0,315605
2020-05-11,12850.0,13000.0,12400.0,12850.0,189828
2020-05-12,12950.0,13050.0,12300.0,12750.0,192030
2020-05-13,12450.0,12900.0,12450.0,12900.0,101639
2020-05-14,12750.0,12900.0,12600.0,12600.0,59467
2020-05-15,12800.0,12800.0,12450.0,12600.0,70014
2020-05-18,12700.0,15000.0,12500.0,13300.0,3964031
2020-05-19,13450.0,16450.0,13200.0,15000.0,6080463
2020-05-20,15500.0,15750.0,14750.0,14900.0,1800562
2020-05-21,15000.0,15100.0,14250.0,14350.0,505908
2020-05-22,14250.0,14600.0,13900.0,14150.0,360166
2020-05-25,14350.0,15450.0,14150.0,15000.0,1925894
2020-05-26,15250.0,15300.0,14700.0,15050.0,619010
2020-05-27,15200.0,15200.0,14600.0,14900.0,205326
2020-05-28,15050.0,15650.0,14100.0,14600.0,585751
2020-05-29,14350.0,14700.0,14150.0,14200.0,148486
2020-06-01,14250.0,14400.0,14100.0,14350.0,111323
2020-06-02,14250.0,14500.0,14100.0,14500.0,116800
2020-06-03,14500.0,14600.0,14200.0,14450.0,136339
2020-06-04,14350.0,14450.0,14050.0,14150.0,112027
2020-06-05,14150.0,14400.0,14100.0,14300.0,91420
2020-06-08,14400.0,14550.0,14250.0,14550.0,99386
2020-06-09,14750.0,14900.0,14250.0,14350.0,182845
2020-06-10,14400.0,14400.0,13350.0,13700.0,191032
2020-06-11,13650.0,13900.0,13300.0,13600.0,112451
