date,open,high,low,close,volume
2020-01-02,1404.0,1454.0,1379.0,1394.0,7462497
2020-01-03,1394.0,1397.0,1372.0,1374.0,1784222
2020-01-06,1357.0,1389.0,1349.0,1354.0,1769532
2020-01-07,1357.0,1549.0,1357.0,1429.0,46197684
2020-01-08,1419.0,1427.0,1362.0,1367.0,5237086
2020-01-09,1394.0,1444.0,1394.0,1412.0,7286994
2020-01-10,1454.0,1477.0,1414.0,1424.0,5798675
2020-01-13,1464.0,1474.0,1414.0,1434.0,3881502
2020-01-14,1427.0,1447.0,1417.0,1437.0,3734464
2020-01-15,1439.0,1452.0,1427.0,1442.0,2358400
2020-01-16,1444.0,1449.0,1419.0,1424.0,1797612
2020-01-17,1424.0,1437.0,1414.0,1419.0,1143451
2020-01-20,1429.0,1472.0,1414.0,1429.0,4751283
2020-01-21,1429.0,1457.0,1417.0,1427.0,1889476
2020-01-22,1427.0,1439.0,1417.0,1429.0,1551948
2020-01-23,1439.0,1457.0,1422.0,1424.0,3555275
2020-01-28,1374.0,1379.0,1342.0,1352.0,2358300
2020-01-29,1359.0,1379.0,1352.0,1359.0,1088331
2020-01-30,1364.0,1414.0,1329.0,1374.0,2634069
2020-01-31,1364.0,1379.0,1287.0,1299.0,1935927
2020-02-03,1234.0,1297.0,1227.0,1282.0,1945790
2020-02-04,1282.0,1319.0,1282.0,1314.0,1109793
2020-02-05,1317.0,1377.0,1312.0,1369.0,1968113
2020-02-06,1397.0,1424.0,1359.0,1367.0,2407688
2020-02-07,1357.0,1422.0,1354.0,1379.0,3958176
2020-02-10,1377.0,1409.0,1359.0,1374.0,1444633
2020-02-11,1374.0,1397.0,1359.0,1374.0,1040655
2020-02-12,1392.0,1462.0,1384.0,1404.0,10199608
2020-02-13,1404.0,1442.0,1399.0,1417.0,2947455
2020-02-14,1419.0,1444.0,1412.0,1419.0,2990687
2020-02-17,1437.0,1439.0,1409.0,1422.0,1511242
2020-02-18,1417.0,1432.0,1392.0,1392.0,1584975
