date,open,high,low,close,volume
2020-01-02,53760.0,56160.0,52920.0,55230.0,155
2020-01-03,55199.0,55199.0,53310.0,53760.0,93
2020-01-06,53429.0,53518.0,51000.0,51780.0,99
2020-01-07,52080.0,53429.0,51211.0,53130.0,87
2020-01-08,54390.0,54390.0,49800.0,52200.0,71
2020-01-09,52200.0,53550.0,52200.0,52830.0,80
2020-01-10,53489.0,54328.0,52140.0,53010.0,58
2020-01-13,52651.0,57866.0,52531.0,54270.0,778
2020-01-14,54211.0,55260.0,53192.0,55320.0,142
2020-01-15,55289.0,55289.0,54240.0,54810.0,40
2020-01-16,55289.0,55289.0,53730.0,55020.0,56
2020-01-17,55409.0,55409.0,53850.0,54180.0,36
2020-01-20,54150.0,54989.0,53730.0,54180.0,73
2020-01-21,53819.0,54329.0,53190.0,53640.0,29
2020-01-22,53309.0,54779.0,53100.0,53130.0,68
2020-01-23,53340.0,54810.0,52830.0,52830.0,20
2020-01-28,50999.0,51449.0,49770.0,50820.0,143
2020-01-29,51120.0,52679.0,50700.0,52290.0,37
2020-01-30,51840.0,52679.0,51000.0,52290.0,83
2020-01-31,51330.0,52200.0,50819.0,51150.0,29
2020-02-03,50789.0,50909.0,48511.0,50730.0,80
2020-02-04,50999.0,50999.0,50160.0,50820.0,43
2020-02-05,50909.0,51119.0,50280.0,50310.0,13
2020-02-06,50610.0,51330.0,50430.0,50520.0,27
2020-02-07,51448.0,51448.0,49650.0,49680.0,64
2020-02-10,49529.0,49769.0,47041.0,49260.0,52
2020-02-11,49380.0,49680.0,48420.0,49170.0,41
2020-02-12,49140.0,50159.0,48720.0,49680.0,38
2020-02-13,49680.0,57300.0,48210.0,51480.0,810
2020-02-14,51449.0,52559.0,50400.0,51030.0,128
2020-02-17,50520.0,53339.0,50520.0,53250.0,104
2020-02-18,52680.0,54239.0,52260.0,53340.0,173
2020-02-19,53970.0,54270.0,52499.0,52830.0,55
2020-02-20,52110.0,53250.0,51870.0,52200.0,51
2020-02-21,51480.0,52590.0,50190.0,52200.0,38
2020-02-24,51509.0,52438.0,50131.0,51330.0,47
2020-02-25,50700.0,51839.0,50490.0,51780.0,11
2020-02-26,51509.0,51719.0,50670.0,51330.0,23
2020-02-27,50790.0,51119.0,49770.0,50820.0,25
2020-02-28,49140.0,50069.0,48600.0,49470.0,47
2020-03-02,47371.0,50789.0,47371.0,50730.0,17
2020-03-03,52048.0,52048.0,50130.0,50610.0,23
2020-03-04,51089.0,51269.0,50460.0,50610.0,14
