date,open,high,low,close,volume
2020-01-02,2436.0,2473.0,2429.0,2473.0,613891
2020-01-03,2476.0,2516.0,2456.0,2476.0,1117277
2020-01-06,2443.0,2443.0,2376.0,2400.0,795282
2020-01-07,2403.0,2446.0,2386.0,2426.0,480073
2020-01-08,2396.0,2406.0,2249.0,2256.0,1585069
2020-01-09,2332.0,2389.0,2329.0,2376.0,762633
2020-01-10,2379.0,2453.0,2379.0,2436.0,802991
2020-01-13,2416.0,2593.0,2403.0,2537.0,4802109
2020-01-14,2553.0,2846.0,2553.0,2760.0,24142386
2020-01-15,2730.0,2786.0,2686.0,2757.0,5229546
2020-01-16,2803.0,2830.0,2753.0,2787.0,5568895
2020-01-17,2796.0,2983.0,2790.0,2850.0,15648725
2020-01-20,2910.0,2983.0,2760.0,2787.0,5920504
2020-01-21,2773.0,2833.0,2723.0,2757.0,2501369
2020-01-22,2750.0,2786.0,2716.0,2727.0,2087092
2020-01-23,2746.0,2877.0,2730.0,2850.0,3337891
2020-01-28,2723.0,2766.0,2670.0,2737.0,2403775
2020-01-29,2783.0,2820.0,2736.0,2747.0,1962640
2020-01-30,2743.0,2766.0,2620.0,2637.0,1459895
2020-01-31,2670.0,2843.0,2623.0,2623.0,5158800
2020-02-03,2620.0,2786.0,2553.0,2774.0,3557357
2020-02-04,2786.0,2880.0,2753.0,2840.0,4173507
2020-02-05,2877.0,2877.0,2736.0,2740.0,4890238
2020-02-06,2770.0,2806.0,2750.0,2780.0,2709891
2020-02-07,2786.0,2803.0,2753.0,2777.0,2309162
2020-02-10,2753.0,2853.0,2743.0,2810.0,2689792
2020-02-11,2830.0,2846.0,2736.0,2744.0,2115136
2020-02-12,2753.0,2813.0,2720.0,2780.0,1958949
2020-02-13,2806.0,3000.0,2760.0,3000.0,11653340
2020-02-14,3060.0,3157.0,2903.0,2904.0,18035673
2020-02-17,2890.0,2970.0,2877.0,2914.0,2579509
2020-02-18,2913.0,2953.0,2763.0,2814.0,2365925
2020-02-19,2793.0,2826.0,2663.0,2750.0,2980663
2020-02-20,2750.0,2786.0,2700.0,2727.0,1645768
2020-02-21,2790.0,2973.0,2726.0,2940.0,12946981
2020-02-24,3020.0,3093.0,2713.0,2774.0,7683782
2020-02-25,2726.0,2803.0,2636.0,2727.0,3192487
2020-02-26,2683.0,2760.0,2653.0,2710.0,2098852
2020-02-27,2716.0,2750.0,2519.0,2527.0,3013594
2020-02-28,2466.0,2569.0,2353.0,2370.0,1943746
2020-03-02,2369.0,2456.0,2369.0,2426.0,1377950
2020-03-03,2496.0,2646.0,2469.0,2470.0,2412629
2020-03-04,2429.0,2583.0,2429.0,2553.0,1583442
2020-03-05,2616.0,2616.0,2526.0,2550.0,1058304
2020-03-06,2519.0,2610.0,2509.0,2597.0,1377255
2020-03-09,2576.0,2593.0,2399.0,2406.0,1080320
2020-03-10,2326.0,2419.0,2286.0,2396.0,1436156
2020-03-11,2433.0,2466.0,2302.0,2336.0,1175553
2020-03-12,2299.0,2379.0,2106.0,2136.0,2361484
2020-03-13,1935.0,2019.0,1735.0,1969.0,3341147
2020-03-16,1992.0,2065.0,1792.0,1792.0,2193067
2020-03-17,1635.0,1835.0,1635.0,1786.0,3175816
2020-03-18,1812.0,1869.0,1635.0,1635.0,2410840
2020-03-19,1668.0,1702.0,1254.0,1293.0,4575689
2020-03-20,1305.0,1433.0,1305.0,1398.0,4870617
2020-03-23,1305.0,1383.0,1276.0,1330.0,2960487
2020-03-24,1398.0,1728.0,1358.0,1729.0,12214723
2020-03-25,1812.0,2022.0,1745.0,1839.0,11192484
2020-03-26,1869.0,1992.0,1795.0,1899.0,5913832
2020-03-27,1995.0,2399.0,1869.0,2083.0,13502974
2020-03-30,2082.0,2262.0,2005.0,2243.0,5272484
2020-03-31,2299.0,2559.0,2269.0,2400.0,9479764
2020-04-01,2396.0,2439.0,2296.0,2366.0,3884512
2020-04-02,2366.0,2609.0,2232.0,2423.0,9359494
2020-04-03,2426.0,2509.0,2373.0,2416.0,3840201
2020-04-06,2453.0,2516.0,2406.0,2456.0,4007744
2020-04-07,2499.0,2503.0,2383.0,2430.0,2824950
2020-04-08,2443.0,2479.0,2393.0,2420.0,2126180
2020-04-09,2463.0,2603.0,2446.0,2600.0,5941516
2020-04-10,2539.0,2559.0,2329.0,2433.0,3098955
2020-04-13,2443.0,2710.0,2403.0,2497.0,15038220
2020-04-14,2546.0,2670.0,2509.0,2623.0,7150812
2020-04-16,2623.0,2673.0,2566.0,2643.0,3551985
2020-04-17,2693.0,2696.0,2610.0,2643.0,2935877
2020-04-20,2670.0,2736.0,2589.0,2620.0,4764990
2020-04-21,2630.0,2630.0,2339.0,2567.0,3795453
2020-04-22,2506.0,2650.0,2486.0,2643.0,2219079
2020-04-23,2643.0,2676.0,2593.0,2637.0,2156987
2020-04-24,2626.0,2640.0,2536.0,2550.0,1641058
2020-04-27,2586.0,2686.0,2569.0,2680.0,3481593
2020-04-28,2703.0,2703.0,2569.0,2653.0,2381906
2020-04-29,2666.0,2930.0,2630.0,2723.0,17828554
