date,open,high,low,close,volume
2020-01-02,3074.0,3137.0,3041.0,3128.0,86690
2020-01-03,3166.0,3166.0,3045.0,3075.0,77034
2020-01-06,3074.0,3664.0,3074.0,3235.0,798663
2020-01-07,3234.0,3234.0,2649.0,2959.0,787429
2020-01-08,2968.0,2997.0,2460.0,2471.0,813109
2020-01-09,2514.0,2586.0,2470.0,2529.0,209033
2020-01-10,2586.0,2586.0,2311.0,2355.0,449028
2020-01-13,2407.0,2407.0,2286.0,2359.0,321755
2020-01-14,2325.0,2436.0,2296.0,2408.0,192680
2020-01-15,2407.0,2407.0,2219.0,2258.0,462306
2020-01-16,2301.0,2320.0,2214.0,2263.0,158662
2020-01-17,2282.0,2282.0,2112.0,2171.0,264067
2020-01-20,2170.0,2170.0,1938.0,1982.0,369268
2020-01-21,2016.0,2016.0,1919.0,1977.0,158096
2020-01-22,1948.0,2040.0,1943.0,1953.0,131196
2020-01-23,1953.0,1972.0,1904.0,1958.0,135657
2020-01-28,1943.0,2074.0,1851.0,1977.0,233200
2020-01-29,1958.0,2020.0,1909.0,1953.0,80241
2020-01-30,1953.0,2320.0,1933.0,1963.0,983719
2020-01-31,2006.0,2006.0,1880.0,1890.0,128074
2020-02-03,1846.0,1933.0,1827.0,1910.0,100569
2020-02-04,2020.0,2117.0,1967.0,2021.0,273706
2020-02-05,2030.0,2059.0,1977.0,2045.0,121809
2020-02-06,2069.0,2393.0,2045.0,2234.0,953543
2020-02-07,2282.0,2364.0,2175.0,2292.0,186622
2020-02-10,2325.0,2344.0,2078.0,2113.0,249375
2020-02-11,2127.0,2161.0,2016.0,2026.0,192732
2020-02-12,2025.0,2224.0,2025.0,2219.0,291293
2020-02-13,2282.0,2417.0,2175.0,2413.0,691169
2020-02-14,2417.0,2470.0,2320.0,2369.0,290714
2020-02-17,2417.0,2586.0,2291.0,2451.0,423215
2020-02-18,2470.0,2470.0,2315.0,2359.0,163262
2020-02-19,2311.0,2388.0,2291.0,2301.0,142165
2020-02-20,2277.0,2306.0,2088.0,2147.0,393551
2020-02-21,2214.0,2214.0,2030.0,2190.0,140103
2020-02-24,2136.0,2272.0,2078.0,2190.0,98515
2020-02-25,2190.0,2257.0,2093.0,2253.0,90483
2020-02-26,2253.0,2475.0,2248.0,2417.0,660408
2020-02-27,2402.0,2402.0,2185.0,2243.0,283275
2020-02-28,2141.0,2311.0,2112.0,2195.0,125642
