date,open,high,low,close,volume
2020-01-02,14400.0,14550.0,14200.0,14300.0,79188
2020-01-03,14400.0,14400.0,13900.0,14100.0,175260
2020-01-06,14050.0,14050.0,13800.0,13950.0,86282
2020-01-07,13900.0,14050.0,13800.0,13950.0,99308
2020-01-08,13900.0,13900.0,13450.0,13600.0,124937
2020-01-09,13750.0,13850.0,13550.0,13750.0,82495
2020-01-10,13850.0,14150.0,13750.0,14150.0,60935
2020-01-13,14200.0,14250.0,13950.0,14150.0,76234
2020-01-14,14100.0,14200.0,13950.0,14050.0,77152
2020-01-15,14050.0,14100.0,13800.0,13950.0,72586
2020-01-16,13950.0,14050.0,13850.0,14050.0,28083
2020-01-17,14100.0,14200.0,13950.0,13950.0,63050
2020-01-20,13900.0,14150.0,13900.0,14000.0,73960
2020-01-21,13950.0,14100.0,13900.0,14000.0,32373
2020-01-22,13950.0,14750.0,13950.0,14750.0,275473
2020-01-23,14900.0,15150.0,14450.0,14500.0,278749
2020-01-28,14100.0,14250.0,13800.0,14050.0,152216
2020-01-29,14100.0,14300.0,14050.0,14200.0,56765
2020-01-30,14200.0,14400.0,14000.0,14300.0,102506
2020-01-31,14250.0,14600.0,14250.0,14300.0,88187
2020-02-03,13850.0,14800.0,13850.0,14700.0,109820
2020-02-04,14700.0,14800.0,14450.0,14600.0,43461
2020-02-05,14750.0,15000.0,14550.0,14900.0,95215
2020-02-06,14950.0,15050.0,14650.0,14900.0,79281
2020-02-07,14950.0,14950.0,14450.0,14550.0,65511
2020-02-10,14550.0,14750.0,14450.0,14550.0,70046
2020-02-11,14550.0,14600.0,14350.0,14450.0,56091
2020-02-12,14400.0,14700.0,14350.0,14550.0,96451
2020-02-13,14600.0,14600.0,14250.0,14400.0,86157
2020-02-14,14350.0,14450.0,14300.0,14400.0,31768
2020-02-17,14400.0,14400.0,14200.0,14400.0,43043
2020-02-18,14300.0,14350.0,14050.0,14250.0,70228
2020-02-19,14350.0,14600.0,14250.0,14450.0,136041
2020-02-20,14450.0,14450.0,14250.0,14350.0,44280
2020-02-21,14150.0,14500.0,14150.0,14250.0,76564
2020-02-24,14000.0,14100.0,13800.0,13800.0,100711
2020-02-25,13650.0,14050.0,13600.0,14000.0,48870
2020-02-26,13800.0,13900.0,13600.0,13850.0,66566
2020-02-27,13950.0,14000.0,13650.0,13650.0,77945
2020-02-28,13550.0,13550.0,12500.0,12850.0,205221
2020-03-02,12750.0,13050.0,12650.0,12900.0,117592
2020-03-03,13000.0,13100.0,12700.0,12750.0,132327
2020-03-04,12700.0,12950.0,12600.0,12950.0,52334
2020-03-05,12950.0,13250.0,12850.0,13250.0,76967
2020-03-06,13000.0,13150.0,12900.0,13050.0,64125
2020-03-09,12850.0,12900.0,12350.0,12500.0,135669
2020-03-10,12200.0,12350.0,12100.0,12350.0,93286
2020-03-11,12350.0,12450.0,11850.0,11950.0,105882
2020-03-12,11700.0,11750.0,11050.0,11300.0,171426
2020-03-13,10350.0,11000.0,9830.0,10800.0,211888
2020-03-16,10800.0,11000.0,10450.0,10500.0,70697
2020-03-17,9810.0,10500.0,9810.0,10300.0,77926
2020-03-18,10300.0,10450.0,9920.0,9950.0,82024
2020-03-19,9900.0,10000.0,8500.0,8630.0,160030
2020-03-20,8900.0,9170.0,8640.0,9090.0,136093
2020-03-23,8800.0,8800.0,7900.0,8410.0,103530
2020-03-24,8470.0,8700.0,8430.0,8630.0,193454
2020-03-25,8800.0,9050.0,8800.0,9000.0,215599
2020-03-26,9230.0,9470.0,8980.0,9260.0,217860
2020-03-27,9530.0,10300.0,9400.0,9610.0,386710
2020-03-30,9320.0,9790.0,9290.0,9740.0,96141
2020-03-31,9960.0,10650.0,9860.0,10500.0,170227
2020-04-01,10500.0,10750.0,10300.0,10350.0,160619
2020-04-02,10350.0,10750.0,10100.0,10750.0,135543
2020-04-03,10950.0,10950.0,10500.0,10650.0,66739
2020-04-06,10700.0,11350.0,10650.0,11100.0,205356
2020-04-07,11800.0,11850.0,11200.0,11450.0,175457
2020-04-08,11600.0,12100.0,11500.0,11850.0,229967
2020-04-09,12600.0,12750.0,12000.0,12450.0,357188
2020-04-10,12550.0,12650.0,12200.0,12550.0,170131
2020-04-13,12550.0,12650.0,12200.0,12400.0,132574
2020-04-14,12450.0,13150.0,12450.0,12650.0,262879
2020-04-16,12700.0,13350.0,12500.0,13350.0,246016
2020-04-17,13350.0,13850.0,13250.0,13650.0,166473
2020-04-20,13700.0,13750.0,13250.0,13400.0,152097
2020-04-21,13350.0,13550.0,12800.0,13350.0,162615
2020-04-22,13150.0,13300.0,12750.0,13300.0,126232
2020-04-23,13450.0,13500.0,13200.0,13500.0,105716
2020-04-24,13300.0,13400.0,13200.0,13250.0,98288
2020-04-27,13350.0,13500.0,13250.0,13450.0,98254
2020-04-28,13400.0,14150.0,13350.0,14100.0,236980
2020-04-29,14250.0,16050.0,14050.0,15700.0,1118230
2020-05-04,15650.0,16150.0,15200.0,15800.0,584150
2020-05-06,16150.0,16450.0,15800.0,16100.0,406676
2020-05-07,16200.0,16350.0,15850.0,16250.0,215269
2020-05-08,16250.0,16450.0,15900.0,16400.0,328721
2020-05-11,16400.0,16400.0,15700.0,15800.0,307298
2020-05-12,15750.0,15850.0,15300.0,15650.0,195302
2020-05-13,15400.0,15700.0,15200.0,15700.0,107859
2020-05-14,15450.0,15500.0,15000.0,15100.0,205338
2020-05-15,15300.0,15800.0,15000.0,15800.0,232052
2020-05-18,15900.0,15900.0,15150.0,15200.0,182412
2020-05-19,15300.0,15500.0,15200.0,15500.0,136402
2020-05-20,15500.0,15500.0,15150.0,15300.0,148261
2020-05-21,15400.0,15400.0,14900.0,15050.0,192672
2020-05-22,15150.0,15350.0,14800.0,14850.0,170848
2020-05-25,14950.0,15050.0,14600.0,14750.0,100607
2020-05-26,14800.0,15100.0,14450.0,14650.0,308261
2020-05-27,14850.0,15300.0,14750.0,14900.0,297425
2020-05-28,15150.0,15200.0,14500.0,14600.0,178276
2020-05-29,14400.0,14750.0,14300.0,14450.0,125196
2020-06-01,14500.0,14600.0,14350.0,14400.0,235987
2020-06-02,14500.0,15200.0,14400.0,15150.0,293505
2020-06-03,15300.0,15300.0,14750.0,14850.0,295773
