date,open,high,low,close,volume
2020-01-02,8930.0,10200.0,8930.0,9090.0,2493978
2020-01-03,9320.0,9610.0,8250.0,8250.0,1247973
2020-01-06,7700.0,7860.0,7170.0,7270.0,1190283
2020-01-07,7310.0,8160.0,7240.0,7320.0,3663374
2020-01-08,7200.0,7610.0,6650.0,6730.0,1348834
2020-01-09,6970.0,7120.0,6800.0,6840.0,602686
2020-01-10,6910.0,7170.0,6830.0,6870.0,424575
2020-01-13,6950.0,7190.0,6710.0,6790.0,428693
2020-01-14,6900.0,6940.0,6700.0,6940.0,310546
2020-01-15,6960.0,7030.0,6780.0,6820.0,191480
2020-01-16,6760.0,6890.0,6660.0,6750.0,159188
2020-01-17,6780.0,6810.0,6650.0,6650.0,145297
2020-01-20,6700.0,6730.0,6470.0,6470.0,114051
2020-01-21,6430.0,6600.0,6380.0,6500.0,86278
2020-01-22,6440.0,6770.0,6440.0,6570.0,133728
2020-01-23,6570.0,6690.0,6500.0,6650.0,73994
2020-01-28,6430.0,6570.0,6200.0,6460.0,89937
2020-01-29,6460.0,6590.0,6410.0,6540.0,73126
2020-01-30,6500.0,6620.0,6280.0,6280.0,92530
2020-01-31,6290.0,6550.0,6230.0,6290.0,89821
2020-02-03,6000.0,6530.0,6000.0,6440.0,109182
2020-02-04,6390.0,6620.0,6390.0,6550.0,90204
2020-02-05,6600.0,6690.0,6420.0,6530.0,79938
2020-02-06,6540.0,6830.0,6500.0,6800.0,148448
2020-02-07,6780.0,6950.0,6600.0,6780.0,295071
2020-02-10,6760.0,7280.0,6700.0,7040.0,807962
2020-02-11,7040.0,7070.0,6870.0,6870.0,145879
2020-02-12,6970.0,6970.0,6650.0,6750.0,110457
2020-02-13,6720.0,6850.0,6620.0,6670.0,75162
2020-02-14,6620.0,6720.0,6570.0,6650.0,67767
2020-02-17,6800.0,6800.0,6590.0,6650.0,60714
2020-02-18,6570.0,6690.0,6530.0,6550.0,51621
2020-02-19,6550.0,6630.0,6330.0,6490.0,54827
2020-02-20,6490.0,6620.0,6470.0,6520.0,63742
2020-02-21,6380.0,6450.0,6130.0,6160.0,108705
2020-02-24,5930.0,6120.0,5800.0,5800.0,90722
2020-02-25,5610.0,6750.0,5610.0,6150.0,658041
2020-02-26,6030.0,6130.0,5900.0,6000.0,67357
2020-02-27,6050.0,6400.0,5830.0,5830.0,225311
2020-02-28,5610.0,5860.0,5560.0,5590.0,74184
2020-03-02,5550.0,5840.0,5550.0,5790.0,77538
2020-03-03,5800.0,6270.0,5780.0,5800.0,229614
2020-03-04,5650.0,5970.0,5650.0,5950.0,46646
2020-03-05,5980.0,6090.0,5860.0,5950.0,39231
2020-03-06,5750.0,5990.0,5750.0,5870.0,36698
2020-03-09,5750.0,5810.0,5520.0,5560.0,69529
2020-03-10,5420.0,5530.0,5130.0,5420.0,66013
2020-03-11,5520.0,5630.0,5100.0,5130.0,63455
2020-03-12,5010.0,5180.0,4700.0,4715.0,76359
2020-03-13,3805.0,4300.0,3750.0,4090.0,136750
2020-03-16,3860.0,4200.0,3860.0,3900.0,151917
2020-03-17,3360.0,4060.0,3360.0,3880.0,50643
2020-03-18,3880.0,4035.0,3650.0,3650.0,54259
2020-03-19,3445.0,3650.0,2835.0,2835.0,220498
2020-03-20,2830.0,3035.0,2830.0,3000.0,91701
2020-03-23,2760.0,2955.0,2760.0,2835.0,42642
2020-03-24,2875.0,3135.0,2860.0,2990.0,82763
2020-03-25,3070.0,3205.0,3070.0,3190.0,95675
2020-03-26,3270.0,3450.0,3130.0,3300.0,104659
2020-03-27,3520.0,3520.0,3150.0,3390.0,109761
2020-03-30,3200.0,3535.0,3200.0,3535.0,96875
2020-03-31,3600.0,3880.0,3575.0,3715.0,135800
2020-04-01,3850.0,4545.0,3625.0,3820.0,590912
2020-04-02,3855.0,3935.0,3740.0,3900.0,86911
2020-04-03,3900.0,4065.0,3850.0,3945.0,69543
2020-04-06,3955.0,4145.0,3945.0,4145.0,96474
2020-04-07,4200.0,4750.0,4090.0,4630.0,324214
2020-04-08,4550.0,4665.0,4515.0,4595.0,102286
2020-04-09,4690.0,5040.0,4600.0,4690.0,420488
2020-04-10,4735.0,4735.0,4285.0,4620.0,105458
2020-04-13,4595.0,5040.0,4480.0,4585.0,358552
2020-04-14,4540.0,4665.0,4540.0,4620.0,84410
2020-04-16,4620.0,4850.0,4365.0,4795.0,149771
2020-04-17,4820.0,4830.0,4700.0,4740.0,121745
2020-04-20,4740.0,4850.0,4705.0,4755.0,64445
2020-04-21,4700.0,4795.0,4340.0,4585.0,117290
2020-04-22,4440.0,4680.0,4440.0,4635.0,37643
2020-04-23,4635.0,4795.0,4635.0,4745.0,69796
2020-04-24,4830.0,4830.0,4640.0,4760.0,75289
2020-04-27,4725.0,4950.0,4720.0,4850.0,89667
2020-04-28,4850.0,4930.0,4750.0,4820.0,43702
2020-04-29,4820.0,4895.0,4750.0,4800.0,23172
2020-05-04,4750.0,5050.0,4690.0,4970.0,115958
2020-05-06,5040.0,5330.0,5030.0,5290.0,196726
2020-05-07,5290.0,5400.0,5160.0,5240.0,124149
2020-05-08,5240.0,5330.0,5160.0,5190.0,59158
2020-05-11,5280.0,5280.0,5130.0,5150.0,59836
2020-05-12,5140.0,5400.0,5000.0,5190.0,111905
2020-05-13,5190.0,5200.0,5040.0,5050.0,36735
2020-05-14,5020.0,5290.0,5000.0,5050.0,72845
2020-05-15,5190.0,5200.0,5030.0,5160.0,75577
2020-05-18,5200.0,5220.0,5090.0,5150.0,23435
2020-05-19,5160.0,5210.0,5050.0,5190.0,46391
2020-05-20,5200.0,5420.0,5150.0,5420.0,107954
2020-05-21,5470.0,5540.0,5350.0,5520.0,104541
2020-05-22,5670.0,5840.0,5270.0,5420.0,181998
2020-05-25,5420.0,5490.0,5320.0,5370.0,34940
2020-05-26,5370.0,5500.0,5350.0,5430.0,53315
2020-05-27,5430.0,6990.0,5430.0,6220.0,3690485
2020-05-28,6200.0,6520.0,5760.0,5940.0,689896
2020-05-29,6010.0,6700.0,6000.0,6380.0,1810602
2020-06-01,6820.0,7800.0,6700.0,7110.0,3942413
2020-06-02,7190.0,7380.0,7060.0,7250.0,601031
2020-06-03,7300.0,7370.0,6960.0,7090.0,396646
2020-06-04,7090.0,7290.0,6950.0,7120.0,260154
2020-06-05,7240.0,7240.0,6770.0,6970.0,186938
2020-06-08,7000.0,7150.0,6850.0,7020.0,200620
2020-06-09,7170.0,7170.0,6830.0,7030.0,238023
2020-06-10,7000.0,7000.0,6480.0,6610.0,431306
2020-06-11,6500.0,6840.0,6400.0,6520.0,345168
2020-06-12,6100.0,6780.0,6100.0,6700.0,237440
2020-06-15,6690.0,6690.0,5920.0,5950.0,213744
2020-06-16,6090.0,6350.0,5960.0,6310.0,209715
2020-06-17,6210.0,6350.0,6080.0,6290.0,99910
2020-06-18,6230.0,6600.0,6210.0,6590.0,159924
2020-06-19,6660.0,6870.0,6310.0,6400.0,225203
2020-06-22,6490.0,6570.0,6270.0,6270.0,129611
2020-06-23,6380.0,6390.0,6030.0,6320.0,127251
2020-06-24,6320.0,6500.0,6250.0,6300.0,45432
2020-06-25,6170.0,6440.0,6090.0,6300.0,116489
2020-06-26,6250.0,6380.0,6060.0,6150.0,65671
2020-06-29,6130.0,6140.0,5790.0,5910.0,104962
2020-06-30,5940.0,6600.0,5900.0,6290.0,421145
2020-07-01,6290.0,6320.0,6010.0,6070.0,105248
2020-07-02,6140.0,6460.0,5960.0,6370.0,176189
2020-07-03,6370.0,6840.0,6240.0,6710.0,822919
2020-07-06,6690.0,6690.0,6390.0,6440.0,259150
2020-07-07,6450.0,6460.0,6150.0,6210.0,175599
2020-07-08,6160.0,6360.0,6030.0,6360.0,82858
2020-07-09,6400.0,6470.0,6300.0,6340.0,74559
2020-07-10,6340.0,6340.0,6120.0,6210.0,74947
2020-07-13,6150.0,6800.0,6150.0,6510.0,751392
2020-07-14,6420.0,6490.0,6260.0,6370.0,158383
2020-07-15,6400.0,7500.0,6310.0,7080.0,3027475
2020-07-16,7100.0,7350.0,6810.0,6920.0,922061
2020-07-17,6910.0,7060.0,6840.0,6910.0,362637
2020-07-20,6860.0,7200.0,6760.0,7060.0,345104
2020-07-21,7060.0,7870.0,7060.0,7200.0,2531282
2020-07-22,7200.0,7250.0,6930.0,7020.0,292226
2020-07-23,6950.0,7070.0,6790.0,6810.0,260076
2020-07-24,6770.0,7010.0,6630.0,6810.0,183749
2020-07-27,6810.0,7160.0,6730.0,7140.0,255950
2020-07-28,7140.0,7200.0,6960.0,7090.0,174075
2020-07-29,7110.0,7430.0,7090.0,7130.0,372962
2020-07-30,7170.0,7220.0,6990.0,7200.0,168302
2020-07-31,7210.0,7330.0,7030.0,7320.0,146995
2020-08-03,7320.0,7480.0,7230.0,7410.0,203801
2020-08-04,7450.0,7470.0,7160.0,7300.0,151558
2020-08-05,7240.0,7290.0,7100.0,7150.0,94006
2020-08-06,7210.0,7280.0,7060.0,7130.0,149691
2020-08-07,7250.0,7480.0,7040.0,7180.0,269929
2020-08-10,7180.0,7250.0,7050.0,7150.0,125447
2020-08-11,7160.0,7240.0,6950.0,7050.0,90555
2020-08-12,7130.0,7140.0,6720.0,7090.0,110601
2020-08-13,7090.0,7150.0,6950.0,6960.0,82181
2020-08-14,7020.0,7030.0,6830.0,6870.0,99475
2020-08-18,6820.0,6920.0,6150.0,6350.0,132590
2020-08-19,6380.0,6800.0,6380.0,6620.0,98152
2020-08-20,6730.0,6790.0,6320.0,6390.0,101865
2020-08-21,6680.0,6680.0,6390.0,6620.0,48702
2020-08-24,6700.0,6720.0,6410.0,6650.0,44648
2020-08-25,6650.0,6970.0,6610.0,6800.0,70910
2020-08-26,6980.0,7100.0,6790.0,6990.0,174552
2020-08-27,6990.0,7150.0,6920.0,7070.0,165489
2020-08-28,7070.0,7950.0,7070.0,7270.0,1905123
2020-08-31,7380.0,8360.0,7350.0,8020.0,4182244
2020-09-01,7980.0,8050.0,7620.0,7760.0,537746
2020-09-02,7850.0,8240.0,7580.0,7770.0,1083530
2020-09-03,7700.0,7950.0,7500.0,7940.0,426899
2020-09-04,7500.0,8450.0,7410.0,7810.0,808255
2020-09-07,7700.0,7900.0,7640.0,7690.0,224237
2020-09-08,7690.0,7720.0,7400.0,7430.0,139771
2020-09-09,7300.0,7460.0,7220.0,7360.0,96569
2020-09-10,7330.0,7500.0,7330.0,7450.0,87877
2020-09-11,7450.0,7470.0,7210.0,7350.0,61034
2020-09-14,7300.0,7410.0,7280.0,7290.0,56421
2020-09-15,7290.0,7680.0,7270.0,7590.0,156854
2020-09-16,7680.0,7680.0,7370.0,7400.0,65754
2020-09-17,7400.0,7550.0,7330.0,7430.0,29529
2020-09-18,7470.0,7470.0,7340.0,7430.0,30380
2020-09-21,7360.0,7560.0,7160.0,7190.0,60528
2020-09-22,7290.0,7360.0,6720.0,6940.0,114145
2020-09-23,6990.0,7080.0,6740.0,6950.0,54021
2020-09-24,6740.0,6900.0,6640.0,6740.0,52225
2020-09-25,6740.0,6790.0,6600.0,6720.0,28205
2020-09-28,6710.0,6900.0,6710.0,6820.0,25276
2020-09-29,6830.0,6960.0,6830.0,6940.0,38263
2020-10-05,7090.0,7090.0,6820.0,6850.0,60443
2020-10-06,6750.0,6990.0,6750.0,6920.0,39194
2020-10-07,6910.0,7070.0,6800.0,6860.0,49948
2020-10-08,6940.0,7190.0,6900.0,6930.0,85987
2020-10-12,6940.0,7050.0,6850.0,6990.0,39468
2020-10-13,6990.0,7110.0,6910.0,7020.0,50949
2020-10-14,7070.0,7070.0,6880.0,6930.0,36836
2020-10-15,6930.0,6930.0,6670.0,6930.0,41036
2020-10-16,6860.0,6980.0,6650.0,6660.0,41057
