date,open,high,low,close,volume
2020-01-02,3120.0,3145.0,3110.0,3125.0,37150
2020-01-03,3125.0,3150.0,3095.0,3105.0,45919
2020-01-06,3090.0,3120.0,3055.0,3080.0,45379
2020-01-07,3080.0,3135.0,3080.0,3105.0,23616
2020-01-08,3135.0,3135.0,3030.0,3035.0,59880
2020-01-09,3035.0,3090.0,3035.0,3090.0,13518
2020-01-10,3095.0,3105.0,3070.0,3090.0,14838
2020-01-13,3100.0,3100.0,3040.0,3070.0,27141
2020-01-14,3125.0,3190.0,3075.0,3140.0,97577
2020-01-15,3140.0,3270.0,3130.0,3240.0,204517
2020-01-16,3240.0,3445.0,3205.0,3415.0,236332
2020-01-17,3400.0,3550.0,3315.0,3510.0,199996
2020-01-20,3530.0,3565.0,3420.0,3530.0,129145
2020-01-21,3490.0,3525.0,3450.0,3475.0,66445
2020-01-22,3460.0,3570.0,3460.0,3530.0,93953
2020-01-23,3530.0,3530.0,3425.0,3490.0,29908
2020-01-28,3320.0,3450.0,3295.0,3330.0,60227
2020-01-29,3305.0,3375.0,3295.0,3300.0,25458
2020-01-30,3305.0,3305.0,3145.0,3180.0,53056
2020-01-31,3200.0,3200.0,3070.0,3075.0,39458
2020-02-03,3030.0,3085.0,3005.0,3080.0,14961
2020-02-04,3075.0,3195.0,3075.0,3180.0,23084
2020-02-05,3180.0,3255.0,3140.0,3155.0,16992
2020-02-06,3165.0,3190.0,3115.0,3140.0,21138
2020-02-07,3100.0,3190.0,3080.0,3100.0,40838
2020-02-10,3105.0,3105.0,3040.0,3100.0,47105
2020-02-11,3105.0,3170.0,3065.0,3140.0,22852
2020-02-12,3140.0,3140.0,3075.0,3090.0,15758
2020-02-13,3095.0,3145.0,3060.0,3145.0,34145
2020-02-14,3085.0,3140.0,3085.0,3095.0,34054
2020-02-17,3125.0,3125.0,3020.0,3040.0,37934
2020-02-18,3035.0,3095.0,3025.0,3055.0,10774
2020-02-19,3050.0,3050.0,2940.0,2985.0,108962
2020-02-20,2960.0,3005.0,2955.0,2970.0,27545
2020-02-21,2975.0,2975.0,2855.0,2960.0,70289
2020-02-24,2945.0,2945.0,2750.0,2750.0,84112
2020-02-25,2655.0,2795.0,2655.0,2785.0,32835
2020-02-26,2725.0,2790.0,2685.0,2780.0,43488
2020-02-27,2785.0,2820.0,2665.0,2695.0,17950
2020-02-28,2655.0,2680.0,2490.0,2490.0,125844
2020-03-02,2490.0,2560.0,2405.0,2450.0,151983
2020-03-03,2455.0,2535.0,2455.0,2485.0,52678
2020-03-04,2480.0,2525.0,2455.0,2510.0,47086
2020-03-05,2530.0,2600.0,2490.0,2590.0,52113
2020-03-06,2570.0,2600.0,2510.0,2515.0,46969
2020-03-09,2510.0,2510.0,2375.0,2385.0,62328
2020-03-10,2320.0,2320.0,2210.0,2265.0,105079
2020-03-11,2265.0,2270.0,2145.0,2160.0,62836
2020-03-12,2135.0,2160.0,1795.0,1805.0,287772
2020-03-13,1630.0,1675.0,1310.0,1650.0,494072
2020-03-16,1605.0,1700.0,1520.0,1520.0,225456
2020-03-17,1320.0,1505.0,1320.0,1470.0,126644
2020-03-18,1460.0,1535.0,1410.0,1410.0,136808
2020-03-19,1450.0,1450.0,1070.0,1075.0,341882
2020-03-20,1110.0,1190.0,1085.0,1175.0,214381
2020-03-23,1100.0,1210.0,1010.0,1200.0,375249
2020-03-24,1200.0,1560.0,1200.0,1560.0,623519
2020-03-25,1810.0,2025.0,1800.0,2025.0,728617
2020-03-26,2325.0,2420.0,2165.0,2175.0,1144593
2020-03-27,2240.0,2685.0,2165.0,2685.0,620653
2020-03-30,2895.0,2895.0,2460.0,2710.0,294203
2020-03-31,2665.0,2710.0,2605.0,2685.0,85831
2020-04-01,2645.0,2700.0,2500.0,2500.0,94381
2020-04-02,2410.0,2650.0,2405.0,2450.0,76788
2020-04-03,2570.0,2570.0,2400.0,2530.0,70458
2020-04-06,2530.0,2670.0,2405.0,2415.0,101383
2020-04-07,2425.0,2445.0,2380.0,2410.0,82829
2020-04-08,2345.0,2430.0,2150.0,2250.0,157891
2020-04-09,2250.0,2350.0,2215.0,2320.0,59956
2020-04-10,2490.0,2490.0,2160.0,2285.0,88387
2020-04-13,2355.0,2415.0,2185.0,2415.0,95378
2020-04-14,2415.0,2775.0,2380.0,2745.0,120837
2020-04-16,2745.0,2750.0,2600.0,2670.0,106684
2020-04-17,2650.0,2835.0,2640.0,2835.0,128833
2020-04-20,2840.0,2870.0,2680.0,2750.0,157480
2020-04-21,2750.0,3500.0,2730.0,2990.0,866861
2020-04-22,2915.0,3160.0,2805.0,3100.0,159746
2020-04-23,3050.0,3155.0,2980.0,3085.0,85775
2020-04-24,3010.0,3110.0,2930.0,3005.0,63010
2020-04-27,3020.0,3035.0,2880.0,2910.0,58258
2020-04-28,2880.0,2955.0,2775.0,2830.0,56134
2020-04-29,2830.0,2945.0,2720.0,2900.0,110106
2020-05-04,2945.0,2945.0,2825.0,2890.0,23442
2020-05-06,2860.0,2915.0,2840.0,2855.0,24952
2020-05-07,2950.0,2950.0,2840.0,2890.0,23095
2020-05-08,2890.0,2950.0,2760.0,2905.0,24743
2020-05-11,2900.0,2945.0,2865.0,2875.0,42715
2020-05-12,2800.0,2870.0,2690.0,2705.0,125039
2020-05-13,2635.0,2730.0,2500.0,2585.0,107059
2020-05-14,2585.0,2585.0,2430.0,2470.0,96586
2020-05-15,2470.0,2555.0,2440.0,2530.0,65749
2020-05-18,2565.0,2570.0,2435.0,2520.0,48259
2020-05-19,2495.0,2590.0,2490.0,2510.0,75845
2020-05-20,2510.0,2555.0,2495.0,2500.0,27436
2020-05-21,2500.0,2600.0,2490.0,2505.0,73309
2020-05-22,2505.0,2550.0,2410.0,2500.0,53049
2020-05-25,2420.0,2500.0,2420.0,2460.0,52305
2020-05-26,2460.0,2660.0,2435.0,2500.0,83432
2020-05-27,2505.0,2630.0,2505.0,2510.0,47934
2020-05-28,2510.0,2600.0,2470.0,2565.0,127037
2020-05-29,2540.0,2585.0,2490.0,2555.0,27430
2020-06-01,2555.0,2715.0,2555.0,2635.0,123977
2020-06-02,2700.0,2750.0,2555.0,2655.0,119123
2020-06-03,2655.0,2695.0,2580.0,2660.0,79592
2020-06-04,2660.0,2705.0,2545.0,2545.0,135252
