date,open,high,low,close,volume
2020-01-02,1990.0,2007.0,1963.0,1999.0,40756
2020-01-03,1968.0,1999.0,1954.0,1968.0,139250
2020-01-06,1913.0,1940.0,1887.0,1887.0,149804
2020-01-07,1856.0,1905.0,1856.0,1892.0,90939
2020-01-08,1886.0,1886.0,1797.0,1802.0,175867
2020-01-09,1816.0,1954.0,1816.0,1852.0,198088
2020-01-10,1847.0,1891.0,1842.0,1874.0,54380
2020-01-13,1883.0,1909.0,1847.0,1892.0,174568
2020-01-14,1896.0,1927.0,1874.0,1883.0,62295
2020-01-15,1874.0,1896.0,1865.0,1883.0,50570
2020-01-16,1882.0,1904.0,1882.0,1887.0,58058
2020-01-17,1892.0,1927.0,1878.0,1892.0,43555
2020-01-20,1886.0,1900.0,1869.0,1869.0,48485
2020-01-21,1869.0,1900.0,1860.0,1874.0,37443
2020-01-22,1878.0,1882.0,1847.0,1856.0,84406
2020-01-23,1860.0,1945.0,1851.0,1914.0,124914
2020-01-28,1882.0,1882.0,1753.0,1780.0,137740
2020-01-29,1775.0,1802.0,1762.0,1762.0,115141
2020-01-30,1744.0,1766.0,1726.0,1731.0,96738
2020-01-31,1730.0,1757.0,1659.0,1664.0,140496
2020-02-03,1579.0,1660.0,1561.0,1660.0,219194
2020-02-04,1663.0,1713.0,1659.0,1713.0,41541
2020-02-05,1713.0,1717.0,1691.0,1691.0,32412
2020-02-06,1686.0,1717.0,1686.0,1700.0,53847
2020-02-07,1704.0,1717.0,1686.0,1704.0,23810
2020-02-10,1704.0,1726.0,1690.0,1713.0,48034
2020-02-11,1721.0,1726.0,1699.0,1713.0,34552
2020-02-12,1721.0,1721.0,1690.0,1704.0,33401
2020-02-13,1703.0,1757.0,1699.0,1744.0,105374
2020-02-14,1744.0,1758.0,1717.0,1758.0,91653
2020-02-17,1753.0,1775.0,1722.0,1767.0,65438
2020-02-18,1775.0,1775.0,1717.0,1731.0,53725
2020-02-19,1740.0,1740.0,1655.0,1700.0,109559
2020-02-20,1703.0,1708.0,1623.0,1637.0,117721
2020-02-21,1619.0,1632.0,1556.0,1588.0,170793
2020-02-24,1561.0,1561.0,1431.0,1539.0,463915
2020-02-25,1521.0,1561.0,1481.0,1508.0,211745
2020-02-26,1472.0,1498.0,1449.0,1472.0,163659
2020-02-27,1472.0,1481.0,1419.0,1428.0,129518
2020-02-28,1396.0,1418.0,1285.0,1285.0,416921
2020-03-02,1231.0,1374.0,1231.0,1343.0,271695
2020-03-03,1378.0,1445.0,1369.0,1396.0,296611
2020-03-04,1387.0,1490.0,1378.0,1468.0,126723
2020-03-05,1476.0,1637.0,1476.0,1530.0,358587
2020-03-06,1529.0,1543.0,1485.0,1521.0,98977
2020-03-09,1517.0,1517.0,1392.0,1428.0,101417
2020-03-10,1396.0,1418.0,1365.0,1374.0,85614
2020-03-11,1365.0,1392.0,1294.0,1312.0,84650
2020-03-12,1253.0,1319.0,1204.0,1204.0,160254
2020-03-13,1088.0,1199.0,954.0,1084.0,377329
2020-03-16,1043.0,1119.0,989.0,1021.0,254762
2020-03-17,1008.0,1025.0,927.0,1008.0,196717
2020-03-18,1004.0,1048.0,946.0,946.0,172554
2020-03-19,950.0,972.0,814.0,814.0,258467
2020-03-20,758.0,937.0,758.0,937.0,410214
2020-03-23,848.0,866.0,812.0,835.0,201453
2020-03-24,842.0,891.0,842.0,891.0,86579
2020-03-25,927.0,981.0,905.0,981.0,195627
2020-03-26,1008.0,1088.0,968.0,1026.0,196236
2020-03-27,1061.0,1128.0,981.0,1053.0,135279
2020-03-30,1034.0,1115.0,1012.0,1066.0,102247
2020-03-31,1070.0,1302.0,1039.0,1204.0,513625
2020-04-01,1186.0,1204.0,1133.0,1160.0,133641
2020-04-02,1155.0,1182.0,1119.0,1182.0,100963
2020-04-03,1182.0,1209.0,1160.0,1187.0,52196
2020-04-06,1182.0,1262.0,1182.0,1254.0,134838
2020-04-07,1267.0,1334.0,1218.0,1276.0,137783
2020-04-08,1276.0,1276.0,1209.0,1227.0,106455
2020-04-09,1240.0,1262.0,1222.0,1249.0,46237
2020-04-10,1249.0,1262.0,1204.0,1236.0,67671
2020-04-13,1235.0,1258.0,1204.0,1227.0,90755
2020-04-14,1231.0,1302.0,1213.0,1276.0,155657
2020-04-16,1276.0,1383.0,1245.0,1370.0,403815
2020-04-17,1382.0,1440.0,1378.0,1414.0,206511
2020-04-20,1423.0,1664.0,1414.0,1615.0,1301654
2020-04-21,1633.0,1981.0,1472.0,1758.0,4042887
2020-04-22,1739.0,2065.0,1659.0,1896.0,2291447
