date,open,high,low,close,volume
2020-01-02,22727.0,23521.0,22462.0,22833.0,379335
2020-01-03,22780.0,23151.0,22515.0,22568.0,188796
2020-01-06,21985.0,22303.0,21137.0,21509.0,232965
2020-01-07,21508.0,21826.0,21349.0,21456.0,145645
2020-01-08,21190.0,21455.0,19813.0,20661.0,285491
2020-01-09,21085.0,21773.0,21085.0,21456.0,126158
2020-01-10,21561.0,22038.0,21243.0,21880.0,99560
2020-01-13,21879.0,22833.0,21614.0,21827.0,228848
2020-01-14,21826.0,22250.0,21561.0,21986.0,110002
2020-01-15,21932.0,22409.0,21773.0,21774.0,89600
2020-01-16,21402.0,21985.0,21402.0,21721.0,58648
2020-01-17,21614.0,22197.0,21349.0,21403.0,55787
2020-01-20,21190.0,23045.0,21137.0,21403.0,322956
2020-01-21,21402.0,21508.0,20608.0,20608.0,100499
2020-01-22,20290.0,20979.0,20290.0,20873.0,60824
2020-01-23,20661.0,20767.0,20396.0,20396.0,52798
2020-01-28,19548.0,21402.0,18806.0,19284.0,264046
2020-01-29,19283.0,20078.0,19283.0,19602.0,92630
2020-01-30,19442.0,19813.0,18859.0,19072.0,73987
2020-01-31,18965.0,19495.0,18648.0,18754.0,54029
2020-02-03,18330.0,19283.0,17641.0,19072.0,74053
2020-02-04,18912.0,20025.0,18912.0,19920.0,66107
2020-02-05,19813.0,20290.0,19548.0,19549.0,47280
2020-02-06,19442.0,19972.0,19442.0,19655.0,30699
2020-02-07,19654.0,19760.0,19230.0,19284.0,26869
2020-02-10,19124.0,20343.0,19018.0,19125.0,81400
2020-02-11,19389.0,20131.0,19124.0,19761.0,172413
2020-02-12,19760.0,20290.0,19760.0,19920.0,64519
2020-02-13,19919.0,20237.0,19601.0,19708.0,42335
2020-02-14,19760.0,19919.0,19230.0,19284.0,47019
2020-02-17,19230.0,19919.0,18912.0,19072.0,48596
2020-02-18,18859.0,19442.0,18436.0,18542.0,66996
2020-02-19,18754.0,18754.0,17800.0,18542.0,58570
2020-02-20,18330.0,18542.0,17959.0,18012.0,43845
2020-02-21,17641.0,18383.0,17535.0,17694.0,55465
2020-02-24,16899.0,17058.0,16370.0,16529.0,76732
2020-02-25,16105.0,17588.0,16105.0,17536.0,71301
2020-02-26,17270.0,17270.0,16793.0,16847.0,28864
2020-02-27,16687.0,17164.0,16317.0,16423.0,39624
2020-02-28,15999.0,16211.0,15151.0,15152.0,80506
2020-03-02,14939.0,16422.0,14833.0,15522.0,121523
