date,open,high,low,close,volume
2020-01-02,4715.0,4815.0,4625.0,4810.0,86837
2020-01-03,4820.0,4850.0,4720.0,4770.0,53066
2020-01-06,4660.0,4765.0,4500.0,4585.0,54731
2020-01-07,4590.0,5320.0,4590.0,4850.0,2443743
2020-01-08,4800.0,4840.0,4380.0,4400.0,332481
2020-01-09,4475.0,4745.0,4470.0,4595.0,227421
2020-01-10,4550.0,4690.0,4470.0,4575.0,109483
2020-01-13,4645.0,4645.0,4510.0,4610.0,96388
2020-01-14,4575.0,4725.0,4575.0,4655.0,86047
2020-01-15,4650.0,5110.0,4650.0,4920.0,729030
2020-01-16,4920.0,4965.0,4865.0,4905.0,97863
2020-01-17,4880.0,4930.0,4830.0,4885.0,121178
2020-01-20,4855.0,4925.0,4840.0,4860.0,67859
2020-01-21,4865.0,4915.0,4735.0,4750.0,49770
2020-01-22,4720.0,4890.0,4720.0,4880.0,47431
2020-01-23,4880.0,4895.0,4815.0,4875.0,34656
2020-01-28,4705.0,4715.0,4570.0,4600.0,62090
2020-01-29,4610.0,4725.0,4580.0,4685.0,47463
2020-01-30,4680.0,4795.0,4450.0,4450.0,69339
2020-01-31,4450.0,4610.0,4230.0,4250.0,81890
2020-02-03,4085.0,4295.0,3990.0,4225.0,88187
2020-02-04,4250.0,4485.0,4155.0,4455.0,83826
2020-02-05,4480.0,4670.0,4450.0,4615.0,46204
2020-02-06,4600.0,4710.0,4600.0,4675.0,28763
2020-02-07,4675.0,4700.0,4605.0,4675.0,39962
2020-02-10,4735.0,4740.0,4635.0,4700.0,32859
2020-02-11,4670.0,4890.0,4670.0,4890.0,92228
2020-02-12,5050.0,5070.0,4825.0,4825.0,152287
2020-02-13,4850.0,4870.0,4680.0,4825.0,58958
2020-02-14,4830.0,4990.0,4805.0,4955.0,97863
2020-02-17,4980.0,5180.0,4905.0,5160.0,200361
2020-02-18,5160.0,5200.0,5020.0,5140.0,103163
2020-02-19,5180.0,5180.0,5020.0,5160.0,104960
2020-02-20,5110.0,5200.0,4790.0,4790.0,283429
2020-02-21,4790.0,5250.0,4775.0,4885.0,283652
2020-02-24,4880.0,4880.0,4420.0,4460.0,163925
2020-02-25,4375.0,4685.0,4355.0,4685.0,86000
2020-02-26,4605.0,4675.0,4500.0,4610.0,35971
2020-02-27,4610.0,4690.0,4400.0,4400.0,71680
2020-02-28,4320.0,4400.0,3925.0,4030.0,130986
2020-03-02,3980.0,4145.0,3930.0,4140.0,71172
2020-03-03,4165.0,4295.0,4125.0,4150.0,48425
2020-03-04,4080.0,4275.0,4080.0,4250.0,26760
2020-03-05,4275.0,4400.0,4275.0,4395.0,40646
2020-03-06,4350.0,4385.0,4200.0,4270.0,53537
2020-03-09,4265.0,4265.0,3990.0,4005.0,85946
2020-03-10,3905.0,4050.0,3720.0,4045.0,127915
2020-03-11,3945.0,4050.0,3780.0,3835.0,70875
2020-03-12,3735.0,3820.0,3275.0,3340.0,149021
2020-03-13,3030.0,3180.0,2490.0,2850.0,248417
2020-03-16,2800.0,2950.0,2700.0,2930.0,193783
2020-03-17,2520.0,3020.0,2520.0,2915.0,138204
2020-03-18,2885.0,2960.0,2810.0,2810.0,133611
2020-03-19,2840.0,2895.0,2320.0,2325.0,161751
2020-03-20,2315.0,2600.0,2310.0,2595.0,122345
2020-03-23,2470.0,2575.0,2400.0,2530.0,76540
2020-03-24,2545.0,2750.0,2535.0,2695.0,54210
2020-03-25,2740.0,2895.0,2730.0,2820.0,69413
2020-03-26,2840.0,2970.0,2760.0,2880.0,118854
2020-03-27,2990.0,3025.0,2750.0,2890.0,95604
2020-03-30,2890.0,3030.0,2870.0,2975.0,52818
2020-03-31,3000.0,3430.0,3000.0,3205.0,206635
2020-04-01,3210.0,3370.0,3065.0,3270.0,101564
2020-04-02,3270.0,3560.0,3075.0,3540.0,152699
2020-04-03,3595.0,3700.0,3395.0,3690.0,146661
2020-04-06,3610.0,3750.0,3600.0,3750.0,83359
2020-04-07,3780.0,3810.0,3675.0,3700.0,151178
2020-04-08,3705.0,3705.0,3550.0,3625.0,89970
2020-04-09,3730.0,3810.0,3660.0,3810.0,108695
2020-04-10,4120.0,4310.0,3665.0,3935.0,400729
2020-04-13,3935.0,3935.0,3555.0,3665.0,104120
2020-04-14,3665.0,3880.0,3665.0,3865.0,95117
2020-04-16,3865.0,3970.0,3805.0,3920.0,58388
2020-04-17,3960.0,4050.0,3920.0,4005.0,130407
2020-04-20,4040.0,4065.0,3800.0,4020.0,56459
2020-04-21,4070.0,4475.0,3705.0,3970.0,590418
2020-04-22,3860.0,3980.0,3800.0,3970.0,72458
2020-04-23,3990.0,4180.0,3990.0,4110.0,121528
2020-04-24,4110.0,4135.0,3950.0,4050.0,65421
2020-04-27,4105.0,4235.0,4060.0,4200.0,121574
2020-04-28,4200.0,4230.0,4050.0,4090.0,68742
