date,open,high,low,close,volume
2020-11-06,6667.0,8668.0,6667.0,8668.0,39633402
2020-11-09,9613.0,11264.0,9193.0,11264.0,31625190
2020-11-10,11643.0,14309.0,10578.0,12864.0,36964355
2020-11-11,12248.0,12914.0,9347.0,9633.0,10919400
2020-11-12,9433.0,10598.0,8767.0,8868.0,13072646
2020-11-13,8613.0,9078.0,8182.0,8533.0,4722015
2020-11-16,9247.0,10898.0,9012.0,10333.0,25464312
2020-11-17,9713.0,10163.0,9117.0,9168.0,6753735
2020-11-18,8997.0,9633.0,8917.0,9168.0,2975376
2020-11-19,9743.0,10063.0,9197.0,9248.0,4838019
2020-11-20,9243.0,9263.0,8947.0,9048.0,1011120
2020-11-23,9098.0,9098.0,8768.0,8768.0,811482
2020-11-24,8732.0,9463.0,8432.0,8818.0,2300532
2020-11-25,8863.0,9213.0,8632.0,8668.0,1245238
2020-11-26,8763.0,8948.0,8432.0,8568.0,673068
2020-11-27,8582.0,8998.0,8562.0,8833.0,921601
2020-11-30,8898.0,8898.0,8583.0,8583.0,387801
2020-12-01,8663.0,8678.0,8447.0,8498.0,400572
2020-12-02,8563.0,8633.0,8267.0,8368.0,455091
2020-12-03,8327.0,8962.0,7876.0,8197.0,1678736
2020-12-04,8162.0,8177.0,7811.0,7847.0,443738
2020-12-07,7762.0,7762.0,7326.0,7447.0,669340
2020-12-08,7446.0,7662.0,7296.0,7467.0,531310
2020-12-09,7592.0,7627.0,7146.0,7197.0,539271
2020-12-10,7047.0,7147.0,6796.0,6932.0,478136
2020-12-11,6961.0,7242.0,6876.0,7047.0,322907
2020-12-14,7047.0,7097.0,6832.0,6832.0,249426
2020-12-15,6831.0,7397.0,6731.0,7167.0,1188689
2020-12-16,7112.0,7247.0,6967.0,6967.0,274163
2020-12-17,7011.0,7242.0,6946.0,7047.0,220688
2020-12-18,7046.0,7447.0,6966.0,7417.0,568762
2020-12-21,7427.0,7462.0,7111.0,7197.0,490778
2020-12-22,7112.0,7112.0,6782.0,6782.0,427940
2020-12-23,6812.0,6912.0,6361.0,6382.0,443027
2020-12-24,6327.0,6427.0,6097.0,6097.0,309883
2020-12-28,6147.0,6312.0,5831.0,5917.0,286542
2020-12-29,5931.0,6077.0,5811.0,6032.0,158497
2020-12-30,6046.0,6882.0,5996.0,6367.0,1050659
2021-01-04,6497.0,6547.0,6246.0,6282.0,219674
2021-01-05,6281.0,8162.0,6281.0,7967.0,8642764
2021-01-06,8327.0,8347.0,7511.0,7782.0,2475023
2021-01-07,7862.0,9443.0,7662.0,8498.0,13256025
2021-01-08,8397.0,8562.0,7911.0,7917.0,1268493
2021-01-11,7827.0,7862.0,7011.0,7132.0,1006264
2021-01-12,7096.0,7932.0,7081.0,7467.0,1506591
2021-01-13,7326.0,7662.0,7161.0,7347.0,574104
2021-01-14,7396.0,8147.0,7381.0,7832.0,2391356
2021-01-15,7727.0,7912.0,7497.0,7497.0,513184
2021-01-18,7527.0,7927.0,7211.0,7247.0,824043
2021-01-19,7181.0,7667.0,7166.0,7667.0,388287
2021-01-20,7762.0,7842.0,7311.0,7647.0,470268
2021-01-21,7747.0,8132.0,7567.0,7567.0,1540817
2021-01-22,7612.0,7662.0,7331.0,7367.0,288533
2021-01-25,7381.0,7512.0,7281.0,7432.0,195862
2021-01-26,7546.0,8147.0,7516.0,8067.0,2266248
2021-01-27,8077.0,8112.0,7776.0,7847.0,618163
2021-01-28,7726.0,7997.0,7546.0,7997.0,682549
2021-01-29,8042.0,8212.0,7246.0,7347.0,1082052
2021-02-01,7112.0,7212.0,6796.0,7047.0,359060
2021-02-02,7012.0,7192.0,6946.0,6997.0,239765
2021-02-03,7177.0,7177.0,6946.0,7032.0,163233
2021-02-04,6997.0,7062.0,6811.0,6832.0,194797
2021-02-05,6947.0,6982.0,6696.0,6767.0,128353
2021-02-08,6797.0,6797.0,6346.0,6682.0,204002
2021-02-09,6792.0,6792.0,6547.0,6547.0,133170
2021-02-10,6611.0,6847.0,6531.0,6632.0,211633
2021-02-15,6732.0,6732.0,6596.0,6617.0,133044
2021-02-16,6647.0,6662.0,6381.0,6417.0,239246
2021-02-17,6396.0,6547.0,6361.0,6482.0,116019
2021-02-18,6497.0,6497.0,6316.0,6367.0,142972
2021-02-19,6362.0,6362.0,6096.0,6267.0,163051
2021-02-22,6212.0,6332.0,6167.0,6167.0,84341
2021-02-23,6227.0,6227.0,5996.0,6047.0,87710
2021-02-24,6012.0,6127.0,5861.0,5882.0,162058
2021-02-25,5881.0,6032.0,5831.0,5917.0,113238
2021-02-26,5692.0,5862.0,5561.0,5597.0,146238
2021-03-02,5691.0,5691.0,5325.0,5396.0,275387
2021-03-03,5395.0,5496.0,5175.0,5496.0,359510
2021-03-04,5711.0,6262.0,5461.0,6247.0,1063434
2021-03-05,5947.0,6232.0,5831.0,5867.0,360302
2021-03-08,5981.0,6427.0,5896.0,6082.0,722610
2021-03-09,6146.0,6412.0,5976.0,6347.0,373352
2021-03-10,6626.0,8092.0,6626.0,7447.0,10004787
2021-03-11,8362.0,8547.0,7061.0,7482.0,4974399
2021-03-12,7482.0,7662.0,7296.0,7367.0,1103279
2021-03-15,7292.0,7412.0,7147.0,7147.0,754417
2021-03-16,7162.0,7377.0,6996.0,7097.0,648104
2021-03-17,7096.0,7612.0,7096.0,7367.0,1580150
2021-03-18,7362.0,7497.0,7146.0,7282.0,567421
2021-03-19,7176.0,7462.0,7161.0,7247.0,459356
2021-03-22,7266.0,7932.0,7266.0,7617.0,2274041
2021-03-23,7697.0,7712.0,7231.0,7367.0,705789
2021-03-24,7361.0,7827.0,7361.0,7632.0,1700305
2021-03-25,7566.0,7962.0,7481.0,7617.0,1062567
2021-03-26,7712.0,7712.0,7331.0,7467.0,465592
2021-03-29,7296.0,7497.0,7081.0,7332.0,888874
2021-03-30,7261.0,7527.0,7211.0,7297.0,538830
2021-03-31,7297.0,7362.0,6646.0,6767.0,968192
2021-04-01,6746.0,6947.0,6716.0,6867.0,386469
2021-04-02,6992.0,7012.0,6696.0,6797.0,321695
2021-04-05,6792.0,6842.0,6626.0,6697.0,264025
2021-04-06,6762.0,6762.0,6326.0,6497.0,380449
2021-04-07,6546.0,6812.0,6461.0,6682.0,351528
2021-04-08,6597.0,6682.0,6431.0,6467.0,247513
2021-04-09,6481.0,6632.0,6346.0,6632.0,208549
2021-04-12,6746.0,7177.0,6646.0,6997.0,957487
2021-04-13,7166.0,7367.0,6966.0,7367.0,1022752
2021-04-14,7196.0,7462.0,7126.0,7397.0,533029
2021-04-15,7392.0,7392.0,6997.0,6997.0,339524
2021-04-16,6942.0,6942.0,6611.0,6697.0,746168
2021-04-19,6661.0,6727.0,6511.0,6697.0,224366
2021-04-20,6711.0,6762.0,6646.0,6732.0,123808
2021-04-21,6727.0,6727.0,6631.0,6682.0,122981
2021-04-22,6631.0,6732.0,6631.0,6667.0,108973
2021-04-23,6647.0,6662.0,6531.0,6567.0,166449
2021-04-26,6631.0,7112.0,6631.0,6832.0,1078095
2021-04-27,6762.0,6847.0,6611.0,6682.0,236649
2021-04-28,6697.0,6897.0,6582.0,6582.0,369822
