date,open,high,low,close,volume
2020-01-02,20235.0,20435.0,19934.0,20235.0,29934
2020-01-03,20402.0,20402.0,19633.0,19867.0,26110
2020-01-06,19700.0,19700.0,18830.0,18864.0,27919
2020-01-07,19064.0,20469.0,19064.0,19767.0,59694
2020-01-08,19733.0,19733.0,18495.0,18763.0,45251
2020-01-09,19365.0,19566.0,19031.0,19299.0,43907
2020-01-10,19666.0,20402.0,18964.0,20135.0,43609
2020-01-13,20134.0,21706.0,20001.0,20369.0,82915
2020-01-14,20134.0,20368.0,19532.0,20168.0,30606
2020-01-15,20569.0,20736.0,19900.0,20570.0,31266
2020-01-16,20736.0,20904.0,20067.0,20837.0,25795
2020-01-17,20837.0,22910.0,20770.0,21740.0,126734
2020-01-20,21740.0,21740.0,20703.0,20703.0,49945
2020-01-21,20435.0,20736.0,19332.0,19566.0,72748
2020-01-22,19566.0,20837.0,19398.0,20034.0,46507
2020-01-23,20034.0,20870.0,19967.0,20804.0,25540
2020-01-28,19231.0,19566.0,17693.0,18061.0,144766
2020-01-29,18462.0,19499.0,18061.0,18697.0,103281
2020-01-30,18696.0,19265.0,17927.0,18362.0,62856
2020-01-31,18529.0,19666.0,18128.0,18964.0,57534
2020-02-03,18562.0,20368.0,18128.0,20269.0,75139
2020-02-04,20067.0,20435.0,19532.0,20335.0,44519
2020-02-05,20335.0,21773.0,20001.0,21038.0,66868
2020-02-06,21238.0,21740.0,20235.0,20536.0,44480
2020-02-07,20536.0,20736.0,19499.0,20168.0,51482
2020-02-10,20335.0,20335.0,19298.0,19399.0,34192
2020-02-11,19733.0,19766.0,18796.0,19198.0,48247
2020-02-12,19465.0,19699.0,18596.0,19399.0,39382
2020-02-13,19398.0,20235.0,19398.0,19700.0,43743
2020-02-14,19700.0,19700.0,18796.0,19098.0,41449
2020-02-17,19097.0,19766.0,18796.0,19299.0,38088
2020-02-18,19198.0,19265.0,18362.0,18496.0,85457
2020-02-19,18495.0,19800.0,18429.0,19800.0,99306
2020-02-20,19800.0,19800.0,18863.0,19198.0,53734
2020-02-21,18997.0,19097.0,18061.0,18228.0,56293
2020-02-24,17693.0,17927.0,17057.0,17192.0,57638
2020-02-25,16990.0,17893.0,16706.0,17325.0,32464
2020-02-26,16790.0,18395.0,16790.0,18228.0,39067
2020-02-27,18027.0,18395.0,17124.0,17727.0,36380
2020-02-28,17325.0,17592.0,15887.0,16389.0,74595
2020-03-02,16589.0,17224.0,16321.0,16707.0,27004
2020-03-03,17024.0,17191.0,16489.0,16723.0,27716
2020-03-04,16673.0,17057.0,16321.0,16690.0,42600
2020-03-05,16756.0,17559.0,16338.0,17292.0,59032
2020-03-06,17124.0,17258.0,16355.0,16957.0,46701
2020-03-09,16706.0,16756.0,15836.0,16406.0,51650
2020-03-10,15786.0,16422.0,15770.0,16004.0,25280
2020-03-11,16087.0,16171.0,14766.0,15603.0,29319
2020-03-12,15502.0,15502.0,14515.0,14767.0,33954
2020-03-13,12759.0,16054.0,11271.0,14750.0,128348
2020-03-16,14264.0,14582.0,13345.0,13747.0,43353
2020-03-17,13044.0,13746.0,12559.0,13211.0,73051
2020-03-18,13044.0,13462.0,11990.0,11991.0,29739
2020-03-19,12040.0,12375.0,8712.0,8930.0,140305
2020-03-20,9398.0,11037.0,9398.0,11037.0,64271
2020-03-23,9950.0,11003.0,9465.0,10268.0,39502
2020-03-24,10619.0,12040.0,10452.0,11723.0,44034
2020-03-25,11940.0,13311.0,11806.0,12124.0,51151
2020-03-26,12124.0,12943.0,12024.0,12325.0,45470
2020-03-27,12575.0,13027.0,11940.0,12542.0,32154
2020-03-30,12341.0,12559.0,11873.0,12476.0,20992
2020-03-31,13010.0,13094.0,12207.0,12726.0,26643
2020-04-01,12475.0,12860.0,12124.0,12191.0,34100
2020-04-02,12040.0,12442.0,11371.0,11957.0,51651
2020-04-03,12074.0,12207.0,11338.0,11338.0,45379
2020-04-06,11238.0,11873.0,11221.0,11690.0,46054
2020-04-07,11873.0,12726.0,11873.0,12409.0,60639
2020-04-08,12475.0,13713.0,12224.0,13429.0,66604
2020-04-09,13880.0,14047.0,13111.0,13512.0,51990
2020-04-10,13646.0,13980.0,12960.0,13646.0,47383
2020-04-13,13746.0,13846.0,12793.0,12793.0,42643
2020-04-14,12860.0,13646.0,12860.0,13546.0,47460
2020-04-16,13278.0,13713.0,13161.0,13412.0,22362
2020-04-17,13495.0,15251.0,13495.0,14650.0,142160
2020-04-20,14800.0,14800.0,14348.0,14449.0,44467
2020-04-21,14382.0,14649.0,13478.0,14650.0,52913
2020-04-22,14214.0,15017.0,13913.0,14800.0,58492
2020-04-23,15251.0,16154.0,14950.0,15954.0,89929
2020-04-24,15770.0,17224.0,15686.0,16238.0,100183
2020-04-27,16238.0,16723.0,15920.0,16640.0,32999
2020-04-28,16438.0,16823.0,16104.0,16456.0,31387
2020-04-29,16355.0,16388.0,15636.0,15720.0,56171
2020-05-04,15619.0,16438.0,14850.0,16339.0,54325
2020-05-06,16338.0,16656.0,15937.0,16071.0,26788
2020-05-07,16104.0,16790.0,16087.0,16723.0,41496
2020-05-08,16723.0,17659.0,16489.0,17426.0,64851
2020-05-11,17224.0,17325.0,16455.0,16757.0,60755
2020-05-12,16756.0,16890.0,16087.0,16573.0,36576
2020-05-13,16188.0,16556.0,15970.0,16489.0,56284
2020-05-14,16104.0,16572.0,16104.0,16573.0,38294
2020-05-15,16589.0,17325.0,16338.0,17325.0,62156
2020-05-18,17659.0,17726.0,16857.0,17727.0,48874
2020-05-19,17860.0,19265.0,17860.0,18697.0,126722
2020-05-20,18562.0,19800.0,18495.0,19700.0,91825
2020-05-21,19733.0,19733.0,18730.0,19232.0,106927
2020-05-22,19231.0,19900.0,17893.0,19800.0,110538
2020-05-25,19666.0,19666.0,18930.0,19065.0,36802
