date,open,high,low,close,volume
2020-01-02,60900.0,60900.0,59300.0,59800.0,5520
2020-01-03,59800.0,66500.0,59300.0,60400.0,6606
2020-01-06,60400.0,60400.0,59100.0,59100.0,4303
2020-01-07,59500.0,59800.0,59000.0,59500.0,2327
2020-01-08,60000.0,60000.0,57100.0,58100.0,5048
2020-01-09,58900.0,59300.0,57200.0,57200.0,5678
2020-01-10,57500.0,57500.0,56500.0,56800.0,3044
2020-01-13,57000.0,58500.0,56300.0,56700.0,3993
2020-01-14,56900.0,58000.0,56600.0,56900.0,4054
2020-01-15,57600.0,57600.0,56400.0,56900.0,4025
2020-01-16,57700.0,57900.0,56900.0,57100.0,1705
2020-01-17,57800.0,58400.0,57300.0,58300.0,3965
2020-01-20,58500.0,58500.0,57500.0,57600.0,1664
2020-01-21,57600.0,57600.0,56800.0,57300.0,1633
2020-01-22,57200.0,57200.0,56300.0,57200.0,6165
2020-01-23,57200.0,57200.0,56300.0,57000.0,1754
2020-01-28,56500.0,56500.0,55200.0,55800.0,3603
2020-01-29,55800.0,57100.0,54600.0,55800.0,3958
2020-01-30,55900.0,55900.0,54200.0,54300.0,2612
2020-01-31,55100.0,55100.0,52600.0,52600.0,6741
2020-02-03,49900.0,52800.0,49900.0,52700.0,6605
2020-02-04,53300.0,53300.0,50300.0,52100.0,4470
2020-02-05,52100.0,54900.0,52000.0,52900.0,10283
2020-02-06,52400.0,54700.0,52300.0,53300.0,10572
2020-02-07,53300.0,54500.0,52600.0,54200.0,3436
2020-02-10,54300.0,54600.0,53400.0,54600.0,3026
2020-02-11,54700.0,55600.0,53500.0,54500.0,5580
2020-02-12,53600.0,54500.0,53300.0,54500.0,2438
2020-02-13,54600.0,54800.0,53900.0,54400.0,2243
2020-02-14,54400.0,54400.0,53100.0,53800.0,3392
2020-02-17,53800.0,54000.0,53200.0,53600.0,2396
2020-02-18,52800.0,53800.0,52500.0,53600.0,1973
2020-02-19,54100.0,54100.0,52400.0,52900.0,2389
2020-02-20,53100.0,53100.0,50200.0,52500.0,17771
2020-02-21,50600.0,52400.0,50600.0,50800.0,1372
2020-02-24,49900.0,49950.0,48600.0,49350.0,7285
2020-02-25,47500.0,51800.0,47500.0,51000.0,7994
2020-02-26,49950.0,50200.0,49250.0,49900.0,6144
2020-02-27,48800.0,49750.0,48500.0,49300.0,4269
2020-02-28,47200.0,49800.0,47200.0,49000.0,13108
2020-03-02,47150.0,49500.0,47150.0,48650.0,2793
2020-03-03,51400.0,51400.0,48400.0,48650.0,1752
2020-03-04,48650.0,48950.0,48050.0,48050.0,5668
2020-03-05,48700.0,48800.0,47800.0,48400.0,3515
2020-03-06,48400.0,48450.0,47050.0,48400.0,3257
2020-03-09,48000.0,48000.0,46700.0,46750.0,3573
2020-03-10,46100.0,46500.0,44450.0,44600.0,10624
2020-03-11,44850.0,45550.0,44550.0,44900.0,3867
2020-03-12,44900.0,45150.0,42550.0,43650.0,12962
2020-03-13,39700.0,42000.0,34800.0,39000.0,31749
2020-03-16,39450.0,39550.0,36300.0,37000.0,13487
2020-03-17,33400.0,36550.0,33400.0,35000.0,15204
2020-03-18,34100.0,34500.0,32550.0,32550.0,36613
2020-03-19,32600.0,32900.0,28600.0,28900.0,14132
2020-03-20,28900.0,31600.0,28900.0,30400.0,8472
2020-03-23,27900.0,30650.0,27800.0,29850.0,6959
2020-03-24,29900.0,31300.0,29900.0,30650.0,5845
2020-03-25,31400.0,32750.0,31400.0,32500.0,130689
2020-03-26,32550.0,34300.0,32550.0,33750.0,8366
2020-03-27,34200.0,35300.0,32950.0,34100.0,7980
2020-03-30,33500.0,34300.0,33500.0,34200.0,1946
2020-03-31,34800.0,35300.0,32500.0,34800.0,6043
2020-04-01,35400.0,36650.0,34050.0,35850.0,7109
2020-04-02,36000.0,37000.0,34350.0,36500.0,4198
2020-04-03,37850.0,38000.0,35900.0,36500.0,3413
2020-04-06,36500.0,37450.0,36000.0,37150.0,3422
2020-04-07,38150.0,38150.0,37200.0,37800.0,5947
2020-04-08,37800.0,38700.0,37200.0,38500.0,3735
2020-04-09,39000.0,39700.0,38700.0,39400.0,5767
2020-04-10,39950.0,43050.0,39600.0,42500.0,13087
2020-04-13,42550.0,45400.0,41050.0,41300.0,10304
2020-04-14,41250.0,41950.0,39150.0,41050.0,4322
2020-04-16,41050.0,41050.0,39200.0,39550.0,10278
2020-04-17,40200.0,41000.0,39850.0,40300.0,9169
2020-04-20,40800.0,40800.0,40100.0,40400.0,4422
2020-04-21,40400.0,41150.0,38950.0,39700.0,5059
2020-04-22,39300.0,39300.0,37950.0,39000.0,7570
2020-04-23,39000.0,40000.0,38850.0,39200.0,4986
2020-04-24,39000.0,39200.0,38050.0,38250.0,4370
2020-04-27,38800.0,39350.0,38550.0,39050.0,3355
2020-04-28,39100.0,39950.0,38800.0,39000.0,2977
2020-04-29,39000.0,39950.0,39000.0,39750.0,5351
2020-05-04,39800.0,40400.0,39000.0,40100.0,5846
2020-05-06,40350.0,40350.0,39550.0,39850.0,3095
2020-05-07,39850.0,40350.0,38400.0,39600.0,8439
2020-05-08,40200.0,51300.0,39700.0,42500.0,55194
2020-05-11,42500.0,48100.0,42100.0,44700.0,25414
2020-05-12,44700.0,45700.0,41900.0,42250.0,26434
2020-05-13,41650.0,42150.0,41300.0,41550.0,4758
2020-05-14,41350.0,41350.0,40000.0,41100.0,9949
2020-05-15,40900.0,41750.0,40050.0,41750.0,5676
2020-05-18,42300.0,51000.0,42000.0,44000.0,53117
2020-05-19,44600.0,49900.0,44400.0,46700.0,48720
2020-05-20,47050.0,48850.0,46000.0,46450.0,17529
2020-05-21,46350.0,46900.0,45500.0,45850.0,7741
2020-05-22,46350.0,46750.0,45150.0,46000.0,6347
2020-05-25,46450.0,47350.0,45550.0,46950.0,8140
2020-05-26,47000.0,50800.0,46950.0,50800.0,24156
2020-05-27,53000.0,53200.0,49850.0,50600.0,23168
2020-05-28,51000.0,52000.0,48800.0,50000.0,9386
2020-05-29,49050.0,51600.0,48950.0,51100.0,11975
2020-06-01,55400.0,60900.0,53900.0,56000.0,64033
2020-06-02,60300.0,60300.0,56200.0,56900.0,48419
2020-06-03,58000.0,60000.0,55100.0,57700.0,74680
2020-06-04,58600.0,58600.0,54800.0,55900.0,35727
2020-06-05,55000.0,55200.0,53700.0,54700.0,24905
2020-06-08,55800.0,55900.0,53200.0,54300.0,23551
2020-06-09,53100.0,54100.0,51800.0,52900.0,26212
2020-06-10,52900.0,52900.0,51300.0,52200.0,14630
2020-06-11,51300.0,53000.0,50900.0,51400.0,18012
2020-06-12,48900.0,50300.0,48600.0,49800.0,14137
2020-06-15,49800.0,49800.0,45100.0,47100.0,11292
2020-06-16,47600.0,50000.0,47600.0,50000.0,7854
2020-06-17,49000.0,49800.0,48300.0,48800.0,5059
2020-06-18,48750.0,48750.0,47850.0,48500.0,5110
2020-06-19,48500.0,49750.0,48100.0,48750.0,6600
2020-06-22,48750.0,51000.0,48550.0,49450.0,4915
2020-06-23,50900.0,50900.0,48100.0,48850.0,10553
2020-06-24,48850.0,50400.0,48850.0,49500.0,5489
2020-06-25,47850.0,48800.0,47850.0,48150.0,4643
2020-06-26,49000.0,49000.0,48000.0,48500.0,1793
2020-06-29,47600.0,48450.0,47150.0,47550.0,4145
2020-06-30,47600.0,48850.0,47400.0,48700.0,5035
2020-07-01,48800.0,49000.0,47850.0,47850.0,3050
2020-07-02,47850.0,49150.0,47200.0,48250.0,7130
2020-07-03,48550.0,49150.0,47950.0,48750.0,3635
2020-07-06,48750.0,49400.0,48700.0,48900.0,2180
2020-07-07,48750.0,49200.0,48100.0,48800.0,5018
2020-07-08,48800.0,55700.0,48250.0,51300.0,48162
2020-07-09,51400.0,52000.0,50500.0,50600.0,5012
2020-07-10,50500.0,52000.0,49750.0,51900.0,9367
2020-07-13,51900.0,52200.0,50900.0,51600.0,4004
2020-07-14,51600.0,52600.0,51000.0,52100.0,5963
2020-07-15,52700.0,52700.0,51600.0,52100.0,5029
2020-07-16,52100.0,52700.0,51900.0,52000.0,5219
2020-07-17,52300.0,52700.0,51500.0,52000.0,4933
2020-07-20,52000.0,52600.0,51200.0,51600.0,3510
2020-07-21,52200.0,54900.0,51900.0,54500.0,18693
2020-07-22,57300.0,58800.0,56100.0,56500.0,59282
2020-07-23,57500.0,58000.0,56400.0,57700.0,24802
2020-07-24,56800.0,58300.0,54600.0,58000.0,13096
2020-07-27,58000.0,58600.0,56400.0,58500.0,23205
2020-07-28,59000.0,59000.0,56600.0,56800.0,13683
2020-07-29,56300.0,57700.0,56200.0,56800.0,11362
2020-07-30,56900.0,57100.0,55600.0,56000.0,7998
2020-07-31,56000.0,64900.0,55000.0,62900.0,89504
2020-08-03,62800.0,64500.0,62000.0,63900.0,22956
2020-08-04,66500.0,75400.0,66100.0,70700.0,108346
2020-08-05,70700.0,72000.0,67900.0,68600.0,32215
2020-08-06,68600.0,70400.0,67600.0,67600.0,14608
2020-08-07,68300.0,69600.0,65700.0,66100.0,16543
2020-08-10,66600.0,70600.0,66300.0,69300.0,20340
2020-08-11,69200.0,70400.0,67700.0,69900.0,18879
2020-08-12,70400.0,70500.0,68800.0,69300.0,11682
2020-08-13,70400.0,78900.0,69500.0,75500.0,83818
2020-08-14,76800.0,79900.0,74500.0,78900.0,38217
2020-08-18,78900.0,79000.0,72500.0,77900.0,26715
2020-08-19,76800.0,78000.0,74200.0,78000.0,20348
2020-08-20,77800.0,78000.0,70000.0,72600.0,34135
2020-08-21,76300.0,78300.0,74200.0,75100.0,39145
2020-08-24,73900.0,74900.0,70200.0,74700.0,20069
2020-08-25,74700.0,78700.0,74700.0,78100.0,18973
2020-08-26,79200.0,79700.0,74800.0,75500.0,23289
2020-08-27,75500.0,80000.0,74300.0,79100.0,32697
2020-08-28,79200.0,92800.0,79200.0,89900.0,70476
2020-08-31,90000.0,92400.0,87200.0,89600.0,32591
2020-09-01,89800.0,89800.0,83900.0,85400.0,17444
2020-09-02,85400.0,85400.0,81500.0,83900.0,17984
2020-09-03,83400.0,83500.0,81600.0,83300.0,22847
2020-09-04,80300.0,89900.0,80100.0,88700.0,74646
2020-09-07,88300.0,97100.0,87700.0,90500.0,81745
2020-09-08,94400.0,94400.0,88700.0,92000.0,33054
2020-09-09,91100.0,95000.0,88000.0,92800.0,33453
2020-09-10,93200.0,93700.0,91400.0,93300.0,12416
2020-09-11,93400.0,97900.0,91700.0,92800.0,26569
2020-09-14,92800.0,97200.0,92600.0,92800.0,27690
2020-09-15,92200.0,96000.0,92100.0,95900.0,21848
2020-09-16,96000.0,98500.0,93700.0,94900.0,27498
2020-09-17,94900.0,95900.0,92000.0,92500.0,17020
2020-09-18,92500.0,92900.0,88000.0,88000.0,49088
2020-09-21,89700.0,90900.0,78000.0,79400.0,65977
2020-09-22,80100.0,82300.0,74500.0,80400.0,26602
2020-09-23,83100.0,84100.0,80000.0,80800.0,33182
2020-09-24,79000.0,79000.0,77000.0,77600.0,18124
2020-09-25,80500.0,80500.0,77100.0,77100.0,16266
2020-09-28,78200.0,80700.0,77100.0,80700.0,16244
2020-09-29,80700.0,82000.0,79600.0,79800.0,13631
2020-10-05,81400.0,87500.0,79600.0,84000.0,29574
2020-10-06,85600.0,88700.0,83100.0,85000.0,23460
2020-10-07,83200.0,86100.0,83200.0,85300.0,12470
2020-10-08,87000.0,87900.0,84200.0,87000.0,17736
2020-10-12,88800.0,88800.0,84100.0,84700.0,15449
2020-10-13,85700.0,85800.0,82100.0,83500.0,18198
2020-10-14,83800.0,83900.0,80500.0,81700.0,15195
2020-10-15,81700.0,81700.0,78900.0,80900.0,12660
2020-10-16,81000.0,85000.0,78700.0,79000.0,13990
2020-10-19,79000.0,80600.0,77900.0,77900.0,11013
2020-10-20,79000.0,84100.0,78100.0,82800.0,53622
2020-10-21,83500.0,91300.0,83500.0,90000.0,70218
2020-10-22,90600.0,91300.0,86300.0,87900.0,34993
2020-10-23,87900.0,88500.0,84300.0,85600.0,17879
2020-10-26,84200.0,86200.0,81100.0,81500.0,23843
2020-10-27,81300.0,83600.0,80100.0,82200.0,11047
2020-10-28,81900.0,87300.0,81400.0,86800.0,17031
2020-10-29,85600.0,85600.0,82800.0,84600.0,13295
2020-10-30,83600.0,85100.0,81900.0,81900.0,8588
2020-11-02,81900.0,83900.0,81200.0,82100.0,6796
2020-11-03,83400.0,85000.0,81400.0,83200.0,12339
2020-11-04,83700.0,85000.0,78900.0,79600.0,31479
2020-11-05,82800.0,86900.0,82300.0,86600.0,32221
2020-11-06,86800.0,88000.0,84600.0,85000.0,14855
2020-11-09,85400.0,90200.0,85300.0,89700.0,24171
2020-11-10,92000.0,92300.0,89500.0,91200.0,24687
2020-11-11,93400.0,93500.0,90600.0,91400.0,25379
2020-11-12,92400.0,92700.0,89500.0,91400.0,16133
2020-11-13,91600.0,91800.0,89100.0,89900.0,11752
2020-11-16,89900.0,90000.0,87400.0,88800.0,15512
2020-11-17,90200.0,95500.0,90100.0,94500.0,53232
