date,open,high,low,close,volume
2020-01-02,1639.0,1674.0,1639.0,1676.0,6968
2020-01-03,1670.0,1670.0,1638.0,1672.0,2733
2020-01-06,1664.0,1667.0,1639.0,1669.0,20566
2020-01-07,1674.0,1674.0,1658.0,1672.0,179
2020-01-08,1674.0,1674.0,1639.0,1676.0,730
2020-01-09,1635.0,1670.0,1635.0,1672.0,2259
2020-01-10,1667.0,1667.0,1667.0,1669.0,0
2020-01-13,1665.0,1665.0,1665.0,1665.0,0
2020-01-14,1651.0,1651.0,1639.0,1653.0,2770
2020-01-15,1657.0,1657.0,1648.0,1657.0,434
2020-01-16,1645.0,1645.0,1645.0,1647.0,49
2020-01-17,1651.0,1651.0,1651.0,1653.0,11
2020-01-20,1655.0,1655.0,1646.0,1653.0,3032
2020-01-21,1628.0,1657.0,1628.0,1657.0,294
2020-01-22,1657.0,1657.0,1653.0,1657.0,3398
2020-01-23,1639.0,1651.0,1639.0,1653.0,5692
2020-01-28,1645.0,1645.0,1645.0,1647.0,0
2020-01-29,1643.0,1643.0,1636.0,1636.0,15632
2020-01-30,1645.0,1645.0,1629.0,1647.0,13349
2020-01-31,1655.0,1655.0,1627.0,1653.0,459
2020-02-03,1623.0,1636.0,1623.0,1636.0,7846
2020-02-04,1627.0,1636.0,1627.0,1636.0,552
2020-02-05,1631.0,1636.0,1627.0,1636.0,2393
2020-02-06,1636.0,1636.0,1636.0,1636.0,847
2020-02-07,1636.0,1636.0,1636.0,1636.0,0
2020-02-10,1636.0,1636.0,1636.0,1636.0,0
2020-02-11,1635.0,1642.0,1635.0,1644.0,6614
2020-02-12,1639.0,1642.0,1630.0,1644.0,6245
2020-02-13,1645.0,1645.0,1629.0,1647.0,3987
2020-02-14,1648.0,1657.0,1648.0,1657.0,9006
2020-02-17,1655.0,1679.0,1646.0,1660.0,6966
2020-02-18,1696.0,1696.0,1647.0,1684.0,114
2020-02-19,1642.0,1662.0,1642.0,1647.0,184
2020-02-20,1651.0,1695.0,1638.0,1672.0,7629
2020-02-21,1642.0,1662.0,1634.0,1647.0,4952
2020-02-24,1663.0,1663.0,1630.0,1640.0,955
2020-02-25,1656.0,1665.0,1640.0,1665.0,8881
2020-02-26,1686.0,1686.0,1638.0,1680.0,42
2020-02-27,1682.0,1682.0,1645.0,1680.0,38
2020-02-28,1638.0,1678.0,1634.0,1680.0,12264
2020-03-02,1642.0,1674.0,1635.0,1672.0,5928
2020-03-03,1642.0,1662.0,1629.0,1647.0,13906
2020-03-04,1651.0,1651.0,1635.0,1653.0,26
2020-03-05,1651.0,1651.0,1639.0,1653.0,2941
2020-03-06,1657.0,1657.0,1657.0,1657.0,11
2020-03-09,1637.0,1657.0,1637.0,1657.0,1086
2020-03-10,1651.0,1651.0,1651.0,1653.0,0
2020-03-11,1655.0,1655.0,1630.0,1653.0,28
2020-03-12,1628.0,1665.0,1628.0,1665.0,1859
2020-03-13,1658.0,1658.0,1613.0,1647.0,36506
2020-03-16,1617.0,1638.0,1617.0,1640.0,868
2020-03-17,1614.0,1635.0,1614.0,1628.0,10710
2020-03-18,1639.0,1639.0,1607.0,1628.0,6730
2020-03-19,1636.0,1636.0,1595.0,1608.0,30726
2020-03-20,1602.0,1610.0,1598.0,1612.0,5606
2020-03-23,1599.0,1607.0,1554.0,1588.0,28430
2020-03-24,1586.0,1614.0,1575.0,1616.0,10652
2020-03-25,1607.0,1630.0,1602.0,1632.0,8509
2020-03-26,1598.0,1626.0,1598.0,1628.0,585
2020-03-27,1631.0,1631.0,1590.0,1608.0,15197
2020-03-30,1618.0,1618.0,1595.0,1616.0,613
