date,open,high,low,close,volume
2020-01-02,7900.0,7920.0,7820.0,7920.0,63343
2020-01-03,7940.0,8060.0,7790.0,7800.0,144223
2020-01-06,7700.0,7780.0,7510.0,7530.0,92637
2020-01-07,7670.0,7680.0,7540.0,7640.0,68458
2020-01-08,7640.0,7690.0,6990.0,7350.0,198761
2020-01-09,7580.0,7620.0,7430.0,7470.0,156357
2020-01-10,7690.0,7690.0,7480.0,7570.0,83835
2020-01-13,7570.0,7960.0,7500.0,7680.0,220164
2020-01-14,7720.0,7740.0,7590.0,7660.0,73961
2020-01-15,7980.0,8600.0,7880.0,8110.0,1290444
2020-01-16,8110.0,8500.0,8050.0,8450.0,520385
2020-01-17,8650.0,8870.0,8360.0,8370.0,447130
2020-01-20,8370.0,8430.0,8050.0,8100.0,188519
2020-01-21,8140.0,8250.0,7950.0,8010.0,76797
2020-01-22,8040.0,8140.0,7860.0,7860.0,103447
2020-01-23,7820.0,8060.0,7720.0,7980.0,116076
2020-01-28,7690.0,7870.0,7430.0,7500.0,130528
2020-01-29,7580.0,7800.0,7500.0,7530.0,55649
2020-01-30,7700.0,7700.0,7100.0,7200.0,99074
2020-01-31,7170.0,7240.0,6900.0,6910.0,112892
2020-02-03,6800.0,6940.0,6600.0,6850.0,85636
2020-02-04,7060.0,7060.0,6920.0,7040.0,58335
2020-02-05,7080.0,7600.0,7070.0,7090.0,275868
2020-02-06,7330.0,7330.0,7150.0,7230.0,49107
2020-02-07,7260.0,7280.0,7000.0,7080.0,44576
2020-02-10,7080.0,7270.0,7050.0,7200.0,52503
2020-02-11,7260.0,7710.0,7250.0,7410.0,523791
2020-02-12,7410.0,7410.0,7220.0,7380.0,83664
2020-02-13,7460.0,7620.0,7230.0,7330.0,153134
2020-02-14,7290.0,7700.0,7290.0,7380.0,212863
2020-02-17,7480.0,7640.0,7410.0,7550.0,147847
2020-02-18,7620.0,7620.0,7420.0,7450.0,53605
2020-02-19,7450.0,7570.0,7180.0,7240.0,75182
2020-02-20,7250.0,7600.0,7090.0,7200.0,165817
2020-02-21,7550.0,8690.0,7450.0,7900.0,4954471
2020-02-24,8380.0,8500.0,6780.0,6870.0,1367579
2020-02-25,6870.0,7190.0,6330.0,6630.0,455980
2020-02-26,6580.0,7230.0,6510.0,6710.0,705603
2020-02-27,6630.0,6760.0,6160.0,6320.0,264962
2020-02-28,6210.0,6210.0,5710.0,5800.0,280930
2020-03-02,5770.0,6430.0,5730.0,6070.0,545462
2020-03-03,6070.0,6310.0,5880.0,6050.0,405499
2020-03-04,6070.0,6270.0,5920.0,6230.0,173426
2020-03-05,6360.0,6360.0,6130.0,6160.0,95423
2020-03-06,6130.0,6170.0,5960.0,5990.0,97519
2020-03-09,5960.0,5960.0,5500.0,5520.0,137453
2020-03-10,5390.0,5920.0,5260.0,5570.0,112084
2020-03-11,5570.0,5700.0,5120.0,5170.0,95514
2020-03-12,5070.0,5090.0,4645.0,4660.0,155442
2020-03-13,4220.0,4380.0,3425.0,3800.0,288423
2020-03-16,3830.0,3965.0,3555.0,3555.0,84946
2020-03-17,3120.0,3735.0,3120.0,3425.0,179854
2020-03-18,3435.0,3580.0,3105.0,3105.0,80545
2020-03-19,3145.0,3155.0,2350.0,2460.0,196143
2020-03-20,2460.0,2660.0,2410.0,2660.0,151413
2020-03-23,2425.0,2525.0,2340.0,2490.0,98158
2020-03-24,2525.0,2775.0,2500.0,2745.0,283047
2020-03-25,2810.0,3145.0,2810.0,3065.0,347445
2020-03-26,3105.0,3505.0,3055.0,3245.0,300210
2020-03-27,3360.0,3400.0,3135.0,3360.0,214307
2020-03-30,3390.0,4115.0,3300.0,3935.0,761552
2020-03-31,4290.0,4925.0,3780.0,4880.0,1224740
2020-04-01,5490.0,6100.0,4905.0,4910.0,1978597
2020-04-02,4660.0,5450.0,4270.0,4900.0,637916
2020-04-03,5000.0,5530.0,4920.0,5200.0,768904
2020-04-06,5260.0,5280.0,5010.0,5150.0,267108
2020-04-07,5260.0,5380.0,4990.0,5100.0,294069
2020-04-08,5160.0,5180.0,5000.0,5040.0,137850
2020-04-09,5120.0,5290.0,4995.0,5050.0,254365
2020-04-10,5050.0,5060.0,4550.0,4775.0,181742
2020-04-13,4740.0,5210.0,4620.0,4910.0,308196
2020-04-14,5050.0,5210.0,4990.0,5000.0,185532
2020-04-16,4930.0,5090.0,4815.0,5090.0,82773
2020-04-17,5100.0,5190.0,5030.0,5080.0,110592
2020-04-20,5100.0,5340.0,5030.0,5260.0,173195
2020-04-21,5250.0,5250.0,4730.0,4970.0,148677
2020-04-22,4830.0,4995.0,4830.0,4980.0,33598
2020-04-23,5000.0,5090.0,4950.0,5020.0,67204
2020-04-24,5010.0,5180.0,4915.0,5000.0,131427
2020-04-27,5080.0,5440.0,5080.0,5320.0,485634
2020-04-28,5340.0,5430.0,5130.0,5380.0,236124
2020-04-29,5380.0,5840.0,5300.0,5440.0,691428
2020-05-04,5300.0,5340.0,5110.0,5240.0,141231
2020-05-06,5240.0,5400.0,5240.0,5360.0,176957
