date,open,high,low,close,volume
2020-01-02,2807.0,2822.0,2786.0,2822.0,71201
2020-01-03,2822.0,2829.0,2786.0,2815.0,63139
2020-01-06,2793.0,2793.0,2750.0,2772.0,135676
2020-01-07,2786.0,2793.0,2743.0,2786.0,73244
2020-01-08,2786.0,2786.0,2650.0,2729.0,182795
2020-01-09,2722.0,2757.0,2722.0,2751.0,87451
2020-01-10,2750.0,2757.0,2722.0,2758.0,73615
2020-01-13,2750.0,2786.0,2743.0,2786.0,91321
2020-01-14,2786.0,2800.0,2757.0,2794.0,52228
2020-01-15,2807.0,2829.0,2764.0,2815.0,59261
2020-01-16,2822.0,2886.0,2779.0,2844.0,213021
2020-01-17,2850.0,3022.0,2822.0,3022.0,390007
2020-01-20,3050.0,3050.0,2950.0,2972.0,127852
2020-01-21,2950.0,3007.0,2872.0,2922.0,95932
2020-01-22,2907.0,2929.0,2864.0,2908.0,101832
2020-01-23,2886.0,2922.0,2850.0,2886.0,92559
2020-01-28,2807.0,2836.0,2736.0,2786.0,131778
2020-01-29,2786.0,2864.0,2736.0,2858.0,122015
2020-01-30,2872.0,3015.0,2814.0,2915.0,484218
2020-01-31,2922.0,2936.0,2779.0,2829.0,208535
2020-02-03,2693.0,2757.0,2557.0,2694.0,441389
2020-02-04,2693.0,2714.0,2643.0,2708.0,124339
2020-02-05,2700.0,2700.0,2643.0,2694.0,92993
2020-02-06,2693.0,2722.0,2643.0,2722.0,171633
2020-02-07,2722.0,2743.0,2672.0,2701.0,95457
2020-02-10,2686.0,2722.0,2650.0,2686.0,93413
2020-02-11,2686.0,2700.0,2672.0,2694.0,53502
2020-02-12,2693.0,2722.0,2650.0,2694.0,76624
2020-02-13,2714.0,2722.0,2636.0,2679.0,99453
2020-02-14,2679.0,2679.0,2636.0,2679.0,75218
2020-02-17,2686.0,2686.0,2650.0,2679.0,36265
2020-02-18,2672.0,2707.0,2629.0,2651.0,53957
2020-02-19,2650.0,2672.0,2607.0,2651.0,49646
2020-02-20,2679.0,2679.0,2600.0,2644.0,43718
2020-02-21,2622.0,2657.0,2572.0,2622.0,111665
