date,open,high,low,close,volume
2023-04-20,9380.0,10100.0,8450.0,10100.0,11193690
2023-04-21,11920.0,12800.0,9270.0,9510.0,21997749
2023-04-24,9060.0,9180.0,7350.0,7700.0,2637477
2023-04-25,8060.0,10010.0,8000.0,10010.0,7353692
2023-04-26,10270.0,10900.0,8010.0,8160.0,6470797
2023-04-27,8140.0,9430.0,7510.0,8110.0,6923451
2023-04-28,8000.0,8880.0,7780.0,7970.0,2123995
2023-05-02,8330.0,8570.0,8020.0,8280.0,2374545
2023-05-03,8310.0,8930.0,8270.0,8600.0,1989397
2023-05-04,8470.0,8470.0,7740.0,7850.0,802347
2023-05-08,8000.0,8080.0,7500.0,7500.0,598259
2023-05-09,7430.0,7920.0,7400.0,7430.0,588896
2023-05-10,7410.0,7850.0,7350.0,7510.0,697327
2023-05-11,7670.0,7980.0,7480.0,7530.0,652287
2023-05-12,7530.0,7760.0,7440.0,7650.0,328639
2023-05-15,7700.0,8390.0,7560.0,7960.0,2683969
2023-05-16,8040.0,8200.0,7600.0,7740.0,889959
2023-05-17,8520.0,8820.0,7840.0,7900.0,1794783
2023-05-18,7910.0,8080.0,7720.0,7900.0,639540
2023-05-19,8180.0,8500.0,7850.0,7860.0,3146045
2023-05-22,7960.0,7980.0,7550.0,7620.0,876373
2023-05-23,7620.0,7620.0,7340.0,7430.0,430616
2023-05-24,7450.0,7480.0,7050.0,7060.0,369109
2023-05-25,7160.0,7450.0,7030.0,7180.0,457513
2023-05-26,7180.0,7320.0,7050.0,7050.0,209850
2023-05-30,7050.0,7060.0,6700.0,6740.0,242664
2023-05-31,6740.0,7270.0,6730.0,6990.0,359490
2023-06-01,6960.0,7240.0,6830.0,6910.0,346370
2023-06-02,6910.0,7200.0,6910.0,7010.0,232228
2023-06-05,7010.0,7050.0,6840.0,6860.0,106760
2023-06-07,6870.0,7250.0,6870.0,6880.0,366355
2023-06-08,6880.0,7250.0,6880.0,7190.0,460719
2023-06-09,7160.0,7420.0,7080.0,7400.0,349160
2023-06-12,7400.0,7800.0,7400.0,7450.0,783110
2023-06-13,7420.0,7470.0,7130.0,7140.0,212083
2023-06-14,7150.0,7190.0,6790.0,6810.0,258210
2023-06-15,6890.0,6890.0,6670.0,6720.0,102476
2023-06-16,6730.0,6920.0,6660.0,6770.0,91062
2023-06-19,6770.0,6890.0,6700.0,6840.0,45285
2023-06-20,6780.0,6930.0,6660.0,6740.0,122284
2023-06-21,6740.0,6740.0,6600.0,6630.0,78308
2023-06-22,6600.0,6700.0,6600.0,6620.0,47623
2023-06-23,6600.0,6640.0,6400.0,6510.0,105232
2023-06-26,6520.0,6530.0,6290.0,6370.0,46671
2023-06-27,6320.0,6440.0,6320.0,6390.0,44567
2023-06-28,6410.0,6550.0,6220.0,6310.0,52033
2023-06-29,6310.0,6390.0,6030.0,6050.0,120620
2023-06-30,6040.0,6100.0,5900.0,5950.0,67102
2023-07-03,5980.0,6090.0,5940.0,5980.0,74516
2023-07-04,5980.0,6000.0,5740.0,5790.0,109468
2023-07-05,5790.0,6360.0,5730.0,5880.0,196028
