date,open,high,low,close,volume
2020-01-02,4933.0,5133.0,4933.0,5100.0,161961
2020-01-03,5132.0,5199.0,4983.0,5033.0,129363
2020-01-06,4933.0,4966.0,4850.0,4850.0,128709
2020-01-07,4899.0,4999.0,4866.0,4933.0,116106
2020-01-08,4933.0,4933.0,4683.0,4700.0,134430
2020-01-09,4832.0,4849.0,4766.0,4833.0,66834
2020-01-10,4833.0,5033.0,4783.0,5033.0,172110
2020-01-13,5115.0,5115.0,4949.0,5016.0,127776
2020-01-14,5033.0,5700.0,4950.0,5600.0,2909154
2020-01-15,5615.0,5665.0,5316.0,5316.0,1046457
2020-01-16,5333.0,5550.0,5233.0,5350.0,993720
2020-01-17,5400.0,5500.0,5183.0,5200.0,723906
2020-01-20,5216.0,5416.0,5182.0,5416.0,359463
2020-01-21,5399.0,5466.0,5233.0,5333.0,240189
2020-01-22,5333.0,5450.0,5266.0,5400.0,290370
2020-01-23,5399.0,5499.0,5316.0,5366.0,311088
2020-01-28,5099.0,5166.0,4866.0,4933.0,358704
2020-01-29,4966.0,5016.0,4883.0,4950.0,127380
2020-01-30,4982.0,4999.0,4599.0,4733.0,254229
2020-01-31,4699.0,4882.0,4433.0,4533.0,189273
2020-02-03,4333.0,4533.0,4183.0,4450.0,184503
2020-02-04,4566.0,4650.0,4483.0,4600.0,117108
2020-02-05,4666.0,4733.0,4583.0,4700.0,144192
2020-02-06,4699.0,4832.0,4649.0,4783.0,222549
2020-02-07,4783.0,4849.0,4733.0,4833.0,74985
2020-02-10,4782.0,4849.0,4666.0,4766.0,86187
2020-02-11,4766.0,4849.0,4733.0,4833.0,82527
2020-02-12,4866.0,4983.0,4799.0,4983.0,165090
2020-02-13,5049.0,5166.0,4950.0,4950.0,307368
2020-02-14,4949.0,5099.0,4932.0,5016.0,87582
2020-02-17,5032.0,5032.0,4899.0,5016.0,97989
2020-02-18,4966.0,5000.0,4766.0,4850.0,145632
2020-02-19,4850.0,4866.0,4650.0,4700.0,94332
2020-02-20,4682.0,4749.0,4549.0,4566.0,152478
