date,open,high,low,close,volume
2020-10-29,3339.0,4290.0,3252.0,3815.0,90842515
2020-10-30,4040.0,4377.0,3489.0,3602.0,33581793
2020-11-02,3589.0,3965.0,3489.0,3690.0,14061060
2020-11-03,3727.0,3927.0,3639.0,3665.0,9382902
2020-11-04,3727.0,4753.0,3714.0,4753.0,41234373
2020-11-05,5203.0,6178.0,5153.0,6179.0,21975905
2020-11-06,7104.0,7804.0,6016.0,6442.0,31224808
2020-11-09,7367.0,7392.0,6103.0,6554.0,9792103
2020-11-10,6253.0,7267.0,5465.0,6442.0,17823594
2020-11-11,6379.0,6729.0,5753.0,5816.0,5678971
2020-11-12,5728.0,6078.0,5503.0,5516.0,4179126
2020-11-13,5403.0,5403.0,4890.0,5091.0,3115944
2020-11-16,5190.0,5978.0,5028.0,5579.0,10204701
2020-11-17,5353.0,5353.0,5003.0,5153.0,2749816
2020-11-18,5053.0,5465.0,5028.0,5291.0,2367215
2020-11-19,5315.0,5553.0,5290.0,5391.0,2078430
2020-11-20,5403.0,5578.0,5140.0,5366.0,1314275
2020-11-23,5403.0,5803.0,5178.0,5566.0,1834613
2020-11-24,5566.0,6366.0,5440.0,5754.0,10329718
2020-11-25,5828.0,7029.0,5766.0,6929.0,30099613
2020-11-26,7029.0,8380.0,6879.0,7580.0,46334335
2020-11-27,7604.0,7667.0,7104.0,7205.0,6164395
2020-11-30,7117.0,7142.0,6479.0,6617.0,6528724
2020-12-01,6516.0,6716.0,6241.0,6467.0,7699250
2020-12-02,6554.0,6954.0,6541.0,6654.0,10002225
2020-12-03,6554.0,6866.0,6329.0,6729.0,3323309
2020-12-04,6766.0,6916.0,6604.0,6667.0,2687056
2020-12-07,6604.0,6816.0,6491.0,6604.0,1508188
2020-12-08,6579.0,6766.0,6253.0,6254.0,2230693
2020-12-09,6253.0,6379.0,6028.0,6079.0,1219719
2020-12-10,6091.0,6666.0,6078.0,6467.0,2376689
2020-12-11,6391.0,6504.0,6291.0,6304.0,875065
2020-12-14,6228.0,6228.0,6053.0,6054.0,828934
2020-12-15,6116.0,6716.0,5878.0,6241.0,3349692
2020-12-16,6341.0,6641.0,6241.0,6567.0,2811977
2020-12-17,6679.0,6679.0,6316.0,6317.0,1570312
2020-12-18,6329.0,6379.0,6228.0,6229.0,630752
2020-12-21,6228.0,6228.0,6028.0,6079.0,760150
2020-12-22,6003.0,6116.0,5891.0,5891.0,835926
2020-12-23,5891.0,5928.0,5628.0,5641.0,753830
2020-12-24,5616.0,5878.0,5453.0,5666.0,763048
2020-12-28,5578.0,5941.0,5553.0,5641.0,409097
2020-12-29,5666.0,5828.0,5641.0,5754.0,359004
2020-12-30,5866.0,6879.0,5691.0,6191.0,10171742
2021-01-04,6341.0,6491.0,6191.0,6279.0,1903385
2021-01-05,6504.0,6704.0,6379.0,6554.0,3564260
2021-01-06,6629.0,6654.0,6241.0,6266.0,1489595
2021-01-07,6429.0,7317.0,6341.0,6842.0,25417442
2021-01-08,6841.0,6841.0,6354.0,6617.0,2835362
2021-01-11,6466.0,6479.0,6166.0,6216.0,1353106
2021-01-12,6153.0,6203.0,5953.0,5966.0,882189
2021-01-13,5916.0,6554.0,5916.0,6329.0,1715208
2021-01-14,6203.0,6554.0,6128.0,6454.0,1199367
2021-01-15,6479.0,6904.0,6429.0,6604.0,4776535
2021-01-18,6629.0,6829.0,6354.0,6667.0,1913567
2021-01-19,6704.0,6904.0,6529.0,6529.0,1690568
2021-01-20,6629.0,6641.0,6278.0,6329.0,1075534
2021-01-21,6341.0,6429.0,6166.0,6392.0,1185144
2021-01-22,6391.0,6441.0,6228.0,6329.0,972883
2021-01-25,6529.0,6879.0,6466.0,6867.0,5216748
2021-01-26,7229.0,7542.0,6516.0,6554.0,13176217
2021-01-27,6454.0,6591.0,6341.0,6342.0,1824707
2021-01-28,6203.0,6316.0,6003.0,6029.0,1363571
2021-01-29,6041.0,6303.0,5953.0,6179.0,957085
2021-02-01,6253.0,6429.0,6028.0,6229.0,755545
2021-02-02,6228.0,6379.0,6166.0,6291.0,560061
2021-02-03,6329.0,6354.0,6203.0,6229.0,419274
2021-02-04,6291.0,6291.0,6028.0,6066.0,484625
2021-02-05,6066.0,6091.0,5828.0,5879.0,1103388
2021-02-08,5866.0,5866.0,5703.0,5754.0,415872
2021-02-09,5753.0,5928.0,5753.0,5879.0,260399
2021-02-10,5866.0,5978.0,5778.0,5904.0,227959
2021-02-15,5878.0,5903.0,5766.0,5779.0,322939
2021-02-16,5853.0,5853.0,5666.0,5704.0,445673
2021-02-17,5728.0,5766.0,5541.0,5566.0,381426
2021-02-18,5566.0,5641.0,5378.0,5428.0,593156
2021-02-19,5353.0,5478.0,5190.0,5316.0,439857
2021-02-22,5403.0,5478.0,5278.0,5416.0,304531
2021-02-23,5390.0,5440.0,5165.0,5203.0,273239
2021-02-24,5153.0,5190.0,4878.0,4916.0,620942
2021-02-25,4978.0,5128.0,4915.0,5078.0,274414
2021-02-26,5003.0,5003.0,4778.0,4841.0,301901
2021-03-02,5015.0,5165.0,4928.0,5066.0,239376
2021-03-03,5003.0,5803.0,5003.0,5416.0,948634
2021-03-04,5415.0,5716.0,5303.0,5641.0,402137
2021-03-05,5616.0,5853.0,5440.0,5629.0,384444
2021-03-08,5691.0,5816.0,5628.0,5629.0,270724
2021-03-09,5541.0,5591.0,5303.0,5516.0,208628
2021-03-10,5553.0,5628.0,5278.0,5378.0,150277
2021-03-11,5290.0,5353.0,5228.0,5291.0,155677
2021-03-12,5290.0,5453.0,5203.0,5366.0,185179
2021-03-15,5365.0,5490.0,5290.0,5403.0,111885
2021-03-16,5403.0,5515.0,5403.0,5428.0,146159
2021-03-17,5390.0,5703.0,5390.0,5666.0,388674
2021-03-18,5666.0,5941.0,5666.0,5741.0,559401
2021-03-19,5741.0,6103.0,5378.0,6104.0,890415
2021-03-22,6141.0,6879.0,5553.0,6304.0,10389340
2021-03-23,6216.0,6266.0,5791.0,5866.0,1238499
2021-03-24,5841.0,5916.0,5603.0,5816.0,662012
2021-03-25,5716.0,5828.0,5678.0,5779.0,437131
2021-03-26,5703.0,5916.0,5678.0,5891.0,294014
2021-03-29,5903.0,6203.0,5903.0,5966.0,1022616
2021-03-30,5966.0,6128.0,5878.0,6041.0,625927
2021-03-31,6003.0,6053.0,5841.0,5841.0,395145
2021-04-01,6028.0,6028.0,5515.0,5554.0,929854
2021-04-02,5553.0,5728.0,5503.0,5554.0,250833
2021-04-05,5578.0,5678.0,5390.0,5466.0,277184
2021-04-06,5465.0,5528.0,5365.0,5391.0,242102
2021-04-07,5378.0,5641.0,5378.0,5541.0,234227
2021-04-08,5541.0,5616.0,5453.0,5478.0,196256
2021-04-09,5478.0,5541.0,5465.0,5478.0,147091
2021-04-12,5465.0,5528.0,5440.0,5441.0,176668
2021-04-13,5378.0,5716.0,5378.0,5529.0,408661
2021-04-14,5641.0,5641.0,5528.0,5529.0,142590
2021-04-15,5553.0,5591.0,5440.0,5453.0,211982
2021-04-16,5478.0,5490.0,5403.0,5441.0,211662
2021-04-19,5490.0,5553.0,5440.0,5453.0,196184
2021-04-20,5453.0,5490.0,5403.0,5416.0,197974
2021-04-21,5440.0,5553.0,5353.0,5416.0,275485
2021-04-22,5465.0,5553.0,5353.0,5378.0,238317
2021-04-23,5378.0,5503.0,5353.0,5441.0,238181
2021-04-26,5415.0,5490.0,5328.0,5328.0,270568
2021-04-27,5390.0,5390.0,5228.0,5228.0,285171
2021-04-28,5240.0,5253.0,4990.0,5091.0,292519
2021-04-29,5015.0,5165.0,5003.0,5016.0,204554
2021-04-30,4990.0,5140.0,4928.0,4953.0,188225
2021-05-03,5003.0,5103.0,4953.0,4978.0,144944
2021-05-04,4953.0,5078.0,4940.0,4953.0,105809
2021-05-06,4953.0,4990.0,4903.0,4928.0,122838
2021-05-07,4928.0,5415.0,4878.0,5291.0,622086
2021-05-10,5290.0,5315.0,5178.0,5191.0,155274
2021-05-11,5128.0,5153.0,5003.0,5103.0,239304
2021-05-12,5103.0,5140.0,4940.0,4978.0,115879
2021-05-13,4853.0,5040.0,4778.0,4941.0,143073
