date,open,high,low,close,volume
2023-03-16,4080.0,4775.0,3980.0,4085.0,12744041
2023-03-17,4180.0,4450.0,3840.0,4110.0,7737812
2023-03-20,4030.0,4085.0,3885.0,3890.0,2237481
2023-03-21,3840.0,3980.0,3645.0,3715.0,2017659
2023-03-22,3790.0,3980.0,3730.0,3905.0,3422270
2023-03-23,3835.0,4165.0,3810.0,3890.0,2998881
2023-03-24,3920.0,3970.0,3795.0,3840.0,1038385
2023-03-27,3880.0,3910.0,3650.0,3665.0,1065032
2023-03-28,3710.0,3900.0,3645.0,3740.0,1431691
2023-03-29,3740.0,3980.0,3645.0,3980.0,1755044
2023-03-30,3980.0,4050.0,3900.0,3915.0,1138373
2023-03-31,3900.0,3925.0,3710.0,3780.0,637498
2023-04-03,3820.0,3840.0,3750.0,3780.0,275065
2023-04-04,3800.0,3805.0,3680.0,3710.0,457484
2023-04-05,3655.0,3680.0,3510.0,3550.0,770392
2023-04-06,3530.0,3550.0,3355.0,3370.0,643699
2023-04-07,3430.0,3440.0,3335.0,3420.0,389810
2023-04-10,3480.0,3670.0,3425.0,3450.0,1143279
2023-04-11,3450.0,3460.0,3270.0,3300.0,547881
2023-04-12,3340.0,3395.0,3270.0,3290.0,328569
2023-04-13,3310.0,3315.0,3130.0,3210.0,307255
2023-04-14,3215.0,3285.0,3095.0,3130.0,547789
2023-04-17,3150.0,3315.0,3105.0,3230.0,600858
2023-04-18,3210.0,3230.0,3110.0,3125.0,354402
2023-04-19,3125.0,3225.0,3120.0,3180.0,275544
2023-04-20,3190.0,3280.0,3145.0,3150.0,414896
2023-04-21,3145.0,3195.0,3105.0,3110.0,226849
2023-04-24,3115.0,3115.0,2980.0,2990.0,390167
2023-04-25,2970.0,3015.0,2835.0,2865.0,393587
2023-04-26,2825.0,2900.0,2775.0,2785.0,233929
2023-04-27,2810.0,2835.0,2770.0,2780.0,115210
2023-04-28,2795.0,2835.0,2700.0,2710.0,197123
2023-05-02,2730.0,2835.0,2710.0,2795.0,122964
2023-05-03,2755.0,3005.0,2735.0,2905.0,359929
2023-05-04,2905.0,2955.0,2870.0,2925.0,117950
2023-05-08,2945.0,2955.0,2870.0,2880.0,86440
2023-05-09,2855.0,2935.0,2785.0,2785.0,108467
2023-05-10,2760.0,2840.0,2750.0,2760.0,75000
2023-05-11,2815.0,3000.0,2780.0,2830.0,442311
2023-05-12,2855.0,3085.0,2845.0,2995.0,597480
2023-05-15,3005.0,3125.0,2890.0,2890.0,572351
2023-05-16,2755.0,2900.0,2705.0,2785.0,380191
2023-05-17,2820.0,3620.0,2785.0,3620.0,3316041
2023-05-18,4050.0,4705.0,3710.0,4350.0,38155064
2023-05-19,4525.0,5330.0,4340.0,4535.0,24462863
2023-05-22,4535.0,4690.0,4300.0,4360.0,4520170
2023-05-23,4450.0,5520.0,4320.0,4790.0,32300524
2023-05-24,4580.0,4890.0,4580.0,4890.0,1253178
2023-05-25,4925.0,5090.0,4925.0,4975.0,1161203
2023-05-26,5000.0,5140.0,4880.0,4975.0,1166490
2023-05-30,5150.0,5390.0,4760.0,4840.0,7966497
2023-05-31,4825.0,4860.0,4620.0,4655.0,1526990
2023-06-01,4740.0,4975.0,4555.0,4700.0,6331777
2023-06-02,4360.0,4935.0,4285.0,4810.0,4933433
2023-06-05,4775.0,6250.0,4715.0,6250.0,18562484
2023-06-07,6730.0,7060.0,6230.0,6280.0,9934210
2023-06-08,6280.0,6280.0,5870.0,5990.0,1400344
2023-06-09,6050.0,6080.0,5680.0,5820.0,1310264
2023-06-12,5750.0,5920.0,5680.0,5890.0,961393
2023-06-13,5690.0,5860.0,5610.0,5730.0,1000411
2023-06-14,5790.0,5840.0,5410.0,5520.0,1080196
2023-06-15,5600.0,5740.0,5320.0,5490.0,707143
2023-06-16,5610.0,5770.0,5480.0,5770.0,1069541
2023-06-19,5650.0,5700.0,5400.0,5690.0,600562
2023-06-20,5750.0,5890.0,5600.0,5890.0,864628
2023-06-21,5810.0,5950.0,5410.0,5730.0,1050307
2023-06-22,5550.0,6170.0,5530.0,5610.0,2971581
2023-06-23,6030.0,6150.0,5540.0,5840.0,2295231
2023-06-26,5800.0,7590.0,5750.0,6540.0,28895657
2023-06-27,6840.0,7140.0,6090.0,6300.0,8561561
2023-06-28,6470.0,6550.0,5930.0,6020.0,3055555
2023-06-29,6160.0,6400.0,5980.0,6350.0,4106739
2023-06-30,6090.0,6230.0,5490.0,5580.0,2076282
2023-07-03,5500.0,5570.0,5340.0,5400.0,877775
2023-07-04,5330.0,5650.0,5300.0,5300.0,1287740
2023-07-05,5290.0,5390.0,5020.0,5160.0,783988
2023-07-06,5090.0,5150.0,4945.0,4980.0,534479
2023-07-07,4980.0,5080.0,4875.0,5020.0,331784
2023-07-10,4955.0,5050.0,4790.0,4930.0,418178
2023-07-11,4940.0,5100.0,4630.0,4815.0,742851
2023-07-12,4855.0,5100.0,4720.0,4885.0,1104038
2023-07-13,5020.0,5020.0,4510.0,4615.0,1069056
2023-07-14,4585.0,4600.0,4460.0,4600.0,434742
2023-07-17,4565.0,4590.0,4405.0,4480.0,242202
2023-07-18,4570.0,4570.0,4340.0,4375.0,321631
2023-07-19,4395.0,4510.0,4330.0,4350.0,218688
2023-07-20,4375.0,4390.0,4150.0,4330.0,229340
2023-07-21,4250.0,4305.0,4150.0,4165.0,198692
2023-07-24,4130.0,4190.0,3955.0,4035.0,299444
2023-07-25,4035.0,4095.0,3875.0,3885.0,290028
2023-07-26,3925.0,3930.0,3535.0,3630.0,558622
2023-07-27,3640.0,3875.0,3640.0,3800.0,291054
2023-07-28,3740.0,3890.0,3605.0,3805.0,199884
2023-07-31,3910.0,4135.0,3810.0,4030.0,585394
2023-08-01,3985.0,4125.0,3900.0,4020.0,265438
2023-08-02,4035.0,4525.0,4035.0,4190.0,2354384
2023-08-03,4120.0,4140.0,3755.0,3850.0,785657
2023-08-04,3730.0,3895.0,3730.0,3795.0,318823
2023-08-07,3695.0,3930.0,3655.0,3755.0,309046
2023-08-08,3760.0,4700.0,3635.0,4085.0,11965269
2023-08-09,4180.0,4595.0,4000.0,4065.0,3708061
2023-08-10,4290.0,4435.0,4040.0,4070.0,3248493
2023-08-11,4150.0,4530.0,4120.0,4440.0,2671396
2023-08-14,4460.0,4950.0,4200.0,4425.0,6751836
2023-08-16,4380.0,4555.0,4085.0,4170.0,1444939
2023-08-17,4255.0,4270.0,3720.0,3765.0,2392468
2023-08-18,3620.0,3665.0,3100.0,3125.0,1050031
2023-08-21,3145.0,3475.0,3125.0,3340.0,883512
2023-08-22,3450.0,3465.0,3225.0,3230.0,270640
2023-08-23,3230.0,4195.0,3215.0,4195.0,2324326
2023-08-24,5110.0,5400.0,4425.0,4740.0,21573891
2023-08-25,4645.0,5270.0,4430.0,4565.0,6433154
2023-08-28,4645.0,5930.0,4335.0,5930.0,22467130
2023-08-29,6350.0,7310.0,5830.0,5930.0,28756288
2023-08-30,6060.0,6140.0,5600.0,5750.0,4701177
2023-08-31,5650.0,5750.0,5410.0,5540.0,2326325
2023-09-01,5460.0,5560.0,5120.0,5130.0,1928704
2023-09-04,5070.0,5300.0,4865.0,4930.0,2216643
2023-09-05,4955.0,5270.0,4885.0,5020.0,4562461
2023-09-06,5150.0,5480.0,4965.0,4965.0,3483347
2023-09-07,4900.0,5390.0,4665.0,4860.0,3998023
2023-09-08,4700.0,5010.0,4635.0,4685.0,1060525
2023-09-11,4670.0,4900.0,4480.0,4500.0,1019866
2023-09-12,4695.0,5290.0,4595.0,4640.0,5764179
2023-09-13,4640.0,4820.0,4235.0,4305.0,925611
2023-09-14,4420.0,4850.0,4345.0,4525.0,2023089
2023-09-15,4500.0,5300.0,4500.0,5080.0,5411065
2023-09-18,5100.0,5280.0,4850.0,4875.0,1928730
2023-09-19,4990.0,5290.0,4850.0,5200.0,3384758
2023-09-20,5130.0,6750.0,5010.0,6100.0,33941698
2023-09-21,5930.0,7190.0,5880.0,6020.0,34045390
2023-09-22,6150.0,6700.0,5210.0,5240.0,14566963
2023-09-25,5180.0,5530.0,4835.0,4845.0,4513095
2023-09-26,4845.0,5090.0,4495.0,4520.0,2651105
2023-09-27,4490.0,4565.0,4355.0,4495.0,1136878
2023-10-04,4420.0,4445.0,4035.0,4070.0,1241703
2023-10-05,4110.0,4265.0,3825.0,3825.0,1000643
2023-10-06,4215.0,4970.0,4210.0,4970.0,10571579
2023-10-10,5200.0,5980.0,4800.0,5230.0,32115214
2023-10-11,5480.0,5890.0,5180.0,5250.0,7801469
2023-10-12,5310.0,5700.0,5210.0,5550.0,8661518
2023-10-13,5270.0,5380.0,4920.0,5030.0,2785515
2023-10-16,4860.0,4985.0,4585.0,4620.0,1774711
2023-10-17,4610.0,5190.0,4610.0,4935.0,8755882
2023-10-18,4790.0,5430.0,4780.0,5220.0,7729761
2023-10-19,5160.0,5770.0,5070.0,5380.0,12347184
2023-10-20,5260.0,5870.0,5030.0,5030.0,11702865
2023-10-23,4955.0,5950.0,4910.0,5690.0,14000007
2023-10-24,5630.0,6480.0,5400.0,5790.0,13857857
2023-10-25,5930.0,6470.0,5710.0,6250.0,16570131
2023-10-26,5800.0,5860.0,5220.0,5280.0,4407987
2023-10-27,5280.0,5450.0,4900.0,5020.0,2734176
2023-10-30,5030.0,5230.0,5000.0,5140.0,1539159
2023-10-31,5260.0,5500.0,5080.0,5350.0,3844854
2023-11-01,5470.0,5550.0,5180.0,5200.0,2228247
2023-11-02,5300.0,5690.0,5260.0,5610.0,3466608
2023-11-03,5650.0,5860.0,5320.0,5690.0,3943854
2023-11-06,5780.0,5820.0,5470.0,5600.0,2812611
2023-11-07,5600.0,5600.0,5270.0,5350.0,1542529
2023-11-08,5460.0,5600.0,4990.0,5100.0,1774551
2023-11-09,5060.0,5110.0,4795.0,4825.0,1092267
2023-11-10,4820.0,4825.0,4630.0,4665.0,584325
2023-11-13,4665.0,4940.0,4630.0,4815.0,1001223
2023-11-14,4900.0,5030.0,4845.0,4990.0,745211
2023-11-15,4995.0,5090.0,4915.0,4960.0,1060057
2023-11-16,5000.0,5120.0,4930.0,5050.0,715686
2023-11-17,5110.0,5180.0,4770.0,5120.0,1142153
2023-11-20,5060.0,5150.0,5020.0,5030.0,734840
2023-11-21,5070.0,5390.0,4995.0,5320.0,2865324
2023-11-22,5230.0,5570.0,5090.0,5570.0,2953069
2023-11-23,5500.0,5710.0,5280.0,5310.0,2205567
2023-11-24,5350.0,5460.0,5160.0,5380.0,1224674
2023-11-27,5400.0,5420.0,5020.0,5020.0,896992
2023-11-28,5320.0,5460.0,5030.0,5200.0,2344000
2023-11-29,5170.0,5340.0,5050.0,5070.0,775985
2023-11-30,5130.0,5390.0,5080.0,5330.0,1363805
2023-12-01,5150.0,5390.0,5140.0,5260.0,1044279
2023-12-04,5280.0,5280.0,5080.0,5080.0,625534
2023-12-05,5390.0,6290.0,5230.0,5890.0,25119054
2023-12-06,5890.0,6840.0,5800.0,6090.0,20109918
2023-12-07,6160.0,6250.0,5650.0,5830.0,4455148
2023-12-08,5950.0,6200.0,5830.0,5960.0,4417988
2023-12-11,5840.0,7740.0,5770.0,7550.0,42824814
2023-12-12,7670.0,8310.0,7560.0,7870.0,23763191
2023-12-13,7760.0,7870.0,6990.0,7010.0,6502508
2023-12-14,7260.0,7520.0,6500.0,6650.0,8124473
2023-12-15,6700.0,6960.0,6410.0,6710.0,3472502
2023-12-18,6710.0,6950.0,6620.0,6810.0,2626673
2023-12-19,6610.0,6820.0,6520.0,6730.0,1826428
2023-12-20,6730.0,7130.0,6420.0,6690.0,4916791
2023-12-21,6550.0,6680.0,6280.0,6290.0,1604671
2023-12-22,6330.0,6560.0,6190.0,6210.0,1345688
2023-12-26,6150.0,6220.0,5960.0,5990.0,949565
2023-12-27,6050.0,6070.0,5850.0,5980.0,899213
2023-12-28,5960.0,6120.0,5890.0,6100.0,650396
2024-01-02,6190.0,6270.0,6010.0,6260.0,765833
2024-01-03,6220.0,6220.0,6030.0,6050.0,523679
2024-01-04,6000.0,6430.0,5930.0,6310.0,1707164
2024-01-05,6330.0,6900.0,6200.0,6400.0,4273585
2024-01-08,6420.0,6850.0,6300.0,6720.0,3150717
2024-01-09,7000.0,7020.0,6630.0,6760.0,2514958
2024-01-10,6780.0,6940.0,6400.0,6520.0,2087362
2024-01-11,6580.0,6900.0,6480.0,6820.0,3017592
2024-01-12,6870.0,6930.0,6400.0,6430.0,1245441
2024-01-15,6290.0,6290.0,6010.0,6030.0,890355
2024-01-16,5950.0,6220.0,5890.0,6120.0,799664
2024-01-17,6080.0,6220.0,5810.0,5810.0,614393
2024-01-18,5750.0,6000.0,5700.0,5830.0,442686
2024-01-19,5960.0,6150.0,5930.0,6060.0,515973
2024-01-22,6140.0,6370.0,6060.0,6260.0,870154
2024-01-23,6310.0,6390.0,6060.0,6310.0,591797
2024-01-24,6360.0,6490.0,6190.0,6220.0,656354
2024-01-25,6220.0,6300.0,5990.0,6040.0,412988
2024-01-26,6190.0,6470.0,6120.0,6410.0,1021298
2024-01-29,6560.0,6650.0,5470.0,5890.0,2034120
2024-01-30,6000.0,6000.0,5560.0,5780.0,529441
2024-01-31,5660.0,6120.0,5660.0,5830.0,711558
2024-02-01,5710.0,5830.0,5400.0,5530.0,634468
2024-02-02,5680.0,6080.0,5540.0,5740.0,865410
2024-02-05,5720.0,5790.0,5570.0,5670.0,224363
2024-02-06,5660.0,5710.0,5480.0,5590.0,401171
2024-02-07,5570.0,5730.0,5560.0,5610.0,226025
2024-02-08,5610.0,5720.0,5580.0,5700.0,255536
2024-02-13,5800.0,5900.0,5750.0,5820.0,402741
2024-02-14,5860.0,6160.0,5770.0,6090.0,948671
2024-02-15,6190.0,6450.0,6020.0,6270.0,1605107
2024-02-16,6230.0,6260.0,6000.0,6040.0,600062
2024-02-19,6190.0,6410.0,6070.0,6410.0,940280
2024-02-20,6310.0,6380.0,6100.0,6270.0,577296
2024-02-21,6220.0,6350.0,6090.0,6100.0,387977
2024-02-22,6220.0,6480.0,6120.0,6440.0,1264385
2024-02-23,6370.0,6650.0,6250.0,6300.0,937058
2024-02-26,6300.0,6300.0,6120.0,6220.0,299810
2024-02-27,6200.0,6220.0,6030.0,6100.0,337498
2024-02-28,6200.0,6380.0,6060.0,6160.0,687833
2024-02-29,6160.0,6160.0,5860.0,5970.0,495847
2024-03-04,6020.0,6140.0,5910.0,6080.0,267854
2024-03-05,6040.0,6380.0,6030.0,6380.0,668520
2024-03-06,6280.0,6430.0,6220.0,6290.0,438824
2024-03-07,6300.0,6360.0,6040.0,6200.0,429813
2024-03-08,6200.0,6340.0,6070.0,6080.0,390357
2024-03-11,6050.0,6100.0,5920.0,5930.0,286454
2024-03-12,5940.0,5980.0,5720.0,5800.0,359918
2024-03-13,5810.0,6020.0,5760.0,5900.0,318754
2024-03-14,5990.0,5990.0,5810.0,5820.0,168289
2024-03-15,5830.0,5840.0,5680.0,5690.0,242202
2024-03-18,5690.0,5740.0,5600.0,5650.0,206812
2024-03-19,5650.0,6530.0,5470.0,6120.0,3872862
2024-03-20,5970.0,6440.0,5840.0,5980.0,2407627
2024-03-21,5980.0,6080.0,5920.0,5940.0,493616
2024-03-22,5880.0,5930.0,5790.0,5860.0,312526
2024-03-25,5860.0,6240.0,5820.0,6000.0,855777
2024-03-26,5990.0,6890.0,5930.0,6780.0,15951139
2024-03-27,6650.0,6710.0,6360.0,6510.0,3430401
2024-03-28,6730.0,7140.0,6210.0,6230.0,6734774
2024-03-29,6150.0,6330.0,6090.0,6170.0,767975
2024-04-01,6210.0,6460.0,6180.0,6350.0,918116
2024-04-02,6350.0,6470.0,6100.0,6170.0,821322
2024-04-03,6040.0,6300.0,5900.0,5940.0,801859
2024-04-04,5980.0,6240.0,5960.0,6160.0,624257
2024-04-05,6070.0,6230.0,5950.0,6010.0,739596
2024-04-08,6190.0,6260.0,6010.0,6010.0,520818
2024-04-09,6010.0,6360.0,5970.0,6080.0,1278812
2024-04-11,5960.0,6010.0,5810.0,5970.0,480400
2024-04-12,6000.0,6090.0,5920.0,5930.0,434866
2024-04-15,5810.0,5890.0,5700.0,5820.0,335822
2024-04-16,5730.0,5990.0,5660.0,5700.0,695145
2024-04-17,5760.0,5840.0,5710.0,5710.0,213488
2024-04-18,5690.0,5810.0,5690.0,5750.0,252149
2024-04-19,5730.0,5860.0,5350.0,5460.0,563019
2024-04-22,5450.0,5650.0,5450.0,5510.0,207483
2024-04-23,5540.0,6090.0,5510.0,5660.0,2141740
2024-04-24,5740.0,5830.0,5700.0,5800.0,453371
2024-04-25,5760.0,5810.0,5610.0,5610.0,253284
2024-04-26,5790.0,5970.0,5690.0,5770.0,499194
2024-04-29,5850.0,5960.0,5750.0,5750.0,292665
2024-04-30,5740.0,5850.0,5660.0,5680.0,215312
2024-05-02,5680.0,5720.0,5610.0,5660.0,162182
2024-05-03,5720.0,5760.0,5620.0,5630.0,108429
2024-05-07,5650.0,5700.0,5560.0,5590.0,176290
2024-05-08,5600.0,5640.0,5500.0,5610.0,232080
2024-05-09,5600.0,5690.0,5560.0,5590.0,269108
2024-05-10,5590.0,5690.0,5590.0,5590.0,174785
2024-05-13,5610.0,5690.0,5590.0,5630.0,149673
2024-05-14,5650.0,5920.0,5650.0,5830.0,940779
2024-05-16,5840.0,5880.0,5750.0,5820.0,270516
2024-05-17,5880.0,5880.0,5500.0,5600.0,323373
2024-05-20,5600.0,5630.0,5440.0,5500.0,238063
2024-05-21,5500.0,5550.0,5410.0,5490.0,131501
2024-05-22,5470.0,5490.0,5110.0,5190.0,472064
2024-05-23,5190.0,5300.0,5030.0,5080.0,311116
2024-05-24,5000.0,5140.0,4960.0,5030.0,185852
2024-05-27,5050.0,5050.0,4830.0,4980.0,278639
2024-05-28,5010.0,5510.0,4990.0,5180.0,1254922
2024-05-29,5180.0,5200.0,5000.0,5010.0,195058
2024-05-30,5010.0,5150.0,4950.0,4980.0,193563
2024-05-31,4950.0,5040.0,4900.0,4910.0,106298
2024-06-03,4885.0,4985.0,4800.0,4800.0,173397
2024-06-04,4800.0,4800.0,4630.0,4640.0,194173
2024-06-05,4610.0,4750.0,4595.0,4695.0,119491
2024-06-07,4700.0,4760.0,4700.0,4720.0,75956
2024-06-10,4675.0,4890.0,4670.0,4845.0,141542
2024-06-11,5000.0,5770.0,4940.0,4965.0,5454527
2024-06-12,4960.0,5440.0,4960.0,5040.0,1304032
2024-06-13,5060.0,5170.0,4885.0,4895.0,436837
2024-06-14,4925.0,4970.0,4830.0,4910.0,183993
2024-06-17,4995.0,5220.0,4915.0,5080.0,371471
2024-06-18,5100.0,5370.0,5080.0,5340.0,525862
2024-06-19,5300.0,6060.0,5250.0,5290.0,5357276
2024-06-20,5270.0,5360.0,5160.0,5220.0,475436
2024-06-21,5200.0,5290.0,5080.0,5150.0,306588
2024-06-24,5150.0,5650.0,5150.0,5440.0,1481925
2024-06-25,5410.0,5450.0,5210.0,5300.0,444059
2024-06-26,5310.0,5450.0,5160.0,5230.0,343247
2024-06-27,5190.0,5350.0,4920.0,5020.0,535185
2024-06-28,5020.0,5070.0,4765.0,4795.0,495764
2024-07-01,4795.0,4825.0,4695.0,4755.0,272166
2024-07-02,4720.0,4755.0,4615.0,4705.0,227434
