date,open,high,low,close,volume
2022-02-28,20200.0,24950.0,19700.0,21450.0,15197444
2022-03-02,20400.0,22950.0,20200.0,21650.0,3411932
2022-03-03,21750.0,22600.0,20800.0,22400.0,2141361
2022-03-04,22050.0,22200.0,20800.0,20850.0,852250
2022-03-07,20300.0,20700.0,19100.0,19300.0,519673
2022-03-08,18850.0,18900.0,18150.0,18600.0,495410
2022-03-10,19050.0,19550.0,17400.0,17600.0,718471
2022-03-11,17800.0,18150.0,16850.0,18000.0,506329
2022-03-14,17600.0,17650.0,16600.0,16600.0,285577
2022-03-15,16400.0,16700.0,16000.0,16300.0,232559
2022-03-16,16500.0,17600.0,16250.0,17150.0,361786
2022-03-17,17550.0,17600.0,16800.0,17000.0,209395
2022-03-18,17050.0,18250.0,16900.0,17850.0,324390
2022-03-21,17850.0,18350.0,17450.0,17650.0,161790
2022-03-22,18150.0,18850.0,18100.0,18550.0,342113
2022-03-23,18800.0,18850.0,18050.0,18300.0,206930
2022-03-24,18050.0,18150.0,17700.0,18100.0,188104
2022-03-25,18050.0,18400.0,17800.0,17900.0,148573
2022-03-28,17700.0,17750.0,17050.0,17100.0,213459
2022-03-29,17350.0,17550.0,17150.0,17400.0,83250
2022-03-30,17700.0,18500.0,17350.0,18450.0,416555
2022-03-31,18200.0,18550.0,18000.0,18250.0,155225
2022-04-01,18250.0,18300.0,17750.0,18050.0,102796
2022-04-04,18200.0,18950.0,18100.0,18700.0,253694
2022-04-05,18800.0,19100.0,18600.0,19000.0,165363
2022-04-06,18800.0,18850.0,18200.0,18550.0,135920
2022-04-07,18400.0,19400.0,18350.0,18800.0,323666
2022-04-08,18950.0,19350.0,18550.0,18750.0,169333
2022-04-11,18650.0,18900.0,18400.0,18450.0,84410
2022-04-12,18200.0,18400.0,17350.0,18000.0,184134
2022-04-13,17950.0,18100.0,17650.0,17900.0,78920
2022-04-14,17950.0,18100.0,17700.0,17700.0,81461
2022-04-15,17800.0,19100.0,17600.0,18800.0,289825
2022-04-18,19050.0,20650.0,19000.0,20200.0,654689
2022-04-19,20600.0,20650.0,19700.0,19750.0,380775
2022-04-20,19900.0,20500.0,19850.0,20200.0,687486
2022-04-21,20650.0,21650.0,20450.0,21500.0,823000
2022-04-22,21150.0,21750.0,20950.0,21300.0,413461
2022-04-25,20900.0,20950.0,19800.0,19800.0,377655
2022-04-26,20500.0,21400.0,20350.0,21300.0,560853
2022-04-27,20550.0,22600.0,20350.0,22250.0,578631
2022-04-28,22450.0,22750.0,21850.0,22000.0,411930
2022-04-29,22200.0,24400.0,21800.0,22000.0,1237925
2022-05-02,21950.0,22350.0,20900.0,21250.0,464962
2022-05-03,21300.0,21450.0,20600.0,20800.0,247108
2022-05-04,20800.0,21300.0,20550.0,20750.0,188750
2022-05-06,20250.0,21250.0,20250.0,20950.0,193945
2022-05-09,21050.0,21100.0,19150.0,19250.0,345505
2022-05-10,18650.0,19500.0,18550.0,19350.0,200722
2022-05-11,19400.0,19450.0,18700.0,18700.0,162957
2022-05-12,18500.0,18600.0,17650.0,17900.0,246928
2022-05-13,17950.0,18300.0,17800.0,18200.0,106292
2022-05-16,18500.0,18550.0,17900.0,18000.0,83573
2022-05-17,18150.0,18450.0,17600.0,18350.0,112000
2022-05-18,18600.0,19350.0,18450.0,18900.0,162098
2022-05-19,18250.0,19100.0,18250.0,18750.0,82128
