date,open,high,low,close,volume
2021-12-10,4805.0,5000.0,4795.0,4915.0,5553075
2021-12-13,4945.0,4945.0,4870.0,4925.0,576426
2021-12-14,4925.0,4975.0,4900.0,4965.0,467663
2021-12-15,4965.0,4990.0,4950.0,4990.0,432234
2021-12-16,4990.0,4995.0,4975.0,4985.0,457523
2021-12-17,4985.0,4990.0,4975.0,4985.0,279396
2021-12-20,4985.0,5030.0,4970.0,5030.0,873399
2021-12-21,5010.0,5060.0,4995.0,5040.0,761850
2021-12-22,5040.0,5050.0,5000.0,5040.0,178300
2021-12-23,5040.0,5040.0,5020.0,5030.0,242417
2021-12-24,5030.0,5030.0,5000.0,5020.0,409344
2021-12-27,5010.0,5020.0,4995.0,5010.0,182549
2021-12-28,5020.0,5030.0,4990.0,4990.0,369117
2021-12-29,4965.0,4975.0,4915.0,4965.0,114066
2021-12-30,4970.0,5000.0,4960.0,5000.0,145484
2022-01-03,5000.0,5000.0,4960.0,4980.0,160804
2022-01-04,4985.0,4995.0,4965.0,4985.0,158017
2022-01-05,4985.0,4985.0,4955.0,4970.0,117958
2022-01-06,4970.0,4985.0,4930.0,4980.0,199982
2022-01-07,4980.0,4985.0,4950.0,4975.0,79634
2022-01-10,4960.0,4960.0,4895.0,4930.0,295126
2022-01-11,4930.0,4940.0,4910.0,4920.0,157039
2022-01-12,4915.0,4920.0,4890.0,4900.0,197915
2022-01-13,4920.0,4920.0,4860.0,4880.0,144694
2022-01-14,4880.0,4895.0,4840.0,4880.0,130043
2022-01-17,4875.0,4875.0,4770.0,4795.0,370991
2022-01-18,4825.0,4825.0,4750.0,4805.0,102232
2022-01-19,4795.0,4820.0,4735.0,4805.0,206946
2022-01-20,4805.0,4805.0,4750.0,4790.0,68611
2022-01-21,4790.0,4825.0,4770.0,4820.0,69378
2022-01-24,4845.0,4845.0,4760.0,4815.0,110802
2022-01-25,4815.0,4815.0,4745.0,4785.0,107573
2022-01-26,4785.0,4800.0,4755.0,4760.0,54058
2022-01-27,4770.0,4790.0,4705.0,4705.0,145012
2022-01-28,4715.0,4760.0,4705.0,4740.0,95473
2022-02-03,4770.0,4820.0,4755.0,4805.0,149096
2022-02-04,4820.0,4835.0,4780.0,4800.0,127264
2022-02-07,4840.0,4880.0,4775.0,4840.0,140499
2022-02-08,4875.0,4885.0,4830.0,4845.0,175195
2022-02-09,4845.0,4900.0,4845.0,4885.0,106414
2022-02-10,4895.0,4940.0,4875.0,4915.0,137267
2022-02-11,4920.0,4990.0,4890.0,4955.0,239848
2022-02-14,4910.0,4980.0,4910.0,4960.0,92679
2022-02-15,4960.0,4990.0,4950.0,4980.0,181261
2022-02-16,4980.0,4990.0,4970.0,4990.0,105845
2022-02-17,4980.0,4990.0,4970.0,4985.0,85649
2022-02-18,4980.0,4980.0,4955.0,4955.0,29841
2022-02-21,4955.0,4970.0,4920.0,4935.0,59898
2022-02-22,4950.0,4950.0,4920.0,4940.0,24839
2022-02-23,4940.0,4955.0,4930.0,4955.0,25143
2022-02-24,4955.0,4955.0,4900.0,4925.0,64295
2022-02-25,4940.0,4965.0,4925.0,4960.0,45181
2022-02-28,4960.0,4965.0,4925.0,4955.0,101275
2022-03-02,4965.0,4980.0,4910.0,4970.0,165556
2022-03-03,4990.0,4995.0,4950.0,4985.0,177104
2022-03-04,4990.0,4995.0,4975.0,4990.0,114639
2022-03-07,4995.0,4995.0,4935.0,4995.0,90976
2022-03-08,4995.0,4995.0,4950.0,4995.0,79446
2022-03-10,4970.0,4990.0,4955.0,4975.0,112272
2022-03-11,4975.0,4990.0,4930.0,4945.0,119941
2022-03-14,4950.0,4985.0,4935.0,4970.0,86824
2022-03-15,4975.0,4990.0,4930.0,4985.0,199513
2022-03-16,4970.0,4990.0,4945.0,4980.0,82843
2022-03-17,4985.0,5000.0,4980.0,5000.0,234922
2022-03-18,5000.0,5000.0,4980.0,4995.0,84812
2022-03-21,5010.0,5020.0,4980.0,5000.0,162362
2022-03-22,4990.0,5010.0,4980.0,5010.0,136348
2022-03-23,5000.0,5010.0,4960.0,4990.0,102318
2022-03-24,5010.0,5010.0,4990.0,5010.0,77993
2022-03-25,4980.0,5010.0,4980.0,5010.0,111068
2022-03-28,4985.0,5010.0,4975.0,5010.0,191352
2022-03-29,5010.0,5020.0,4995.0,5020.0,186670
2022-03-30,5020.0,5020.0,5000.0,5020.0,177827
2022-03-31,5010.0,5160.0,5000.0,5120.0,410552
2022-04-01,5100.0,5170.0,5080.0,5160.0,320431
2022-04-04,5180.0,5220.0,5110.0,5210.0,265035
2022-04-05,5200.0,5210.0,5150.0,5190.0,232401
2022-04-06,5190.0,5330.0,5180.0,5270.0,430882
2022-04-07,5260.0,5530.0,5230.0,5260.0,532878
2022-04-08,5260.0,5420.0,5260.0,5370.0,188604
2022-04-11,5370.0,5440.0,5350.0,5420.0,220813
2022-04-12,5420.0,5430.0,5300.0,5360.0,230349
2022-04-13,5340.0,5420.0,5330.0,5400.0,194109
2022-04-14,5420.0,5430.0,5380.0,5410.0,173320
2022-04-15,5390.0,5500.0,5390.0,5480.0,301615
2022-04-18,5470.0,5500.0,5420.0,5460.0,183268
