date,open,high,low,close,volume
2022-10-27,12405.0,12661.0,10196.0,10710.0,6853099
2022-10-28,10427.0,10890.0,9785.0,10017.0,1830835
2022-10-31,10145.0,10145.0,9554.0,9580.0,769404
2022-11-01,9451.0,9734.0,9117.0,9195.0,801333
2022-11-02,9168.0,9348.0,8937.0,9246.0,743786
2022-11-03,9040.0,9374.0,8988.0,9066.0,514125
2022-11-04,9040.0,9323.0,8706.0,8938.0,540980
2022-11-07,8938.0,9015.0,8732.0,8784.0,254929
2022-11-08,8886.0,9220.0,8681.0,8964.0,824215
2022-11-09,8912.0,8989.0,8783.0,8938.0,436331
2022-11-10,9015.0,9426.0,8887.0,8887.0,1306315
2022-11-11,9091.0,9194.0,8886.0,8989.0,348283
2022-11-14,9066.0,9168.0,8963.0,8989.0,340294
2022-11-15,8989.0,9014.0,8578.0,8758.0,332031
2022-11-16,8706.0,9015.0,8629.0,8861.0,231526
2022-11-17,8861.0,8861.0,8630.0,8630.0,133083
2022-11-18,8681.0,8707.0,8347.0,8399.0,219066
2022-11-21,8373.0,8398.0,7705.0,7808.0,335529
2022-11-22,7730.0,7781.0,7422.0,7448.0,227427
2022-11-23,7550.0,7576.0,7345.0,7448.0,136842
2022-11-24,7422.0,7551.0,7422.0,7474.0,192459
2022-11-25,7756.0,8655.0,7551.0,7577.0,1838094
2022-11-28,7499.0,7653.0,7140.0,7140.0,322467
2022-11-29,7012.0,7140.0,6909.0,7012.0,178155
2022-11-30,6986.0,7140.0,6909.0,7012.0,135324
2022-12-01,7140.0,7165.0,6985.0,7063.0,150963
2022-12-02,7088.0,7294.0,6985.0,7217.0,159401
2022-12-05,7294.0,7294.0,7088.0,7166.0,91287
2022-12-06,7063.0,7140.0,7012.0,7012.0,79107
2022-12-07,7011.0,7037.0,6831.0,6883.0,126542
2022-12-08,6857.0,7037.0,6857.0,6883.0,134882
2022-12-09,6985.0,7011.0,6857.0,6883.0,85749
2022-12-12,6909.0,7037.0,6832.0,7012.0,93773
2022-12-13,7037.0,7114.0,6960.0,6960.0,95513
2022-12-14,6985.0,7113.0,6959.0,7114.0,87991
2022-12-15,7114.0,7448.0,7011.0,7397.0,244438
2022-12-16,7243.0,7345.0,7217.0,7243.0,83837
2022-12-19,7216.0,7371.0,7191.0,7371.0,76638
2022-12-20,7422.0,7422.0,7113.0,7114.0,118783
2022-12-21,7114.0,7216.0,6805.0,6883.0,230053
2022-12-22,6908.0,6934.0,6779.0,6857.0,118365
2022-12-23,7011.0,7679.0,6806.0,6832.0,970038
2022-12-26,6780.0,6934.0,6728.0,6883.0,122805
2022-12-27,6882.0,7011.0,6780.0,6960.0,135259
2022-12-28,6831.0,6831.0,6728.0,6780.0,98028
2022-12-29,6806.0,6806.0,6472.0,6601.0,118191
2023-01-02,6575.0,6575.0,6241.0,6267.0,134220
2023-01-03,6471.0,6677.0,6317.0,6369.0,110833
2023-01-04,6292.0,6472.0,6266.0,6472.0,56794
2023-01-05,6472.0,6575.0,6395.0,6498.0,63216
2023-01-06,6497.0,6780.0,6472.0,6729.0,76588
2023-01-09,6728.0,6831.0,6677.0,6780.0,88252
2023-01-10,6831.0,6908.0,6703.0,6883.0,105318
2023-01-11,6934.0,6934.0,6780.0,6806.0,99564
2023-01-12,6831.0,6857.0,6703.0,6729.0,62767
2023-01-13,6729.0,6806.0,6626.0,6729.0,60127
2023-01-16,6780.0,7293.0,6677.0,7114.0,538903
2023-01-17,7165.0,7473.0,7037.0,7217.0,364872
2023-01-18,7268.0,7448.0,7063.0,7397.0,223609
2023-01-19,7242.0,7370.0,6960.0,6960.0,221304
2023-01-20,6909.0,7063.0,6909.0,7012.0,85102
2023-01-25,7093.0,7396.0,7037.0,7361.0,238063
2023-01-26,7355.0,7910.0,7217.0,7659.0,977587
2023-01-27,7668.0,7668.0,7191.0,7263.0,1750445
2023-01-30,7442.0,7859.0,7396.0,7859.0,2379680
2023-01-31,7787.0,8187.0,7556.0,7556.0,2221425
2023-02-01,7556.0,7658.0,7397.0,7397.0,414724
2023-02-02,7468.0,7628.0,7299.0,7397.0,561654
2023-02-03,7422.0,7797.0,7422.0,7510.0,928491
2023-02-06,7545.0,7633.0,7330.0,7366.0,356882
2023-02-07,7396.0,7740.0,7340.0,7705.0,625669
2023-02-08,7767.0,8440.0,7674.0,8209.0,2850781
2023-02-09,8265.0,8496.0,8131.0,8291.0,1037539
2023-02-10,8167.0,8275.0,7920.0,8229.0,547463
2023-02-13,8326.0,8403.0,8074.0,8167.0,331865
2023-02-14,8095.0,8224.0,7844.0,8209.0,436392
2023-02-15,8208.0,8234.0,7756.0,7772.0,417420
2023-02-16,7910.0,8141.0,7833.0,7936.0,431901
2023-02-17,7844.0,7880.0,7572.0,7572.0,295535
2023-02-20,7581.0,7596.0,7355.0,7530.0,182695
2023-02-21,7560.0,7720.0,7499.0,7643.0,196434
2023-02-22,7560.0,7730.0,7293.0,7304.0,287714
2023-02-23,7355.0,7515.0,7273.0,7469.0,252009
2023-02-24,7561.0,7951.0,7561.0,7936.0,837739
2023-02-27,7904.0,7987.0,7622.0,7643.0,391633
2023-02-28,7694.0,8177.0,7602.0,7885.0,620981
2023-03-02,7961.0,7992.0,7735.0,7813.0,294971
2023-03-03,7813.0,7987.0,7756.0,7962.0,216109
2023-03-06,8028.0,8044.0,7808.0,7957.0,203500
2023-03-07,7941.0,7951.0,7715.0,7751.0,215797
2023-03-08,7664.0,7705.0,7499.0,7664.0,164979
2023-03-09,7699.0,7915.0,7602.0,7854.0,205539
2023-03-10,7792.0,7951.0,7540.0,7587.0,191694
2023-03-13,7484.0,7489.0,7032.0,7253.0,229210
2023-03-14,7232.0,7288.0,6914.0,6914.0,187184
2023-03-15,7022.0,7243.0,7022.0,7166.0,124576
2023-03-16,7150.0,7150.0,6832.0,6940.0,673702
2023-03-17,7027.0,7664.0,7027.0,7587.0,374064
2023-03-20,7566.0,7695.0,7489.0,7608.0,109920
2023-03-21,7617.0,7623.0,7350.0,7433.0,172444
2023-03-22,7478.0,7622.0,7386.0,7443.0,128409
2023-03-23,7417.0,7535.0,7221.0,7299.0,145687
2023-03-24,7248.0,7474.0,7222.0,7387.0,146083
2023-03-27,7422.0,7504.0,7083.0,7494.0,294546
2023-03-28,7592.0,7653.0,7335.0,7356.0,169662
2023-03-29,7356.0,7356.0,7140.0,7197.0,149518
2023-03-30,7252.0,7473.0,7206.0,7268.0,204881
2023-03-31,7330.0,7330.0,7037.0,7094.0,251226
2023-04-03,7098.0,7304.0,6975.0,7191.0,191062
2023-04-04,7201.0,7401.0,7181.0,7253.0,150830
2023-04-05,7289.0,7299.0,7191.0,7207.0,96683
2023-04-06,7207.0,7207.0,6929.0,6935.0,268812
2023-04-07,7032.0,7114.0,6960.0,7012.0,111026
2023-04-10,6986.0,6986.0,6754.0,6796.0,182119
2023-04-11,6806.0,6827.0,6672.0,6750.0,195183
2023-04-12,6749.0,6816.0,6662.0,6806.0,83693
2023-04-13,6816.0,6857.0,6703.0,6811.0,95157
2023-04-14,6852.0,7048.0,6796.0,6971.0,161214
2023-04-17,7011.0,7139.0,6928.0,7119.0,144599
2023-04-18,7144.0,7144.0,6954.0,7042.0,89525
2023-04-19,7042.0,7268.0,7036.0,7191.0,129774
2023-04-20,7186.0,7191.0,6908.0,6955.0,124047
2023-04-21,6888.0,7026.0,6831.0,6883.0,102170
2023-04-24,6878.0,6986.0,6703.0,6709.0,98918
2023-04-25,6708.0,6749.0,6544.0,6611.0,93921
2023-04-26,6539.0,6703.0,6529.0,6637.0,76084
2023-04-27,6667.0,6724.0,6528.0,6719.0,54696
2023-04-28,6610.0,6626.0,6235.0,6241.0,376831
2023-05-02,6240.0,6348.0,6163.0,6328.0,88120
2023-05-03,6271.0,6405.0,6184.0,6313.0,65091
2023-05-04,6344.0,6344.0,6251.0,6303.0,52383
2023-05-08,6266.0,6359.0,6251.0,6313.0,47381
2023-05-09,6317.0,6410.0,6292.0,6292.0,50273
2023-05-10,6297.0,6410.0,6281.0,6287.0,69374
2023-05-11,6364.0,6441.0,6302.0,6359.0,54005
2023-05-12,6338.0,6369.0,6251.0,6267.0,37939
2023-05-15,6266.0,6277.0,5958.0,6118.0,152600
2023-05-16,6117.0,6241.0,5886.0,5897.0,149174
2023-05-17,5897.0,6030.0,5825.0,5964.0,118766
2023-05-18,5963.0,6086.0,5927.0,6025.0,124921
