date,open,high,low,close,volume
2024-08-20,15800.0,15950.0,10550.0,10550.0,10174658
2024-08-21,10390.0,10550.0,9530.0,9780.0,3230139
2024-08-22,9630.0,10590.0,9470.0,9470.0,2841776
2024-08-23,9590.0,9750.0,8930.0,9070.0,881007
2024-08-26,9290.0,9590.0,8840.0,8900.0,1069565
2024-08-27,8820.0,9460.0,8820.0,9160.0,975534
2024-08-28,9140.0,9990.0,8940.0,9000.0,2215024
2024-08-29,8990.0,9570.0,8860.0,9020.0,1017990
2024-08-30,9170.0,9490.0,8990.0,9180.0,1229602
2024-09-02,9580.0,10100.0,9470.0,9760.0,2617898
2024-09-03,9640.0,9690.0,9360.0,9450.0,592746
2024-09-04,9060.0,9200.0,8660.0,8660.0,500728
2024-09-05,8800.0,9090.0,8060.0,8270.0,478544
2024-09-06,8500.0,9060.0,8100.0,8130.0,933732
2024-09-09,7830.0,8060.0,7700.0,7990.0,235277
2024-09-10,8060.0,8190.0,7560.0,7640.0,353674
2024-09-11,7640.0,7750.0,7270.0,7320.0,173765
2024-09-12,7460.0,7500.0,7360.0,7430.0,129450
2024-09-13,7470.0,7870.0,7420.0,7500.0,245609
2024-09-19,7440.0,7540.0,7000.0,7150.0,206091
2024-09-20,7000.0,7240.0,6980.0,7070.0,321879
2024-09-23,7070.0,7070.0,6700.0,6740.0,241949
2024-09-24,6750.0,7060.0,6750.0,6940.0,158269
2024-09-25,6940.0,7120.0,6830.0,6860.0,125033
2024-09-26,6970.0,7100.0,6920.0,7000.0,167071
2024-09-27,7050.0,7910.0,7040.0,7220.0,2101727
2024-09-30,7150.0,7400.0,7050.0,7050.0,263853
2024-10-02,6930.0,7000.0,6700.0,6710.0,218122
2024-10-04,6730.0,6950.0,6730.0,6850.0,127951
2024-10-07,6950.0,6970.0,6800.0,6900.0,78169
2024-10-08,6860.0,6940.0,6720.0,6740.0,93557
2024-10-10,6790.0,6850.0,6720.0,6740.0,48679
2024-10-11,6730.0,6760.0,6460.0,6480.0,155724
2024-10-14,6510.0,6890.0,6440.0,6610.0,164683
2024-10-15,6610.0,6720.0,6510.0,6570.0,80547
2024-10-16,6470.0,6500.0,6290.0,6400.0,119634
2024-10-17,6320.0,6450.0,6280.0,6390.0,79228
2024-10-18,6330.0,6420.0,6000.0,6080.0,216108
2024-10-21,6010.0,6120.0,5930.0,5940.0,84315
2024-10-22,6000.0,6000.0,5650.0,5680.0,121107
2024-10-23,5660.0,5730.0,5540.0,5700.0,75412
2024-10-24,5720.0,5720.0,5520.0,5590.0,66804
2024-10-25,5650.0,5660.0,5470.0,5500.0,55194
2024-10-28,5550.0,6100.0,5460.0,5670.0,225499
2024-10-29,5650.0,5820.0,5620.0,5680.0,69525
2024-10-30,5730.0,5790.0,5510.0,5620.0,48719
2024-10-31,5580.0,5670.0,5460.0,5620.0,40317
2024-11-01,5600.0,5600.0,5360.0,5400.0,91458
2024-11-04,5360.0,5720.0,5360.0,5570.0,92033
2024-11-05,5620.0,5750.0,5550.0,5700.0,49674
2024-11-06,5670.0,5730.0,5510.0,5610.0,41629
2024-11-07,5650.0,5650.0,5410.0,5490.0,46935
