date,open,high,low,close,volume
2023-06-23,2040.0,2045.0,2030.0,2030.0,1860135
2023-06-26,2035.0,2040.0,2030.0,2035.0,176042
2023-06-27,2035.0,2040.0,2030.0,2030.0,159632
2023-06-28,2030.0,2040.0,2030.0,2030.0,179903
2023-06-29,2030.0,2035.0,2020.0,2030.0,108341
2023-06-30,2035.0,2035.0,2020.0,2030.0,45590
2023-07-03,2035.0,2035.0,2030.0,2035.0,73702
2023-07-04,2030.0,2040.0,2030.0,2040.0,103888
2023-07-05,2035.0,2035.0,2020.0,2035.0,125812
2023-07-06,2030.0,2035.0,2020.0,2030.0,40254
2023-07-07,2030.0,2040.0,2030.0,2040.0,51956
2023-07-10,2035.0,2040.0,2035.0,2035.0,17254
2023-07-11,2035.0,2050.0,2035.0,2050.0,97836
2023-07-12,2040.0,2075.0,2040.0,2060.0,164223
2023-07-13,2055.0,2065.0,2050.0,2055.0,75250
2023-07-14,2060.0,2070.0,2040.0,2060.0,87268
2023-07-17,2050.0,2060.0,2050.0,2050.0,9914
2023-07-18,2055.0,2060.0,2025.0,2050.0,134244
2023-07-19,2045.0,2050.0,2030.0,2050.0,14853
2023-07-20,2045.0,2055.0,2040.0,2040.0,28574
2023-07-21,2040.0,2075.0,2040.0,2045.0,117564
2023-07-24,2040.0,2050.0,2025.0,2050.0,107182
2023-07-25,2045.0,2050.0,2040.0,2045.0,35312
2023-07-26,2045.0,2045.0,2025.0,2040.0,41748
2023-07-27,2040.0,2045.0,2020.0,2035.0,108204
2023-07-28,2025.0,2035.0,2015.0,2030.0,75135
2023-07-31,2030.0,2035.0,2030.0,2035.0,12072
2023-08-01,2030.0,2040.0,2025.0,2035.0,12378
2023-08-02,2035.0,2035.0,2030.0,2035.0,1027
2023-08-03,2025.0,2035.0,2025.0,2030.0,8744
2023-08-04,2030.0,2035.0,2025.0,2035.0,19553
2023-08-07,2030.0,2035.0,2020.0,2030.0,11576
2023-08-08,2030.0,2035.0,2020.0,2025.0,23561
2023-08-09,2030.0,2030.0,2015.0,2015.0,41938
2023-08-10,2030.0,2030.0,2010.0,2010.0,37688
2023-08-11,2015.0,2020.0,2000.0,2015.0,90006
2023-08-14,2010.0,2015.0,2005.0,2010.0,21012
2023-08-16,2010.0,2010.0,2000.0,2000.0,33749
2023-08-17,2005.0,2005.0,1996.0,2000.0,139141
2023-08-18,2000.0,2010.0,1999.0,2005.0,77180
2023-08-21,2005.0,2015.0,1998.0,2005.0,50025
2023-08-22,2010.0,2010.0,2000.0,2000.0,51589
2023-08-23,2010.0,2010.0,2000.0,2005.0,17648
2023-08-24,2000.0,2005.0,2000.0,2005.0,14569
2023-08-25,2005.0,2010.0,2000.0,2010.0,21980
2023-08-28,2000.0,2010.0,2000.0,2010.0,18131
2023-08-29,2005.0,2015.0,2000.0,2010.0,92669
2023-08-30,2010.0,2010.0,2000.0,2005.0,7957
2023-08-31,2005.0,2015.0,2005.0,2015.0,26547
2023-09-01,2010.0,2020.0,2010.0,2010.0,3631
2023-09-04,2010.0,2015.0,2005.0,2015.0,15727
2023-09-05,2010.0,2020.0,2010.0,2015.0,25112
2023-09-06,2015.0,2015.0,2005.0,2015.0,13892
2023-09-07,2010.0,2020.0,2005.0,2015.0,14713
2023-09-08,2010.0,2015.0,2005.0,2015.0,17119
2023-09-11,2010.0,2020.0,2005.0,2015.0,23234
2023-09-12,2015.0,2030.0,2015.0,2025.0,30967
2023-09-13,2015.0,2025.0,2015.0,2025.0,26003
2023-09-14,2015.0,2025.0,2000.0,2015.0,17473
2023-09-15,2015.0,2015.0,2005.0,2015.0,10073
