date,open,high,low,close,volume
2023-06-23,1685.0,1697.0,1674.0,1678.0,2369740
2023-06-26,1678.0,1689.0,1674.0,1686.0,105778
2023-06-27,1682.0,1689.0,1678.0,1682.0,56787
2023-06-28,1685.0,1685.0,1666.0,1682.0,128240
2023-06-29,1681.0,1685.0,1666.0,1674.0,49201
2023-06-30,1681.0,1681.0,1670.0,1678.0,26063
2023-07-03,1674.0,1678.0,1666.0,1678.0,31570
2023-07-04,1674.0,1677.0,1670.0,1674.0,92920
2023-07-05,1670.0,1673.0,1666.0,1670.0,36880
2023-07-06,1674.0,1689.0,1670.0,1682.0,78229
2023-07-07,1681.0,1689.0,1654.0,1654.0,151854
2023-07-10,1658.0,1693.0,1658.0,1686.0,127475
2023-07-11,1685.0,1697.0,1681.0,1697.0,23864
2023-07-12,1693.0,1716.0,1693.0,1701.0,35365
2023-07-13,1697.0,1708.0,1697.0,1705.0,12329
2023-07-14,1693.0,1712.0,1693.0,1705.0,21067
2023-07-17,1697.0,1712.0,1697.0,1709.0,9297
2023-07-18,1709.0,1729.0,1705.0,1729.0,56666
2023-07-19,1729.0,1733.0,1709.0,1733.0,35600
2023-07-20,1732.0,1736.0,1701.0,1705.0,49596
2023-07-21,1704.0,1712.0,1689.0,1697.0,40224
2023-07-24,1693.0,1700.0,1689.0,1697.0,48032
2023-07-25,1681.0,1696.0,1681.0,1693.0,30074
2023-07-26,1689.0,1689.0,1670.0,1678.0,42054
2023-07-27,1677.0,1681.0,1666.0,1674.0,25256
2023-07-28,1665.0,1669.0,1654.0,1658.0,46529
2023-07-31,1658.0,1661.0,1654.0,1658.0,17705
2023-08-01,1661.0,1661.0,1654.0,1654.0,23102
2023-08-02,1654.0,1657.0,1650.0,1654.0,3829
2023-08-03,1650.0,1654.0,1650.0,1654.0,9319
2023-08-04,1654.0,1658.0,1650.0,1658.0,18212
2023-08-07,1653.0,1657.0,1646.0,1646.0,23687
2023-08-08,1646.0,1653.0,1642.0,1646.0,68053
2023-08-09,1641.0,1649.0,1638.0,1638.0,44402
2023-08-10,1645.0,1649.0,1638.0,1638.0,60864
2023-08-11,1637.0,1637.0,1634.0,1634.0,1972
2023-08-14,1637.0,1641.0,1630.0,1634.0,3967
2023-08-16,1626.0,1637.0,1622.0,1634.0,35375
2023-08-17,1634.0,1637.0,1630.0,1634.0,6949
2023-08-18,1626.0,1630.0,1626.0,1630.0,7970
2023-08-21,1622.0,1630.0,1622.0,1630.0,5066
2023-08-22,1618.0,1629.0,1618.0,1626.0,9993
2023-08-23,1622.0,1630.0,1622.0,1630.0,3396
2023-08-24,1622.0,1637.0,1622.0,1630.0,5163
2023-08-25,1630.0,1649.0,1630.0,1646.0,3293
2023-08-28,1642.0,1645.0,1622.0,1642.0,7247
2023-08-29,1638.0,1638.0,1634.0,1638.0,12537
2023-08-30,1634.0,1637.0,1634.0,1634.0,1123
2023-08-31,1626.0,1633.0,1622.0,1630.0,5582
2023-09-01,1630.0,1633.0,1622.0,1630.0,15083
2023-09-04,1622.0,1646.0,1622.0,1646.0,3407
2023-09-05,1642.0,1645.0,1634.0,1642.0,13273
2023-09-06,1630.0,1645.0,1630.0,1638.0,6969
2023-09-07,1638.0,1638.0,1626.0,1638.0,3013
2023-09-08,1637.0,1645.0,1634.0,1634.0,1993
2023-09-11,1649.0,1653.0,1634.0,1638.0,14984
2023-09-12,1638.0,1685.0,1638.0,1678.0,39701
