date,open,high,low,close,volume
2024-12-11,3700.0,4050.0,1954.0,1954.0,64643960
2024-12-12,1950.0,1952.0,1926.0,1933.0,1847470
2024-12-13,1932.0,1932.0,1911.0,1925.0,542685
2024-12-16,1923.0,1939.0,1918.0,1923.0,241128
2024-12-17,1919.0,1946.0,1919.0,1943.0,232349
2024-12-18,1942.0,1943.0,1929.0,1936.0,118116
2024-12-19,1936.0,1944.0,1931.0,1934.0,142396
2024-12-20,1935.0,1940.0,1929.0,1931.0,127537
2024-12-23,1934.0,1934.0,1925.0,1930.0,77876
2024-12-24,1930.0,1935.0,1924.0,1929.0,51099
2024-12-26,1929.0,1935.0,1915.0,1920.0,71843
2024-12-27,1920.0,1924.0,1918.0,1921.0,68489
2024-12-30,1921.0,1930.0,1921.0,1927.0,28998
2025-01-02,1926.0,1938.0,1925.0,1932.0,52810
2025-01-03,1932.0,1939.0,1931.0,1937.0,40364
2025-01-06,1937.0,1942.0,1933.0,1940.0,38895
2025-01-07,1937.0,1961.0,1937.0,1960.0,113004
2025-01-08,1952.0,1959.0,1951.0,1951.0,28283
2025-01-09,1949.0,1960.0,1946.0,1953.0,51179
2025-01-10,1952.0,1968.0,1949.0,1956.0,47852
2025-01-13,1956.0,1961.0,1948.0,1956.0,20905
2025-01-14,1956.0,1972.0,1941.0,1966.0,169181
2025-01-15,1972.0,1975.0,1965.0,1974.0,81318
2025-01-16,1979.0,1980.0,1970.0,1979.0,80973
2025-01-17,1972.0,1980.0,1964.0,1975.0,15334
2025-01-20,1975.0,1976.0,1964.0,1973.0,25768
2025-01-21,1973.0,1973.0,1957.0,1957.0,5633
2025-01-22,1956.0,1969.0,1948.0,1956.0,19441
2025-01-23,1956.0,1971.0,1944.0,1950.0,33956
2025-01-24,1947.0,1960.0,1947.0,1953.0,4486
2025-01-31,1949.0,1968.0,1948.0,1953.0,20917
2025-02-03,1953.0,1953.0,1941.0,1948.0,30226
2025-02-04,1948.0,1970.0,1943.0,1965.0,32233
2025-02-05,1953.0,1970.0,1953.0,1960.0,15588
2025-02-06,1960.0,1974.0,1951.0,1974.0,73455
2025-02-07,1974.0,1976.0,1969.0,1975.0,24503
2025-02-10,1972.0,1976.0,1970.0,1973.0,9164
2025-02-11,1971.0,1980.0,1970.0,1973.0,28456
2025-02-12,1973.0,1987.0,1973.0,1984.0,44624
2025-02-13,1985.0,1989.0,1984.0,1988.0,37946
2025-02-14,1988.0,1992.0,1975.0,1990.0,32207
2025-02-17,1982.0,1992.0,1980.0,1987.0,11750
2025-02-18,1987.0,1991.0,1981.0,1990.0,15124
2025-02-19,1991.0,1993.0,1983.0,1990.0,24167
2025-02-20,1990.0,1994.0,1987.0,1990.0,12811
2025-02-21,1991.0,1996.0,1990.0,1993.0,21310
2025-02-24,1990.0,1998.0,1990.0,1996.0,13154
2025-02-25,1996.0,1999.0,1990.0,1998.0,33320
2025-02-26,1996.0,1999.0,1995.0,1998.0,2951
2025-02-27,1997.0,2000.0,1992.0,2000.0,20309
2025-02-28,2000.0,2005.0,1994.0,2000.0,20674
2025-03-04,1999.0,2005.0,1994.0,2000.0,17148
2025-03-05,1998.0,2005.0,1997.0,2000.0,31453
2025-03-06,2000.0,2000.0,1997.0,1997.0,11176
2025-03-07,1997.0,2000.0,1996.0,2000.0,47557
2025-03-10,2000.0,2000.0,1976.0,1999.0,16054
2025-03-11,1999.0,2000.0,1991.0,1998.0,19888
2025-03-12,1999.0,2005.0,1999.0,2000.0,13167
2025-03-13,2000.0,2000.0,1998.0,1998.0,9057
2025-03-14,1997.0,1998.0,1994.0,1998.0,3109
2025-03-17,1998.0,2000.0,1994.0,1996.0,10297
2025-03-18,1998.0,1999.0,1976.0,1996.0,27060
2025-03-19,1997.0,1998.0,1991.0,1998.0,45142
2025-03-20,1998.0,1999.0,1992.0,1999.0,4367
2025-03-21,1998.0,2005.0,1992.0,2000.0,49016
2025-03-24,1998.0,2000.0,1995.0,1997.0,10204
2025-03-25,1997.0,1998.0,1995.0,1996.0,15803
2025-03-26,1994.0,1996.0,1990.0,1996.0,6158
2025-03-27,1992.0,2005.0,1991.0,1996.0,1978
2025-03-28,1996.0,2000.0,1994.0,1995.0,8186
2025-03-31,1994.0,1998.0,1989.0,1997.0,16144
2025-04-01,1998.0,2000.0,1995.0,1998.0,4588
2025-04-02,1995.0,2000.0,1981.0,2000.0,19949
2025-04-03,2000.0,2000.0,1984.0,1999.0,6283
2025-04-04,1999.0,1999.0,1982.0,1999.0,19189
2025-04-07,1998.0,1998.0,1983.0,1995.0,16036
2025-04-08,1997.0,1997.0,1990.0,1995.0,6348
2025-04-09,1994.0,1999.0,1991.0,1992.0,5347
2025-04-10,1995.0,1998.0,1989.0,1996.0,2568
2025-04-11,1996.0,2005.0,1987.0,2000.0,30322
2025-04-14,2000.0,2015.0,2000.0,2010.0,59762
2025-04-15,2010.0,2010.0,2000.0,2010.0,23776
2025-04-16,2010.0,2010.0,1980.0,2000.0,77491
2025-04-17,2000.0,2000.0,1993.0,1993.0,2828
2025-04-18,1996.0,2005.0,1996.0,2000.0,36800
2025-04-21,2000.0,2005.0,2000.0,2005.0,4535
2025-04-22,2005.0,2010.0,2000.0,2005.0,7110
2025-04-23,2005.0,2030.0,2005.0,2005.0,32559
2025-04-24,2005.0,2015.0,2000.0,2010.0,20938
2025-04-25,2000.0,2020.0,1999.0,2015.0,27282
2025-04-28,2015.0,2030.0,2010.0,2015.0,21101
2025-04-29,2010.0,2025.0,2010.0,2015.0,5283
2025-04-30,2015.0,2035.0,2015.0,2025.0,14132
2025-05-02,2020.0,2045.0,2020.0,2025.0,11794
2025-05-07,2020.0,2050.0,2020.0,2050.0,30410
2025-05-08,2040.0,2060.0,2025.0,2035.0,17314
2025-05-09,2030.0,2085.0,2025.0,2045.0,61922
2025-05-12,2030.0,2060.0,2030.0,2055.0,12560
2025-05-13,2040.0,2060.0,2040.0,2055.0,14065
2025-05-14,2040.0,2070.0,2040.0,2070.0,50533
2025-05-15,2045.0,2075.0,2045.0,2070.0,7568
2025-05-16,2055.0,2075.0,2055.0,2070.0,3000
2025-05-19,2050.0,2080.0,2050.0,2080.0,8310
2025-05-20,2060.0,2100.0,2060.0,2085.0,12862
2025-05-21,2065.0,2085.0,2065.0,2080.0,1376
2025-05-22,2070.0,2100.0,2070.0,2095.0,8709
2025-05-23,2095.0,2095.0,2080.0,2080.0,2876
2025-05-26,2070.0,2105.0,2070.0,2095.0,26551
2025-05-27,2080.0,2120.0,2080.0,2100.0,2874
2025-05-28,2085.0,2110.0,2085.0,2105.0,1546
2025-05-29,2085.0,2105.0,2080.0,2095.0,1631
2025-05-30,2085.0,2110.0,2085.0,2100.0,2218
2025-06-02,2085.0,2095.0,2085.0,2095.0,1611
2025-06-04,2090.0,2095.0,2085.0,2095.0,2931
2025-06-05,2085.0,2095.0,2080.0,2090.0,3668
