date,open,high,low,close,volume
2015-01-02,2312.0,2346.0,2303.0,2308.0,62926
2015-01-05,2333.0,2333.0,2256.0,2287.0,73962
2015-01-06,2248.0,2295.0,2248.0,2278.0,37740
2015-01-07,2256.0,2299.0,2256.0,2278.0,25068
2015-01-08,2282.0,2299.0,2269.0,2287.0,44860
2015-01-09,2278.0,2299.0,2273.0,2287.0,73119
2015-01-12,2295.0,2316.0,2278.0,2313.0,91059
2015-01-13,2295.0,2338.0,2295.0,2300.0,50820
2015-01-14,2303.0,2385.0,2303.0,2347.0,89983
2015-01-15,2342.0,2372.0,2329.0,2368.0,59942
2015-01-16,2368.0,2368.0,2325.0,2347.0,51056
2015-01-19,2346.0,2359.0,2333.0,2351.0,31787
2015-01-20,2333.0,2351.0,2329.0,2347.0,30287
2015-01-21,2355.0,2355.0,2325.0,2338.0,61314
2015-01-22,2338.0,2359.0,2325.0,2338.0,54300
2015-01-23,2355.0,2359.0,2312.0,2334.0,93485
2015-01-26,2333.0,2333.0,2269.0,2291.0,88737
2015-01-27,2295.0,2295.0,2261.0,2287.0,93291
2015-01-28,2286.0,2295.0,2261.0,2287.0,92410
2015-01-29,2269.0,2308.0,2269.0,2304.0,49408
2015-01-30,2303.0,2338.0,2295.0,2300.0,78986
2015-02-02,2303.0,2329.0,2303.0,2321.0,53180
2015-02-03,2321.0,2346.0,2308.0,2313.0,111003
2015-02-04,2329.0,2359.0,2312.0,2347.0,202993
2015-02-05,2359.0,2449.0,2355.0,2441.0,293184
2015-02-06,2458.0,2458.0,2411.0,2441.0,113131
2015-02-09,2436.0,2441.0,2406.0,2411.0,80526
2015-02-10,2411.0,2423.0,2385.0,2398.0,55749
2015-02-11,2398.0,2428.0,2398.0,2428.0,85153
2015-02-12,2449.0,2505.0,2385.0,2415.0,383097
2015-02-13,2415.0,2436.0,2398.0,2415.0,176001
2015-02-16,2432.0,2556.0,2432.0,2544.0,727920
2015-02-17,2560.0,2569.0,2500.0,2548.0,455334
2015-02-23,2612.0,2929.0,2578.0,2929.0,2615168
2015-02-24,3070.0,3096.0,2942.0,2955.0,2433978
