date,open,high,low,close,volume
2015-01-02,3320.0,3350.0,3250.0,3330.0,167560
2015-01-05,3350.0,3550.0,3280.0,3540.0,872850
2015-01-06,3510.0,3510.0,3450.0,3510.0,281420
2015-01-07,3510.0,3520.0,3460.0,3510.0,269120
2015-01-08,3510.0,3510.0,3460.0,3480.0,155030
2015-01-09,3520.0,3620.0,3520.0,3550.0,364265
2015-01-12,3560.0,3600.0,3520.0,3550.0,175400
2015-01-13,3550.0,3570.0,3460.0,3510.0,146930
2015-01-14,3510.0,3550.0,3460.0,3480.0,94240
2015-01-15,3470.0,3640.0,3440.0,3600.0,667695
2015-01-16,3620.0,3630.0,3540.0,3580.0,391745
2015-01-19,3600.0,3730.0,3600.0,3700.0,399620
2015-01-20,3710.0,3740.0,3610.0,3680.0,403870
2015-01-21,3709.0,3709.0,3580.0,3670.0,246470
2015-01-22,3670.0,3680.0,3490.0,3500.0,408730
2015-01-23,3500.0,3610.0,3460.0,3600.0,359390
2015-01-26,3600.0,3630.0,3510.0,3530.0,267945
2015-01-27,3540.0,3560.0,3470.0,3480.0,240330
2015-01-28,3500.0,3510.0,3430.0,3440.0,366270
2015-01-29,3440.0,3460.0,3380.0,3440.0,239515
2015-01-30,3410.0,3430.0,3340.0,3360.0,335440
2015-02-02,3340.0,3470.0,3320.0,3420.0,407555
2015-02-03,3450.0,3480.0,3350.0,3430.0,533985
2015-02-04,3460.0,3480.0,3340.0,3380.0,395610
2015-02-05,3390.0,3420.0,3340.0,3400.0,315070
2015-02-06,3400.0,3410.0,3340.0,3360.0,279365
2015-02-09,3360.0,3390.0,3270.0,3270.0,331370
2015-02-10,3230.0,3270.0,3130.0,3200.0,446870
2015-02-11,3220.0,3290.0,3120.0,3280.0,304375
2015-02-12,3240.0,3300.0,3200.0,3290.0,152455
2015-02-13,3290.0,3420.0,3290.0,3400.0,240030
2015-02-16,3460.0,3460.0,3360.0,3390.0,225505
2015-02-17,3390.0,3400.0,3360.0,3370.0,107305
2015-02-23,3370.0,3430.0,3370.0,3390.0,186110
2015-02-24,3390.0,3460.0,3390.0,3450.0,188490
2015-02-25,3450.0,3480.0,3390.0,3400.0,290230
2015-02-26,3390.0,3580.0,3360.0,3450.0,753955
2015-02-27,3480.0,3490.0,3390.0,3440.0,424755
2015-03-02,3460.0,3510.0,3420.0,3510.0,795490
2015-03-03,3510.0,3689.0,3470.0,3650.0,1203205
2015-03-04,3620.0,3650.0,3520.0,3600.0,643960
2015-03-05,3590.0,3620.0,3470.0,3470.0,621260
2015-03-06,3470.0,3510.0,3430.0,3500.0,326745
2015-03-09,3500.0,3590.0,3460.0,3570.0,681135
2015-03-10,3590.0,3600.0,3480.0,3580.0,463865
2015-03-11,3570.0,3640.0,3520.0,3600.0,375425
2015-03-12,3580.0,3640.0,3580.0,3630.0,330585
2015-03-13,3640.0,3690.0,3580.0,3640.0,532475
2015-03-16,3640.0,3740.0,3640.0,3730.0,804245
2015-03-17,3789.0,3820.0,3700.0,3710.0,664685
2015-03-18,3720.0,3730.0,3610.0,3660.0,582630
2015-03-19,3700.0,3700.0,3590.0,3610.0,324710
2015-03-20,3610.0,3670.0,3550.0,3580.0,552795
2015-03-23,3550.0,3600.0,3460.0,3540.0,714510
2015-03-24,3550.0,3560.0,3500.0,3540.0,259295
2015-03-25,3540.0,3610.0,3510.0,3530.0,536460
2015-03-26,3510.0,3530.0,3430.0,3460.0,475175
2015-03-27,3460.0,3460.0,3340.0,3380.0,761250
2015-03-30,3400.0,3510.0,3390.0,3490.0,703210
2015-03-31,3500.0,3550.0,3460.0,3490.0,659825
2015-04-01,3490.0,3490.0,3420.0,3490.0,371425
2015-04-02,3490.0,3860.0,3490.0,3730.0,3052565
2015-04-03,3740.0,3770.0,3610.0,3740.0,1027590
2015-04-06,3780.0,3780.0,3660.0,3710.0,622015
2015-04-07,3730.0,3770.0,3620.0,3620.0,625260
2015-04-08,3620.0,3709.0,3560.0,3710.0,678250
2015-04-09,3740.0,3760.0,3630.0,3680.0,777135
2015-04-10,3680.0,3729.0,3610.0,3690.0,697400
2015-04-13,3720.0,3790.0,3660.0,3740.0,842935
2015-04-14,3770.0,3970.0,3720.0,3790.0,2047850
2015-04-15,3810.0,3870.0,3690.0,3720.0,652635
2015-04-16,3740.0,3800.0,3670.0,3760.0,586605
2015-04-17,3750.0,3820.0,3689.0,3810.0,829640
2015-04-20,3760.0,3900.0,3740.0,3760.0,674910
2015-04-21,3770.0,4010.0,3730.0,3870.0,1438285
2015-04-22,3930.0,3960.0,3600.0,3740.0,1356595
2015-04-23,3740.0,3830.0,3550.0,3600.0,1411215
2015-04-24,3550.0,3600.0,3460.0,3560.0,1093560
2015-04-27,3570.0,3660.0,3520.0,3630.0,739795
2015-04-28,3630.0,3670.0,3570.0,3640.0,487225
2015-04-29,3640.0,3680.0,3560.0,3630.0,504690
2015-04-30,3620.0,3620.0,3480.0,3510.0,788300
2015-05-04,3520.0,3580.0,3510.0,3550.0,422035
2015-05-06,3600.0,3640.0,3500.0,3560.0,528345
2015-05-07,3570.0,3640.0,3480.0,3640.0,791105
2015-05-08,3650.0,3900.0,3590.0,3860.0,1169600
2015-05-11,3920.0,3969.0,3800.0,3890.0,1224870
2015-05-12,3880.0,4130.0,3849.0,4090.0,2727400
2015-05-13,4080.0,4480.0,4050.0,4480.0,2688190
2015-05-14,4460.0,4770.0,4430.0,4640.0,2285035
2015-05-15,4640.0,4690.0,4460.0,4680.0,1019475
2015-05-18,4610.0,4660.0,4360.0,4500.0,1621325
2015-05-19,4460.0,4850.0,4410.0,4740.0,2176745
2015-05-20,4900.0,4970.0,4710.0,4710.0,1278535
2015-05-21,4740.0,4920.0,4580.0,4770.0,927735
