date,open,high,low,close,volume
2015-01-02,7191.0,7296.0,7124.0,7312.0,67963
2015-01-05,7272.0,7340.0,7220.0,7243.0,75425
2015-01-06,7227.0,7227.0,7070.0,7108.0,71369
2015-01-07,7100.0,7115.0,6995.0,7131.0,97648
2015-01-08,7140.0,8167.0,7125.0,8183.0,1263078
2015-01-09,8715.0,8978.0,7875.0,8033.0,2090510
2015-01-12,7868.0,9227.0,7702.0,9235.0,1596365
2015-01-13,9091.0,9715.0,8753.0,8852.0,2514725
2015-01-14,8806.0,9083.0,8242.0,8521.0,919625
2015-01-15,8648.0,8873.0,8430.0,8559.0,606945
2015-01-16,8535.0,9375.0,8423.0,8626.0,2006377
2015-01-19,8852.0,9324.0,8716.0,8995.0,1752242
2015-01-20,9023.0,9098.0,8746.0,8904.0,623912
2015-01-21,8889.0,9069.0,8754.0,8965.0,487452
2015-01-22,8988.0,10264.0,8838.0,10280.0,2925978
2015-01-23,10301.0,11609.0,9565.0,10813.0,4881614
2015-01-26,10790.0,11924.0,10753.0,11474.0,2049016
2015-01-27,11698.0,11736.0,10617.0,11091.0,1582898
2015-01-28,10798.0,11631.0,10602.0,11129.0,1267232
2015-01-29,10985.0,11097.0,10264.0,10738.0,954364
2015-01-30,10505.0,12148.0,10317.0,11474.0,3415378
2015-02-02,11346.0,12098.0,11083.0,11535.0,2030891
2015-02-03,11346.0,11534.0,10768.0,10829.0,1222997
2015-02-04,10760.0,11286.0,10393.0,10566.0,1033623
2015-02-05,10783.0,11481.0,10572.0,10791.0,1301133
2015-02-06,10790.0,11353.0,10512.0,10693.0,1259764
2015-02-09,9700.0,10181.0,9385.0,9536.0,1158279
2015-02-10,9527.0,9925.0,9227.0,9288.0,752490
2015-02-11,9475.0,9655.0,9280.0,9446.0,567093
2015-02-12,9347.0,9362.0,8852.0,8995.0,602035
2015-02-13,9062.0,9550.0,8942.0,9138.0,900733
2015-02-16,9077.0,9723.0,9001.0,9258.0,937197
2015-02-17,9235.0,9264.0,9032.0,9085.0,333692
2015-02-23,9121.0,9136.0,8753.0,8799.0,374748
2015-02-24,8881.0,8949.0,8753.0,8852.0,217707
2015-02-25,8926.0,8964.0,8776.0,8837.0,296623
2015-02-26,8842.0,8842.0,8603.0,8626.0,337200
2015-02-27,8610.0,8738.0,8280.0,8401.0,371811
2015-03-02,8333.0,8542.0,8333.0,8521.0,202030
2015-03-03,8618.0,9573.0,8551.0,8965.0,1281994
2015-03-04,8994.0,9054.0,8686.0,8747.0,393566
2015-03-05,8799.0,8851.0,8603.0,8822.0,221292
2015-03-06,8881.0,10121.0,8829.0,10137.0,1384418
2015-03-09,11640.0,11640.0,11640.0,11648.0,151919
2015-03-10,13383.0,13383.0,12414.0,13399.0,6000846
2015-03-11,13601.0,14203.0,12820.0,13805.0,5754485
2015-03-12,13403.0,13485.0,11729.0,11737.0,2907996
2015-03-13,11819.0,12518.0,11534.0,11933.0,2128732
2015-03-16,11819.0,11894.0,10385.0,10671.0,1833683
2015-03-17,10895.0,11473.0,10693.0,10859.0,1657978
2015-03-18,10759.0,11390.0,10511.0,11023.0,1355275
2015-03-19,11083.0,11347.0,10843.0,11212.0,885891
2015-03-20,11158.0,12540.0,11015.0,11670.0,2247127
2015-03-23,11775.0,12278.0,11594.0,12001.0,984141
2015-03-24,12038.0,12060.0,11602.0,11971.0,466928
2015-03-25,11910.0,12736.0,11775.0,12527.0,1198688
2015-03-26,12270.0,12511.0,12060.0,12226.0,565820
2015-03-27,12172.0,12337.0,11339.0,11550.0,836825
2015-03-30,11707.0,12150.0,11249.0,11828.0,626309
2015-03-31,11841.0,12127.0,11391.0,11602.0,553731
2015-04-01,11639.0,11730.0,11257.0,11280.0,374197
2015-04-02,11225.0,11503.0,10978.0,11039.0,545869
2015-04-03,11128.0,11271.0,11045.0,11159.0,305063
2015-04-06,11196.0,11338.0,11001.0,11137.0,305429
2015-04-07,11166.0,11556.0,11151.0,11317.0,479143
2015-04-08,11338.0,11451.0,11143.0,11174.0,311468
2015-04-09,11115.0,12834.0,11093.0,12850.0,2216728
2015-04-10,13584.0,13606.0,12172.0,12436.0,3130682
2015-04-13,12278.0,13081.0,12172.0,12729.0,1241110
2015-04-14,12675.0,13126.0,12217.0,12293.0,814098
2015-04-15,12135.0,13029.0,12053.0,12474.0,1102598
2015-04-16,12346.0,12759.0,12285.0,12512.0,590773
2015-04-17,12713.0,12984.0,12353.0,12384.0,524746
2015-04-20,12278.0,12803.0,11978.0,12767.0,746752
2015-04-21,12871.0,13186.0,12556.0,12579.0,829146
2015-04-22,12683.0,12938.0,10815.0,12309.0,1099538
2015-04-23,12436.0,12495.0,11534.0,11858.0,432064
2015-04-24,11714.0,12007.0,11527.0,11828.0,218547
2015-04-27,11857.0,11963.0,11632.0,11828.0,191173
2015-04-28,11879.0,12037.0,11638.0,11737.0,223235
2015-04-29,11790.0,11978.0,11609.0,11828.0,209997
2015-04-30,11820.0,12473.0,11707.0,11753.0,603718
2015-05-04,9987.0,9987.0,9987.0,10010.0,26413
2015-05-06,8505.0,8505.0,8505.0,8521.0,29114
2015-05-07,8287.0,8557.0,7851.0,8243.0,1499225
2015-05-08,8212.0,8391.0,8017.0,8205.0,571103
2015-05-11,8281.0,8498.0,8205.0,8281.0,365580
2015-05-12,8302.0,8490.0,8212.0,8258.0,369289
2015-05-13,8273.0,9466.0,8236.0,8852.0,2159592
2015-05-14,8806.0,9242.0,8626.0,8942.0,590554
2015-05-15,9226.0,9256.0,8956.0,9047.0,346795
2015-05-18,9054.0,9197.0,8513.0,8649.0,341549
2015-05-19,8506.0,9287.0,8416.0,9010.0,456455
2015-05-20,9046.0,9218.0,8640.0,8724.0,384742
2015-05-21,8708.0,9279.0,8693.0,9085.0,542141
2015-05-22,9069.0,9174.0,8858.0,8927.0,315038
2015-05-26,8866.0,9001.0,8708.0,8822.0,194636
