date,open,high,low,close,volume
2015-01-02,2570.0,2570.0,2545.0,2550.0,20243
2015-01-05,2535.0,2565.0,2530.0,2545.0,41146
2015-01-06,2545.0,2545.0,2515.0,2525.0,35828
2015-01-07,2515.0,2540.0,2515.0,2525.0,35717
2015-01-08,2525.0,2555.0,2525.0,2555.0,21938
2015-01-09,2555.0,2565.0,2545.0,2565.0,40530
2015-01-12,2560.0,2570.0,2550.0,2560.0,21732
2015-01-13,2555.0,2560.0,2540.0,2545.0,21951
2015-01-14,2545.0,2555.0,2525.0,2540.0,21103
2015-01-15,2545.0,2545.0,2510.0,2535.0,27240
2015-01-16,2535.0,2540.0,2505.0,2525.0,19999
2015-01-19,2530.0,2535.0,2510.0,2510.0,33050
2015-01-20,2520.0,2520.0,2480.0,2510.0,30236
2015-01-21,2525.0,2525.0,2490.0,2520.0,62385
2015-01-22,2510.0,2530.0,2495.0,2520.0,51706
2015-01-23,2520.0,2565.0,2510.0,2555.0,43085
2015-01-26,2555.0,2555.0,2525.0,2545.0,25355
2015-01-27,2545.0,2645.0,2545.0,2605.0,83881
2015-01-28,2600.0,2600.0,2580.0,2585.0,27624
2015-01-29,2585.0,2600.0,2580.0,2600.0,42379
2015-01-30,2600.0,2610.0,2585.0,2600.0,34454
2015-02-02,2610.0,2615.0,2550.0,2585.0,127743
2015-02-03,2595.0,2595.0,2575.0,2595.0,27232
2015-02-04,2605.0,2650.0,2600.0,2640.0,47382
2015-02-05,2650.0,2655.0,2625.0,2645.0,12901
2015-02-06,2675.0,2675.0,2645.0,2645.0,23142
2015-02-09,2650.0,2670.0,2635.0,2655.0,22789
2015-02-10,2670.0,2670.0,2645.0,2645.0,21783
2015-02-11,2640.0,2655.0,2630.0,2650.0,11326
2015-02-12,2635.0,2650.0,2620.0,2630.0,19954
2015-02-13,2640.0,2640.0,2620.0,2635.0,12677
2015-02-16,2635.0,2640.0,2620.0,2620.0,24383
2015-02-17,2635.0,2755.0,2625.0,2720.0,110788
2015-02-23,2740.0,2745.0,2705.0,2720.0,23362
2015-02-24,2745.0,2745.0,2695.0,2725.0,53282
2015-02-25,2725.0,2765.0,2710.0,2750.0,35000
2015-02-26,2765.0,2765.0,2725.0,2750.0,23389
2015-02-27,2715.0,2785.0,2715.0,2780.0,41472
2015-03-02,2780.0,2780.0,2750.0,2770.0,16817
2015-03-03,2770.0,2805.0,2770.0,2795.0,29691
2015-03-04,2800.0,2800.0,2750.0,2790.0,17751
2015-03-05,2780.0,2800.0,2770.0,2785.0,13530
2015-03-06,2790.0,2800.0,2760.0,2790.0,13735
2015-03-09,2795.0,2795.0,2760.0,2780.0,17789
2015-03-10,2800.0,2800.0,2740.0,2765.0,18831
2015-03-11,2770.0,2770.0,2740.0,2765.0,37819
2015-03-12,2775.0,2805.0,2740.0,2760.0,67053
2015-03-13,2760.0,2770.0,2745.0,2770.0,40688
2015-03-16,2780.0,2815.0,2750.0,2810.0,42879
2015-03-17,2820.0,2830.0,2780.0,2805.0,43986
2015-03-18,2800.0,2810.0,2765.0,2775.0,55258
2015-03-19,2775.0,2785.0,2755.0,2780.0,46512
2015-03-20,2780.0,2780.0,2760.0,2775.0,45490
2015-03-23,2780.0,2800.0,2760.0,2770.0,35407
2015-03-24,2770.0,2790.0,2765.0,2780.0,26755
2015-03-25,2780.0,2800.0,2760.0,2800.0,70195
2015-03-26,2790.0,2815.0,2785.0,2810.0,34573
2015-03-27,2815.0,2815.0,2765.0,2785.0,60691
2015-03-30,2790.0,2795.0,2770.0,2780.0,61758
2015-03-31,2785.0,2855.0,2780.0,2855.0,81777
2015-04-01,2870.0,2930.0,2815.0,2920.0,74287
2015-04-02,2920.0,2965.0,2905.0,2945.0,65835
2015-04-03,2950.0,3085.0,2930.0,3010.0,144854
2015-04-06,3010.0,3250.0,3010.0,3035.0,252800
2015-04-07,3090.0,3090.0,2960.0,2985.0,112719
2015-04-08,3010.0,3085.0,2985.0,3050.0,63408
2015-04-09,3065.0,3085.0,3050.0,3075.0,46263
2015-04-10,3070.0,3100.0,3060.0,3085.0,80900
2015-04-13,3090.0,3100.0,3040.0,3085.0,51259
2015-04-14,3095.0,3095.0,3040.0,3055.0,44234
2015-04-15,3055.0,3100.0,3055.0,3075.0,37087
2015-04-16,3100.0,3230.0,3065.0,3140.0,187413
2015-04-17,3160.0,3250.0,3105.0,3230.0,127438
2015-04-20,3230.0,3310.0,3160.0,3235.0,90546
2015-04-21,3235.0,3255.0,3170.0,3230.0,32205
2015-04-22,3210.0,3250.0,3055.0,3070.0,109967
2015-04-23,3090.0,3100.0,3055.0,3070.0,60332
2015-04-24,3090.0,3105.0,3055.0,3070.0,41985
2015-04-27,3070.0,3105.0,3070.0,3095.0,41656
2015-04-28,3085.0,3115.0,3080.0,3095.0,42700
2015-04-29,3105.0,3105.0,3070.0,3090.0,39237
2015-04-30,3095.0,3095.0,3015.0,3025.0,54483
2015-05-04,3025.0,3085.0,3020.0,3060.0,55104
2015-05-06,3055.0,3055.0,2980.0,3000.0,72004
2015-05-07,3000.0,3015.0,2980.0,2990.0,45678
2015-05-08,3005.0,3015.0,3000.0,3015.0,27485
2015-05-11,3005.0,3035.0,3005.0,3030.0,21360
2015-05-12,3020.0,3035.0,3010.0,3030.0,21773
2015-05-13,3030.0,3045.0,3025.0,3035.0,20796
2015-05-14,3035.0,3060.0,3035.0,3040.0,25103
2015-05-15,3050.0,3105.0,3020.0,3055.0,67327
2015-05-18,3055.0,3075.0,2990.0,3065.0,59636
2015-05-19,3065.0,3070.0,3015.0,3035.0,42324
2015-05-20,3040.0,3045.0,3015.0,3035.0,22413
2015-05-21,3045.0,3045.0,3025.0,3040.0,21742
2015-05-22,3040.0,3055.0,3035.0,3040.0,34739
2015-05-26,3045.0,3050.0,3005.0,3025.0,46666
2015-05-27,3030.0,3030.0,2990.0,3015.0,34030
2015-05-28,3015.0,3025.0,3000.0,3015.0,20618
2015-05-29,2995.0,3030.0,2995.0,3030.0,16731
2015-06-01,3030.0,3035.0,2990.0,3005.0,24392
2015-06-02,3000.0,3010.0,2940.0,2940.0,78837
2015-06-03,2940.0,2940.0,2885.0,2900.0,71990
2015-06-04,2900.0,2930.0,2890.0,2915.0,63393
2015-06-05,2910.0,2910.0,2890.0,2905.0,12243
2015-06-08,2940.0,2940.0,2900.0,2925.0,22806
2015-06-09,2925.0,2925.0,2900.0,2915.0,38630
2015-06-10,2920.0,2940.0,2905.0,2920.0,27217
2015-06-11,2925.0,2935.0,2910.0,2925.0,25946
2015-06-12,2920.0,2935.0,2910.0,2915.0,40492
2015-06-15,2925.0,2940.0,2910.0,2910.0,36108
2015-06-16,2915.0,2920.0,2905.0,2915.0,18524
2015-06-17,2920.0,2945.0,2900.0,2930.0,30641
2015-06-18,2920.0,2980.0,2920.0,2970.0,43063
2015-06-19,2975.0,2995.0,2965.0,2990.0,32831
2015-06-22,2990.0,3010.0,2980.0,3005.0,34270
2015-06-23,3015.0,3025.0,3005.0,3015.0,33383
2015-06-24,3010.0,3040.0,3010.0,3040.0,30079
2015-06-25,3040.0,3065.0,3020.0,3050.0,40396
2015-06-26,3070.0,3070.0,3020.0,3045.0,18848
2015-06-29,2970.0,3010.0,2935.0,2965.0,36577
2015-06-30,2920.0,2960.0,2910.0,2955.0,29353
2015-07-01,2945.0,2955.0,2920.0,2930.0,26150
2015-07-02,2935.0,2945.0,2910.0,2930.0,40267
2015-07-03,2920.0,2935.0,2905.0,2925.0,27698
2015-07-06,2920.0,2920.0,2870.0,2870.0,46142
2015-07-07,2870.0,2880.0,2850.0,2860.0,47275
2015-07-08,2865.0,2875.0,2825.0,2840.0,41330
2015-07-09,2840.0,2840.0,2800.0,2840.0,44475
2015-07-10,2835.0,2855.0,2830.0,2850.0,28876
2015-07-13,2850.0,2895.0,2845.0,2895.0,31120
2015-07-14,2895.0,2925.0,2895.0,2925.0,31509
2015-07-15,2930.0,2935.0,2895.0,2910.0,25548
2015-07-16,2915.0,2930.0,2900.0,2930.0,24933
2015-07-17,2935.0,2940.0,2895.0,2915.0,24381
2015-07-20,2920.0,2925.0,2900.0,2900.0,19652
2015-07-21,2890.0,2910.0,2890.0,2900.0,21968
2015-07-22,2905.0,2915.0,2905.0,2915.0,14375
2015-07-23,2915.0,2935.0,2910.0,2925.0,30310
2015-07-24,2930.0,2935.0,2905.0,2905.0,24051
2015-07-27,2905.0,2905.0,2885.0,2890.0,17575
2015-07-28,2900.0,2900.0,2845.0,2870.0,38272
2015-07-29,2850.0,2885.0,2845.0,2860.0,34296
2015-07-30,2870.0,2875.0,2805.0,2875.0,51201
2015-07-31,2875.0,2885.0,2860.0,2870.0,10044
2015-08-03,2870.0,2880.0,2835.0,2860.0,25627
2015-08-04,2860.0,2870.0,2840.0,2860.0,15076
2015-08-05,2870.0,2875.0,2860.0,2870.0,10129
2015-08-06,2880.0,2880.0,2850.0,2870.0,22918
2015-08-07,2860.0,2875.0,2860.0,2860.0,9993
2015-08-10,2875.0,2880.0,2855.0,2865.0,15963
2015-08-11,2875.0,2880.0,2865.0,2870.0,10002
2015-08-12,2860.0,2880.0,2840.0,2875.0,55602
2015-08-13,2875.0,2900.0,2865.0,2900.0,33978
2015-08-17,2905.0,3015.0,2900.0,3000.0,110068
2015-08-18,3010.0,3025.0,2960.0,3005.0,70884
