date,open,high,low,close,volume
2015-01-02,2870.0,2920.0,2870.0,2920.0,1083
2015-01-05,2920.0,2930.0,2850.0,2915.0,5871
2015-01-06,2890.0,2890.0,2790.0,2795.0,9214
2015-01-07,2785.0,2835.0,2785.0,2825.0,5266
2015-01-08,2855.0,2855.0,2810.0,2850.0,7297
2015-01-09,2855.0,2880.0,2825.0,2870.0,1314
2015-01-12,2880.0,2920.0,2800.0,2860.0,11907
2015-01-13,2830.0,2845.0,2785.0,2840.0,15635
2015-01-14,2830.0,2895.0,2830.0,2895.0,8078
2015-01-15,2895.0,2895.0,2845.0,2870.0,4377
2015-01-16,2870.0,2870.0,2775.0,2825.0,3888
2015-01-19,2805.0,2825.0,2775.0,2800.0,2965
2015-01-20,2800.0,2900.0,2800.0,2860.0,2433
2015-01-21,2850.0,2860.0,2825.0,2850.0,2677
2015-01-22,2885.0,2885.0,2815.0,2850.0,3722
2015-01-23,2880.0,2880.0,2740.0,2800.0,21306
2015-01-26,2800.0,2805.0,2770.0,2800.0,10262
2015-01-27,2800.0,2850.0,2785.0,2850.0,33817
2015-01-28,2845.0,2885.0,2800.0,2850.0,4589
2015-01-29,2805.0,2830.0,2775.0,2830.0,20443
2015-01-30,2830.0,2840.0,2770.0,2805.0,4084
2015-02-02,2820.0,2875.0,2800.0,2870.0,8080
2015-02-03,2880.0,2900.0,2820.0,2850.0,3982
2015-02-04,2895.0,2900.0,2850.0,2900.0,10198
2015-02-05,2920.0,2955.0,2880.0,2920.0,8988
2015-02-06,2920.0,2995.0,2920.0,2980.0,17399
2015-02-09,2980.0,3005.0,2935.0,3000.0,7359
2015-02-10,2945.0,3000.0,2935.0,3000.0,12320
2015-02-11,3000.0,3035.0,2950.0,3035.0,15309
2015-02-12,3025.0,3035.0,3000.0,3020.0,7047
2015-02-13,3020.0,3040.0,3000.0,3025.0,7217
2015-02-16,3030.0,3250.0,3025.0,3195.0,33572
2015-02-17,3200.0,3290.0,3195.0,3240.0,28411
2015-02-23,3250.0,3250.0,3200.0,3240.0,13419
2015-02-24,3240.0,3280.0,3215.0,3255.0,21672
2015-02-25,3260.0,3270.0,3230.0,3270.0,10428
2015-02-26,3270.0,3270.0,3200.0,3270.0,11394
2015-02-27,3210.0,3270.0,3210.0,3270.0,5618
2015-03-02,3270.0,3270.0,3215.0,3270.0,10026
2015-03-03,3225.0,3270.0,3225.0,3270.0,16424
2015-03-04,3280.0,3280.0,3240.0,3260.0,4888
2015-03-05,3205.0,3330.0,3205.0,3320.0,21074
2015-03-06,3330.0,3350.0,3265.0,3285.0,16211
2015-03-09,3270.0,3345.0,3270.0,3300.0,13297
2015-03-10,3360.0,3360.0,3260.0,3330.0,13799
2015-03-11,3350.0,3350.0,3330.0,3340.0,23402
2015-03-12,3370.0,3370.0,3310.0,3340.0,37403
2015-03-13,3300.0,3335.0,3265.0,3300.0,17053
2015-03-16,3320.0,3320.0,3265.0,3300.0,12701
2015-03-17,3300.0,3380.0,3275.0,3350.0,45512
2015-03-18,3345.0,3520.0,3345.0,3520.0,95329
2015-03-19,3570.0,4045.0,3570.0,4045.0,463256
2015-03-20,4630.0,4650.0,3850.0,4020.0,1410160
2015-03-23,4020.0,4025.0,3600.0,3600.0,269309
2015-03-24,3605.0,4100.0,3550.0,3950.0,337526
2015-03-25,4050.0,4070.0,3845.0,3950.0,111425
2015-03-26,3890.0,4005.0,3705.0,4000.0,116410
2015-03-27,4100.0,4100.0,3815.0,3815.0,51263
2015-03-30,3800.0,3965.0,3785.0,3910.0,41326
2015-03-31,3890.0,4045.0,3850.0,3930.0,40951
2015-04-01,3950.0,3990.0,3845.0,3960.0,30502
2015-04-02,3900.0,4000.0,3880.0,3950.0,48709
2015-04-03,3950.0,4000.0,3895.0,3990.0,19562
2015-04-06,3990.0,4200.0,3955.0,4150.0,67015
2015-04-07,4130.0,4200.0,4020.0,4150.0,24263
2015-04-08,4190.0,4190.0,4000.0,4150.0,31946
2015-04-09,4075.0,4145.0,3800.0,4100.0,69675
2015-04-10,4150.0,4150.0,4030.0,4050.0,33569
2015-04-13,4050.0,4070.0,3930.0,4050.0,41580
2015-04-14,4100.0,4100.0,3965.0,4070.0,27890
2015-04-15,4150.0,4160.0,4050.0,4070.0,10895
2015-04-16,4100.0,4100.0,3880.0,3965.0,42770
2015-04-17,3900.0,3960.0,3700.0,3770.0,61566
2015-04-20,3740.0,3850.0,3700.0,3760.0,34964
2015-04-21,3760.0,3845.0,3625.0,3760.0,80417
2015-04-22,3885.0,3885.0,3400.0,3805.0,68547
2015-04-23,3795.0,3795.0,3600.0,3650.0,51406
2015-04-24,3560.0,3660.0,3555.0,3600.0,34744
2015-04-27,3620.0,3740.0,3590.0,3630.0,43153
2015-04-28,3840.0,3840.0,3435.0,3505.0,61048
2015-04-29,3625.0,3625.0,3485.0,3610.0,37153
2015-04-30,3650.0,3650.0,3420.0,3470.0,31829
2015-05-04,3425.0,3595.0,3410.0,3500.0,47852
2015-05-06,3600.0,3600.0,3450.0,3455.0,42261
2015-05-07,3570.0,3570.0,3350.0,3495.0,43566
2015-05-08,3465.0,3570.0,3460.0,3565.0,28359
2015-05-11,3695.0,3695.0,3600.0,3645.0,23644
