date,open,high,low,close,volume
2015-01-02,1300.0,1330.0,1240.0,1250.0,4334227
2015-01-05,1230.0,1245.0,1200.0,1245.0,1538123
2015-01-06,1230.0,1250.0,1215.0,1245.0,1115596
2015-01-07,1245.0,1250.0,1220.0,1220.0,578644
2015-01-08,1220.0,1290.0,1210.0,1285.0,3591124
2015-01-09,1270.0,1290.0,1255.0,1280.0,1668242
2015-01-12,1265.0,1285.0,1200.0,1230.0,3158338
2015-01-13,1220.0,1240.0,1210.0,1220.0,987184
2015-01-14,1225.0,1230.0,1210.0,1220.0,486144
2015-01-15,1225.0,1245.0,1200.0,1210.0,889929
2015-01-16,1210.0,1215.0,1175.0,1175.0,958695
2015-01-19,1180.0,1205.0,1170.0,1190.0,1128411
2015-01-20,1190.0,1225.0,1180.0,1205.0,1610321
2015-01-21,1230.0,1245.0,1215.0,1225.0,1520581
2015-01-22,1225.0,1230.0,1175.0,1185.0,2284995
2015-01-23,1200.0,1215.0,1180.0,1190.0,1214362
2015-01-26,1185.0,1190.0,1150.0,1165.0,1141189
2015-01-27,1160.0,1165.0,1150.0,1150.0,694270
2015-01-28,1155.0,1175.0,1145.0,1160.0,927507
2015-01-29,1155.0,1165.0,1140.0,1150.0,553241
2015-01-30,1155.0,1185.0,1130.0,1175.0,1173807
2015-02-02,1155.0,1160.0,1140.0,1145.0,693784
2015-02-03,1140.0,1155.0,1135.0,1150.0,476975
2015-02-04,1170.0,1170.0,1145.0,1150.0,746316
2015-02-05,1150.0,1170.0,1145.0,1150.0,462845
2015-02-06,1160.0,1170.0,1145.0,1160.0,422147
2015-02-09,1150.0,1160.0,1130.0,1130.0,644443
2015-02-10,1125.0,1135.0,1100.0,1115.0,416211
2015-02-11,1120.0,1140.0,1110.0,1135.0,330290
2015-02-12,1135.0,1140.0,1120.0,1130.0,302659
2015-02-13,1115.0,1125.0,1110.0,1120.0,405643
2015-02-16,1120.0,1125.0,1105.0,1120.0,304222
2015-02-17,1110.0,1135.0,1110.0,1130.0,218215
2015-02-23,1125.0,1130.0,1100.0,1120.0,675581
2015-02-24,1115.0,1130.0,1110.0,1125.0,455328
2015-02-25,1130.0,1160.0,1125.0,1145.0,624392
2015-02-26,1150.0,1165.0,1140.0,1145.0,474103
2015-02-27,1150.0,1155.0,1140.0,1145.0,326791
2015-03-02,1140.0,1180.0,1140.0,1170.0,883318
2015-03-03,1175.0,1175.0,1145.0,1160.0,349789
2015-03-04,1180.0,1210.0,1175.0,1180.0,2319638
2015-03-05,1175.0,1195.0,1170.0,1185.0,606485
2015-03-06,1190.0,1195.0,1175.0,1180.0,565960
2015-03-09,1180.0,1200.0,1165.0,1190.0,741343
2015-03-10,1195.0,1195.0,1140.0,1145.0,1079113
2015-03-11,1130.0,1145.0,1125.0,1135.0,350142
2015-03-12,1135.0,1165.0,1135.0,1145.0,449386
2015-03-13,1150.0,1160.0,1135.0,1145.0,390243
2015-03-16,1150.0,1150.0,1120.0,1135.0,781298
2015-03-17,1135.0,1145.0,1125.0,1130.0,607139
2015-03-18,1135.0,1175.0,1125.0,1160.0,1462365
2015-03-19,1175.0,1175.0,1145.0,1150.0,519219
2015-03-20,1160.0,1175.0,1150.0,1165.0,551015
2015-03-23,1175.0,1210.0,1155.0,1200.0,2455826
2015-03-24,1195.0,1215.0,1185.0,1200.0,1277657
2015-03-25,1200.0,1210.0,1180.0,1180.0,1118938
2015-03-26,1175.0,1190.0,1165.0,1180.0,727990
2015-03-27,1190.0,1205.0,1180.0,1185.0,1336587
2015-03-30,1185.0,1200.0,1175.0,1190.0,949689
2015-03-31,1200.0,1210.0,1180.0,1200.0,1189627
2015-04-01,1205.0,1250.0,1200.0,1240.0,3775083
2015-04-02,1240.0,1250.0,1210.0,1220.0,1849204
2015-04-03,1275.0,1315.0,1220.0,1230.0,6750708
2015-04-06,1245.0,1255.0,1230.0,1250.0,1347112
2015-04-07,1265.0,1270.0,1225.0,1235.0,1024075
2015-04-08,1230.0,1240.0,1210.0,1240.0,1225647
2015-04-09,1240.0,1245.0,1220.0,1230.0,885208
2015-04-10,1225.0,1240.0,1205.0,1210.0,1191462
