date,open,high,low,close,volume
2015-01-02,1016.0,1035.0,988.0,1022.0,224222
2015-01-05,1002.0,1031.0,997.0,1022.0,218347
2015-01-06,1021.0,1021.0,964.0,1003.0,321697
2015-01-07,1012.0,1012.0,969.0,979.0,262890
2015-01-08,983.0,1012.0,954.0,1012.0,442118
2015-01-09,1031.0,1035.0,973.0,974.0,711198
2015-01-12,959.0,983.0,954.0,983.0,397902
2015-01-13,978.0,983.0,954.0,964.0,420319
2015-01-14,973.0,988.0,959.0,969.0,352960
2015-01-15,969.0,1112.0,969.0,1112.0,2415745
2015-01-16,1136.0,1193.0,1088.0,1122.0,2744251
2015-01-19,1141.0,1141.0,1078.0,1093.0,982440
2015-01-20,1102.0,1222.0,1093.0,1174.0,2279008
2015-01-21,1164.0,1183.0,1102.0,1117.0,1025813
2015-01-22,1098.0,1179.0,1088.0,1127.0,769240
2015-01-23,1131.0,1169.0,1098.0,1131.0,781731
2015-01-26,1131.0,1145.0,1093.0,1098.0,551826
2015-01-27,1098.0,1117.0,1064.0,1079.0,409722
2015-01-28,1074.0,1098.0,1055.0,1089.0,490090
2015-01-29,1088.0,1164.0,1088.0,1141.0,948950
2015-01-30,1117.0,1126.0,1088.0,1089.0,584901
2015-02-02,1098.0,1102.0,1078.0,1079.0,234121
2015-02-03,1088.0,1145.0,1083.0,1131.0,510341
2015-02-04,1145.0,1164.0,1117.0,1127.0,493770
2015-02-05,1117.0,1193.0,1112.0,1179.0,848669
2015-02-06,1198.0,1222.0,1160.0,1170.0,341198
2015-02-09,1164.0,1341.0,1164.0,1342.0,1543843
2015-02-10,1365.0,1379.0,1193.0,1232.0,2286326
2015-02-11,1250.0,1398.0,1203.0,1299.0,3072670
2015-02-12,1303.0,1441.0,1260.0,1385.0,2024215
2015-02-13,1403.0,1413.0,1331.0,1337.0,1037191
2015-02-16,1327.0,1408.0,1327.0,1375.0,954310
2015-02-17,1389.0,1398.0,1341.0,1365.0,404845
2015-02-23,1341.0,1398.0,1341.0,1370.0,480125
2015-02-24,1370.0,1427.0,1327.0,1404.0,628682
2015-02-25,1403.0,1408.0,1341.0,1342.0,512278
2015-02-26,1365.0,1537.0,1365.0,1423.0,1961422
2015-02-27,1394.0,1489.0,1389.0,1404.0,619228
2015-03-02,1394.0,1494.0,1394.0,1475.0,682631
2015-03-03,1451.0,1494.0,1437.0,1485.0,503491
2015-03-04,1465.0,1484.0,1437.0,1470.0,315371
2015-03-05,1451.0,1470.0,1417.0,1437.0,455452
2015-03-06,1437.0,1465.0,1413.0,1437.0,229333
2015-03-09,1422.0,1456.0,1346.0,1432.0,547853
2015-03-10,1432.0,1527.0,1432.0,1466.0,872795
2015-03-11,1465.0,1465.0,1417.0,1442.0,298983
2015-03-12,1427.0,1537.0,1427.0,1533.0,1331923
2015-03-13,1542.0,1761.0,1542.0,1762.0,3586509
2015-03-16,1814.0,2024.0,1814.0,2024.0,3742224
2015-03-17,2167.0,2200.0,1928.0,2105.0,6232104
2015-03-18,2157.0,2301.0,2014.0,2062.0,5270488
2015-03-19,2067.0,2239.0,2057.0,2163.0,3287546
2015-03-20,2243.0,2482.0,2239.0,2483.0,8035766
2015-03-23,2482.0,2854.0,2406.0,2855.0,7154229
2015-03-24,2917.0,2998.0,2616.0,2798.0,5693761
2015-03-25,2730.0,3208.0,2702.0,3051.0,5442570
2015-03-26,2912.0,3294.0,2802.0,3079.0,4973871
2015-03-27,3327.0,3351.0,3050.0,3132.0,3200630
2015-03-30,3141.0,3146.0,2663.0,2678.0,6563917
2015-03-31,2721.0,2845.0,2592.0,2759.0,3197960
2015-04-01,2692.0,2854.0,2640.0,2779.0,2058259
2015-04-02,2816.0,3193.0,2726.0,3194.0,6252213
2015-04-03,3222.0,3418.0,2864.0,3218.0,4199608
2015-04-06,3155.0,3294.0,3079.0,3156.0,1257849
2015-04-07,3198.0,3599.0,3122.0,3552.0,3616314
2015-04-08,3542.0,3962.0,3399.0,3896.0,3908689
2015-04-09,0.0,0.0,0.0,3896.0,0
2015-04-10,4478.0,4478.0,4478.0,4478.0,453754
2015-04-13,4821.0,5146.0,4678.0,4908.0,1473783
2015-04-14,4745.0,5232.0,4602.0,5232.0,942481
2015-04-15,5003.0,5480.0,5003.0,5156.0,635381
2015-04-16,5242.0,5442.0,5156.0,5443.0,525960
2015-04-17,5538.0,5996.0,5538.0,5824.0,656830
2015-04-20,5633.0,5728.0,4955.0,4956.0,4820080
2015-04-21,5060.0,5690.0,4716.0,5471.0,7589632
2015-04-22,5461.0,5900.0,4659.0,5443.0,4341122
2015-04-23,5375.0,5490.0,4630.0,4631.0,3545599
2015-04-24,4401.0,4583.0,3962.0,4139.0,5477823
2015-04-27,3599.0,4339.0,3518.0,4134.0,16751830
2015-04-28,4158.0,4425.0,3972.0,4048.0,4697361
2015-04-29,4058.0,4325.0,4038.0,4077.0,2718911
2015-04-30,4478.0,4506.0,3466.0,3466.0,5307715
2015-05-04,3642.0,3981.0,3494.0,3867.0,5179732
2015-05-06,3867.0,4182.0,3867.0,3943.0,1993327
2015-05-07,4058.0,4058.0,3599.0,3772.0,2066182
2015-05-08,3962.0,4129.0,3857.0,3991.0,2368706
2015-05-11,3953.0,4101.0,3847.0,3967.0,1933589
2015-05-12,4000.0,4038.0,3661.0,3729.0,2393574
2015-05-13,3757.0,3824.0,3170.0,3628.0,5055450
2015-05-14,3575.0,3590.0,3351.0,3418.0,2373212
2015-05-15,3423.0,3819.0,3408.0,3471.0,3309157
2015-05-18,3461.0,3962.0,3408.0,3714.0,4477675
2015-05-19,3709.0,3809.0,3571.0,3671.0,2125662
2015-05-20,3723.0,4143.0,3661.0,3982.0,4035310
2015-05-21,4043.0,4578.0,4024.0,4578.0,6061973
2015-05-22,4869.0,5108.0,4516.0,4521.0,8267665
2015-05-26,4425.0,4917.0,4258.0,4683.0,6413705
2015-05-27,4726.0,5251.0,4545.0,5042.0,7174702
2015-05-28,4984.0,5251.0,4888.0,4927.0,3469764
2015-05-29,4936.0,5089.0,4535.0,4936.0,5811341
2015-06-01,4774.0,4831.0,4516.0,4550.0,2705557
2015-06-02,4578.0,4578.0,3871.0,3948.0,4402918
2015-06-03,3933.0,4263.0,3805.0,3877.0,3495318
2015-06-04,3953.0,4058.0,3838.0,4010.0,1542842
2015-06-05,3924.0,4210.0,3881.0,3982.0,1840746
2015-06-08,3981.0,4077.0,3867.0,4001.0,1096411
2015-06-09,3972.0,4143.0,3972.0,4106.0,1281507
2015-06-10,4163.0,4721.0,4058.0,4722.0,11262333
2015-06-11,4745.0,4860.0,4320.0,4335.0,5967024
2015-06-12,4401.0,4592.0,4010.0,4168.0,3660947
2015-06-15,4105.0,4134.0,3867.0,3972.0,1375708
2015-06-16,3976.0,4349.0,3771.0,4201.0,2532611
2015-06-17,4258.0,4506.0,4115.0,4154.0,2531326
2015-06-18,4182.0,4206.0,3972.0,4001.0,1114742
2015-06-19,4005.0,4153.0,3919.0,4015.0,1100433
2015-06-22,4105.0,4301.0,4058.0,4158.0,1673631
2015-06-23,4206.0,4358.0,4120.0,4359.0,1645009
2015-06-24,4411.0,4468.0,4229.0,4306.0,1613392
2015-06-25,4306.0,4630.0,4306.0,4407.0,2724129
2015-06-26,4487.0,4549.0,4387.0,4421.0,1352774
2015-06-29,4201.0,4506.0,4024.0,4230.0,1392531
2015-06-30,4229.0,4354.0,3981.0,4297.0,953024
2015-07-01,4344.0,4745.0,4272.0,4368.0,5182343
2015-07-02,4368.0,5108.0,4315.0,4879.0,10197754
2015-07-03,5117.0,5242.0,4755.0,4851.0,4587217
2015-07-06,4659.0,4812.0,4482.0,4526.0,2633524
2015-07-07,4492.0,4626.0,4029.0,4154.0,2782257
2015-07-08,4158.0,4229.0,3809.0,3977.0,1835484
2015-07-09,3847.0,4182.0,3752.0,3996.0,2679868
2015-07-10,4010.0,4072.0,3805.0,3805.0,1288566
2015-07-13,3757.0,3914.0,3676.0,3915.0,741864
