date,open,high,low,close,volume
2015-01-02,8910.0,9090.0,8910.0,9090.0,869
2015-01-05,9090.0,9590.0,9090.0,9500.0,3261
2015-01-06,9500.0,9600.0,9200.0,9500.0,1607
2015-01-07,9500.0,9580.0,9180.0,9320.0,832
2015-01-08,9510.0,9530.0,9230.0,9230.0,926
2015-01-09,9230.0,9330.0,9000.0,9040.0,1293
2015-01-12,9000.0,9120.0,9000.0,9110.0,594
2015-01-13,9110.0,9180.0,8930.0,8930.0,1216
2015-01-14,9000.0,9600.0,9000.0,9200.0,1081
2015-01-15,9200.0,9390.0,9060.0,9390.0,2315
2015-01-16,9390.0,9390.0,9040.0,9040.0,1326
2015-01-19,9040.0,9310.0,9000.0,9200.0,3439
2015-01-20,9150.0,9290.0,9100.0,9110.0,3138
2015-01-21,9150.0,9210.0,9110.0,9200.0,2945
2015-01-22,9140.0,9300.0,9120.0,9300.0,1270
2015-01-23,9360.0,9700.0,9100.0,9250.0,3970
2015-01-26,9240.0,9580.0,9240.0,9530.0,5116
2015-01-27,9700.0,9700.0,9270.0,9310.0,5169
2015-01-28,9310.0,10700.0,9290.0,10700.0,70961
2015-01-29,11500.0,12300.0,11500.0,12300.0,59889
2015-01-30,13600.0,14100.0,13200.0,14100.0,134694
2015-02-02,16150.0,16200.0,13100.0,13100.0,646134
2015-02-03,12950.0,15050.0,12550.0,15050.0,527531
2015-02-04,0.0,0.0,0.0,15050.0,0
2015-02-05,15200.0,15550.0,14250.0,15000.0,184073
2015-02-06,14600.0,14700.0,13650.0,13950.0,86143
2015-02-09,13750.0,15950.0,13100.0,15150.0,151704
2015-02-10,15100.0,16000.0,12900.0,12900.0,203057
2015-02-11,13100.0,14800.0,12600.0,13400.0,307213
2015-02-12,14000.0,14450.0,11650.0,12250.0,236183
2015-02-13,12300.0,12650.0,11950.0,12350.0,125757
2015-02-16,12450.0,13400.0,12350.0,12600.0,125451
2015-02-17,12650.0,14450.0,11850.0,14450.0,250323
2015-02-23,15550.0,16000.0,13450.0,13450.0,232400
2015-02-24,13650.0,13650.0,12700.0,13000.0,101726
2015-02-25,13150.0,13850.0,12700.0,13000.0,93496
2015-02-26,13200.0,13500.0,12200.0,12300.0,83958
2015-02-27,12350.0,12650.0,12300.0,12450.0,35835
2015-03-02,12500.0,14100.0,12500.0,13100.0,139572
2015-03-03,13850.0,14950.0,13550.0,13800.0,210862
2015-03-04,14100.0,14500.0,13350.0,13600.0,70416
2015-03-05,13700.0,15600.0,13550.0,15600.0,273860
2015-03-06,15700.0,15900.0,13300.0,13300.0,196819
2015-03-09,13350.0,13750.0,12400.0,12900.0,90319
2015-03-10,13000.0,13000.0,12300.0,12650.0,60001
2015-03-11,12450.0,13050.0,12450.0,12950.0,34626
2015-03-12,12850.0,12950.0,12500.0,12800.0,22451
2015-03-13,12800.0,13200.0,12650.0,13000.0,26007
2015-03-16,13100.0,13500.0,12850.0,12900.0,33401
2015-03-17,12950.0,12950.0,12500.0,12500.0,30353
2015-03-18,12650.0,12650.0,12100.0,12100.0,25217
2015-03-19,12100.0,12650.0,12050.0,12450.0,21062
2015-03-20,12450.0,12650.0,12250.0,12500.0,16131
2015-03-23,12600.0,12800.0,12300.0,12300.0,19222
2015-03-24,12300.0,12550.0,12200.0,12500.0,13444
2015-03-25,12550.0,12750.0,12300.0,12750.0,17846
2015-03-26,12900.0,13600.0,12600.0,13100.0,46000
2015-03-27,13400.0,13400.0,12650.0,13000.0,24846
2015-03-30,12900.0,13400.0,12700.0,13200.0,12238
2015-03-31,13300.0,13900.0,13100.0,13700.0,33744
2015-04-01,13750.0,13750.0,13150.0,13450.0,26960
2015-04-02,13200.0,13500.0,12950.0,12950.0,24992
2015-04-03,13100.0,13200.0,12900.0,13050.0,11993
2015-04-06,13200.0,13250.0,12900.0,12950.0,16036
2015-04-07,13000.0,13800.0,12900.0,13700.0,24244
2015-04-08,13800.0,13800.0,13350.0,13600.0,11066
2015-04-09,13500.0,14300.0,13300.0,13700.0,35185
2015-04-10,13900.0,14450.0,13700.0,14450.0,25751
2015-04-13,14650.0,14900.0,14100.0,14450.0,19475
2015-04-14,14450.0,14550.0,13400.0,13800.0,34031
2015-04-15,13700.0,14050.0,13500.0,13900.0,14370
2015-04-16,14000.0,15950.0,13750.0,15050.0,115319
2015-04-17,14900.0,15450.0,14600.0,15200.0,31354
2015-04-20,14800.0,15250.0,14650.0,14950.0,37819
2015-04-21,15100.0,15200.0,14550.0,14950.0,18231
2015-04-22,14950.0,15100.0,13500.0,14500.0,28058
2015-04-23,14450.0,14500.0,14000.0,14000.0,11949
2015-04-24,14000.0,14450.0,13800.0,13950.0,6839
2015-04-27,13950.0,14250.0,13550.0,14200.0,6563
2015-04-28,14000.0,14200.0,13700.0,13950.0,9116
2015-04-29,13950.0,14000.0,13250.0,13750.0,12481
2015-04-30,13750.0,13800.0,13250.0,13700.0,6311
2015-05-04,13550.0,13800.0,13000.0,13000.0,9117
2015-05-06,13050.0,13350.0,12800.0,13000.0,4171
