date,open,high,low,close,volume
2015-01-02,1875.0,1880.0,1840.0,1860.0,9930
2015-01-05,1870.0,1885.0,1850.0,1850.0,18731
2015-01-06,1840.0,1885.0,1840.0,1885.0,25269
2015-01-07,1885.0,1885.0,1830.0,1860.0,11165
2015-01-08,1870.0,1870.0,1840.0,1870.0,2836
2015-01-09,1880.0,1890.0,1850.0,1870.0,9748
2015-01-12,1870.0,1870.0,1840.0,1855.0,9570
2015-01-13,1850.0,1905.0,1830.0,1840.0,19761
2015-01-14,1845.0,1855.0,1840.0,1850.0,6919
2015-01-15,1850.0,1900.0,1845.0,1885.0,4135
2015-01-16,1900.0,1900.0,1830.0,1830.0,36557
2015-01-19,1820.0,1850.0,1820.0,1830.0,6627
2015-01-20,1820.0,1840.0,1815.0,1840.0,13585
2015-01-21,1840.0,1860.0,1825.0,1845.0,16249
2015-01-22,1830.0,1875.0,1825.0,1845.0,61352
2015-01-23,1845.0,1855.0,1835.0,1845.0,33377
2015-01-26,1840.0,1850.0,1825.0,1830.0,44433
2015-01-27,1845.0,1855.0,1820.0,1835.0,39764
2015-01-28,1840.0,1860.0,1810.0,1860.0,30902
2015-01-29,1860.0,1925.0,1850.0,1905.0,65284
2015-01-30,1910.0,1930.0,1890.0,1905.0,29822
2015-02-02,1900.0,2000.0,1900.0,1925.0,63174
2015-02-03,1930.0,1950.0,1900.0,1920.0,23775
2015-02-04,1910.0,1940.0,1870.0,1900.0,28231
2015-02-05,1905.0,1915.0,1835.0,1895.0,32621
2015-02-06,1900.0,1905.0,1870.0,1890.0,12710
2015-02-09,1880.0,1910.0,1880.0,1895.0,19755
2015-02-10,1895.0,1945.0,1870.0,1910.0,20717
2015-02-11,1910.0,1920.0,1890.0,1920.0,26535
2015-02-12,1910.0,1930.0,1895.0,1915.0,13664
2015-02-13,1920.0,1930.0,1910.0,1925.0,12849
2015-02-16,1925.0,1925.0,1895.0,1920.0,69432
2015-02-17,1920.0,1940.0,1905.0,1920.0,18542
2015-02-23,1940.0,1950.0,1925.0,1945.0,18899
2015-02-24,1950.0,2030.0,1945.0,1945.0,124683
2015-02-25,1945.0,1975.0,1940.0,1960.0,38428
2015-02-26,1960.0,1990.0,1940.0,1980.0,46010
2015-02-27,1990.0,1990.0,1965.0,1980.0,5715
2015-03-02,1970.0,1990.0,1965.0,1980.0,26152
2015-03-03,1995.0,2000.0,1970.0,1975.0,57312
2015-03-04,1975.0,1995.0,1970.0,1980.0,18232
2015-03-05,1990.0,2020.0,1980.0,2005.0,107048
2015-03-06,2030.0,2030.0,1975.0,1985.0,31100
2015-03-09,2000.0,2000.0,1975.0,1980.0,19499
2015-03-10,1980.0,1995.0,1935.0,1970.0,39886
2015-03-11,1965.0,1980.0,1940.0,1975.0,38792
2015-03-12,1960.0,2000.0,1960.0,1995.0,24450
2015-03-13,1995.0,2010.0,1980.0,2000.0,44376
2015-03-16,2005.0,2005.0,1985.0,1995.0,33653
2015-03-17,1995.0,2010.0,1985.0,2010.0,38256
2015-03-18,2005.0,2030.0,1995.0,2010.0,45240
2015-03-19,2020.0,2040.0,2015.0,2030.0,36911
2015-03-20,2035.0,2040.0,2000.0,2030.0,21645
2015-03-23,2030.0,2065.0,2030.0,2035.0,32088
2015-03-24,2030.0,2060.0,1995.0,2020.0,42182
2015-03-25,2025.0,2080.0,2025.0,2055.0,38875
2015-03-26,2055.0,2080.0,2000.0,2025.0,31275
2015-03-27,2035.0,2050.0,2000.0,2035.0,46239
2015-03-30,2040.0,2070.0,2030.0,2030.0,19558
2015-03-31,2045.0,2140.0,2030.0,2110.0,145344
2015-04-01,2135.0,2220.0,2115.0,2120.0,141970
2015-04-02,2130.0,2175.0,2075.0,2155.0,57973
2015-04-03,2155.0,2190.0,2155.0,2175.0,20902
2015-04-06,2175.0,2200.0,2165.0,2190.0,19753
2015-04-07,2200.0,2200.0,2165.0,2190.0,17270
2015-04-08,2205.0,2205.0,2150.0,2170.0,36767
2015-04-09,2200.0,2200.0,2160.0,2165.0,6663
2015-04-10,2160.0,2175.0,2130.0,2165.0,49196
2015-04-13,2180.0,2215.0,2160.0,2190.0,118221
2015-04-14,2190.0,2210.0,2175.0,2185.0,32972
2015-04-15,2175.0,2205.0,2175.0,2190.0,54629
2015-04-16,2190.0,2210.0,2175.0,2190.0,47503
2015-04-17,2220.0,2220.0,2180.0,2200.0,110753
2015-04-20,2200.0,2200.0,2160.0,2175.0,103211
2015-04-21,2180.0,2185.0,2140.0,2165.0,52944
2015-04-22,2190.0,2200.0,2115.0,2150.0,45310
2015-04-23,2155.0,2180.0,2120.0,2150.0,25041
2015-04-24,2150.0,2185.0,2130.0,2150.0,55296
2015-04-27,2190.0,2215.0,2155.0,2205.0,42929
2015-04-28,2205.0,2220.0,2195.0,2200.0,21988
2015-04-29,2205.0,2205.0,2155.0,2165.0,30176
