date,open,high,low,close,volume
2015-01-02,802.0,849.0,802.0,832.0,1165562
2015-01-05,840.0,841.0,812.0,814.0,526845
2015-01-06,810.0,826.0,797.0,811.0,412705
2015-01-07,817.0,835.0,806.0,827.0,603822
2015-01-08,828.0,878.0,820.0,861.0,1668928
2015-01-09,853.0,865.0,840.0,861.0,630493
2015-01-12,866.0,887.0,858.0,865.0,1085432
2015-01-13,870.0,882.0,855.0,859.0,507145
2015-01-14,865.0,872.0,850.0,856.0,550968
2015-01-15,863.0,863.0,841.0,856.0,397828
2015-01-16,856.0,864.0,836.0,836.0,300333
2015-01-19,825.0,844.0,815.0,837.0,531419
2015-01-20,828.0,840.0,826.0,835.0,259969
2015-01-21,844.0,844.0,815.0,816.0,425700
2015-01-22,809.0,821.0,805.0,808.0,395290
2015-01-23,816.0,831.0,809.0,818.0,376647
2015-01-26,805.0,842.0,805.0,828.0,860565
2015-01-27,832.0,833.0,818.0,822.0,335923
2015-01-28,822.0,822.0,805.0,815.0,443638
2015-01-29,808.0,818.0,799.0,806.0,414897
2015-01-30,816.0,835.0,806.0,817.0,796415
2015-02-02,828.0,828.0,805.0,808.0,410367
2015-02-03,808.0,816.0,801.0,802.0,439379
2015-02-04,802.0,813.0,801.0,806.0,404188
2015-02-05,806.0,866.0,803.0,855.0,2465444
2015-02-06,850.0,860.0,840.0,845.0,690620
2015-02-09,838.0,845.0,816.0,820.0,703129
2015-02-10,830.0,834.0,814.0,827.0,366562
2015-02-11,825.0,849.0,814.0,839.0,520495
2015-02-12,843.0,843.0,808.0,808.0,634402
2015-02-13,811.0,835.0,802.0,818.0,365980
2015-02-16,820.0,833.0,807.0,830.0,406241
2015-02-17,833.0,840.0,818.0,824.0,414915
2015-02-23,829.0,870.0,825.0,858.0,1398104
2015-02-24,867.0,911.0,861.0,870.0,3071249
2015-02-25,872.0,895.0,860.0,867.0,999079
2015-02-26,860.0,890.0,858.0,885.0,820208
2015-02-27,888.0,945.0,881.0,930.0,2703022
2015-03-02,935.0,976.0,915.0,933.0,2815518
2015-03-03,930.0,947.0,922.0,929.0,700363
2015-03-04,944.0,1065.0,933.0,1040.0,16231987
2015-03-05,1040.0,1080.0,1015.0,1060.0,6039260
2015-03-06,1080.0,1115.0,1030.0,1030.0,5112772
2015-03-09,1030.0,1100.0,1010.0,1100.0,3144113
2015-03-10,1120.0,1120.0,1015.0,1075.0,3856703
2015-03-11,1050.0,1070.0,1020.0,1020.0,2128917
2015-03-12,1040.0,1110.0,1015.0,1090.0,5231900
2015-03-13,1060.0,1130.0,1025.0,1025.0,4568361
2015-03-16,1035.0,1080.0,1020.0,1030.0,1591129
2015-03-17,1030.0,1055.0,1010.0,1015.0,1388852
2015-03-18,1040.0,1100.0,1035.0,1075.0,4568261
2015-03-19,1080.0,1080.0,1020.0,1040.0,1751818
2015-03-20,1030.0,1065.0,1030.0,1045.0,1233970
2015-03-23,1045.0,1080.0,1030.0,1040.0,1310602
2015-03-24,1040.0,1060.0,1035.0,1055.0,875324
2015-03-25,1045.0,1070.0,1040.0,1050.0,1098071
2015-03-26,1050.0,1075.0,1025.0,1075.0,1771968
2015-03-27,1085.0,1085.0,1055.0,1075.0,1307226
2015-03-30,1080.0,1170.0,1060.0,1145.0,5083495
2015-03-31,1145.0,1190.0,1120.0,1120.0,3528030
2015-04-01,1120.0,1180.0,1120.0,1140.0,2358410
2015-04-02,1145.0,1280.0,1135.0,1225.0,6725164
2015-04-03,1210.0,1245.0,1200.0,1220.0,1723227
2015-04-06,1235.0,1260.0,1200.0,1240.0,1472253
2015-04-07,1260.0,1275.0,1225.0,1260.0,1410068
2015-04-08,1265.0,1265.0,1165.0,1195.0,2577658
2015-04-09,1190.0,1200.0,1170.0,1175.0,1534231
2015-04-10,1185.0,1195.0,1155.0,1165.0,1277432
2015-04-13,1165.0,1195.0,1140.0,1195.0,1191140
2015-04-14,1190.0,1195.0,1140.0,1140.0,1100268
2015-04-15,1145.0,1160.0,1110.0,1110.0,1114713
2015-04-16,1115.0,1115.0,1075.0,1090.0,1665532
2015-04-17,1100.0,1120.0,1080.0,1100.0,1294019
2015-04-20,1090.0,1140.0,1065.0,1075.0,2078521
2015-04-21,1075.0,1135.0,1060.0,1095.0,2194671
2015-04-22,1095.0,1110.0,985.0,1065.0,1831500
2015-04-23,1070.0,1070.0,996.0,1005.0,1756227
2015-04-24,1025.0,1100.0,1025.0,1085.0,2552156
2015-04-27,1095.0,1135.0,1085.0,1095.0,2216809
2015-04-28,1095.0,1095.0,1055.0,1065.0,753933
2015-04-29,1080.0,1090.0,1035.0,1040.0,744305
2015-04-30,1045.0,1085.0,1035.0,1085.0,597224
2015-05-04,1080.0,1100.0,1050.0,1100.0,984478
2015-05-06,1100.0,1120.0,1065.0,1065.0,1014382
2015-05-07,1080.0,1110.0,1050.0,1065.0,780914
2015-05-08,1065.0,1080.0,1050.0,1075.0,633879
2015-05-11,1090.0,1115.0,1060.0,1105.0,862830
2015-05-12,1105.0,1115.0,1080.0,1090.0,785653
2015-05-13,1110.0,1235.0,1100.0,1175.0,7618812
2015-05-14,1175.0,1195.0,1160.0,1175.0,1825383
2015-05-15,1195.0,1255.0,1150.0,1165.0,4319319
2015-05-18,1160.0,1185.0,1100.0,1100.0,1600105
2015-05-19,1100.0,1155.0,1080.0,1135.0,1899320
2015-05-20,1120.0,1170.0,1110.0,1110.0,1607592
2015-05-21,1100.0,1175.0,1100.0,1170.0,1586864
2015-05-22,1180.0,1225.0,1155.0,1195.0,2682467
2015-05-26,1230.0,1260.0,1170.0,1225.0,4116400
2015-05-27,1215.0,1220.0,1165.0,1170.0,1801119
2015-05-28,1190.0,1210.0,1170.0,1170.0,1688591
2015-05-29,1160.0,1220.0,1145.0,1195.0,2658913
2015-06-01,1195.0,1260.0,1160.0,1255.0,3607984
2015-06-02,1280.0,1365.0,1135.0,1140.0,9103723
2015-06-03,1140.0,1165.0,1025.0,1130.0,2589831
2015-06-04,1120.0,1160.0,1100.0,1120.0,1288400
2015-06-05,1120.0,1160.0,1115.0,1155.0,1514068
2015-06-08,1260.0,1310.0,1115.0,1115.0,9527852
2015-06-09,1120.0,1145.0,1095.0,1135.0,2213312
