date,open,high,low,close,volume
2015-01-02,882.0,944.0,882.0,940.0,208356
2015-01-05,950.0,959.0,935.0,954.0,173979
2015-01-06,954.0,954.0,900.0,944.0,109834
2015-01-07,933.0,948.0,905.0,948.0,90470
2015-01-08,948.0,954.0,925.0,946.0,69913
2015-01-09,950.0,950.0,915.0,938.0,29087
2015-01-12,933.0,945.0,926.0,940.0,78475
2015-01-13,950.0,953.0,939.0,943.0,31144
2015-01-14,922.0,946.0,920.0,935.0,81809
2015-01-15,939.0,939.0,905.0,924.0,92679
2015-01-16,930.0,930.0,905.0,910.0,38930
2015-01-19,920.0,920.0,899.0,920.0,84396
2015-01-20,920.0,921.0,895.0,907.0,85296
2015-01-21,911.0,920.0,890.0,899.0,80191
2015-01-22,903.0,910.0,865.0,899.0,45619
2015-01-23,900.0,900.0,895.0,899.0,25795
2015-01-26,884.0,898.0,872.0,885.0,86210
2015-01-27,885.0,886.0,869.0,872.0,79794
2015-01-28,880.0,894.0,872.0,893.0,33880
2015-01-29,894.0,919.0,885.0,910.0,49566
2015-01-30,915.0,915.0,885.0,885.0,40294
2015-02-02,898.0,900.0,878.0,890.0,28521
2015-02-03,890.0,900.0,881.0,896.0,38797
2015-02-04,900.0,900.0,885.0,896.0,26572
2015-02-05,905.0,905.0,885.0,901.0,43031
2015-02-06,896.0,902.0,885.0,900.0,44521
2015-02-09,900.0,943.0,895.0,917.0,151118
2015-02-10,917.0,925.0,913.0,923.0,39361
2015-02-11,920.0,938.0,910.0,924.0,36841
2015-02-12,929.0,930.0,900.0,930.0,111253
2015-02-13,938.0,938.0,916.0,925.0,110779
2015-02-16,949.0,980.0,921.0,953.0,202442
2015-02-17,973.0,980.0,920.0,922.0,234806
2015-02-23,916.0,922.0,905.0,916.0,147258
2015-02-24,916.0,1050.0,910.0,980.0,1264184
2015-02-25,995.0,1030.0,975.0,980.0,300564
2015-02-26,975.0,991.0,961.0,980.0,150904
2015-02-27,980.0,990.0,940.0,973.0,74244
2015-03-02,958.0,1000.0,958.0,990.0,105530
2015-03-03,984.0,999.0,972.0,990.0,66725
2015-03-04,980.0,990.0,968.0,988.0,94392
2015-03-05,990.0,1135.0,989.0,1075.0,2446460
2015-03-06,1060.0,1085.0,990.0,1030.0,897059
2015-03-09,1000.0,1045.0,996.0,1000.0,397824
2015-03-10,1010.0,1015.0,975.0,999.0,247305
2015-03-11,993.0,993.0,970.0,985.0,236185
2015-03-12,975.0,993.0,972.0,990.0,82370
2015-03-13,999.0,1030.0,977.0,1000.0,302451
2015-03-16,986.0,1025.0,985.0,1010.0,160923
2015-03-17,1020.0,1030.0,995.0,1010.0,150511
2015-03-18,987.0,1010.0,987.0,999.0,90114
2015-03-19,1010.0,1015.0,990.0,1010.0,87903
2015-03-20,1000.0,1025.0,998.0,1015.0,112037
2015-03-23,1005.0,1020.0,1005.0,1005.0,119048
2015-03-24,1015.0,1015.0,997.0,1015.0,104744
2015-03-25,1015.0,1020.0,1000.0,1000.0,156084
2015-03-26,1000.0,1020.0,999.0,1015.0,269344
2015-03-27,1015.0,1070.0,1000.0,1015.0,333664
2015-03-30,1015.0,1030.0,1000.0,1000.0,185893
2015-03-31,1000.0,1025.0,1000.0,1005.0,166608
2015-04-01,1005.0,1015.0,990.0,990.0,223800
2015-04-02,995.0,1010.0,990.0,994.0,154306
2015-04-03,999.0,1000.0,980.0,991.0,230948
2015-04-06,998.0,1005.0,990.0,995.0,101802
2015-04-07,994.0,1000.0,989.0,999.0,125617
2015-04-08,1010.0,1015.0,992.0,1005.0,203219
2015-04-09,1005.0,1020.0,993.0,1000.0,104247
