date,open,high,low,close,volume
2015-01-02,2895.0,2960.0,2885.0,2885.0,47135
2015-01-05,2920.0,2920.0,2845.0,2870.0,47649
2015-01-06,2815.0,2855.0,2760.0,2795.0,47506
2015-01-07,2775.0,2840.0,2755.0,2755.0,32323
2015-01-08,2755.0,2800.0,2730.0,2780.0,29427
2015-01-09,2800.0,2885.0,2800.0,2880.0,43424
2015-01-12,2850.0,3280.0,2850.0,3110.0,353259
2015-01-13,3110.0,3130.0,3040.0,3070.0,95977
2015-01-14,3100.0,3100.0,2950.0,3020.0,94920
2015-01-15,2980.0,3100.0,2980.0,3020.0,74158
2015-01-16,3020.0,3080.0,3015.0,3045.0,74984
2015-01-19,3050.0,3105.0,2940.0,3000.0,133933
2015-01-20,3000.0,3040.0,2885.0,2925.0,161000
2015-01-21,2890.0,2920.0,2810.0,2840.0,195580
2015-01-22,2800.0,2860.0,2790.0,2815.0,176291
2015-01-23,2845.0,2865.0,2760.0,2770.0,178511
2015-01-26,2780.0,2820.0,2770.0,2810.0,60059
2015-01-27,2795.0,2860.0,2795.0,2855.0,144857
2015-01-28,3035.0,3055.0,2860.0,2900.0,303525
2015-01-29,2875.0,2930.0,2795.0,2795.0,179019
2015-01-30,2780.0,2835.0,2755.0,2765.0,175503
2015-02-02,2720.0,2735.0,2670.0,2730.0,201898
2015-02-03,2745.0,2755.0,2700.0,2735.0,108702
2015-02-04,2760.0,2765.0,2715.0,2725.0,118194
2015-02-05,2715.0,2745.0,2690.0,2695.0,153915
2015-02-06,2700.0,2765.0,2700.0,2730.0,197023
2015-02-09,2765.0,2820.0,2695.0,2695.0,220770
2015-02-10,2685.0,2710.0,2640.0,2650.0,372060
2015-02-11,2675.0,2675.0,2570.0,2595.0,331150
2015-02-12,2585.0,2585.0,2450.0,2460.0,513817
2015-02-13,2460.0,2610.0,2455.0,2550.0,416645
2015-02-16,2550.0,2595.0,2550.0,2590.0,100599
2015-02-17,2590.0,2695.0,2575.0,2695.0,242746
2015-02-23,2700.0,2760.0,2685.0,2705.0,180188
2015-02-24,2635.0,2720.0,2635.0,2700.0,117556
2015-02-25,2700.0,2770.0,2690.0,2710.0,136812
2015-02-26,2735.0,2790.0,2710.0,2760.0,146902
2015-02-27,2820.0,2820.0,2700.0,2775.0,139296
2015-03-02,2815.0,2815.0,2745.0,2750.0,226286
2015-03-03,2800.0,2805.0,2765.0,2770.0,132690
2015-03-04,2770.0,2930.0,2770.0,2860.0,351040
2015-03-05,2865.0,2930.0,2865.0,2895.0,106913
2015-03-06,2850.0,2945.0,2835.0,2920.0,176425
2015-03-09,2890.0,2890.0,2795.0,2840.0,187335
2015-03-10,2850.0,2870.0,2730.0,2740.0,224389
2015-03-11,2710.0,2775.0,2700.0,2740.0,114448
2015-03-12,2745.0,2895.0,2745.0,2865.0,175014
2015-03-13,2865.0,2910.0,2830.0,2885.0,154712
2015-03-16,2865.0,2865.0,2685.0,2695.0,403637
2015-03-17,2695.0,2750.0,2670.0,2730.0,102038
2015-03-18,2745.0,2750.0,2640.0,2680.0,212216
2015-03-19,2665.0,2700.0,2645.0,2690.0,98129
2015-03-20,2690.0,2690.0,2585.0,2585.0,343843
2015-03-23,2560.0,2615.0,2560.0,2585.0,89697
2015-03-24,2570.0,2640.0,2555.0,2580.0,120159
2015-03-25,2570.0,2630.0,2570.0,2630.0,100124
2015-03-26,2615.0,2645.0,2595.0,2625.0,134569
2015-03-27,2630.0,2645.0,2590.0,2615.0,116429
2015-03-30,2615.0,2640.0,2580.0,2625.0,91385
2015-03-31,2625.0,2635.0,2595.0,2630.0,59578
2015-04-01,2630.0,2685.0,2615.0,2645.0,72765
2015-04-02,2620.0,2640.0,2560.0,2600.0,138202
2015-04-03,2575.0,2620.0,2565.0,2610.0,79471
2015-04-06,2620.0,2650.0,2570.0,2620.0,130278
2015-04-07,2620.0,2650.0,2595.0,2620.0,317349
2015-04-08,2640.0,2845.0,2615.0,2815.0,731775
2015-04-09,2815.0,2835.0,2755.0,2800.0,334545
2015-04-10,2815.0,2840.0,2720.0,2765.0,402687
2015-04-13,2785.0,2815.0,2720.0,2765.0,248479
2015-04-14,2800.0,2925.0,2765.0,2830.0,657423
2015-04-15,2870.0,2910.0,2775.0,2795.0,430998
2015-04-16,2810.0,2825.0,2765.0,2800.0,317659
2015-04-17,2820.0,3100.0,2810.0,3090.0,1258045
2015-04-20,3080.0,3260.0,3015.0,3175.0,1322291
2015-04-21,3120.0,3420.0,3110.0,3285.0,1006673
2015-04-22,3320.0,3430.0,3000.0,3100.0,585702
2015-04-23,3130.0,3260.0,3065.0,3150.0,435492
2015-04-24,3020.0,3175.0,3020.0,3060.0,380755
2015-04-27,3055.0,3080.0,3005.0,3030.0,229886
2015-04-28,2985.0,3190.0,2955.0,3140.0,360827
2015-04-29,3075.0,3180.0,3035.0,3080.0,218507
2015-04-30,3040.0,3070.0,2955.0,2955.0,294206
2015-05-04,2890.0,2920.0,2600.0,2800.0,699521
2015-05-06,2750.0,2800.0,2650.0,2680.0,216549
2015-05-07,2615.0,2665.0,2280.0,2280.0,1447795
2015-05-08,2195.0,2595.0,2170.0,2460.0,1955226
2015-05-11,2465.0,2560.0,2400.0,2430.0,446876
2015-05-12,2430.0,2455.0,2335.0,2335.0,255479
2015-05-13,2310.0,2645.0,2310.0,2535.0,875074
2015-05-14,2540.0,2695.0,2520.0,2580.0,696490
2015-05-15,2635.0,2635.0,2430.0,2545.0,373435
2015-05-18,2575.0,2635.0,2485.0,2555.0,148708
2015-05-19,2515.0,2720.0,2510.0,2630.0,405444
2015-05-20,2625.0,2660.0,2580.0,2620.0,165630
2015-05-21,2675.0,2675.0,2585.0,2590.0,83471
2015-05-22,2590.0,2655.0,2520.0,2575.0,166710
2015-05-26,2550.0,2615.0,2505.0,2600.0,153964
2015-05-27,2630.0,2630.0,2475.0,2475.0,251116
2015-05-28,2525.0,2545.0,2485.0,2520.0,68486
2015-05-29,2500.0,2510.0,2385.0,2505.0,188601
2015-06-01,2500.0,2565.0,2410.0,2465.0,139092
2015-06-02,2420.0,2515.0,2415.0,2480.0,161262
2015-06-03,2480.0,2535.0,2460.0,2460.0,130804
2015-06-04,2475.0,2485.0,2415.0,2430.0,76900
2015-06-05,2430.0,2450.0,2380.0,2380.0,106730
2015-06-08,2380.0,2430.0,2360.0,2380.0,59179
2015-06-09,2425.0,2425.0,2380.0,2410.0,42230
2015-06-10,2445.0,2445.0,2375.0,2400.0,70989
2015-06-11,2425.0,2475.0,2390.0,2405.0,99330
2015-06-12,2430.0,2460.0,2405.0,2405.0,47679
2015-06-15,2445.0,2445.0,2330.0,2355.0,95507
2015-06-16,2355.0,2385.0,2260.0,2315.0,64263
2015-06-17,2350.0,2350.0,2230.0,2300.0,68063
2015-06-18,2290.0,2385.0,2280.0,2300.0,95108
