date,open,high,low,close,volume
2015-01-02,233500.0,240000.0,232500.0,239500.0,137678
2015-01-05,237000.0,239500.0,232000.0,238000.0,167481
2015-01-06,236000.0,236000.0,226500.0,229000.0,358672
2015-01-07,229000.0,231000.0,226000.0,230500.0,200603
2015-01-08,230500.0,232500.0,229000.0,230500.0,190750
2015-01-09,233000.0,238000.0,231000.0,238000.0,313468
2015-01-12,237000.0,239000.0,234000.0,238000.0,250696
2015-01-13,255500.0,271500.0,254000.0,265500.0,1755713
2015-01-14,265500.0,267000.0,251500.0,255000.0,834722
2015-01-15,259000.0,261500.0,253000.0,259000.0,422930
2015-01-16,251500.0,258500.0,250000.0,254000.0,278196
2015-01-19,253000.0,255000.0,249500.0,251500.0,175842
2015-01-20,250000.0,252000.0,247000.0,250000.0,160436
2015-01-21,251500.0,256500.0,249000.0,252000.0,444653
2015-01-22,247000.0,255500.0,246500.0,250500.0,276798
2015-01-23,253500.0,257500.0,248500.0,255000.0,469112
2015-01-26,253000.0,258500.0,252000.0,255000.0,301366
2015-01-27,258500.0,262500.0,256000.0,258500.0,284750
2015-01-28,255000.0,257500.0,253000.0,254000.0,281405
2015-01-29,252500.0,256000.0,249000.0,250000.0,296269
2015-01-30,249000.0,252500.0,246500.0,248000.0,276129
2015-02-02,248500.0,252500.0,247500.0,249500.0,168396
2015-02-03,250000.0,251500.0,243000.0,246000.0,241541
2015-02-04,246500.0,249000.0,245000.0,248500.0,133234
2015-02-05,248500.0,257000.0,248500.0,253500.0,247314
2015-02-06,259500.0,260000.0,240000.0,242500.0,779016
2015-02-09,243000.0,243000.0,236000.0,236500.0,253824
2015-02-10,236500.0,239500.0,235500.0,236000.0,213813
2015-02-11,235500.0,237000.0,234500.0,236500.0,155709
2015-02-12,239500.0,243000.0,237000.0,241500.0,226668
2015-02-13,241500.0,243500.0,238500.0,241000.0,163987
2015-02-16,240000.0,241000.0,236500.0,240000.0,115698
2015-02-17,240000.0,243500.0,239000.0,243000.0,109885
2015-02-23,246500.0,248500.0,243500.0,248500.0,199088
2015-02-24,251500.0,252000.0,247500.0,249500.0,150246
2015-02-25,250000.0,252500.0,248000.0,251000.0,125196
2015-02-26,251000.0,251000.0,248000.0,249500.0,153726
2015-02-27,251000.0,252000.0,247000.0,249500.0,283435
2015-03-02,251000.0,251500.0,247000.0,247500.0,176837
2015-03-03,248000.0,259500.0,248000.0,256000.0,293418
2015-03-04,256500.0,261500.0,253000.0,254500.0,210231
2015-03-05,252500.0,257000.0,251500.0,254500.0,107739
2015-03-06,258000.0,258000.0,255500.0,257000.0,130488
2015-03-09,255000.0,260500.0,254500.0,257000.0,165233
2015-03-10,256500.0,258500.0,255000.0,256500.0,140506
2015-03-11,255000.0,259500.0,251500.0,258000.0,245549
2015-03-12,253000.0,258500.0,250000.0,251000.0,276044
2015-03-13,252500.0,253000.0,249000.0,250500.0,130841
2015-03-16,249000.0,254000.0,246000.0,252000.0,137079
2015-03-17,253500.0,261500.0,252500.0,258500.0,221810
2015-03-18,261000.0,262000.0,257500.0,260000.0,175711
2015-03-19,261500.0,262000.0,257000.0,261000.0,200188
2015-03-20,258000.0,260000.0,251500.0,253500.0,277306
2015-03-23,254500.0,255000.0,248500.0,249500.0,223751
2015-03-24,251500.0,252000.0,249000.0,250000.0,201265
2015-03-25,249500.0,251500.0,245000.0,246500.0,252991
2015-03-26,246500.0,247500.0,244500.0,246500.0,128473
2015-03-27,246500.0,248000.0,245000.0,246000.0,111258
2015-03-30,245500.0,247000.0,244500.0,245500.0,86183
2015-03-31,246500.0,248500.0,245000.0,246500.0,156318
2015-04-01,247000.0,247500.0,241000.0,243500.0,193939
2015-04-02,243500.0,245500.0,239500.0,240500.0,128012
2015-04-03,241000.0,243500.0,239000.0,241000.0,113740
2015-04-06,241000.0,241500.0,235000.0,235500.0,189660
2015-04-07,235500.0,236500.0,231500.0,236500.0,227809
2015-04-08,236500.0,241500.0,236000.0,240500.0,199163
2015-04-09,240500.0,240500.0,232500.0,233000.0,337676
2015-04-10,234000.0,237500.0,233500.0,234000.0,447926
2015-04-13,235000.0,235500.0,230000.0,231000.0,339497
2015-04-14,231500.0,235000.0,229500.0,235000.0,374728
2015-04-15,236000.0,238000.0,233500.0,236000.0,304052
2015-04-16,236000.0,237500.0,234000.0,236000.0,267707
2015-04-17,237500.0,242000.0,237500.0,240500.0,280113
2015-04-20,237500.0,242000.0,236000.0,241000.0,192441
2015-04-21,242500.0,243000.0,237000.0,238000.0,226910
2015-04-22,239000.0,241500.0,238500.0,239500.0,229249
2015-04-23,241000.0,247000.0,240500.0,246000.0,316044
2015-04-24,248500.0,256500.0,247500.0,252500.0,477986
2015-04-27,252500.0,254500.0,243000.0,243500.0,351365
2015-04-28,243500.0,245000.0,240000.0,240500.0,200440
2015-04-29,240000.0,240500.0,237000.0,239500.0,179653
2015-04-30,236500.0,238500.0,235000.0,236500.0,178279
2015-05-04,237000.0,238500.0,236500.0,237500.0,109331
2015-05-06,238500.0,241000.0,235500.0,237000.0,157437
2015-05-07,237000.0,239000.0,235500.0,238000.0,177507
2015-05-08,237500.0,239000.0,237500.0,237500.0,200640
2015-05-11,238500.0,241500.0,235500.0,236000.0,167375
2015-05-12,236000.0,237500.0,235000.0,236000.0,173992
2015-05-13,236000.0,237500.0,234500.0,235000.0,249306
2015-05-14,235000.0,235500.0,233500.0,234500.0,193460
2015-05-15,234500.0,236500.0,229000.0,230500.0,252687
2015-05-18,228500.0,231500.0,226000.0,227000.0,210451
2015-05-19,227500.0,228500.0,225500.0,226000.0,145194
2015-05-20,228000.0,233000.0,227500.0,232000.0,242552
2015-05-21,233000.0,233500.0,230000.0,232000.0,223723
2015-05-22,232000.0,233000.0,230000.0,231500.0,282824
2015-05-26,229500.0,230500.0,226000.0,227000.0,310581
2015-05-27,226500.0,230000.0,224000.0,225500.0,295843
2015-05-28,224000.0,227500.0,224000.0,226500.0,207181
2015-05-29,224000.0,226000.0,222000.0,223500.0,366439
2015-06-01,221500.0,223000.0,217000.0,218500.0,407987
2015-06-02,216000.0,216500.0,197500.0,200000.0,1184163
2015-06-03,200000.0,206500.0,198000.0,204500.0,668240
2015-06-04,204500.0,206500.0,202000.0,203500.0,332155
2015-06-05,206500.0,216000.0,206000.0,214000.0,566114
2015-06-08,210500.0,214500.0,204500.0,209000.0,195004
2015-06-09,209500.0,212500.0,205000.0,206500.0,176653
2015-06-10,209500.0,213000.0,205000.0,208000.0,177628
2015-06-11,211500.0,223000.0,210500.0,217500.0,522307
2015-06-12,217000.0,218000.0,210000.0,213000.0,234569
2015-06-15,213000.0,218500.0,210500.0,215000.0,166768
2015-06-16,219000.0,220000.0,208000.0,211500.0,328509
2015-06-17,212500.0,214500.0,207000.0,211000.0,173881
2015-06-18,211000.0,213500.0,203500.0,205000.0,293916
2015-06-19,206500.0,206500.0,202500.0,205000.0,241948
2015-06-22,209500.0,210000.0,204000.0,205500.0,154281
2015-06-23,209500.0,209500.0,201000.0,201000.0,217969
2015-06-24,203500.0,210000.0,203000.0,210000.0,326214
2015-06-25,209500.0,209500.0,206500.0,208000.0,159282
2015-06-26,207000.0,212500.0,207000.0,209000.0,319535
2015-06-29,209000.0,210000.0,205500.0,210000.0,217526
2015-06-30,209500.0,213500.0,209000.0,212000.0,305240
2015-07-01,210000.0,212500.0,206000.0,208500.0,256230
2015-07-02,210000.0,210500.0,202000.0,205000.0,457138
2015-07-03,206000.0,206500.0,201000.0,205500.0,247225
2015-07-06,202000.0,204000.0,201500.0,202500.0,192336
2015-07-07,202000.0,204500.0,199500.0,202500.0,219655
2015-07-08,203500.0,206000.0,201500.0,202500.0,275239
2015-07-09,200000.0,202000.0,198500.0,200000.0,238170
2015-07-10,200500.0,202000.0,195000.0,195500.0,266150
2015-07-13,196000.0,196000.0,191000.0,194000.0,207419
2015-07-14,193500.0,198000.0,193500.0,197000.0,142816
2015-07-15,195500.0,203000.0,195500.0,201000.0,160707
2015-07-16,205000.0,206000.0,197000.0,197000.0,274479
2015-07-17,197000.0,197500.0,185500.0,185500.0,412811
2015-07-20,186500.0,191000.0,186000.0,190500.0,199559
2015-07-21,192000.0,198500.0,190000.0,194500.0,365878
2015-07-22,197000.0,199000.0,191500.0,198000.0,298675
2015-07-23,200000.0,202500.0,199000.0,201000.0,223060
2015-07-24,200000.0,202500.0,199500.0,201500.0,290028
2015-07-27,201500.0,216500.0,201500.0,214000.0,506037
2015-07-28,212000.0,216000.0,211000.0,214000.0,446244
2015-07-29,214500.0,215500.0,206000.0,210500.0,357868
2015-07-30,210500.0,217500.0,207500.0,211000.0,183367
2015-07-31,216000.0,216000.0,210500.0,213500.0,233318
2015-08-03,213000.0,213000.0,206500.0,207500.0,220371
2015-08-04,207000.0,211500.0,205500.0,210000.0,168538
2015-08-05,214500.0,214500.0,206000.0,210000.0,143299
2015-08-06,208000.0,209000.0,205000.0,206500.0,230792
2015-08-07,206000.0,207500.0,204000.0,206000.0,152087
2015-08-10,205000.0,209500.0,203500.0,208500.0,102924
2015-08-11,209500.0,209500.0,204000.0,207000.0,116813
2015-08-12,204000.0,214500.0,204000.0,212000.0,255098
2015-08-13,210000.0,212000.0,205000.0,205000.0,226383
2015-08-17,205000.0,207000.0,202500.0,204000.0,153548
2015-08-18,206000.0,210500.0,205000.0,209500.0,173025
2015-08-19,209000.0,211000.0,205500.0,208500.0,247791
2015-08-20,205500.0,207500.0,201000.0,204500.0,245844
2015-08-21,200000.0,203000.0,196000.0,200500.0,234566
2015-08-24,197500.0,200500.0,190500.0,194500.0,196927
2015-08-25,195000.0,205000.0,191000.0,198000.0,263719
2015-08-26,196500.0,204500.0,196000.0,203500.0,247975
2015-08-27,204500.0,206000.0,200000.0,200500.0,210775
2015-08-28,200000.0,203000.0,198000.0,201500.0,215120
2015-08-31,201000.0,206500.0,200000.0,206500.0,238969
2015-09-01,204500.0,206500.0,201500.0,203000.0,125550
2015-09-02,200500.0,209500.0,200000.0,207000.0,169752
2015-09-03,208000.0,209000.0,205500.0,207000.0,139759
2015-09-04,209000.0,209000.0,204000.0,204500.0,135586
2015-09-07,203500.0,209000.0,203500.0,208500.0,154407
2015-09-08,210000.0,212500.0,208500.0,211500.0,239802
2015-09-09,214000.0,216500.0,211500.0,216000.0,254858
2015-09-10,215000.0,219000.0,213500.0,217000.0,225768
2015-09-11,213500.0,216500.0,213000.0,214500.0,156216
2015-09-14,215500.0,215500.0,209500.0,214500.0,108861
2015-09-15,214500.0,215500.0,212000.0,213500.0,122502
2015-09-16,212500.0,220000.0,212500.0,219000.0,306579
2015-09-17,221000.0,221000.0,211500.0,213000.0,298287
2015-09-18,213000.0,213000.0,209000.0,210000.0,238752
2015-09-21,209500.0,211500.0,206500.0,207500.0,138428
2015-09-22,208500.0,218500.0,208500.0,218000.0,292900
2015-09-23,215500.0,217500.0,211500.0,212500.0,177152
2015-09-24,221000.0,225000.0,215000.0,215000.0,454289
2015-09-25,217500.0,224500.0,217500.0,222500.0,344487
2015-09-30,222500.0,232500.0,219000.0,231500.0,436261
2015-10-01,229000.0,236500.0,229000.0,234500.0,210914
2015-10-02,234000.0,237000.0,231500.0,234500.0,170466
2015-10-05,233000.0,235500.0,229000.0,231000.0,175135
2015-10-06,227000.0,230000.0,220500.0,229000.0,201753
2015-10-07,223000.0,231500.0,222500.0,228500.0,138499
2015-10-08,231500.0,236500.0,229000.0,236500.0,161712
2015-10-12,237000.0,237000.0,230000.0,231500.0,193639
2015-10-13,233500.0,235000.0,231000.0,235000.0,179950
2015-10-14,235500.0,238000.0,232500.0,237000.0,170512
2015-10-15,237000.0,239000.0,232500.0,238000.0,156542
2015-10-16,238000.0,238500.0,232000.0,234000.0,212948
2015-10-19,234500.0,236000.0,233500.0,235000.0,102215
2015-10-20,236000.0,236500.0,234000.0,236000.0,117657
2015-10-21,236500.0,237000.0,234500.0,236000.0,120231
2015-10-22,233500.0,239500.0,233500.0,235000.0,165119
2015-10-23,238500.0,239000.0,235500.0,237500.0,139895
2015-10-26,238500.0,242000.0,234500.0,241500.0,150479
2015-10-27,240000.0,245000.0,240000.0,243500.0,111350
2015-10-28,243500.0,243500.0,238000.0,240500.0,117963
2015-10-29,236500.0,240500.0,236000.0,238500.0,74019
2015-10-30,239000.0,243000.0,237500.0,240000.0,132089
2015-11-02,238000.0,241000.0,236000.0,240000.0,83819
2015-11-03,239000.0,248000.0,238500.0,247000.0,227891
2015-11-04,250000.0,255500.0,248500.0,252500.0,234795
2015-11-05,254000.0,254000.0,250000.0,252000.0,131376
2015-11-06,252000.0,252500.0,249000.0,250500.0,75450
2015-11-09,255500.0,255500.0,250000.0,253500.0,117692
2015-11-10,254500.0,256500.0,252000.0,255000.0,172322
2015-11-11,255500.0,255500.0,249500.0,253000.0,136449
2015-11-12,255000.0,256000.0,252000.0,254000.0,79103
2015-11-13,248500.0,252500.0,247500.0,247500.0,136696
2015-11-16,240000.0,250500.0,240000.0,247000.0,231355
2015-11-17,251500.0,252000.0,240500.0,242500.0,209611
2015-11-18,246500.0,251500.0,242500.0,250500.0,160697
2015-11-19,249000.0,254500.0,249000.0,252000.0,106447
2015-11-20,252500.0,254000.0,251000.0,253000.0,84152
2015-11-23,247500.0,251000.0,245500.0,247500.0,163258
2015-11-24,246000.0,249000.0,245500.0,247000.0,144662
2015-11-25,247000.0,250000.0,246500.0,247000.0,100830
2015-11-26,248000.0,252500.0,247000.0,251000.0,85553
2015-11-27,252500.0,253000.0,249000.0,252000.0,90566
2015-11-30,249000.0,252000.0,244000.0,249500.0,297962
2015-12-01,246500.0,248500.0,245000.0,247000.0,266767
2015-12-02,246500.0,247000.0,243000.0,244500.0,172644
2015-12-03,247000.0,247000.0,241000.0,241500.0,151091
2015-12-04,241000.0,241500.0,237000.0,238500.0,212979
2015-12-07,241000.0,241500.0,237500.0,238500.0,87287
2015-12-08,239000.0,241500.0,236500.0,236500.0,115665
2015-12-09,230500.0,234500.0,228500.0,231000.0,225386
2015-12-10,229000.0,238000.0,228500.0,234500.0,198851
2015-12-11,231000.0,235000.0,230000.0,234500.0,214979
2015-12-14,234000.0,245000.0,232000.0,243000.0,207990
2015-12-15,241500.0,247500.0,241500.0,246500.0,163531
2015-12-16,250000.0,253000.0,247500.0,251000.0,177504
2015-12-17,251000.0,253000.0,245500.0,250000.0,156919
2015-12-18,247000.0,251000.0,241500.0,251000.0,166935
2015-12-21,252000.0,252000.0,245000.0,249000.0,80235
2015-12-22,246500.0,254000.0,246000.0,253500.0,181486
2015-12-23,250500.0,253500.0,249000.0,250500.0,115569
2015-12-24,252000.0,254000.0,250500.0,252500.0,120559
2015-12-28,252500.0,253000.0,248500.0,249500.0,96160
2015-12-29,246500.0,249000.0,245000.0,247500.0,56840
2015-12-30,247500.0,249500.0,243500.0,246500.0,88619
2016-01-04,242000.0,242500.0,237000.0,238000.0,171144
2016-01-05,234000.0,241500.0,234000.0,237000.0,168161
2016-01-06,235500.0,239000.0,233500.0,234500.0,157567
2016-01-07,234500.0,239000.0,232000.0,237000.0,135834
2016-01-08,238500.0,244500.0,235500.0,238500.0,145124
2016-01-11,233000.0,245500.0,233000.0,241000.0,131389
2016-01-12,244000.0,247000.0,239000.0,241500.0,127780
2016-01-13,248000.0,250000.0,244500.0,247000.0,160042
2016-01-14,243000.0,246000.0,241000.0,245000.0,150647
