date,open,high,low,close,volume
2015-01-02,3521.0,3640.0,3521.0,3627.0,32366
2015-01-05,3627.0,3661.0,3580.0,3653.0,39934
2015-01-06,3653.0,3784.0,3614.0,3691.0,33606
2015-01-07,3746.0,3865.0,3661.0,3806.0,58420
2015-01-08,3861.0,3870.0,3746.0,3768.0,46879
2015-01-09,3746.0,3840.0,3742.0,3755.0,44380
2015-01-12,3789.0,3882.0,3746.0,3849.0,79215
2015-01-13,3848.0,3925.0,3806.0,3840.0,42645
2015-01-14,3814.0,3865.0,3755.0,3755.0,43800
2015-01-15,3733.0,3806.0,3733.0,3759.0,42368
2015-01-16,3746.0,3776.0,3687.0,3700.0,40684
2015-01-19,3725.0,3725.0,3610.0,3627.0,50399
2015-01-20,3670.0,3670.0,3559.0,3576.0,67478
2015-01-21,3576.0,3631.0,3486.0,3623.0,67218
2015-01-22,3648.0,3767.0,3618.0,3696.0,46186
2015-01-23,3695.0,3742.0,3623.0,3717.0,36256
2015-01-26,3750.0,3750.0,3610.0,3627.0,43252
2015-01-27,3618.0,3670.0,3576.0,3644.0,17805
2015-01-28,3644.0,3678.0,3567.0,3644.0,28832
2015-01-29,3627.0,3635.0,3576.0,3632.0,38929
2015-01-30,3631.0,3661.0,3580.0,3662.0,38632
2015-02-02,3678.0,3738.0,3652.0,3734.0,89730
2015-02-03,3746.0,3946.0,3746.0,3883.0,183482
2015-02-04,3887.0,3968.0,3810.0,3857.0,101896
2015-02-05,3899.0,4002.0,3810.0,3968.0,99022
2015-02-06,4002.0,4002.0,3916.0,3947.0,41934
2015-02-09,4002.0,4002.0,3772.0,3781.0,93055
2015-02-10,3750.0,3763.0,3623.0,3696.0,50991
2015-02-11,3695.0,3789.0,3631.0,3785.0,47237
2015-02-12,3789.0,3814.0,3695.0,3781.0,36102
2015-02-13,3759.0,3857.0,3653.0,3670.0,105770
2015-02-16,3653.0,3767.0,3640.0,3679.0,59336
2015-02-17,3678.0,3742.0,3665.0,3738.0,38713
2015-02-23,3814.0,3857.0,3763.0,3832.0,63766
2015-02-24,3823.0,3985.0,3823.0,3934.0,99420
2015-02-25,4002.0,4065.0,3942.0,4019.0,83921
2015-02-26,4019.0,4129.0,4006.0,4113.0,89837
2015-02-27,4193.0,4197.0,4074.0,4130.0,41588
2015-03-02,4108.0,4129.0,3959.0,4002.0,78416
2015-03-03,4044.0,4368.0,4031.0,4206.0,167692
2015-03-04,4802.0,4836.0,4708.0,4837.0,619341
2015-03-05,4836.0,5058.0,4572.0,4641.0,954399
