date,open,high,low,close,volume
2015-01-02,0.0,0.0,0.0,6580.0,0
2015-01-05,0.0,0.0,0.0,6580.0,0
2015-01-06,0.0,0.0,0.0,6580.0,0
2015-01-07,0.0,0.0,0.0,6580.0,0
2015-01-08,0.0,0.0,0.0,6580.0,0
2015-01-09,0.0,0.0,0.0,6580.0,0
2015-01-12,0.0,0.0,0.0,6580.0,0
2015-01-13,0.0,0.0,0.0,6580.0,0
2015-01-14,0.0,0.0,0.0,6580.0,0
2015-01-15,6580.0,6580.0,5600.0,5650.0,3437079
2015-01-16,5730.0,6430.0,5650.0,6260.0,3471496
2015-01-19,6350.0,6440.0,5890.0,5950.0,1230020
2015-01-20,6050.0,6200.0,5900.0,5900.0,668615
2015-01-21,5900.0,6160.0,5730.0,5840.0,1018609
2015-01-22,5850.0,6120.0,5850.0,5930.0,599990
2015-01-23,5990.0,6180.0,5980.0,6070.0,602620
2015-01-26,6160.0,6230.0,6060.0,6100.0,370783
2015-01-27,6200.0,6570.0,6160.0,6450.0,772410
2015-01-28,6510.0,6750.0,6330.0,6400.0,507853
2015-01-29,6450.0,6980.0,6420.0,6700.0,543448
2015-01-30,6770.0,6860.0,6470.0,6620.0,336923
2015-02-02,6540.0,6950.0,6540.0,6880.0,285912
2015-02-03,6950.0,6950.0,6600.0,6720.0,205515
2015-02-04,6770.0,6800.0,6550.0,6730.0,231359
2015-02-05,6810.0,6950.0,6660.0,6740.0,292628
2015-02-06,6790.0,6900.0,6730.0,6870.0,176512
2015-02-09,6920.0,6930.0,6800.0,6830.0,142074
2015-02-10,6870.0,6970.0,6720.0,6800.0,153224
2015-02-11,6850.0,6870.0,6550.0,6630.0,248959
2015-02-12,6630.0,6710.0,6420.0,6530.0,185170
2015-02-13,6570.0,6700.0,6440.0,6530.0,311621
2015-02-16,6540.0,6580.0,6300.0,6310.0,218402
2015-02-17,6330.0,6420.0,6160.0,6410.0,202100
2015-02-23,6430.0,6570.0,6400.0,6550.0,194044
2015-02-24,6560.0,6580.0,6450.0,6450.0,137953
2015-02-25,6510.0,6540.0,6450.0,6490.0,100766
2015-02-26,6540.0,6690.0,6490.0,6630.0,199113
2015-02-27,6640.0,6770.0,6640.0,6730.0,223406
2015-03-02,6730.0,6770.0,6630.0,6700.0,150910
2015-03-03,6700.0,6750.0,6630.0,6690.0,178747
2015-03-04,6750.0,7010.0,6750.0,6990.0,484593
2015-03-05,7080.0,7220.0,7070.0,7150.0,299172
2015-03-06,7200.0,7200.0,6990.0,7050.0,168798
2015-03-09,6970.0,7020.0,6800.0,6860.0,155220
2015-03-10,6820.0,7430.0,6820.0,7350.0,396689
2015-03-11,7270.0,7320.0,6980.0,7080.0,294026
2015-03-12,7070.0,7280.0,7040.0,7170.0,193395
2015-03-13,7150.0,7390.0,7120.0,7320.0,236422
2015-03-16,7340.0,7430.0,7250.0,7380.0,227521
2015-03-17,7400.0,7640.0,7330.0,7600.0,346527
2015-03-18,7670.0,7700.0,7450.0,7550.0,144715
2015-03-19,7620.0,7900.0,7480.0,7790.0,369928
2015-03-20,7800.0,7900.0,7660.0,7730.0,101117
2015-03-23,7810.0,7810.0,7630.0,7730.0,99599
2015-03-24,7740.0,7790.0,7490.0,7670.0,124892
2015-03-25,7700.0,7970.0,7670.0,7800.0,211013
2015-03-26,7750.0,7960.0,7750.0,7850.0,99406
2015-03-27,7850.0,7970.0,7710.0,7880.0,82969
2015-03-30,7880.0,7900.0,7660.0,7730.0,107335
2015-03-31,7770.0,8120.0,7710.0,7920.0,327269
2015-04-01,7920.0,8200.0,7820.0,7830.0,234644
2015-04-02,7910.0,7990.0,7760.0,7910.0,144145
2015-04-03,7870.0,7980.0,7830.0,7920.0,94139
2015-04-06,7720.0,8040.0,7720.0,8000.0,65549
2015-04-07,8010.0,8100.0,7920.0,8070.0,107539
2015-04-08,8070.0,8180.0,8030.0,8110.0,70479
2015-04-09,8240.0,8240.0,8100.0,8130.0,87562
2015-04-10,8090.0,8190.0,8000.0,8010.0,114898
2015-04-13,8100.0,8270.0,8050.0,8270.0,138109
2015-04-14,8400.0,8400.0,8100.0,8120.0,145773
2015-04-15,8090.0,8200.0,8050.0,8100.0,100135
2015-04-16,8100.0,8210.0,7940.0,8040.0,145665
2015-04-17,8040.0,8260.0,7990.0,8260.0,134408
2015-04-20,8260.0,8440.0,8090.0,8390.0,176252
2015-04-21,8470.0,8470.0,8320.0,8430.0,110132
2015-04-22,8340.0,8490.0,8080.0,8310.0,168757
2015-04-23,8270.0,8480.0,8230.0,8350.0,185327
2015-04-24,8260.0,8470.0,8260.0,8360.0,114533
2015-04-27,8320.0,8420.0,8230.0,8350.0,80592
2015-04-28,8360.0,8500.0,8320.0,8490.0,168786
2015-04-29,8520.0,8610.0,8360.0,8370.0,108565
2015-04-30,8350.0,8470.0,8300.0,8340.0,96606
2015-05-04,8330.0,8330.0,8120.0,8310.0,159880
2015-05-06,8310.0,8310.0,7870.0,7890.0,175580
2015-05-07,7960.0,7960.0,7700.0,7870.0,93913
2015-05-08,7860.0,8240.0,7860.0,8210.0,82356
2015-05-11,8250.0,8290.0,8130.0,8240.0,96623
2015-05-12,8230.0,8290.0,8030.0,8040.0,113225
2015-05-13,8030.0,8170.0,8030.0,8060.0,81423
2015-05-14,8060.0,8220.0,8030.0,8090.0,77311
2015-05-15,8090.0,8100.0,7970.0,8010.0,88241
2015-05-18,8010.0,8060.0,7750.0,7790.0,121456
2015-05-19,7840.0,7840.0,7590.0,7620.0,146156
2015-05-20,7650.0,8060.0,7580.0,7870.0,209243
2015-05-21,7870.0,7900.0,7560.0,7780.0,79046
2015-05-22,7820.0,7840.0,7680.0,7760.0,89362
2015-05-26,7700.0,7790.0,7460.0,7500.0,208526
2015-05-27,7510.0,7510.0,7090.0,7110.0,197587
2015-05-28,7180.0,7180.0,6720.0,6760.0,507940
2015-05-29,6550.0,6840.0,6550.0,6820.0,259088
2015-06-01,6710.0,6830.0,6550.0,6690.0,228088
2015-06-02,6680.0,6770.0,6350.0,6500.0,260312
2015-06-03,6580.0,6580.0,6330.0,6400.0,211108
2015-06-04,6350.0,6470.0,6350.0,6360.0,106184
2015-06-05,6350.0,6390.0,6270.0,6320.0,82416
